"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Lulu and Georgia","We’re Lulu and Georgia. Based in Los Angeles, we design and curate the best in interiors to inspire your home. Find exclusive designer collaborations, uniquely curated collections, and one-of-a-kind vintage pieces to bring your space to life.","Retail Furniture and Home Furnishings","51-200 employees","Privately Held","Los Angeles, California","United States","luluandgeorgia.com","https://www.linkedin.com/company/lulu-&-georgia"
,"BOLIA","Our collection is inspired by the vivid Scandinavian nature that surrounds us with the changing seasons, comforting earth-toned colours, crafted details and natural materials. All designed to create calm, luxurious and beautiful spaces.

Every product is designed to last for generations and is made by hand by some of Europe’s finest manufacturers. Crafted from nature’s best and most durable materials with the beautiful changing seasons as captivating backdrops.

Welcome to BOLIA.","Retail Furniture and Home Furnishings","501-1,000 employees","Privately Held","Aarhus","Denmark","bolia.com","https://www.linkedin.com/company/boliacom"
,"CasaOne","CasaOne is a furniture, decor, and home goods eCommerce company. For more, please visit casaone.com.","Retail Furniture and Home Furnishings","51-200 employees","Privately Held","Dublin, California","United States","casaone.com","https://www.linkedin.com/company/casaone"
,"2XL Home","UAE based 2XL Furniture & Home Décor is a retail company for luxury home furnishings since 2000. 2XL Furniture & Home Decor is modern and contemporary with a twist of French Design Flare. The selection of Home Decor accessories enhances its beauty and creates an ambience that complements the home solution offering. 2XL Home currently owns showrooms across Dubai, Sharjah, Abu Dhabi, Al Ain, Fujairah and Oman.

Bring your experience and passion to a Retail Home Furnishing company delivering exceptional service, quality and sustainability. If you are ready for a challenge, join our team & grow with us! 

You can reach us by sending your CV to – hr@2xlme.com","Retail Furniture and Home Furnishings","501-1,000 employees","Privately Held","Sharjah - United Arab Emirates","United Arab Emirates","2xlhome.com","https://www.linkedin.com/company/retail-2xl-home-careers"
,"Parachute Home","Parachute makes premium quality home essentials to enhance your life. We believe that high quality, smart design and personal comfort shouldn’t cost a fortune – and that above all – you should start and end your day feeling your very best.","Retail Furniture and Home Furnishings","51-200 employees","Privately Held","Culver City, California","United States","parachutehome.com","https://www.linkedin.com/company/parachute-home"
,"Designitch","Designitch is a new take on a concept store that retails furniture, lighting, accessories, and art, with a focus on modern and contemporary design.  

With a passion for design, we work relentlessly to continually grow the largest portfolio of brands at the most competitive prices in order to provide a turnkey solution for interiors.  

We have both an 8000 sq ft showroom in Al Quoz and the first e-commerce of its kind for the region.","Retail Furniture and Home Furnishings","11-50 employees","Privately Held","Dubai","United Arab Emirates","designitch.com","https://www.linkedin.com/company/designitch"
,"STARK","Innovative design. Cutting-edge construction. A forward-thinking, entrepreneurial ethos. 

For more than 80 years, STARK has been the leader in the luxury carpet industry, specializing in custom-designed carpets and rugs of unmatched excellence for both to-the-trade designers and the larger consumer market.

STARK is a family company founded in 1938 by Arthur and Nadia Stark, who were early importers of handmade patterned carpets to America. Today, the company continues to prosper under third-generation family members: CEO Chad Stark and Creative Director Ashley Stark.

Throughout decades in business, STARK has become synonymous with luxury interiors and is one of the most beloved brands in the design industry. Our offerings are available on our e-commerce site and in showrooms across the globe, where our experts help designers and consumers bring their rug or carpet vision to life.

STARK is home to a passionate and diverse collective of corporate team members, account managers, showroom experts, craftspeople, and fulfillment specialists who have a shared mission of creating best-in-class products and experiences for clients all over the world. We believe that the heart of a company lies in its people, and are dedicated to fostering a workplace culture that promotes both career and personal growth.","Retail Furniture and Home Furnishings","501-1,000 employees","Privately Held","New York, New York","United States","starkcarpet.com","https://www.linkedin.com/company/stark-carpet"
,"Room & Board","As a 100% employee-owned company, people inspire everything we do. From our foundation of trust, we’ve built a culture rooted in meaningful work, respect and holistic well-being. Our difference is designed for your success.

Room & Board is a privately held, national retailer of modern home furnishings based in Minneapolis, Minnesota with locations across the country. Since 1980, we’ve been providing extraordinary experiences for our customers as we help them create homes they love. We create exclusive contemporary designs and believe expertly crafted American-made furniture offers the best value in terms of quality, design longevity and environmental sustainability.

We seamlessly serve our customers through 19 stores, a robust e-commerce site, Business Interiors channel and Customer Care support.","Retail Furniture and Home Furnishings","1,001-5,000 employees","Privately Held","Minneapolis, Minnesota","United States","roomandboard.com","https://www.linkedin.com/company/room-&-board"
,"Selency","Selency is the leading marketplace in Europe dedicated to preloved furniture and home decor. We curate each item posted by our antique dealers, and each inspiration to provide a very new experience.","Retail Furniture and Home Furnishings","11-50 employees","Self Owned","Paris, Ile de France","France","selency.com","https://www.linkedin.com/company/selency"
,"Focus Global Inc","In October 1991, Focus Global started with just one brand and 20 employees in the Philippines. Today, our team of 500 manages 30 global brands, representing the world’s most trusted home products across the Philippines, Singapore, and Malaysia.

We are a lifestyle retail company that reimagines the retail experience by seamlessly blending online and in-store shopping through our omnichannel strategy. Leveraging the latest technologies, we make the world’s most premium home products accessible at your fingertips with a customer experience that's second to none.

Our team champions one growth philosophy: to “focus, fail, and feedback forward”. We create unique and meaningful spaces to collaborate, grow, and #FindYourFocus. At FGI, asking “what’s next?” is a habit, thinking outside of the box is the norm, and every project is a team sport.

With a vision to touch 100 million homes as #OneFocus, we create results with heart and passion to create elevated and inspired living spaces across Southeast Asia.","Retail Furniture and Home Furnishings","201-500 employees","Privately Held","Bonifacio Global City, Taguig, Metro Manila","Philippines","focusglobalinc.com","https://www.linkedin.com/company/focus-global-inc"
