"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Ansaldo Energia","Ansaldo Energia Group is an international leader in the power generation industry and a key player in the energy transition. The company is owned by CDP Equity, Cassa
Depositi e Prestiti Group, a national promotion institution that has supported the Italian economy since 1850 focusing on strategic investments. Thanks to its transversal skills, Ansaldo Energia Group aims to be a trusted partner for energy security and transition, providing global solutions. Ansaldo Energia Group can supply components (gas turbines, steam turbines, generators), turnkey plants and the most innovative support service solutions to the electricity generation industry.
Ansaldo Energia’s gas turbine fleet can meet the highest standards in terms of emissions into the atmosphere. The whole fleet is already capable of burning from 40 up to 70% of hydrogen in mix with natural gas, depending on the equipment, with the goal to reach 100% by 2030.
Ansaldo Nucleare, a wholly owned subsidiary of Ansaldo Energia, has been active in the nuclear sector globally for over 60 years: it deals with new builds, plant operation
assistance, decommissioning and waste management and is at the forefront in the development of small modular reactors and reactors and IV generation reactors.
Ansaldo Green Tech, born in 2021 as a spinoff of Ansaldo Energia, is active in the field of transition thanks to its AEM electrolysers of its own technology and the development of microturbines, ready to run on CO2 free fuels and to support energy microgrids.","Engines and Power Transmission Equipment Manufacturing","1,001-5,000 employees","Privately Held","Genova, Liguria","Italy","ansaldoenergia.com","https://www.linkedin.com/company/ansaldo-energia"
,"Horse Technologies","In 2024, we joined Horse Powertrain, a global leader in powertrain technology. As we bring our expertise together, we’re also merging our LinkedIn pages to create one unified space for innovation, updates, and insights. Follow Horse Powertrain to stay connected.","Engines and Power Transmission Equipment Manufacturing","5,001-10,000 employees","Privately Held","Alcobendas, Community of Madrid","Spain","horse.cars","https://www.linkedin.com/company/horsepowertrain"
,"Gamak Makina Sanayi A.Ş","Turkish industry needs for production. In a short period, we started the production of the first electric motor originating in Turkey. We created an alternative to eliminate the problems related to the cost, spare parts supply, and prices caused by the use of imported motors. We were appreciated for our quality and continued to grow and develop day by day.

We have become one of the most important electric motor manufacturers not only in Turkey but also in the world. With our electric motors produced in the power range of 0.06 kW - 4000 kW, we have managed to meet almost all motor needs in the industry. We produced almost every part required for the production of electric motors in our facility; we became one of the two manufacturers in the world that can produce its wires. We established one of the leading laboratories in Europe; we made a breakthrough in efficiency.

In our facility, which is one of the few electric motor factories in the world where all production is gathered under a single roof, we can produce 1,500,000 products per year with aluminum and cast iron bodies, 0.06 - 4,000 kW power, 56 - 450 type range. With our competent workforce and state-of-the-art machinery, we are taking our production and quality to the next level every day. In our facility, where we have one of Europe's leading laboratories, we bring our products to standards to meet the highest efficiency classes. As a result of our R&D studies, we produce high-efficiency motors (IE2 - IE3), and we also create the necessary infrastructure for the production of new-generation high-efficiency motors (IE4). Thanks to this potential, we carry out production in a fast, dynamic, and flexible structure. We take part in important projects in our country and the world (especially in public areas) with our ability to produce special engines for demand and need, which other companies in the world cannot operate.","Engines and Power Transmission Equipment Manufacturing","1,001-5,000 employees","Privately Held","İSTANBUL","Turkey","gamak.com","https://www.linkedin.com/company/gamakmakina"
,"maxon","At maxon, we develop and build high precision electric drive systems that are among the best in the world. We combine brushed and brushless DC motors, gearheads, sensors, and controllers into complete mechatronic drive systems. 

Since 1961, businesses from a wide range of industries including medical technology, industrial automation, mobility solutions, and aerospace place their trust in reliable drive systems by maxon. Our drives are perfectly suited for wherever extreme precision and the highest quality standards are necessary and where compromises cannot be tolerated – on Earth, and on Mars..

maxon's engineers are real partners when it comes to finding specific solutions. Prototypes, custom systems, or large series: whatever the requirement, we are happy to be of assistance with our global sales network, nine production sites, and more than 3000 employees.

For more information please visit www.maxongroup.com","Engines and Power Transmission Equipment Manufacturing","1,001-5,000 employees","Privately Held","Sachseln","Switzerland","maxongroup.com","https://www.linkedin.com/company/maxon"
,"Horse Powertrain","Horse Powertrain is a global leader in powertrain solutions.

We are here to move our industry forward, offering many different paths to net zero. As the partner of choice for OEMs, we seek to enable a faster transition through collaboration.

We offer a range of powertrain solutions to meet the needs of almost every customer, in every region, across every fuel type. Whatever your need, with 17 plants and 5 R&D centers on 3 continents, we have the expertise, scale and innovation to deliver.

Horse Powertrain is based in London, with two divisions: Aurobay Technologies and Horse Technologies. We have regional headquarters in Gothenburg, Madrid, Shanghai.","Engines and Power Transmission Equipment Manufacturing","10,001+ employees","Privately Held","London","United Kingdom","horse-powertrain.com","https://www.linkedin.com/company/horse-powertrain"
,"Cummins Latin America","Cummins is a place big enough to coach and develop a global workforce and create the world’s leading clean engine technology. We’re also small enough for you to find your fit and personal passion with a team of dependable, innovative thinkers who are developing their careers within a diverse, inclusive, empowering environment.

Cummins Inc., a global power technology leader, is a corporation of complementary business units that design, engineer, manufacture, distribute and service engines and related technologies, including fuel systems, controls, air handling, filtration, emission solutions, and electrical power generation systems. 

Headquartered in Columbus, Indiana, we employ over 58,000 people worldwide and serve customers in approximately 190 countries and territories through a network of more than 600 company-owned and independent distributor locations and approximately 7,400 dealer locations. Cummins had net income of nearly $1 billion and revenues of $20.4 billion in 2017.","Engines and Power Transmission Equipment Manufacturing","10,001+ employees",,"Brasil, México, Argentina, Colombia, Costa Rica, Honduras","Brazil","cummins.com","https://www.linkedin.com/company/cummins-latin-america"
,"Maco Corporation India Pvt Ltd","Over 50 years, Maco Group of Companies has successfully earned recognition as a world leader in providing world-class engineering equipment and solutions.
In recent decades we have further focused on setting up joint ventures with overseas companies for local manufacturing and services to ensure enhanced support to customers. 

Maco's activities are based on INTEGRITY, which is the foundation upon which all our values are built. 

With the present prevailing concept of total service, we offer technology, plant equipment, EPC service, raw materials, consumables and marketing for finished products covering almost all core sectors of the Indian economy like steel, power, refinery, oil & gas and railways to name a few.","Engines and Power Transmission Equipment Manufacturing","501-1,000 employees","Privately Held","Kolkata, West Bengal","India","macocorporation.com","https://www.linkedin.com/company/macocorporation"
,"Nuvera","Nuvera, a Hyster-Yale Materials Handling, Inc. brand, develops and deploys zero-emission power solutions for a wide range of applications, including on- and off-road vehicles, port equipment, stationary systems, and maritime operations. Its flagship offering, HydroCharge, is a hydrogen-powered AC genset and DC fast charger that provides clean, reliable, and scalable power for EV charging and electric equipment—especially in locations with limited or no grid access. Backed by Hyster-Yale’s global network, Nuvera builds on more than 30 years of hydrogen fuel cell and clean energy innovation to provide solutions designed for real-world demands and to support customers worldwide.","Engines and Power Transmission Equipment Manufacturing","5,001-10,000 employees","Public Company","Billerica, MA","United States","nuvera.com","https://www.linkedin.com/company/nuvera-fuel-cells"
,"AVK-SEG","AVK is the largest and fastest-growing supplier of innovative power solutions for data centres and leading organisations in the UK and Europe. We specialise in all aspects of design, planning, implementation, and continuing maintenance.

At AVK, we power tomorrow’s data. As a team, we are transforming the way the data industry connects to and consumes energy by developing innovative and sustainable solutions across the globe. We work together, across disciplines, to tackle complex, large-scale, and ground-breaking engineering and energy projects. 

With offices and hubs across the UK and Europe, AVK is in a unique position, in terms of operational scale and delivery capability. We deploy leading-edge solutions for our clients, helping them to meet their power demands alongside their sustainability goals.

To learn more, visit www.avk-seg.com and follow us on LinkedIn.","Engines and Power Transmission Equipment Manufacturing","201-500 employees","Privately Held","Maidenhead, Berkshire","United Kingdom","avk-seg.com","https://www.linkedin.com/company/avk-seg-uk-ltd"
,"WAT Motor Company","WAT Motor Company as one of the leading producers of electric motors in Turkey, has been operating with the vision of continuous growth and innovation since 1965. 
As a part of  Koç Holding A.Ş. , Turkey's largest industrial conglomerate and a member of Fortune 500 , WAT Motor keeps on expanding its product range in order to produce products of exceptional quality and an understanding of sustainability, under the brands of WAT and TEE.

WAT Motor Sanayi ve Ticaret A.Ş. ve Koç Topluluğu'na ait tüm iş ilanları kariyer platformumuz Koç Kariyerim'de. 
Kariyer fırsatlarını keşfetmek için linki ziyaret edebilirsiniz:
https://www.kockariyerim.com/companies/f2406818-6c8e-4f80-98fb-2e0981fe5998","Engines and Power Transmission Equipment Manufacturing","1,001-5,000 employees","Privately Held","Kapaklı, Tekirdağ","Turkey","wat.com.tr","https://www.linkedin.com/company/watmotor"
