"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Wiggles.in","Committed to making this world better for pets and community animals, we are on a mission to create a 360 ecosystem for pets, serving all their needs from the day they come home to end of life.

Made with love in India, we work with vets, nutritionists, behaviorists & other experts to create and curate products & services that solve real problems faced by Indian pets & their families. In addition to 60+ products across food & treats, grooming, wellness & pharmaceuticals, we are super proud of Petsville - our state of the art Pet boarding, training, Grooming & Healing facility in Pune.

We partner with pet parents, Welfare workers, NGOs, community groups & local bodies to educate hoomans about animals, in an attempt to learn & educate how hoomans and animals can live better, together.

We have a bunch of initiatives at all times - Wiggles Tribe Meet Ups, Adoption Camps, Wiggles Little Hoomans, Bonded By Blood & many more. Hit us up if you’d like to find out more.

Recognitions:
We are the first in India to acquire a license from the Ministry of Ayush to use cannabis oil for pets, voted as one of the top 500 brands in India by Yourstory, the first petcare brand in APAC to be invited to join the World Pet Association, awarded Pet Retail-er of the Year 2022 and certified by International Boarding & Pet Services Association.","Pet Services","201-500 employees","Privately Held","Pune, Maharashtra","India","wiggles.in","https://www.linkedin.com/company/wiggles-india"
,"Kinship","Kinship—a division of Mars Petcare—is a platform of brands building the future of pet care, combining insights, products, and services to help people be the best pet parents they can be.  

Interested in learning more? Connect with us.","Pet Services","51-200 employees","Privately Held","New York , NY","United States","kinship.co","https://www.linkedin.com/company/kinshipco"
,"Tuft & Paw","At Tuft & Paw, we're dedicated to helping cat parents navigate their quirks.

Nothing makes us happier than making cats happy. Literally nothing. That's why we spend every waking moment creating thoughtfully designed, premium products that actually live up to their impossibly high standards.","Pet Services","11-50 employees","Privately Held","Vancouver, BC","Canada","tuftandpaw.com","https://www.linkedin.com/company/tuft-paw"
,"Dogtopia","Dogtopia is one of the early pioneers of dog daycare and leaders in the pet services industry. With more than 270+ stores open and 350+ in development, Dogtopia is the largest provider of specialty dog daycare in the US. We are a full-service dog daycare with boarding, training, and spa services that's been showing dogs the love since 2002. Under new ownership since 2015, Dogtopia is now the fastest-growing franchise in the $144B Pet Industry. Dogtopians are committed to chasing the highest standards of safety and professionalism while making it the ""Most Exciting Day Ever"" for your furry family members.","Pet Services","51-200 employees","Privately Held","Phoenix, AZ","United States","dogtopia.com","https://www.linkedin.com/company/dogtopia"
,"Almo Nature Benefit S.p.A.","Almo Nature Benefit SpA has been active since 2000, first in Italy and then worldwide, in the dog and cat food market. Since its inception, it has stood out for innovation, using ingredients that are originally fit for human consumption (HFC - Human Food Chain). This commitment to high quality and attention to raw materials has contributed to positioning Almo Nature as a point of reference in innovation in the Pet Food sector. The Capellino Foundation was born in 2018, with the aim of preserving biodiversity and fighting climate change: thanks to the irreversible public act, the Capellino brothers donate Almo Nature to the Foundation of the same name. This symbolic gesture represents a total embrace of the company philosophy, definitively renouncing 100% of ownership and voting rights. The ""Reintegration Economy"" is born, a revolutionary economic model, which involves the reintegration of the added value created by economic activities in nature, rather than in the growth of individual wealth. Today Almo Nature is an activist brand 100% owned by the Capellino Foundation. Those who purchase Almo Nature pet food support the activism generated by the Reintegration Economy and contribute to the protection of the Planet.","Pet Services","51-200 employees","Privately Held","Genova","Italy","almonature.com","https://www.linkedin.com/company/almo-nature-benefit"
,"PetPlate","PetPlate was founded in 2016 by Renaldo Webb when he decided it was time to feed his first dog, Winston, real food, so he started cooking for him and soon discovered a tremendous need for PetPlate. The business has grown exponentially since launching nationally in 2017. PetPlate is widely respected as a pioneer in the fresh-cooked pet food category, one of the fastest growing categories in the $35 billion pet food industry. PetPlate's relentless pursuit of excellence in the overall customer experience sets it apart. We have built a small but nimble team dedicated to providing dogs everywhere with a fresh-cooked diet that is healthy, delicious, and ready to eat. The meals are custom-portioned to meet the individual caloric needs of each and every pup, and the meals are delivered right to the pet parent’s door for ease, convenience, and peace of mind.

As a fast-growing DTC brand, we are looking for colleagues who love dogs and want to collaborate with other dog lovers to deliver the best possible experience for our furry friends and their pet parents. We are hiring at all levels and in all areas (marketing, ops, tech, finance). If you don't see a job matching your background, please send a note to petcare@petplate.com, and we'll reach out to learn more about each other.","Pet Services","51-200 employees","Privately Held","New York, NY","United States","petplate.com","https://www.linkedin.com/company/petplate"
,"Docg.","A Docg nasceu com o propósito de fazer com que todos os pets vivam mais e melhor.
Cada produto é pensado para inovar e expressar ainda mais a paixão que todos os colaboradores têm pelos pets.
Além disso, a Docg possui mais de 100 franquias espalhadas por por todo o território nacional, oferecendo produtos e serviços autênticos.
Assim como a empresa irmã DrogaVet, que atua no mercado veterinário a mais de 15 anos, a Docg nasceu para mudar as vidas das pessoas e dos animais.
Por isso, promover a saúde, beleza e segurança para os animais, com qualidade e originalidade, bem como mudar a vida das pessoas através do empreendedorismo são os valores da empresa
Vem fazer parte do Docg, para levar a missão dos pets viverem mais e melhor a mais animais e ajudar pessoas a mudarem sua vida profissional.

#docg  #docgauthentic #docgauthenticpet  #petshop #empreendedorismo
#mercadopet #pequenosnegocios","Pet Services","51-200 employees","Privately Held","Curitiba, Paraná","Brazil","docg.com.br","https://www.linkedin.com/company/docg."
,"Univet","Univet, ce sont plus de 1200 collaborateurs, vétérinaires et auxiliaires de soins vétérinaires, unis au service d’une même cause : le droit de chaque animal à accéder à des soins d’excellence.  

Chaque jour, les 180 cliniques Univet, réparties en France et en Belgique conjuguent leurs compétences dans un esprit de bienveillance pour soigner les animaux qui leur sont confiés.

Plus qu’un réseau de cliniques, Univet réunit des femmes et des hommes qui ont fait le choix de croire en un modèle vétérinaire alternatif, mettant le progrès et la considération, qu’elle soit humaine ou animale, au cœur de leur mission et de leur offre de soins.","Pet Services","1,001-5,000 employees","Partnership","MOUGINS","France","univet.fr","https://www.linkedin.com/company/sasunivet"
,"Groombuggy","Groombuggy is the premier mobile dog grooming company in the San Francisco Bay Area.

We are growing rapidly. We are taking a Silicon Valley tech startup approach to the mobile dog grooming industry. We are proud of the work we do to create great jobs for dog groomers and help pet owners care for their loved ones.","Pet Services","51-200 employees","Privately Held","San Francisco","United States","groombuggy.com","https://www.linkedin.com/company/groombuggy"
,"Pure Pet Food","Pure co-founders and childhood friends Mat and Dan set out with an ambition to create the healthiest, convenience pet food on the market.

Since then it’s been our mission to inspire a healthier world for pets.

All our food is made in own human grade food facility in Yorkshire, using only the very best fresh and raw ingredients, which are gently air-dried to lock in their goodness. Owners simply add water to create a healthy, natural meal for your dog.

Made with the same quality ingredients you'd find in your own food, containing no grains, meat derivatives or any other nasties. We’ve had thousands of success stories that mention such improvements as glossier coats, happier tummies and emptier bowls.","Pet Services","51-200 employees","Privately Held","Cleckheaton, West Yorkshire","United Kingdom","purepetfood.com","https://www.linkedin.com/company/pure-pet-food"
