"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Manutenção em Ação","| A Gestão de Ativos por quem já sujou (e muito) a mão de graxa
| Braço de Capacitação da Melvin @oi_melvin","Commercial and Industrial Machinery Maintenance","11-50 employees","Privately Held","Lagoa Santa, Minas Gerais","Brazil","manutencaoemacao.com","https://www.linkedin.com/company/manutencaoemmacao"
,"Predictiva21","Predictiva21 es el órgano informativo en formato digital para difundir y publicar las actividades, hechos y resultados relacionados con la Ingeniería de Mantenimiento, Confiabilidad y Gestión de Activos, los beneficios e innovaciones, nuevos negocios, líderes empresariales, firmas de avanzada y empresas emergentes. 

Caracterizada por un diseño novedoso, fresco y moderno, nuestra revista publica trabajos técnicos de alta factura, elaborados por autores de diversos países. Igualmente, en Predictiva21 desarrollamos una profunda labor periodística y de investigación para difundir y proyectar las actividades más importantes del ramo, razón por la cual brindamos cobertura a los diversos eventos que sobre mantenimiento tienen lugar en nuestra área de influencia, además de realizar entrevistas a personalidades de renombre en el área.","Commercial and Industrial Machinery Maintenance","11-50 employees","Privately Held","Querétaro","Mexico","predictiva21.com","https://www.linkedin.com/company/predictiva21"
,"HIVIMAR","We are the best option in the commercialization of bearings and power transmission elements in the country. We give our clients a comprehensive solution at the right price, at the right time, seeking mutual development in a profitable and sustainable manner.

Always on the move looking to the future, we seek to be an ally for our clients in the Industrial, Automotive and Agricultural sectors, providing products and solutions that impact their business.

We sell automotive and industrial spare parts","Commercial and Industrial Machinery Maintenance","201-500 employees","Privately Held","Guayaquil, Guayas","Ecuador","hivimar.com","https://www.linkedin.com/company/hivimar"
,"Bilfinger België & Nederland","Bilfinger is de toonaangevende partner in België en Nederland voor innovatieve industriële dienstverlening. Met bijna 5.000 vakmensen bieden we een breed scala aan oplossingen om de efficiëntie, veiligheid en duurzaamheid van uw processen te verbeteren.

Onze expertise beslaat de volledige levenscyclus van uw assets: van engineering en advies tot bouw, onderhoud en optimalisatie. Of het nu gaat om piping & mechanical, electrical, instrumentation & control (EI&C), of gespecialiseerde diensten zoals isolatie, steigerbouw en painting (ISP), wij staan voor klaar met op maat gemaakte oplossingen.

Bilfinger streeft ernaar de nummer één partner te zijn voor het verhogen van de efficiëntie en duurzaamheid van bedrijfsprocessen. We werken nauw samen met onze klanten om innovatieve en toekomstbestendige oplossingen te leveren, met als doel duurzame waarde te creëren.

Dankzij onze lokale aanwezigheid, uitgebreid dienstenportfolio en diepgaande kennis van de markt kunnen we snel inspelen op uw specifieke behoeften en bieden we betrouwbare ondersteuning, ongeacht de complexiteit van een project. Samen zetten we de volgende stap naar een duurzame toekomst.","Commercial and Industrial Machinery Maintenance","1,001-5,000 employees","Public Company","Rotterdam, Zuid-Holland","Netherlands","bilfinger.com","https://www.linkedin.com/company/bilfinger-belgie-nederland"
,"Advanced Technology Services (ATS)","Advanced Technology Services, Inc. (ATS) is a single source for industrial maintenance, technology and parts, offering a complete solution for support, training, monitoring and management.

Founded in 1985, we grew from an idea on a napkin to the technology-driven leader we are today through innovation, a proven maintenance framework and a technically skilled team.

With decades of experience in industrial contract maintenance, we’ve worked with hundreds of manufacturers across a variety of industries in the United States, Mexico and the United Kingdom. This broad exposure has equipped us with expertise across various types of production equipment and the adaptability to flex our skillsets for any industry.

For product & services inquiries contact, 855-834-7604 or info@advancedtech.com.","Commercial and Industrial Machinery Maintenance","1,001-5,000 employees","Privately Held","Peoria, Illinois","United States","advancedtech.com","https://www.linkedin.com/company/advanced-technology-services"
,"Sankyu S.A","Fundada em 1972, a SANKYU S.A. é uma empresa do grupo SANKYU INC., multinacional de origem japonesa.  No Brasil, a Sankyu atua principalmente em empresas siderúrgicas, além de prestar serviços em vários outros segmentos industriais, tais como obras de montagem eletromecânica em geral e manutenção de equipamentos industriais, apoio operacional e serviços de logística interna.
Com matriz localizada na capital mineira, Belo Horizonte, a SANKYU S.A. possui as seguintes unidades:

Ipatinga – MG
João Monlevade – MG
Volta Redonda – RJ
Santos – SP
Vitória – ES
Timóteo – MG","Commercial and Industrial Machinery Maintenance","1,001-5,000 employees","Privately Held","Belo Horizonte, MG","Brazil","sankyu.com.br","https://www.linkedin.com/company/sankyu-s.a"
,"Abecom Rolamentos e Produtos de Borracha Oficial","Desde 1963, presente no mercado nacional, distribuindo soluções para manutenção industrial, visando garantir eficiência em todo equipamento rotativo.

Dispomos de um estoque amplo e diversificado, com mais de 40.000 itens para pronto atendimento. Produtos de alta performance, com certificado de qualidade ISO 9001:08, emitido pela Lloyds Register e certificado de distribuição SKF CMP.

Frota monitorada para entregas imediatas em todo território nacional.

Centro de Treinamento completo com produtos de demonstração, engenheiros treinados pelos fabricantes SKF e Continental e cursos programados durante todo o ano (visite nosso site: abecom.com.br).
Possuímos escritórios regionais em: São Paulo, Campinas, Curitiba, Belo Horizonte e acabamos de inaugurar uma nova unidade em Alumínio(SP). 

Entre em contato conosco para uma vista!
Tel.: 11 2797-1322  |  vendas@abecom.com.br","Commercial and Industrial Machinery Maintenance","201-500 employees","Privately Held","São Paulo, SP","Brazil","abecom.com.br","https://www.linkedin.com/company/abecom-rolamentos-e-produtos-de-borracha"
,"Plangecon","Plangecon Serviços Industriais is a staffing and recruiting company based out of Rua A, n° 119, Parauapebas, Pará, Brazil.","Commercial and Industrial Machinery Maintenance","1,001-5,000 employees","Privately Held","Parauapebas, Pará","Brazil","plangecon.com.br","https://www.linkedin.com/company/plangecon-manutencao-e-servicos"
,"Quant Service","We are Quant – your maintenance partner.

For many industrial companies, maintenance has traditionally been about fixing machines when they fail. At Quant, we take a more proactive approach. We are your reliable maintenance partner, focused on keeping your equipment running efficiently.

Our flexible maintenance solutions combine the expertise of our professionals with proven processes and advanced digital tools. This approach ensures smoother production, minimizes downtime, and optimizes efficiency. By predicting failures before they occur, we help extend the life of your equipment and provide maintenance that aligns with your production goals in a sustainable, cost-effective manner.

For more than 35 years, Quant has been a market leader in this field, maintaining and improving the safety, production and equipment performance for over 400 facilities worldwide. Quant employs 2,200 people and operates in 12 counties across Europe, Middle East, and the Americas.

We know that effective maintenance is vital for long-term success. Let’s partner to unlock the full potential of your operations!","Commercial and Industrial Machinery Maintenance","1,001-5,000 employees","Privately Held","Stockholm, Stockholm County","Sweden","quantservice.com","https://www.linkedin.com/company/quant-service"
,"Vaaman Engineers India Limited","Established in 1990, Vaaman Engineers provides comprehensive industrial services Pan-India to a wide range of industry sectors – Steel Plants, Zinc and Aluminium Smelters, Cast House including Ingot Casting & Wire Rod Mills, Power Transmission Conductors, Transmission & Telecom Tower Fabrication Industry, Specialised Port Facilities, Bulk Material Handling in Mines and Plants.

Our outreach has spread across India with suite of services including Operation & Maintenance, Shut Down Maintenance, Bulk Material Handling from Zinc Ore, Coal and Alumina Handling at Ports, Finished Goods Handling, Material Handling Equipment Hiring, Project services such as Fabrication & Erection of Structures, Piping, Pipe Racks etc., Equipment Erection and Commission.

Vaaman has a talent pool of 3500+ employees equipped with best-in-class tools and tackles & equipment and is outfitted with well-developed IT infrastructure.

The company has shown robust revenue growth and has maintained CAGR above 20% for the past 5 years.","Commercial and Industrial Machinery Maintenance","10,001+ employees","Privately Held","Mumbai","India","vaaman.in","https://www.linkedin.com/company/vaaman-engineers-india-limited"
