"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"FMC Corporation","At FMC, our employees are guided by our purpose: Innovation for agriculture, Solutions for the planet. We are passionate about the power of science to solve agriculture's biggest challenges and committed to supporting farmers around the world with sustainable technologies that protect their crops and help feed the world’s growing population.
 
For more than a century, FMC has successfully delivered some of the industry’s most advanced, innovative solutions that protect farmers’ crops from destructive pests and disease, while also protecting the environment. We are committed to fulfilling our mission of discovering new herbicide, insecticide and fungicide active ingredients, product formulations and pioneering technologies that are consistently better for the planet.

All trademarks, service marks and logos are the property of their respective owners in the U.S. and/or other countries.

Always read and follow all label directions, precautions, restrictions for use.","Agricultural Chemical Manufacturing","5,001-10,000 employees","Public Company","Philadelphia , Pennsylvania","United States","fmc.com","https://www.linkedin.com/company/fmc-corporation"
,"Nutrien","We are a leading global provider of crop inputs and services, operating a world-class network of production, distribution and ag retail facilities that positions us to efficiently serve the needs of farmers. We focus on creating long-term value by prioritizing investments that strengthen the advantages of our business across the ag value chain and by maintaining access to the resources and relationships with stakeholders needed to achieve our goals.
 
We produce and distribute about 27 million tonnes of upstream potash, nitrogen, and phosphate products for global agricultural, industrial, and feed customers. Our downstream agriculture retail network services over 600,000 customer accounts worldwide.
 
Our strong and trusted relationship with farmers is at the heart of our business. In spending our days with farmers, we plan with them, walk their fields and explore ways to help them succeed. We have a comprehensive portfolio of crop inputs and services, spanning the ag value chain, and we are working together with our customers to improve on-farm productivity to meet the needs of a growing global population.

Learn more at www.nutrien.com

View our Social Media Disclaimer: https://www.nutrien.com/legal-notice#social","Agricultural Chemical Manufacturing","10,001+ employees","Public Company","Saskatoon, Saskatchewan","Canada","nutrien.com","https://www.linkedin.com/company/nutrien"
,"EuroChem","We are EuroChem. We have supplied the world’s farmers with nutrients for over two decades, and today, EuroChem helps more than 250+ million people, including in developing communities, achieve food abundance. Our range of mineral-based products provide greater yields, helping growers to put more food on the table around the world, in a more sustainable way.","Agricultural Chemical Manufacturing","10,001+ employees","Privately Held","Zug","Switzerland","eurochemgroup.com","https://www.linkedin.com/company/eurochem"
,"UPL Corp | Agri Solutions","UPL Corporation Ltd. (UPL Corp) is a leading global crop protection and biological solutions company defining the future through sustainable agriculture and a grower-first mindset. With a robust portfolio of holistic solutions, UPL Corp aims to create shared growth and prosperity for farming communities, agriculture, and our planet. As the largest of UPL Group’s pureplay platforms, UPL Corp contributes to more than $5bn in annual revenue and is a leader in fostering collaboration through OpenAg to develop advanced technologies for crop health and productivity.","Agricultural Chemical Manufacturing","5,001-10,000 employees","Public Company","mumbai",,"uplcorp.com","https://www.linkedin.com/company/upl-corp"
,"JU Agri Sciences Pvt. Ltd.","At the turn of 21st century, JU Agri Sciences was conceived as a key enabler in Indian farmers pursuit of enhancing farm productivity and to produce more with limited resources sustainably. 

In a journey of mere two decades, as part of The Jhaver Group, JU Agri Sciences has emerged as one of the leading player & fastest growing organizations in the Indian agricultural services sector. Presently, with a footprint spanning across all major states of India, JU Agri Sciences serves a vast network comprising over 7000 trade partners and 30000 retailers nationwide. With an extensive portfolio of 130+ products, ranging from Biological Fertilizers, Biological Pesticides, Insecticides, Fungicides, Herbicides and Bio-stimulants, JU Agri Sciences prioritizes extensive research and development efforts, tailored to meet the diverse needs of crops cultivated across the country. Notably, the company has been instrumental in pioneering the biological fertilizers industry in India. With a team of more than 1000+ trained people on ground offering regular technical and advisory services, the company has deep experience in brand building and many of its brands are amongst the most trusted names in the Indian farming community today. 

At JU Agri Sciences, the phrase ‘Mitti Muskurayegi’ is not merely our tagline but also the philosophy we live by every single day. As the Indian Agriculture stands on the cusp of imminent transformation, JU Agri Sciences stands together with the farmers of the country in ensuring food security of the nation.","Agricultural Chemical Manufacturing","501-1,000 employees","Privately Held","Noida, Gautam Buddha Nagar, Uttar Pradesh","India","juagrisciences.com","https://www.linkedin.com/company/ju-agri-sciences-pvt-ltd"
,"Jubaili Agrotec","Jubaili Agrotec was established in 2002 in Nigeria, which acquired since then a leading position in the market. Our dedication to providing high-quality agricultural products and sustainable solutions has helped the company to grow its roots and cover now 6 countries (Nigeria, Ghana, Uganda, Tanzania, Kenya and Ivory Coast ) and more than 16 markets. 

Our vision is To increase our value as well as our portfolio of diversified brands in order to always be recognized as the FARMER’S FIRST CHOICE. 

Driven by our commitment to providing African farmers with both the necessary products and knowledge to grow, Jubaili Agrotec is on a mission to achieve a sustainable future for all. Forward-thinking, exceptional services, and advanced solutions are the core elements of our work. Over the years, Jubaili Agrotec has built an innovative, entrepreneurial environment that generates original ideas for agriculture, for it is the key to sustainable global growth. Our mission statement is “Let’s grow together”, growing hand in hand with our stakeholders.","Agricultural Chemical Manufacturing","1,001-5,000 employees","Privately Held","Dubai","United Arab Emirates","jubailiagrotec.com","https://www.linkedin.com/company/jubaili-agrotec"
,"Parijat Industries (India) Ltd.","Parijat Industries (India) Limited [formerly Parijat Industries (India) Private Limited] is a fully integrated, technical to final formulations manufacturing, agrochemical company with advanced R&D Infrastructure. Starting out primarily as an export house from India, Parijat Industries today has its own standing both in the domestic and international markets. This achievement is the fruit of the hard work and labour of more than 1000 professionals working closely together across 70 countries worldwide. With its Head office in India and subsidiaries in Russia, Togo, Tanzania, United Kingdom, UAE, Canada, Hong Kong, and Mali, Parijat is available to its worldwide customers across all time zones.","Agricultural Chemical Manufacturing","501-1,000 employees","Privately Held","Delhi, Delhi","India","parijatagrochemicals.com","https://www.linkedin.com/company/parijat-industries-india-ltd"
,"Best Agrolife Limited","We are committed to brace agriculture with its extremely productive and progressive vision and mission to make every farmer prosperous. We envision becoming a global player in agrochemicals and emerge as an icon for growth, technology, and innovation.","Agricultural Chemical Manufacturing","1,001-5,000 employees","Public Company","New Delhi, New Delhi","India","bestagrolife.com","https://www.linkedin.com/company/best-agrolife-limited"
,"Wilbur-Ellis","Family owned since 1921, Wilbur-Ellis is a leading international marketer and distributor of agricultural products, specialty chemicals, and ingredients. 

Since the beginning, Wilbur-Ellis has prided itself on looking forward. This relentless vision helped us grow into a multibillion-dollar business with employees and partners all over the world. It’s this tradition of always staying ahead that will carry us into the future.

Our 2,400 employees across North America are united by our shared values and driven by our passion for innovation. We know Wilbur-Ellis thrives when our employees do, which is why many have been with us for decades and others join to build their careers with us.

At Wilbur-Ellis, our purpose is to provide the essentials for the world to thrive. To achieve this, we believe diversity and inclusion are an integral part of who we are as a company, now and into the future. We know that a diverse workforce leads to better insights, better decisions, and better products and services. 

Our Portfolio:
- Agribusiness: Our approach to crop protection, nutrition and seed development combines years of expertise and service with the latest technology wherever you are, whatever your needs.
- Nachurs: Built on quality, integrity and innovation, NAS is a 70-year-old specialty chemical business that pioneered the low salt liquid starter fertilizer industry by introducing the first true solution liquid NPK fertilizer.
- Cavallo Ventures: We fund and champion progressive technology and daring entrepreneurs that support our three business divisions and beyond.

Learn more and explore a world of opportunity.","Agricultural Chemical Manufacturing","1,001-5,000 employees","Privately Held","Denver, Colorado","United States","wilburellis.com","https://www.linkedin.com/company/wilbur-ellis-company"
,"Parijat Industries India Pvt. Ltd.","Parijat Industries (India) Private Limited is a fully integrated, technical to final formulations manufacturing, agrochemical company with advanced R&D Infrastructure. Starting out primarily as an export house from India, Parijat Industries today has its own standing both in the domestic and international markets. This achievement is the fruit of the hard work and labour of more than 1000 professionals working closely together across 70 countries worldwide. With its Head office in India and subsidiaries in Russia, Togo, Tanzania, United Kingdom, UAE, Canada, Hong Kong, and Mali, Parijat is available to its worldwide customers across all time zones.","Agricultural Chemical Manufacturing","501-1,000 employees","Privately Held","Delhi, Delhi","India","parijatagrochemicals.com","https://www.linkedin.com/company/parijat-industries-india-pvt-ltd"
