"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Honeywell","Honeywell is a Fortune 500 company that invents and manufactures technologies to address tough challenges linked to global macrotrends such as safety, security, and energy. With approximately 110,000 employees worldwide, including more than 19,000 engineers and scientists, we have an unrelenting focus on quality, delivery, value, and technology in everything we make and do.

For additional information on how Honeywell processes your personal information please visit https://www.honeywell.com/privacy-statement.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Charlotte, North Carolina","United States","honeywell.com","https://www.linkedin.com/company/honeywell"
,"Eaton","Eaton is an intelligent power management company dedicated to improving the quality of life and protecting the environment for people everywhere. We are guided by our commitment to do business right, to operate sustainably and to help our customers manage power ─ today and well into the future. By capitalizing on the global growth trends of electrification and digitalization, we’re accelerating the planet’s transition to renewable energy and helping to solve the world’s most urgent power management challenges.

Eaton is an Equal Opportunity Employer. Eaton is committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant's race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, marital status, genetic information, protected veteran status, or any other status protected by law.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Dublin, Ireland","Ireland","eaton.com","https://www.linkedin.com/company/eaton"
,"WEG","Founded in 1961, WEG is a global electro-electronic equipment company, operating in the capital goods sector a with focus on electric motors, gearboxes and drives and controls, energy generation and transformers, electrification products and systems, automation and digitalization. WEG stands out in innovation by constantly developing solutions to meet the major trends in energy efficiency, renewable energy and electric mobility. With manufacturing units in 15 countries and present in more than 135 countries, the company has more than 47,000 employees worldwide. WEG’s net revenue reached R$ 38.0 billion in 2024, 57.0% from external markets.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Jaraguá do Sul, Santa Catarina","Brazil","weg.net","https://www.linkedin.com/company/weg"
,"Havells India Ltd","Havells India Limited is a leading FMEG company with a strong global presence, manufacturing a wide range of electrical products for residential, commercial, and industrial use. Key brands include Havells, Havells Studio, Lloyd, Havells Crabtree, Standard Electricals and REO.

With a focus on innovation and customer satisfaction, Havells boasts a robust distribution network, exclusive brand showrooms, and a strong emphasis on service. The company prioritizes sustainability, with a focus on renewable energy, waste reduction, and environmental conservation.

Havells is committed to social responsibility, with initiatives in education, sanitation, and community development. Recognized for its sustainability efforts, Havells has been ranked in the Dow Jones Sustainability Index and maintains an 'A' rating in the MSCI ESG Rating.

Learn more about Havells on the following channels: 

Facebook I Youtube I Twitter I Instagram I","Appliances, Electrical, and Electronics Manufacturing","5,001-10,000 employees","Public Company","Noida, UP","India","havells.com","https://www.linkedin.com/company/havells-india-ltd"
,"Flex","Flex (Reg. No. 199002645H) is the global manufacturing partner of choice that helps leading brands design, build, and manage products that improve the world. For more information, visit flex.com.

We love to hear your thoughts, comments and ideas so feel free to like, share and comment away. Any question or opinion is good to go as long as it is respectful and falls within the scope of this page. Derogatory comments, spam and unsolicited selling are not welcome here and such posts will be removed.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Austin, Texas","United States","flex.com","https://www.linkedin.com/company/flexintl"
,"ELSEWEDY ELECTRIC","A global leader that has evolved from a local manufacturer of electrical products into an integrated infrastructure solutions provider, with over 19,000 employees and recorded revenues of more than USD 5.13 billion in 2024.

We operate in five key business sectors: Wire, Cable & Accessories, Electrical Products, Engineering & Construction, Digital Solutions, and Infrastructure Investments.

With a strong presence in 19 different countries, 34 production facilities are spread across African and Asian countries, including Egypt, Algeria, KSA, Qatar, Indonesia, Pakistan, and Tanzania. We export a wide range of high-end products to over 110 countries worldwide.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Privately Held","New Cairo, Cairo","Egypt","elsewedyelectric.com","https://www.linkedin.com/company/elsewedyelectric"
,"TE Connectivity","TE Connectivity plc (NYSE: TEL) is a global industrial technology leader creating a safer, sustainable, productive and connected future. As a trusted innovation partner, our broad range of connectivity and sensor solutions enable the distribution of power, signal and data to advance next-generation transportation, energy networks, automated factories, data centers enabling artificial intelligence and more. Our more than 90,000 employees, including 10,000 engineers, work alongside customers in approximately 130 countries. In a world that is racing ahead, TE ensures that EVERY CONNECTION COUNTS.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Galway","Ireland","te.com","https://www.linkedin.com/company/te-connectivity"
,"alfanar","alfanar builds efficient energy systems & solutions of the present and sets up infrastructures for a brighter future.
We assist utility sector partners & customers in transforming cities into sustainable, habitable, and inclusive Smart Cities by harnessing renewable energy resources from wind, solar, and waste heat energy. Promoting the transition to a sustainable eco-conscious future.
Using world-class technologies, we develop unrivaled quality electrical solutions & products from our manufacturing facilities, to solve the world’s major energy challenges and make the world a better viable place.
Diligence, Efficiency, and Innovation are the key criteria our teams adopt in order to continuously provide effective solutions. We’re constantly equipping our teams with the tools they need to expand their horizons and reach higher grounds.
Being in an ever-changing environment with a crucial impact on their surroundings, our employees are nurtured to become keen thinkers with highly refined skills and a consistent outlook on the future, working together on finding the next big innovation.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Privately Held","Riyadh, Riyadh","Saudi Arabia","alfanar.com","https://www.linkedin.com/company/alfanar"
,"Jabil","At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With over 50 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processes that minimize environmental impact and foster vibrant and diverse communities around the globe.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","St Petersburg, Florida","United States","jabil.com","https://www.linkedin.com/company/jabil"
,"Signify","Signify (Euronext: LIGHT Signify is the world leader in lighting for professionals and consumers. We unlock the extraordinary potential of light for brighter lives and a better world. Our global portfolio of brands deliver advanced products, connected systems and services, designed to enhance well-being and performance, to elevate experiences and advance sustainability. In 2024, we had sales of EUR 6.1 billion, approximately 29,000 employees and a presence in over 70 countries. We are featured in the Dow Jones Sustainability World Index and hold the EcoVadis Platinum rating. News and updates from Signify can be found in the Newsroom, on LinkedIn and Instagram. Information for investors is located on the Investor Relations page.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Eindhoven, North Brabant","Netherlands","signify.com","https://www.linkedin.com/company/signifycompany"
,"Vertiv","Vertiv is a global leader in critical digital infrastructure for applications in data centers, communication networks, and commercial and industrial environments.

As businesses, industries, and communities become more connected, we pioneer and deliver end-to-end power and cooling technologies to help our customers stay resilient, optimized, and future-ready.

With our industry-leading innovative technologies and global services network, we are fueling the revolution of the digital world - keeping technology ecosystems running efficiently and without interruption.

Vertiv is supercharging data’s potential; accelerating the pace of technology, raising the bar for accelerated compute and redefining the limits of densification.

The world depends on data we power and cool","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Columbus, OH","United States","vertiv.com","https://www.linkedin.com/company/vertiv"
,"Dyson","Dyson solves real-world problems and creates better products through the application of engineering, science, design and creativity. It is a family-owned, global technology company, founded by Sir James Dyson who remains at the helm alongside his son Jake. 

Since inventing the first cyclonic bagless vacuum cleaner, the DC01, Dyson has consistently invested in research and development to improve its products and technologies radically. Dyson offers products across a growing range of areas: floorcare, air purification, robotics, haircare including formulations, lighting, hand drying, and most recently audio. Dyson continues to expand into new areas.

Today, Dyson sells products in more than 80 markets, has 450 Dyson stores worldwide and is available in all major technology and beauty retailers. Dyson has global headquarters in Singapore and major technology campuses in Singapore, the UK, Malaysia, and the Philippines. Its global team of engineers, scientists and software developers are focused on developing technology-enabled products which work better and which people love to use. Key areas of focus have included high-speed electric digital motors, sensing and vision systems, robotics, machine learning and aerodynamics. 

Beyond products, to encourage an inventive future, Dyson is also inspiring the next generation of engineers and inventors through the Dyson Institute of Engineering and Technology, the James Dyson Foundation and the James Dyson Award.  

The Dyson family applies its problem-solving approach in other fields, and established Dyson Farming in 2012. It is one of the largest farming businesses in the UK, extending to 36,000 acres across Lincolnshire, Oxfordshire, Gloucestershire and Somerset. It is a family-owned enterprise unlike any other, focussed on long-term investment in British farming and the countryside to grow tasty and nutritious food.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Privately Held","Singapore","Singapore","dyson.com","https://www.linkedin.com/company/dyson"
,"Midea Group","Midea Group aspires to the vision of “Bringing Great Innovations to Life”, upholding the Founders’ philosophy of creating a better life through technology. Midea Group has evolved into a global leading technology company specializing in six major businesses including Smart Home Business, Industrial Technologies, Building Technologies, Robotics &Automation, Midea Healthcare and Annto Logistics.

Over the past ten years, we have invested nearly 100 billion yuan in R&D and developed a global network spanning 38 R&D centers and 44 major production sites across the world. At present, Midea Group’s products and services serve more than 500 million customers in over 200 countries and regions, our brand portfolio contains Little Swan, Toshiba, WAHIN, COLMO, Clivet, Eureka, KUKA, GMCC, Welling, LINVOL, and Wandong. 

With nearly 200,000 employees globally and more than 40,000 based internationally, Midea Group ranks 277th on the Global Fortune 500 in 2024, marking the 9th consecutive year on the list. The company holds A/A2/A credit ratings from S&P, Moody's, and Fitch respectively. 

Midea Group places a strong focus on technology leadership, driving innovation across global markets. Midea adheres to the new strategic axis of ""Technology Leadership, User Direct Access, Digital Intelligence Driven, and Global Breakthroughs,"" we advance our leadership in Smart Home and Smart Manufacturing while fostering talent. By providing growth opportunities in a dynamic, global environment, we empower our teams to shape the future of innovation.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Foshan, Guangdong","China","midea-group.com","https://www.linkedin.com/company/mideagroup"
,"Bajaj Electricals Ltd","Bajaj Electricals Limited is a globally renowned Indian Consumer Appliances and Lighting Solutions company. Headquartered in Mumbai with a turnover of INR 4,641 crores (FY 24-25), it is a part of the $100 bn+ multinational conglomerate Bajaj Group founded by Shri Jamnalal Bajaj. The Company was established in 1938 and has stood the test for almost 85 years. It continues to enjoy consumer trust across various sectors it operates in and remains at the forefront of developing modern, technologically superior and aesthetic products and solutions.
Bajaj Electricals’ business portfolio spans Consumer Products (Appliances, Fans, Cookware) and Lighting Solutions (Consumer and Professional Lighting). They are a front runner in the industry with their key brand offerings comprising BAJAJ, Morphy Richards and others. They have an expansive network of 18 branch offices, 660+ distributors, and ~ 2 lakh retail outlets across India, combined with over 620 consumer care centres reaching 19,000 pin codes, fortifying their dominant presence in the consumer products sector. Under their Lighting Solutions business, they offer a wide range of innovative LED lamps and fixtures, including panels and battens, to consumers and are known for their prowess in street lighting, sports lighting, industrial commercial and infrastructural lighting, and undertaking specialised illumination projects on a turnkey basis amongst other solutions. The company has also forayed into a range of switchgears. 
The Company's commitment to Corporate Social Responsibility (CSR) and philanthropy is channelled through the Bajaj Electricals Foundation. With a clear purpose of ""Driving sustainable change, for a better tomorrow,"" the Foundation strives to create a better planet and a better life for all. The foundation's primary focus lies in Environmental Sustainability, particularly through its Green India projects.","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees","Public Company","Mumbai, Maharashtra","India","bajajelectricals.com","https://www.linkedin.com/company/bajajelectricals"
,"Foxconn","Established in Taiwan in 1974, Hon Hai Technology Group (Foxconn) (2317: Taiwan) is the world’s largest electronics manufacturer. Foxconn is also the leading technological solution provider, and it continuously leverages its expertise in software and hardware to integrate its unique manufacturing systems with emerging technologies. By capitalizing on its expertise in Cloud Computing, Mobile Devices, IoT, Big Data, AI, Smart Networks, and Robotics / Automation, the Group has expanded not only its capabilities into the development of electric vehicles, digital health and robotics, but also three key technologies –AI, semiconductors and new-generation communications technology – which are key to driving its long-term growth strategy and the four core product pillars: Consumer Products, Enterprise Products, Computing Products and Components and Others. In 2021, Hon Hai's annual revenue reached NT$5.99 trillion. 

The company has established R&D and manufacturing centers in other markets around the world including China, India, Japan, Vietnam, Malaysia, Czech Republic, U.S. and more. With a focus on research and development, the company owns more than 54,253 patents. In addition to maximizing value-creation for customers who include many of the world’s leading technology companies, Foxconn is also dedicated to championing environmental sustainability in the manufacturing process and serving as a best-practices model for global enterprises. 
 
The company has received widespread international accolades and recognition since its establishment. The company ranked 22nd on the Fortune Global 500 rankings in 2021 and 25th in the Top 100 Digital Companies in the Forbes ranking of the World’s Best Employers in 2019. Moreover, on Forbes’ World’s Best Employers 2021 rankings,the company ranked 1stin Taiwan. Foxconn is also the only Taiwaneseprivate company awarded for5consecutive yearsof Clarivate Top 100 Global Innovators (2018 - 2022).","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","new taipei city","United States","foxconn.com","https://www.linkedin.com/company/foxconn"
,"Bharat Heavy Electricals Limited","Established in 1964, BHEL is one of India's largest engineering and manufacturing enterprises in the energy and infrastructure sectors, and a leading power equipment manufacturer globally. BHEL serves the core sectors of the economy and provides a comprehensive portfolio of products, systems and services to customers in power, transmission, transportation, renewables, water, defence & aerospace, oil & gas, and industry. BHEL has created value for its stakeholders due to the scale and depth of its operations, rich experience, competent manpower, innovative ecosystem, diverse product-mix and focus on sustainable business solutions. BHEL’s greatest asset- its highly skilled and committed workforce of more than 34,000 employees is the cornerstone of its success.

BHEL’s commitment to nation building reflects in many ways- in its contribution to the country’s installed power generation capacity; bringing the latest state-of-the-art technology to the country; consistent highest expenditure of more than 2.5% of its turnover on R&D and innovation in the Indian engineering segment; pan-India presence; establishment of world-class assets with presence in over 84 country across the globe, and contribution to the society at large through initiatives in skilling youth, health & hygiene, education, cleanliness and environment protection, to name a few.

With a widespread network of 16 manufacturing facilities, 2 repair units, 4 regional offices, 8 service centres, 1 subsidiary, 3 active joint ventures, 15 regional marketing centres, 3 overseas offices and current project execution at more than 150 project sites across India and abroad, BHEL manufactures a wide range of high quality & reliable products adhering to national & international standards. 

BHEL has installed over 1000 utility sets worldwide with its installed base of supplied power generating equipment exceeding 185 GW. BHEL has also commissioned 200+ electric substations & 5 major HVDC projects in the country.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","New Delhi, Delhi","India","bhel.com","https://www.linkedin.com/company/bhel"
,"Toshiba Corporation","For 150 years, Toshiba Group has contributed to a sustainable future by applying innovative technologies to value creation. Today, our business domains center on energy, social infrastructure, electronic devices and digital solutions, all essential supports for modern life and society. Guided by the principles of The Basic Commitment of the Toshiba Group, “Committed to People, Committed to the Future”, Toshiba Group promotes global operations that contribute to the realization of a world where generations to come can live better lives. 

For more information:
Official Website: https://www.global.toshiba/ww/top.html
Latest news: https://www.global.toshiba/ww/news/corporate.html 
Our stories: https://www.toshiba-clip.com/en/ 

[Privacy Policy]
https://www.global.toshiba/ww/privacy/corporate.html 

[Disclaimer]
This statement applies to user interactions with Toshiba Corporation (“Toshiba”) official LinkedIn account. Posts may include links to external websites featuring third-party content. These links are provided for convenience and informational purposes only and do not reflect or represents any opinions of Toshiba or imply endorsement or approval by Toshiba of the products, services, or opinions of the associated organizations or individuals.

Toshiba makes no guarantees for the accuracy or completeness of the content of external websites or any subsequent links. Additionally, Toshiba does not own or control such external websites. Toshiba shall not be responsible for any damages caused to the user of Toshiba’s official account in relation to the content of the external websites. 

Toshiba reserves the right to delete any links to the external websites in Toshiba’s official account with its sole discretion. Toshiba reserves the right to block any party from accessing the account and terminate or discontinue the account without any prior notice and assumes no liability in relation to the block, termination or discontinuation of the account.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees","Public Company","Minato-ku, Tokyo","Japan","global.toshiba","https://www.linkedin.com/company/toshiba-corporation"
