"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Magnum Security","Founded in 2003, Magnum Security provides proactive security services to the UAE's wide range of customers in a variety of industries and customer segments. Our mission is to provide the highest quality of professional security services by delivering operational excellence to exceed our client’s expectation at every curve. We take pride in our extensive knowledge in a range of industry verticals such as commercial and residential real estate, manufacturing, marine, healthcare, retail, education, government, etc. Our motto has always been to serve and safeguard clients, communities and people in today’s world.

To know more about us, visit our website or email us your queries at info@magnumsecurity.ae","Security Guards and Patrol Services","501-1,000 employees","Self Owned","Dubai, UAE","United Arab Emirates","magnumsecurity.ae","https://www.linkedin.com/company/magnumsecurityinuae"
,"First Security Group LLC","“First Security Group LLC was founded in 2004 with the vision of His Highness, the Vice President, Prime Minister, and Ruler of Dubai, Sheikh Mohamed bin Rashid Al Maktoum. Each member of the Board brings 35 to 40 years of official security experience to the table as well as business acumen from a number of prestigious locally-owned groups of companies. The blend of experience, integrity, and quality has made First Security Group LLC the market leader it is today and offers a range of security and risk services to our prestigious clients. On behalf of the First Security Group Board of Directors, we offer our thanks to our partners and clients and wish you continued success in your business ventures.”","Security Guards and Patrol Services","5,001-10,000 employees","Privately Held","Dubai","United Arab Emirates","firstsg.com","https://www.linkedin.com/company/first-security-group"
,"ASTER","A ASTER Sistemas de Segurança vem desde 2004, se notabilizando pelo uso de tecnologia e inovadores processos operacionais na prestação de serviços a condomínios residenciais, comerciais, empresas, shopping centers e bairros residenciais.

Com mais de 20 anos de crescimento sustentado e em busca de uma maior especialização em suas operações, a companhia reorganizou-se recentemente sob duas marcas: ASTERSEG Segurança e ATRSERV Facilities.

Mas, seja no fornecimento de sistemas e soluções de segurança, ou na terceirização de mão-de-obra dos mais diversos perfis profissionais, as crenças e valores da ASTER Sistemas de Segurança continuam os mesmos: buscar continuamente a excelência na capacitação e motivação de nossos colaboradores, a gestão e melhoria de processos e o uso de novas tecnologias, sempre respeitando as questões sociais e ambientais.

Hoje, temos um time formado por cerca de 2.000 funcionários que recebem treinamento e passam por avaliações técnicas e supervisão constante. Prestamos serviços na cidade de São Paulo e algumas cidades do interior como Limeira, Araraquara, Campinas e região, atendendo a centenas de clientes e beneficiando milhares de moradores, colaboradores e usuários.","Security Guards and Patrol Services","1,001-5,000 employees","Privately Held","São Paulo, SP","Brazil","aster.com.br","https://www.linkedin.com/company/aster-servicos-seguranca"
,"Metro One Security","Since 1994, Metro One has grown from a local, guard-based security firm into a nationally recognized leader in retail loss prevention—trusted by 8 of the Top 10 U.S. Retailers.* 

Built on a legacy of reliability, we’ve evolved with retail to stay ahead of emerging threats. From disciplined hiring and training, to breakthrough strategies, we don’t just respond to threats, we prevent loss before it occurs.
All operations are powered by Aurix, our proprietary automation platform, delivering  industry-leading prevention, detection, and reporting.

As a privately owned, living-wage employer, we attract and retain proven officers, for stronger alignment and more consistent operations.

From dock to display, through store openings and seasonal surges, Metro One  integrates with operations, anticipates change, and adapts in real time to protect people, product, and profit.","Security Guards and Patrol Services","5,001-10,000 employees","Privately Held","Staten Island, NY","United States","metroone.com","https://www.linkedin.com/company/metro-one-lpsg"
,"SEGURO SEGURANÇA","Desde 2012, a Seguro atua com excelência, oferecendo soluções completas em Segurança Patrimonial, Terceirização de Mão de Obra, Segurança Eletrônica e Portaria Remota. Estamos presentes nos estados do Ceará, Piauí, Maranhão, Paraíba, Rio Grande do Norte, Sergipe e Alagoas.

Temos como missão proporcionar tranquilidade, segurança e bem-estar para clientes e colaboradores.
Esse compromisso nos levou a ser reconhecidos como a 4ª melhor empresa para trabalhar no Ceará, com certificação GPTW por 5 anos consecutivos.

Construímos relações duradouras baseadas na confiança, na eficiência e no cuidado com cada detalhe.

Felicidade é viver Seguro.","Security Guards and Patrol Services","1,001-5,000 employees","Privately Held","FORTALEZA, CE","Brazil","seguro.srv.br","https://www.linkedin.com/company/seguro-seguranca-oficial"
,"Mithril Defense","Mithril is focused on safety and security across multiple sectors including education, shipping, oil and gas and defense.  Mithril leverages small drones as part of a wider managed service to keep people and infrastructure safe, reducing the risk of loss of life.  Founded by a serial technology entrepreneur and a US veteran, the company is headquartered in Austin, Texas.","Security Guards and Patrol Services","11-50 employees","Privately Held",,,"mithrildefense.com","https://www.linkedin.com/company/mithril-defense"
,"Innovision Limited","Innovision Limited is dedicated to meeting the evolving staffing needs of businesses across India by offering comprehensive solutions for blue-collar workforce requirements. With a focus on excellence and client satisfaction, we have established ourselves as the preferred partner for sourcing top-quality blue-collar workers across various sectors. Our services encompass skilled manpower provision, security services, facility management, housekeeping, maintenance, and staffing solutions, all tailored to meet the specific needs of industries, commercials, and institutions. We prioritize compliance and quality control, ensuring 100% statutory compliance in all our operations, backed by a strong internal audit team. Through partnerships with the National Skills Development Corporation (NSDC), we conduct training programs to enhance workforce skills and employability, further enhancing our commitment to excellence.

Why Choose Us?

Experience cost-effective solutions with streamlined processes that ensure lower hiring costs while guaranteeing top-quality manpower. Benefit from our nationwide reach, accessing skilled manpower from various regions to efficiently meet staffing needs regardless of location. Our flexible staffing solutions adapt to fluctuating manpower needs, whether short-term, temporary, or permanent. Empower your business with the right talent and support services for success and growth by partnering with Innovision Limited today.

Partner with Innovision Limited today to access a top-quality skilled workforce and drive success in your business. Contact us now to discuss your staffing needs and explore how we can collaborate to achieve your business goals.","Security Guards and Patrol Services","10,001+ employees","Public Company","Gurgaon, Haryana","India","innovision.co.in","https://www.linkedin.com/company/innovision-limited"
,"Sevicol ltda","Sevicol: Vanguardia en Seguridad  Con 50 años de experiencia, somos la elección indiscutible en seguridad y vigilancia en Colombia. Nuestro modelo propio de seguridad integral, SINCROS, une innovación tecnológica y compromiso humano. Protegemos lo que más valoras y generamos confianza. #SomosMásQueSeguridad","Security Guards and Patrol Services","1,001-5,000 employees","Privately Held","Bucaramanga, Santander","Colombia","sevicol.com.co","https://www.linkedin.com/company/sevicol-ltda"
,"Qatar Security Services WLL","Qatar Security Services (QSS)
Trusted Since 1996 | MOI SSD Approved Contractor | Qatar’s First Licensed Private Security Company

Protecting Qatar’s future with over 30 years of expert security solutions.
Since 1996, Qatar Security Services (QSS) has been a pioneer in Qatar’s private security sector as the first licensed company to provide professional security guard services. As an MOI Security Services Department (SSD) approved contractor, we maintain the highest safety, compliance, and quality standards.

With 30+ years of experience, QSS delivers tailored security solutions to protect your people, assets, and premises, helping your business run smoothly and securely. Combining skilled personnel with advanced technology, we serve various industries across Qatar.

Our services include:
• Security Guard Services: Premises protection, incident response, emergency coordination, traffic control, and conflict management.
• CCTV Control Room Monitoring: Real-time video surveillance, alarm response, system maintenance, and reporting.
• Secure Transport: Armored vehicles with GPS, CCTV, and alarms for safe transfer of cash, valuables, and sensitive documents.
• Property Monitoring: Intrusion detection, biometric access, fire detection and suppression, and emergency response.
• Security Consultancy: Risk assessments, security system design, and ongoing support.
• Event Security Management: Crowd control, VIP protection, emergency preparedness, and traffic management.
• Beach Lifeguard Services: Certified lifeguards ensuring water safety and rescues.
• Bouncer Services: Trained personnel managing access and emergencies at events.

Industries served: Oil & Gas, Government, Airports, Retail, Hospitality, Healthcare, Education, Warehousing, and Industrial sectors throughout Qatar.

At QSS, we combine a legacy of trust with innovation to provide reliable, professional security solutions. Our MOI SSD accreditation and experience make us your trusted security partner.","Security Guards and Patrol Services","201-500 employees","Public Company","Al Khor","Qatar","binarbaid.com","https://www.linkedin.com/company/qssqatar"
,"Qatar Security Services WLL","Qatar Security Services (QSS)
Trusted Since 1996 | MOI SSD Approved Contractor | Qatar’s First Licensed Private Security Company

Protecting Qatar’s future with over 30 years of expert security solutions.
Since 1996, Qatar Security Services (QSS) has been a pioneer in Qatar’s private security sector as the first licensed company to provide professional security guard services. As an MOI Security Services Department (SSD) approved contractor, we maintain the highest safety, compliance, and quality standards.

With 30+ years of experience, QSS delivers tailored security solutions to protect your people, assets, and premises, helping your business run smoothly and securely. Combining skilled personnel with advanced technology, we serve various industries across Qatar.

Our services include:
• Security Guard Services: Premises protection, incident response, emergency coordination, traffic control, and conflict management.
• CCTV Control Room Monitoring: Real-time video surveillance, alarm response, system maintenance, and reporting.
• Secure Transport: Armored vehicles with GPS, CCTV, and alarms for safe transfer of cash, valuables, and sensitive documents.
• Property Monitoring: Intrusion detection, biometric access, fire detection and suppression, and emergency response.
• Security Consultancy: Risk assessments, security system design, and ongoing support.
• Event Security Management: Crowd control, VIP protection, emergency preparedness, and traffic management.
• Beach Lifeguard Services: Certified lifeguards ensuring water safety and rescues.
• Bouncer Services: Trained personnel managing access and emergencies at events.

Industries served: Oil & Gas, Government, Airports, Retail, Hospitality, Healthcare, Education, Warehousing, and Industrial sectors throughout Qatar.

At QSS, we combine a legacy of trust with innovation to provide reliable, professional security solutions. Our MOI SSD accreditation and experience make us your trusted security partner.","Security Guards and Patrol Services","201-500 employees","Public Company","Al Khor","Qatar","binarbaid.com","https://www.linkedin.com/company/qatar-security-services-wll"
