"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"JCB India Ltd.","JCB is a leading manufacturer of Earthmoving and Construction equipment in India. It is a fully owned subsidiary of J.C Bamford Excavators UK and has Six state-of-the-art factories in India at Ballabgarh, Jaipur, Pune and Vadodara (Halol). JCB also has a Design centre at Pune which works on Domestic as well as Global projects.

All JCB factories in India operate to ‘One Global Quality’ and its Made in India
products are exported to over 135 countries. The company makes over 60+ products in ten categories. In addition to the iconic J Backhoe Loader, popular JCB products include Excavators, Wheel Loaders, Compactors, Telehandlers, Mini Excavators, Skid Steer Loaders and Access Platforms.

An embodiment of the Atmanirbhar Bharat programme, the company has built and supported a local supply chain for the manufacturing of its products in India. 

The JCB Backhoe Loader manufactured in India is indigenised to over 95%. Close to 380 world-class Indian suppliers are aligned to JCB’s group objectives and have grown along with the company through various supplier development and cluster initiatives. 

JCB India has a network of more than 65 dealers and over 700 outlets spread
throughout the country.

The company’s CSR initiatives reach out to communities which include – Women, Adolescent Girls, Children, Rural Artisans and Youth.","Agriculture, Construction, Mining Machinery Manufacturing","1,001-5,000 employees","Privately Held","Ballabgarh, Haryana","India","jcb.com","https://www.linkedin.com/company/jcb-india-ltd-"
,"Netafim","Orbia’s Precision Agriculture business Netafim is the world’s largest irrigation company and a global leader in precision agriculture solutions committed to fight scarcity of food, water and land, for a sustainable future.

Founded in 1965, Netafim pioneered the drip revolution, creating a paradigm shift toward precision irrigation. Today, specializing in end-to-end solutions from the water source to the root zone, Netafim delivers irrigation and greenhouse projects as well as landscape and mining irrigation solutions supported by engineering, project management and financing services. Netafim is also leading the way in digital farming, irrigation and fertigation, integrating real-time monitoring, analysis and automated control into one state-of-the-art system. 

With 33 subsidiaries, 19 manufacturing plants, 2 recycling plants and over 5,000 employees worldwide, Netafim’s tailor-made irrigation and fertigation solutions reach millions of farmers, allowing smallholders to large-scale agricultural producers across 110 countries to grow more with less","Agriculture, Construction, Mining Machinery Manufacturing","1,001-5,000 employees","Privately Held","Tel Aviv","Israel","netafim.com","https://www.linkedin.com/company/netafim"
,"وظائف في الجزائر","تصفح مئات الوظائف المنشورة يوميا فى الجزائر
تصفح جميع اعلانات العمل الحكومية والخاص
وظائف شاغرة و متجددة على مدار الساعة","Agriculture, Construction, Mining Machinery Manufacturing","11-50 employees","Public Company","algeria","Algeria","5tawzeef.com","https://www.linkedin.com/company/وظائف-فى-الجزائر"
,"Grupo Tracbel","O Grupo Tracbel é uma das empresas responsáveis por munir o mercado brasileiro de máquinas, equipamentos e veículos essenciais para o crescimento do Brasil. 

Contamos com 40 filiais distribuídas pelo território brasileiro, oferecendo soluções de produtos e serviços para os mais diversos segmentos, principalmente mineração, construção, pedreiras e agregados, florestal e rodoviário. 

Somos referência, especialmente por nosso grande diferencial: foco no suporte ao cliente e no pós-venda. Acreditamos que este é o caminho para garantir a melhor solução na compra dos equipamentos e veículos, com uma assistência técnica de qualidade e agilidade. 

Com 1.500 funcionários, se destaca por seu vanguardismo em novas tecnologias, assistência técnica e em inovações na área de máquinas pesadas e veículos. 

A empresa é reconhecida nacionalmente por suas ações inovadoras e a excelência em pós-venda, oferecendo máquinas avançada, assistência técnica de alta qualidade e soluções criativas para aumentar a rentabilidade da operação dos clientes.","Agriculture, Construction, Mining Machinery Manufacturing","1,001-5,000 employees","Privately Held","Contagem, MG","Brazil","tracbel.com.br","https://www.linkedin.com/company/grupotracbel"
,"Komatsu South Africa Pty Ltd","Komatsu was founded in Komatsu City in 1921. Komatsu built its first crawler tractor more than 65 years ago and has since developed the world’s most extensive range of earthmoving, mining, construction and utility equipment.
 
Komatsu now offers a full product line up with quality parts and reliable service to meet all our customers’ needs in the earthmoving industries.
 
Komatsu products are directly marketed, serviced and supported throughout Southern Africa.

Our Vision 
Is to be the leading Earthmoving equipment company in Southern Africa, with the highest level of product support and value add to our customers' business.","Agriculture, Construction, Mining Machinery Manufacturing","1,001-5,000 employees","Privately Held","Brakpan, Gauteng","South Africa","komatsu.com","https://www.linkedin.com/company/komatsusouthafricaptyltd"
,"Kepler Weber","Com fábricas no Rio Grande do Sul e no Mato Grosso do Sul, a Kepler Weber atua no setor de agronegócios, na etapa pós-colheita da cadeia produtiva de grãos. A Companhia fabrica equipamentos para a armazenagem, beneficiamento e movimentação de granéis, sendo especializada no desenvolvimento de soluções completas em armazenagem para seus clientes. Nosso portfólio de produtos é constituído por silos metálicos, transportadores horizontais e verticais, secadores e máquinas de limpeza de grãos.

Owner of manufacturing plants in the states of Rio Grande do Sul and Mato Grosso do Sul, both in Brazil, Kepler Weber operates in the agribusiness area, covering post-crop procedures in the grain production chain. The company manufactures equipments for grain storage, cleaning and conveyance, beeing specializing in complete grain storage solutions. Our portfolio includes steel silos, horizontal and vertical conveyors, grain dryers and grain cleaning machines.

Con fábricas en los estados de Rio Grande do Sul y en Mato Grosso do Sul, los dos en Brasil, Kepler Weber actúa en el sector de agronegocios, en la etapa postcosecha de la cadena productiva de granos. La compañía fabrica equipos para el almacenamiento, beneficio y movimiento de cargas de granos, siendo especializada en el desarrollo de soluciones completas en almacenamiento. Nuestro portfolio de productos está constituido por silos metálicos, transportadores horizontales y verticales, secadoras y máquinas de limpieza de granos.","Agriculture, Construction, Mining Machinery Manufacturing","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","kepler.com.br","https://www.linkedin.com/company/keplerweber"
,"Samunnati","India’s largest agri enterprise, Samunnati is an open agri network to unlock the trillion-dollar plus potential of Indian agriculture with smallholder farmers at the center of it. 

Staying true to its name, Samunnati stands for collective growth & collective prosperity for the agri ecosystem. Serving the entire value chain, Samunnati’s Agri Commerce and Agri Finance solutions enable affiliated Farmer Collectives and the larger ecosystem to be more efficient and productive through multiple technology enabled interventions and collaborative partnerships.

Headquartered in Chennai, Tamil Nadu, India, Samunnati has a presence in more than 100 agri value chains spread over 22 states in India and has powered over $1Bn of gross transaction value in its journey so far. Samunnati currently has access to 1500+ Farmer Collectives with a member base of over 6 million farmers and envisions impacting 1 in every 4 farming households through its network by 2027.","Agriculture, Construction, Mining Machinery Manufacturing","201-500 employees","Privately Held","Chennai, Tamil Nadu","India","samunnati.com","https://www.linkedin.com/company/samunnati"
,"Farmers Edge","Farmers Edge is a global leader in digital agriculture, unifying farm data, analytics, and laboratory science to improve productivity and sustainability. Our organization includes leading precision agronomy platform FarmCommand, Farmers Edge Laboratories, and Corvian—our enterprise technology division powering digital transformation across agriculture and related industries.","Agriculture, Construction, Mining Machinery Manufacturing","51-200 employees","Privately Held","Winnipeg, Manitoba","Canada","farmersedge.ca","https://www.linkedin.com/company/farmers-edge"
,"SHAKTIMAN (Tirth Agro Technology Pvt. ltd.)","Tirth Agro Technology Private Limited is a leading Indian agricultural implements manufacturer company with a history of over two decades. It is an ISO 9001:2008 Company. Company having CE Marking for the Products Rotary Tiller & Cardon Shaft. Company has started its operations in year 1997.","Agriculture, Construction, Mining Machinery Manufacturing","1,001-5,000 employees","Privately Held","Rajkot, Gujarat","India","shaktimanagro.com","https://www.linkedin.com/company/shaktimanagro"
,"Kobelco Construction Machinery Europe B.V.","For over 80 years, Kobelco has been a pioneer in construction machinery, beginning with Japan's first construction machine in 1930 – the 50K electric mining shovel. This legacy drives us to continually innovate, creating industry-leading excavators with unmatched quality and performance.

We are committed to customer satisfaction, offering high-quality products and excellent service through our specialized Dealer Network. By actively listening to our customers' needs, we consistently strive to develop more fuel-efficient, powerful, comfortable, and safe excavators that address the evolving demands of the industry.

At Kobelco, we are proud of the excavators that we design and build.","Agriculture, Construction, Mining Machinery Manufacturing","51-200 employees","Public Company","Lelystad, Flevoland","Netherlands","kobelco-europe.com","https://www.linkedin.com/company/kobelco-construction-machinery-europe-b-v-"
