"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Edelman","Edelman is a global communications firm that partners with businesses and organizations to evolve, promote and protect their brands and reputations. Our 6,000 people in more than 60 offices deliver communications strategies that give our clients the confidence to lead, act with certainty and earn the lasting trust of their stakeholders.

We develop powerful ideas and tell magnetic stories that move at the speed of news, make an immediate impact, transform culture and spark movements. 

Since our founding in 1952 by Dan Edelman, we have remained an independent, family-run company. We use our profits to strengthen our business, provide our employees with opportunities to grow, advance our industry, and serve as a responsible citizen of the world. Every day, we strive to live and work by a long-held set of core values: the pursuit of excellence, the freedom to be curious, the courage to do the right thing, and a commitment to improving society.

Edelman is an equal opportunity employer of all protected classes, including veterans and individuals with disabilities.","Public Relations and Communications Services","5,001-10,000 employees","Privately Held","New York, NY","United States","edelman.com","https://www.linkedin.com/company/edelman"
,"Weber Shandwick","Weber Shandwick is the earned-first global communications agency. Led by world-class strategic and creative thinkers and activators, Weber Shandwick has won some of the most prestigious awards in the industry, including being named #1 in the Public Relations and Brand Strategies category on Fast Company’s 2024 + 2025 Most Innovative Companies list, one of Fast Company’s Best Workplace for Innovators in 2023, PRWeek’s 2024 Global Agency of the Year, ranked #1 on PRovoke’s Global Creative Index in 2024 and honored on Ad Age’sA-List in 2025, 2024 & 2020 and Best Places to Work in 2019, in addition to being awarded Campaign Global’s PR Agency of the Year in 2023. Weber Shandwick was the most awarded PR agency at the 2023 and 2024 Cannes Lions International Festival of Creativity for the past three years, including earning the PR industry’s first-ever idea-led Cannes Grand Prix in the Brand Experience & Activation category and cumulatively earning more than250Cannes Lions. Weber Shandwick has also been named PR Agency of the Year by Campaign USin 2021, honored asPRovoke’sGlobal Agency of the Decade in 2020 and ranked #1 on PRovoke’s Global Creative Index in 2021 and 2022. Additionally, the firm was named PRWeek’sGlobal Agency of the Year in 2015, 2016, 2017 and 2018 and was awarded PRWeek’s Purpose Agency of the Year in 2020 and 2021. Weber Shandwick also receivedHonorable Mention on the Gartner Magic Quadrant for Global Marketing Agencies in 2021, as the only PR agency featured.

Weber Shandwick is part of Omnicom Public Relations and Omnicom (NYSE: OMC). For more information, visithttps://www.webershandwick.com/.

Social Media Community Guidelines: http://bit.ly/wssocialterms","Public Relations and Communications Services","1,001-5,000 employees","Public Company","New York, NY","United States","webershandwick.com","https://www.linkedin.com/company/weber-shandwick"
,"Burson","Burson is the global leader in communications, purpose-built to create value for our clients through reputation. We reinvent how reputation creates competitive advantage for our clients, so they can lead today and far into the future.","Public Relations and Communications Services","5,001-10,000 employees","Public Company","New York","United States","bursonglobal.com","https://www.linkedin.com/company/burson"
,"Tweets Israel","Tweets Israel is an Instagram community with more than 400,000 followers, all built organically.","Public Relations and Communications Services","2-10 employees","Self Employed",,,,"https://www.linkedin.com/company/tweets-israel"
,"Hill & Knowlton","Hill & Knowlton is a strategic and creative partner to drive breakthrough opportunities for growth and value creation, advance corporate strategy, and build reputation capital and resiliency. We’re a proven partner for business and brand transformation. A full-service global firm, we provide strategic communication, marketing and corporate affairs solutions distinguished by intelligence and creativity. Hill & Knowlton is part of the Burson Group and WPP (NYSE: WPP), the creative transformation company.","Public Relations and Communications Services","1,001-5,000 employees","Public Company","New York","United States","hillandknowlton.com","https://www.linkedin.com/company/hillandknowlton"
,"@gmanonfire","Celebrating making and understanding, @gmanonfire creates engaging and satisfying videos for social media platforms and digital content providers. With over 300,000 followers on Instagram, you can be sure your product, studio or event will be seen by a large number of trendsetters and tastemakers around the globe. 

Often imitated and extensively bootlegged, @gmanonfire videos combine dynamic camera angles, exciting editing and healthy doses of insight and humor to tell the story of how artists make their work. I collaborate with individual artists and institutions to help promote their brands, programming and events. I also provide UGC to international news agencies such as Storyful, Insider and vast numbers of Facebook aggregators. If you are looking for exciting exposure with an ethical foundation, look no further that @gmanonfire.","Public Relations and Communications Services","Self-employed","Self Employed","Tacoma, Washington","United States",,"https://www.linkedin.com/company/gmanonfire"
,"LLYC","Together, we enhance and protect the value of your business.

LLYC is your partner in creativity, influence and innovation. We aim to turn each day into an opportunity to nurture your brand. We believe boldness is the way to achieve it.

Marketing + Corporate Affairs

Let’s fly","Public Relations and Communications Services","1,001-5,000 employees","Privately Held","Madrid, Madrid","Spain","llyc.global","https://www.linkedin.com/company/llyc"
,"Best Quotes For You ","We are striving to deliver the best quotes from writers, poets, politicians, business leaders, artists, celebrities and anonymous people of the world.

We always try to present the interesting quotes and sayings in an attractive way.

We are sure these quotes will touch your mind and motivate, inspire and encourage you to lead a successful and happy life. 

Please submit your favorite quote and contact us with any questions. We'd love to hear it from you. Let us know what inspires you in the comment.","Public Relations and Communications Services","2-10 employees","Self Owned","Dhaka","Bangladesh",,"https://www.linkedin.com/company/best-quotes-for-you"
,"Leyes Media",,"Public Relations and Communications Services","51-200 employees","Privately Held","Miami, Florida","United States",,"https://www.linkedin.com/company/leyesm"
,"Moris Media","Moris Media is globally recognized as The Digital Doctors, a world-class boutique PR and digital marketing partner trusted for credibility, clarity, and long-term growth. In a marketplace where many brands struggle, shifting from one agency to another in search of direction, we approach challenges like true doctors. We diagnose the core issues, prescribe solutions with reason, and create strategies that heal reputations and restore focus.
Our belief is simple: credibility is the strongest foundation any brand can hold. With presence across 40 + countries, experience in 65 + industries, and collaborations with 230 + departments, we have established a track record built on measurable results. More than 100 trained Digital Doctors work with precision and empathy, ensuring that every solution is not a shortcut but a prescription designed for sustainable impact.
The symbolism of the split coat defines our philosophy — bold clarity and uncompromising honesty. We treat every brand as a living identity that deserves structure, truth, and protection. Where teams have failed or strategies have misfired, Moris Media provides the right prescription and a path to recovery. Over time, we have successfully managed 5000+ global brands and delivered 500 + personal branding journeys for politicians, leaders, and professionals, reinforcing our reputation as trusted Digital Doctors of credibility.
Moris Media is more than a service provider. We have built an ecosystem of in-house brands designed to educate, empower, and innovate. MoCal, our AI-powered smart time management platform; AI School and Digital Schools, dedicated to future-ready education; AI Lens News, a multi-country news platform; Moris Gigs, connecting opportunities in the digital economy; Celebrity & Influencer Marketing, aligning authentic voices with strategy; and Moris E-Club, designed to create collaborative communities — each reflects our commitment to long-term value.
Every diagnosis we make and every prescription","Public Relations and Communications Services","51-200 employees","Privately Held","worldwide","United States","morismedia.in","https://www.linkedin.com/company/morismedia"
