"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Conseil d'Etat","The Conseil d’État is a court that settles disputes between citizens and administrative authorities. It ensures that the rights and freedoms of each citizen are respected by administrative authorities. It also serves as a legal advisor to the Government and Parliament, suggesting improvements to their bills and legislative proposals to ensure the new laws entering into force are clear, effective and comply with the existing body of law. Lastly, through its studies, it performs a forward-looking role in improving public policy. Serving citizens, the Conseil d’État safeguards the rule of law.","Courts of Law","501-1,000 employees","Self Employed","Paris, Paris","France","conseil-etat.fr","https://www.linkedin.com/company/conseil-d-etat"
,"Sveriges Domstolar","This is the official LinkedIn page for the Courts of Sweden (Sveriges Domstolar). 

There are three kinds of courts in Sweden: the general courts, which comprise district courts, courts of appeal and the Supreme Court; the general administrative courts, that is to say, administrative courts, administrative courts of appeal and the Supreme Administrative Court; and also the special courts, which determine disputes within special areas, for example, the Labour Court.

This page is administrated by the Swedish National Courts Administration.","Courts of Law","5,001-10,000 employees","Government Agency",,"Sweden","domstol.se","https://www.linkedin.com/company/sveriges-domstolar"
,"Mahkamah Agung Republik Indonesia","Mahkamah Agung Republik Indonesia (disingkat MA RI atau MA) adalah lembaga tinggi negara dalam sistem ketatanegaraan Indonesia yang merupakan pemegang kekuasaan kehakiman bersama-sama dengan Mahkamah Konstitusi dan bebas dari pengaruh cabang-cabang kekuasaan lainnya. Mahkamah Agung membawahi badan peradilan dalam lingkungan peradilan umum, lingkungan peradilan agama, lingkungan peradilan militer, lingkungan peradilan tata usaha negara.","Courts of Law","10,001+ employees","Government Agency","Jakarta Pusat, DKI Jakarta","Indonesia","mahkamahagung.go.id","https://www.linkedin.com/company/mahkamah-agung-republik-indonesia"
,"Parquet de Paris - Procureure, Laure Beccuau","Au sein du Tribunal judiciaire de Paris, le parquet de Paris est composé d’environ 130 magistrats et 400 personnels de greffe, il est le premier parquet de France.

Il est compétent sur l’intégralité du ressort départemental de Paris (75) mais dispose également de pôles spécialisés qui élargissent sa compétence territoriale à des ressorts régionaux et nationaux, parmi lesquels :

Des pôles à compétence nationale concurrente :
- La Juridiction Nationale de Lutte contre la Criminalité Organisée (JUNALCO)
- Le Pôle National de Lutte contre la Haine en ligne
- Le référent national livestreaming impliquant des mineurs

Des pôles à compétence territoriale étendue :
- La Juridiction Interrégionale Spécialisée (JIRS) de Paris
- Le pôle santé publique
- Le pôle accidents collectifs
- Le parquet militaire

Depuis le mois d’octobre 2021, il est dirigé par Madame Laure Beccuau, procureure de la République près le Tribunal judiciaire de Paris.

Le parquet est chargé de diriger les enquêtes judiciaires. Il procède ou fait procéder à tous les actes nécessaires à la recherche des auteurs d'infractions pénales. Le procureur a l'opportunité des poursuites : il peut classer la procédure, décider d’une alternative aux poursuites ou convoquer / déférer le mis en cause devant le tribunal. À l’audience, le ministère public (parquet) représente la société. Au cours de ses réquisitions, il argumente en quoi les faits sont constitutifs d’une infraction, imputables à la personne poursuivie, et quelle peine paraît la plus adaptée. Après la condamnation éventuelle, le parquet est en charge de l’exécution des peines.

NB : Cette page a seulement vocation à illustrer les actions du parquet de Paris.

Pour toute demande :

- Le Service d’Accueil Unique du Justiciable https://www.tribunal-de-paris.justice.fr/75/le-service-daccueil-unique-du-justiciable-sauj

- Le Bureau d'Aide aux Victimes (tél : 01 44 32 77 08 mail : bav.tj-paris@justice.fr)","Courts of Law","501-1,000 employees","Government Agency","Paris","France","justice.fr","https://www.linkedin.com/company/parquet-de-paris"
,"Parquet national financier","Créé par la loi du 6 décembre 2013, le parquet national financier (PNF) est spécialisé dans le traitement de la délinquance économique et financière complexe.

Son champ de compétence recouvre quatre catégories d'infractions : les atteintes à la probité, la fraude fiscale aggravée, les atteintes aux marchés financiers et les atteintes à la concurrence.

Le PNF est composé de 19 magistrats du parquet, 7 assistants spécialisés et d'une équipe de greffe.","Courts of Law","11-50 employees","Government Agency","Paris, Île-de-France","France","justice.fr","https://www.linkedin.com/company/parquet-national-financier"
,"Rechtbank Midden-Nederland","De rechtbank Midden-Nederland behandelt zaken uit de regio's Utrecht, Flevoland en Gooi- en Vechtstreek. De rechtbank houdt zitting op vier locaties: Almere, Amersfoort, Lelystad en Utrecht.","Courts of Law","501-1,000 employees","Government Agency","Utrecht","Netherlands","rechtspraak.nl","https://www.linkedin.com/company/rechtbank-midden-nederland"
,"Judges Matter","Judges and the judgments they have made have increasingly become more central to politics in South Africa. The question of how we appoint our judges is therefore a very important one. How judges are appointed in South Africa matters to all South Africans.

How judges are appointed to the bench matters. The quality of our judges is determined by the quality of the process we use to appoint judges. We believe that the way judges are appointed should be transparent, fair and accessible to all people in South Africa. A good appointments process leads to good judges on the bench and good judges make good judgments.
Throughout the year Judges Matter monitors the JSC interview process through which our judges are chosen, we also monitor the judiciary and do research into judicial governance processes and other topics of public interest. This includes; monitoring judicial conduct tribunals, researching the appointment process for acting judges, interrogating the criteria the JSC uses to nominate candidates to the bench, examining the governance of the magistracy, investigating statistics regarding the judiciary, writing thought pieces and more.

While the role of Judges Matter in the public space is constantly evolving, Judges Matter works hard to bring transparency to the JSC interviews and awareness of the judiciary to the public.","Courts of Law","2-10 employees","Non Profit","Cape Town, Western Cape","South Africa","judgesmatter.co.za","https://www.linkedin.com/company/judges-matter"
,"Domstolsverket","The Swedish National Courts Administration (Domstolsverket) is a state authority that reports to the government and works with the administration and development of the Swedish Judiciary.","Courts of Law","201-500 employees","Government Agency","Jönköping","Sweden","domstol.se","https://www.linkedin.com/company/domstolsverket"
,"Estudio Juridico",".","Courts of Law","Self-employed","Privately Held","Berlin","Germany",,"https://www.linkedin.com/company/estudio-juridico-1"
,"Supreme Court of Pakistan","This is Official Supreme Court of Pakistan Page and verified data will be shared from this account.","Courts of Law","501-1,000 employees","Government Agency","Islamabad, ICT","Pakistan","supremecourt.gov.pk","https://www.linkedin.com/company/supremecourtpk"
