"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Sunon Furniture","Sunon is a workspace solution provider specializing in modular office furniture. With an eye for efficiency, comfort, and wellbeing, we started our journey in 1991. After years of learning and development, we are now a leading company in the industry and are striving to expand our presence worldwide. 

We provide people-centric products to our clients for sheer working pleasure. As an expert in the office furniture industry, we seek an innovative and intelligent way to perfect our products for your needs.

Gathering global design elites, and together with our manufacturing strength, we aim to create productive workspaces, be it for work, meeting, training, or leisure.

We design to help you work better.","Office Furniture and Fixtures Manufacturing","1,001-5,000 employees","Privately Held","Hangzhou, Zhejiang Province","China","sunonglobal.com","https://www.linkedin.com/company/sunonfurniture"
,"AI Investor","!","Office Furniture and Fixtures Manufacturing","Self-employed","Privately Held","Berlin","Germany",,"https://www.linkedin.com/company/ai-investor"
,"ACTIU","Actiu is a Spanish company located in the Foia de Castalla (Alicante), with more than 50 years of experience enhancing the wellbeing of people through the design and manufacture of furniture for work spaces, collective environments and contract areas.

Our continuous investment in technology; a sustainable growth committed to this country; the integration of design in all processes and the internationalization of the company are some of the keys to our presence in 90 countries of the five continents.

Our brand potential and local infrastructure located in each area enables actiu and our strategic partners to centralise a process based on the analysis and management of the project needs. Our aim is to maximise the use of resources in order to offer our customers the best result.","Office Furniture and Fixtures Manufacturing","201-500 employees","Privately Held","Castalla, Alicante","Spain","actiu.com","https://www.linkedin.com/company/actiu"
,"KI","KI is a global leader in innovative furniture solutions for education, healthcare, government, and corporate spaces. Headquartered in Green Bay, WI, KI is an employee-owned company with a dedicated presence across the US, Canada, Latin America, Europe, and Asia.

At KI, we specialize in tailoring furniture and service solutions to meet the unique needs of every customer. Our distinct design and manufacturing approach ensures flexibility, efficiency, and exceptional results. Since 1941, we’ve been the trusted experts in creating adaptable and forward-thinking products that empower success in our core markets.

With our customer-first philosophy and unique Go-To-Market strategy, we make it easy for clients to procure solutions that perfectly align with their goals. At KI, we don’t just craft furniture — we deliver knowledge and partnership to help transform environments into thriving spaces.","Office Furniture and Fixtures Manufacturing","1,001-5,000 employees","Privately Held","Green Bay, WI","United States","ki.com","https://www.linkedin.com/company/ki"
,"Salam Enterprises","Salam Enterprises is a proud member of the Salam International family. As a leading, regional, turnkey corporate interior solutions provider, we have inherited a rich legacy from our parent company Salam International Investments Limited.

With Salam International Investment Limited (SIIL), being a listed public Qatari shareholding company with operations in diverse business sectors representing technology and communications, construction and development, luxury and consumer products, energy and industry, and investments and real estate, we are especially proud to reflect a facet of SIIL’s construction and development sector. 

By being part of SIIL, one of Qatar’s largest and established conglomerates, which owns and manages over thirty five business units across the Middle Eastern region, we share in a rich heritage, of over half a century; built on a benchmark for integrity, innovation, reliability and total customer satisfaction. 

Salam Enterprises since 1996, has established an enviable reputation across the region as a leading corporate interior solutions provider and innovator through our operations in Doha, Dubai, Abu Dhabi and Manama. Our regional expansion began in Qatar, moving onto Dubai in 2000, Abu Dhabi 2004 and Bahrain in 2007.

SALAM ENTERPRISES - QATAR
P.O. Box: 18419, DOHA, QATAR
D-Ring Road, 41-Nuaija Area, Street No 250
Opp.Kahramaa
Doha Qatar
Tel.: No. 00974 4878921  
Fax No.: 00974 4878924
info@salamenterprises.com

SALAM ENTERPRISES - UAE
P.O. Box No. 32767
I.C.T., C-29, Salam Street, Ministries Complex
Ground Floor of Manazel Building
Abu Dhabi, U.A.E.
Tel. No. 00971 2 639 6863
Fax No. 00971 2 639 6864
salamfur@emirates.net.ae

SALAM ENTERPRISES - BAHRAIN
P. O. Box: 3143, Manama, Kingdom of Bahrain
Shop # 189, Building # 191, Road # 328, Block # 358, 
Sh. Salman Highway, Zinj, Kingdom of Bahrain.
Tel No.: 00973 1723 0950
Fax No.: 00973 1723 1776
info@salamenterprises.com","Office Furniture and Fixtures Manufacturing","501-1,000 employees","Privately Held","Doha","Qatar","salamenterprises.com","https://www.linkedin.com/company/salam-enterprises"
,"AFC Furniture Solutions","At AFC Furniture Solutions, we believe change is not just inevitable, it’s essential. With our all-new brand identity, we are embracing the future with boldness, clarity, and purpose.

For 17 years, we’ve been shaping workspaces that inspire productivity, foster collaboration, and prioritize well-being. Today, as All For Change, we stand at the forefront of modular office furniture solutions—where design meets sustainability, and innovation meets trust.

What We Do

Workspace Solutions – Modular workstations, collaborative pods, ergonomic chairs, and smart storage that adapt to evolving needs.

Craftsmanship at Scale – State-of-the-art manufacturing units with advanced technology and in-house testing labs.

Sustainable Impact – Circular design, recyclable materials, and ESG practices to build greener work environments.

Human-Centric Approach – Designs that balance comfort, flexibility, and inclusivity.

Why AFC?

We’re more than a furniture company, we are partners in creating spaces that empower people. From startups to global enterprises, we deliver solutions that blend design excellence, reliability, and responsibility.

With presence across India and growing global footprints, AFC is building a new chapter, where every workspace tells a story of transformation.

AFC – All For Change. All For You.","Office Furniture and Fixtures Manufacturing","501-1,000 employees","Privately Held","Greater Noida West, Uttar Pradesh","India","afcindia.in","https://www.linkedin.com/company/afc-system"
,"Nowy Styl","Nowy Styl is a European leader in comprehensive furniture solutions for office and public spaces. Every day we equip new office buildings, conference centres, cinemas, stadiums, music halls, sports and multifunctional facilities. Our list of references includes multinational companies such as DS Smith, Honeywell, Deloitte and ABB, cultural institutions such as Polish National Radio Symphony Orchestra in Katowice and the Opera in Munich, as well as stadiums and passenger terminals all around the world. 

Our company portfolio consists of brands: 
Nowy Styl, Kusch+Co, SOHOS, Forum by Nowy Styl.      

Our furniture solutions are presented in 29 showrooms located in biggest European cities like London, Paris, Berlin, Prague, Bratislava and many more.
http://www.nowystyl.com

GDPR INFORMATION CLAUSE
====================

We would like to inform you that Nowy Styl spółka z ograniczoną odpowiedzialnością, ul. Pużaka 49, 38-400 Krosno processes the personal data of users of LinkedIn, located on their profiles as a Controller of these personal data (hereinafter: ""Nowy Styl"" or ""Controller""). The Controller can be contacted via e-mail rodo@nowystyl.com or in writing to the Controller's registered office address. The full content of the information clause (GDPR) can be found here:
-> https://files.nowystyl.com/files/doc/GDPR-information-clause-en.pdf



RODO (GDPR) - KLAUZULA INFORMACYJNA
=============================

Informujemy, że Nowy Styl spółka z ograniczoną odpowiedzialnością, ul. Pużaka 49, 38-400 Krosno przetwarza dane osobowe użytkowników LinkedIn, znajdujące się na ich profilach jako Administrator danych osobowych (dalej jako: „Nowy Styl” lub „Administrator”). 
Z Administratorem można się skontaktować poprzez e-mail rodo@nowystyl.com lub pisemnie na adres siedziby Administratora. Pełną treść klauzuli informacyjnej RODO znajdziesz tutaj:
-> https://files.nowystyl.com/files/doc/GDPR-klauzula-informacyjna-pl.pdf","Office Furniture and Fixtures Manufacturing","5,001-10,000 employees","Public Company","Krosno, Podkarpacie","Poland","nowystyl.com","https://www.linkedin.com/company/nowy-styl-global"
,"Nowy Styl","Nowy Styl is a European leader in comprehensive furniture solutions for office and public spaces. Every day we equip new office buildings, conference centres, cinemas, stadiums, music halls, sports and multifunctional facilities. Our list of references includes multinational companies such as DS Smith, Honeywell, Deloitte and ABB, cultural institutions such as Polish National Radio Symphony Orchestra in Katowice and the Opera in Munich, as well as stadiums and passenger terminals all around the world. 

Our company portfolio consists of brands: 
Nowy Styl, Kusch+Co, SOHOS, Forum by Nowy Styl.      

Our furniture solutions are presented in 29 showrooms located in biggest European cities like London, Paris, Berlin, Prague, Bratislava and many more.
http://www.nowystyl.com

GDPR INFORMATION CLAUSE
====================

We would like to inform you that Nowy Styl spółka z ograniczoną odpowiedzialnością, ul. Pużaka 49, 38-400 Krosno processes the personal data of users of LinkedIn, located on their profiles as a Controller of these personal data (hereinafter: ""Nowy Styl"" or ""Controller""). The Controller can be contacted via e-mail rodo@nowystyl.com or in writing to the Controller's registered office address. The full content of the information clause (GDPR) can be found here:
-> https://files.nowystyl.com/files/doc/GDPR-information-clause-en.pdf



RODO (GDPR) - KLAUZULA INFORMACYJNA
=============================

Informujemy, że Nowy Styl spółka z ograniczoną odpowiedzialnością, ul. Pużaka 49, 38-400 Krosno przetwarza dane osobowe użytkowników LinkedIn, znajdujące się na ich profilach jako Administrator danych osobowych (dalej jako: „Nowy Styl” lub „Administrator”). 
Z Administratorem można się skontaktować poprzez e-mail rodo@nowystyl.com lub pisemnie na adres siedziby Administratora. Pełną treść klauzuli informacyjnej RODO znajdziesz tutaj:
-> https://files.nowystyl.com/files/doc/GDPR-klauzula-informacyjna-pl.pdf","Office Furniture and Fixtures Manufacturing","5,001-10,000 employees","Public Company","Krosno, Podkarpacie","Poland","nowystyl.com","https://www.linkedin.com/company/nowy-styl-group"
,"FANTONI Spa","Fantoni Group, a major Italian and international corporation, a journey begun in 1882, carried on and headed by the Fantoni family, through five generations, within a constantly growing industrial group. The Group is lead producer of chipboard and MDF panels, laminates and melamine papers and key player on the office furniture and sound absorption systems scene.","Office Furniture and Fixtures Manufacturing","1,001-5,000 employees","Privately Held","Osoppo, Udine","Italy","fantoni.it","https://www.linkedin.com/company/fantoni-spa"
,"Davis Furniture","Davis offers a wide variety of contemporary business furniture for the corporate, hospitality, and healthcare environments. Our products represent some of the best award-winning designs in the industry and offer superb quality and value. As a 78-year-old, family-owned company, there is true craftsmanship that goes into every product, making available cutting edge designs that not only offer the best in function, but add quality and aesthetics to the business environment.","Office Furniture and Fixtures Manufacturing","201-500 employees","Privately Held","High Point, NC","United States","davisfurniture.com","https://www.linkedin.com/company/davis-furniture"
