"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"USA Volleyball","National Governing Body for the sport of volleyball in the U.S.","Performing Arts and Spectator Sports","51-200 employees","Non Profit","Colorado Springs, CO","United States","usavolleyball.org","https://www.linkedin.com/company/usa-volleyball"
,"Le Carreau du Temple","Architecture industrielle de la fin du XIXème siècle, projet pluridisciplinaire novateur au cœur de Paris, Le Carreau du Temple est un établissement de la Ville de Paris alliant une offre sportive et culturelle, avec une programmation artistique et des temps forts événementiels.

 1800 m² de Halle
 1 salle de spectacle de 250 places
 2 studios Dojo et Danse de 330 m²
 1 gymnase de 415 m²
 1 studio d’enregistrement
 1 bar/restaurant
 Une programmation : sportive, événementielle, artistique et culturelle


01 83 81 93 30 - accueil@lecarreaudutemple.org

Accès : 2 rue Perrée, 75003 Paris","Performing Arts and Spectator Sports","11-50 employees","Partnership","Paris, Île-de-France","France","lecarreaudutemple.eu","https://www.linkedin.com/company/lecarreaudutemple"
,"Intuit Dome",,"Performing Arts and Spectator Sports","201-500 employees","Public Company","Inglewood, California","United States","intuitdome.com","https://www.linkedin.com/company/intuitdome"
,"Arkéa Arena","Arkéa Arena est une salle de spectacle multifonctionnelle de 11 300 places située à Floirac au coeur de la métropole Bordelaise. 

Arkéa Arena fait partie des plus grandes salles de France et se classe 1ère salle de spectacle française en termes de fréquentation hors IDF. 

Depuis son inauguration en 2018, elle est exploitée par Lagardère Live Entertainment. Equipement nouvelle génération passant aisément de 2 500 à 11 300 places, Arkéa Arena accueille chaque année une centaine d’évènements nationaux et internationaux.

Retrouvez toutes les informations sur les évènements, réservez et profitez des meilleures places disponibles en temps réel sur la billetterie officielle et sécurisée ArkeaArena.com

Arkéa Arena est également présente sur Facebook, Instagram, X, LinkedIn et TikTok

Pour recevoir les informations de Arkéa Arena par e-mail : https://arkea.live/newsletter","Performing Arts and Spectator Sports","51-200 employees","Privately Held","Floirac, Nouvelle Aquitaine","France","arkeaarena.com","https://www.linkedin.com/company/arkeaarena"
,"Movistar Arena España","El espacio multiusos más versátil de España.","Performing Arts and Spectator Sports","11-50 employees","Privately Held","Madrid, Community of Madrid","Spain","movistararena.es","https://www.linkedin.com/company/movistararenamadrid"
,"Tradable Bits","Tradable Bits helps you earn more attention and revenue per fan with a suite of tools built to enrich the fan experience.

Need a solution for easy and interactive digital campaigns? 
Our suite of 50+ turn-key engagements has you covered.

One platform to centralize data from ticketing, socials, and merch? 
We integrate directly with 60+ commonly used platforms for sports, music & entertainment, offering you a fully customized tech stack from day one.

Looking for features like Email, SMS, and personalized ad capabilities? 
We’re built for that, too.

Since 2013, our partners have launched over 17,000 digital engagements and have brought 55 million+ fan profiles back in house to connect with fans directly. This first-party fan data has contributed to over $1 billion in revenue this past year for the teams, festivals and promoters we proudly call partners.

When you sign up with Tradable Bits, you get more than a platform - you get direct access to our team of Digital Advertising and Implementation experts; an extension of your team.","Performing Arts and Spectator Sports","51-200 employees","Privately Held","Vancouver, British Columbia","Canada","tradablebits.com","https://www.linkedin.com/company/tradable-bits"
,"Théâtre du Lido","Théâtre du Lido – Le rendez-vous incontournable du théâtre musical à Paris ! 

Depuis 2023, sous une nouvelle direction artistique audacieuse de Jean-Luc Choplin, le Théâtre du Lido réinvente l’art du spectacle avec une programmation axée sur le théâtre musical et des productions uniques qui marient tradition et modernité.

Élégance et émotion sont au cœur de cette scène mythique, devenue un véritable temple du théâtre musical. Nos créations originales et nos adaptations contemporaines attirent un public passionné, confirmant le Théâtre du Lido comme une référence internationale dans l’univers du spectacle vivant.

 Venez vivre la magie du Théâtre du Lido et laissez-vous transporter par des productions musicales d’exception !","Performing Arts and Spectator Sports","11-50 employees","Privately Held","Paris, Île-de-France","France","lido2paris.com","https://www.linkedin.com/company/theatredulido"
,"Torino 2025 Fisu Games","Official LinkedIn account of the 32nd FISU World University Games Winter Torino 2025 in Piemonte, Italy.","Performing Arts and Spectator Sports","5,001-10,000 employees","Government Agency","Torino","Italy","wugtorino2025.com","https://www.linkedin.com/company/torino-2025-fisu-games"
,"Pace-court","Pace Court has emerged as a leading player in acrylic sports surface industry, driven by the expertise of a seasoned professional with over two decades of experience. Developed under the guidance of renowned industry figures and German technicians, Pacecourt has quickly 
established itself with over 2000+ projects across India and more than 11+ years of excellence. Proudly indigenous, we cater to a wide range of outdoor sports, recreational activities, and decorative surfaces, specializing in tennis, basketball, volleyball, walking tracks, and multi-sport surfaces.

As a growing Indian brand, our mission is to ensure that every aspiring athlete has access to premium sports surfaces at an affordable price. Integral to India's expanding sports landscape, we aspire to extend our influence to all corners of the nation. Our vision is to empower young athletes by providing them with exceptional training surfaces, thereby nurturing their 
talents and driving them towards excellence.

At Pacecourt, we understand how crucial it is to have the right sports surface for your players. Whether you're considering building a new one or renovating an existing surface, we are here to help. Our experienced team will 
work with you every step of the way to customize the solution that fits your needs perfectly. From start to finish, we'll take care of everything, so you can focus on the game","Performing Arts and Spectator Sports","201-500 employees","Self Owned","New Delhi","India","pacecourt.com","https://www.linkedin.com/company/pace-court"
,"ÖCTÖPUS","ÖCTÖPUS est une entreprise indépendante de production de tournées d’artistes internationaux et français fondée en 2011 par Marie Favre et Cyril Bahsief. Guidés par notre curiosité d’entreprendre, notre intention se porte sur l’accompagnement stratégique de projets artistiques à fort potentiel dans les musiques actuelles.

Ce positionnement prescripteur nous permet aujourd’hui de représenter un catalogue à la ligne éditoriale affirmée composé de plus de 400 artistes tels que Central Cee, Dave, Rejjie Snow, NSG, Joy Crookes, Stormzy, 15 15, Morad, Weyes Blood, Sainté, Novo Amor, Victor Ray, Bad Gyal, Goldlink, Billie Marten, Flipturn, Jacob Banks, etc.

Nous participons également à la production et à la programmation de nombreux rendez-vous et de festivals à taille humaine qui font se connecter artistes et publics dans des émotions singulières. Aujourd’hui, nous intervenons entre autres dans les festivals Chorus ou Baisers Iodés.

ÖCTÖPUS repose sur la conviction forte en une capacité de progression de chacun et en la richesse de la diversité. Dans une volonté permanente de transmission à nos jeunes équipes, nous valorisons la prise d’initiative, la curiosité et l’émulation collective.

Nous sommes convaincus que notre agilité et notre esprit novateur nous différencient. Nous poursuivons ainsi le déploiement d’un catalogue artistique éditorialisé tout en diversifiant encore nos activités. Nous nous consacrons ainsi à de nouveaux événements, nous nous impliquons dans de nouveaux espaces de diffusion & lieux de vie, et nous développons une activité d’admin services.

ÖCTÖPUS s’efforce à mener ses ambitions dans une conscience sociétale et écologique qui nous tient à cœur.","Performing Arts and Spectator Sports","2-10 employees","Partnership","Paris, Île-de-France","France","iloveoctopus.com","https://www.linkedin.com/company/iloveoctopus"
