"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Getty Images","Getty Images (NYSE: GETY) is a preeminent global visual content creator and marketplace that offers a full range of content solutions to meet the needs of any customer around the globe, no matter their size. Through its Getty Images, iStock and Unsplash brands, websites and APIs, Getty Images serves customers in almost every country in the world and is the first-place people turn to discover, purchase and share powerful visual content from the world’s best photographers and videographers. Getty Images works with over 583,000 content creators and more than 350 content partners to deliver this powerful and comprehensive content. Each year Getty Images covers more than 160,000 news, sport and entertainment events providing depth and breadth of coverage that is unmatched. Getty Images maintains one of the largest and best privately-owned photographic archives in the world with millions of images dating back to the beginning of photography. Through its best-in-class creative library and Custom Content solutions, Getty Images helps customers elevate their creativity and entire end‑to‑end creative process to find the right visual for any need. With the adoption and distribution of generative AI technologies and tools trained on permissioned content that include indemnification and perpetual, worldwide usage rights, Getty Images and iStock customers can use text to image generation to ideate and create commercially safe compelling visuals, further expanding Getty Images capabilities to deliver exactly what customers are looking for. For company news and announcements, visit our Newsroom (https://newsroom.gettyimages.com/).","Photography","1,001-5,000 employees","Public Company","Seattle, Washington","United States","gettyimages.com","https://www.linkedin.com/company/getty-images"
,"Professional Photographers of America","Professional Photographers of America (PPA) is a non-profit organization founded back in 1868. Our mission is to create a vibrant community of successful professional photographers by offering education, resources, and upholding industry standards of excellence. As trends, technology, and the consumer landscape changes, PPA remains committed to serving 35,0000+ members across 70+ countries. At PPA, our goal is to empower our members to build sustainable, profitable businesses while elevating their photography skills.

We do this by offering competition, certification, and degrees as the pathway for photographers to refine their craft and stand out to clients. Our members stay ahead of the curve with benefits like Professional Photographer magazine, a vast online educational library, curriculums, a variety of year-round workshops, and our annual conference, Imaging USA. To safeguard our members’ businesses, we offer equipment insurance, malpractice coverage, and the indemnification trust, assisting hundreds every year. PPA champions copyright protection of intellectual property and is a strong advocate for photographer rights on Capitol Hill.

We are guided by our Board of Directors and our work is made possible by an incredible network of volunteers, committee members, and our members. Explore the resources, tools, and supportive community PPA provides to help photographers flourish. Join at PPA.com. ","Photography","11-50 employees","Non Profit","Atlanta, Georgia","United States","ppa.com","https://www.linkedin.com/company/ourppa"
,"Magnum Photos","Magnum Photos is a collective of acclaimed, independent photographers who share an ongoing commitment to documenting world events, people, places, daily life and culture.

Founded in 1947, Magnum Photos has been telling stories of the past, defining the present, and shaping the future through photography for over 75 years, united by its values of uncompromising excellence, truth, respect and independence.
 
Magnum Photos provides commissioning services and image licensing to a global client base of media platforms, publishers, cultural institutions, brands and advertising agencies.

The Magnum Photos archive is a living library with regularly updated content from all over the world. It counts 600,000 digital images and a print archive of 1 million photographs.

www.instagram.com/magnumphotos
www.facebook.com/MagnumPhotos
www.twitter.com/MagnumPhotos
https://www.tiktok.com/@magnumphotos?lang=en
www.pinterest.com/magnumphotos","Photography","51-200 employees","Privately Held","New York, NY","United States","magnumphotos.com","https://www.linkedin.com/company/magnum-photos"
,"Leica Camera Ltd","International manufacturer of handcrafted and precision photographic and sport optics equipment, Leica Camera AG has been taking its discerning clientele on a journey of connoisseurship for 100 years.

Designed with a passion for perfection, Leica products are appreciated throughout the world by photography and sport optics enthusiasts who demand the finest quality, precision and reliability.

Leica Camera AG's corporate headquarters are located in Wetzlar, Germany, with subsidiaries in the UK, France, Japan, Singapore, Switzerland, South Korea, Italy and the USA and distributors in other areas of the world. Internationally and in the UK, Leica products are only available at Leica company flagship stores, boutiques and from a limited number of authorised partners.

A destination for the authentic Leica experience, Leica Camera's UK facilities include the Leica Store London Mayfair, Leica Store London Harrods, Leica Online Store UK, Akademie and Customer Care. Leica Camera's London operations take photographers on a memorable journey, capturing the next decisive moment.

Learn with the Leica Akademie: store.leica-camera.com/uk/en/akademie/home","Photography","11-50 employees","Privately Held","LONDON, London","United Kingdom","leica-camera.com","https://www.linkedin.com/company/leicacameraltd"
,"Hasselblad","Founded in 1941, Hasselblad is the leading manufacturer of medium format cameras and lenses. 

Headquartered in Gothenburg, Sweden, where the cameras are handmade, Hasselblad is a global brand with offices in New York, London, Tokyo, Paris, Copenhagen and Hamburg with distributors throughout the world.

Hasselblad cameras are renowned for their iconic ergonomic design, uncompromising image quality, Swedish craftsmanship and high performance. 

Hasselblad cameras have captured some of the world’s most iconic images – including the first landing on the moon – and helped shape the way we look at the world through genuine photographic artistry. 

Trusted by NASA and used by the greatest photographers in the world, Hasselblad continues to create products with uncompromising image quality that inspire.

Facebook: www.facebook.com/Hasselblad
Twitter: www.twitter.com/Hasselblad
Instagram: www.instagram.com/hasselblad","Photography","51-200 employees","Privately Held","Gothenburg","Sweden","hasselblad.com","https://www.linkedin.com/company/hasselblad"
,"World Press Photo","World Press Photo is an independent non-profit organization that champions the power of photojournalism and documentary photography to deepen understanding of the world’s complexities, promote dialogue, and inspire action. Founded in the Netherlands in 1955, our annual contest and thematic exhibitions reach millions of people in over 80 locations worldwide each year, and our online work reaches millions more. 

We showcase compelling stories to create space for reflection in times of urgency. Amid a fast-changing media landscape influenced by censorship, misinformation, and threats to press freedom, we promote standards of accuracy, authenticity, visual excellence, while ensuring diverse perspectives are represented. Our education programs support photographers in reaching these standards, and help the public explore the profound societal impact of photography.

We are thankful for the support of our funders, particularly our strategic partners the Dutch Postcode Lottery, PwC, and FUJIFILM Corporation.

View our community guidelines: https://www.worldpressphoto.org/about-us/social-media-moderation-guidelines","Photography","11-50 employees","Non Profit","Amsterdam, North Holland","Netherlands","worldpressphoto.org","https://www.linkedin.com/company/world-press-photo"
,"International Center of Photography","The International Center of Photography (ICP) is the world’s leading institution dedicated to photography and visual culture. Through our exhibitions, educational programs, and community outreach, we offer an open forum for dialogue about the role images play in our culture. Since our founding, we have presented more than 700 exhibitions and offered thousands of classes, providing instruction at every level. ICP is a center where photographers and artists, students and scholars can create and interpret the world of the image within our comprehensive educational facilities and archive.","Photography","51-200 employees","Non Profit","New York, NY","United States","icp.org","https://www.linkedin.com/company/international-center-of-photography"
,"Association of Photographers","Protect  -  Promote  -  Inspire

The Association of Photographers was first formed in 1968 as the Association of Fashion and Advertising Photographers and is one of the most prestigious professional photographers' associations in the world.

The AOP's aims remain the same today as they were nearly 50 years ago: To promote and protect the worth and standing of its members, to vigorously defend, educate and lobby for the interests and rights of all photographers, especially in the commercial photographic industry.

Membership is open to:
Professional Photographers, Assistants, Agents and Students.

Our members' clients include:
advertising agencies, design groups, corporate sector companies, publishing houses and music publishers.

Our members' work is:
published worldwide in magazines, newspapers, books and advertising campaigns. Many members produce work as fine art, sold and collected through traditional galleries and online.

The Association brings professional photographers together and provides a sense of community that is simply unavailable anywhere else. We promote the highest levels of achievement and we lobby for our members' interests at all levels.","Photography","2-10 employees","Non Profit","London, England","United Kingdom","the-aop.org","https://www.linkedin.com/company/the-association-of-photographers-limited"
,"You+Baby Studio","A leading MENA family photo studio offering maternity, newborn, and family photography. We absolutely love what we do! Our goal as a studio is to capture precious images of your family that you will cherish for a lifetime.","Photography","51-200 employees","Self Owned","Dubai, Dubai","United Arab Emirates","youbabystudio.com","https://www.linkedin.com/company/youbabystudio"
,"Polaroid","We’re Polaroid: the original home of analog instant photography. Over our 82-year journey we’ve been called everything: The Impossible Project, Polaroid Originals, and now Polaroid; the brand where it all began. We create beautiful tools to bring people together in human and meaningful ways. In a world that’s more disconnected than ever, there’s never been a better time to appreciate what’s in front of you. We create beautiful, life-enriching tools to ground you in the here and now. We exist to help you see everyday moments, to pause them, and to relive them in something you can hold in your hand and turn to forever. Join us.","Photography","201-500 employees","Privately Held","Amsterdam, Nederlands","Netherlands","polaroid.com","https://www.linkedin.com/company/polaroid"
