"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Lundbeckfonden / Lundbeck Foundation","We are an active enterprise foundation.
Hans Lundbeck founded the company H. Lundbeck in 1915. In 1954, his widow, Grete Lundbeck, established the Lundbeck Foundation and transferred her shares in H. Lundbeck to the Foundation as the couple had no heirs.

Today the Lundbeck Foundation is driven by our dedication to neuroscience.

We work to bring discoveries to lives. People and patients lies at the heart of what we do. We unleash the potential of exceptional ideas and talented researchers by supporting the commercial journey from labs to lives, from start-up to exit – or to inclusion in the Lundbeck Foundation portfolio of long-term ownerships within healthcare.","Trusts and Estates","51-200 employees","Privately Held","Copenhagen, Capital Region","Denmark","lundbeckfonden.com","https://www.linkedin.com/company/lundbeckfonden"
,"İş Gayrimenkul Yatırım Ortaklığı","Gayrimenkullere ve gayrimenkul projelerine yatırım yapan bir portföy yönetim şirketi olan İş Gayrimenkul Yatırım Ortaklığı A.Ş., Türkiye’de sektörünün öncü şirketlerinden biridir. 

Nitelikli portföyünden elde ettiği istikrarlı kira gelirleriyle yüksek kârlılığını devam ettiren İş GYO'nun amacı, yatırımcılarına minimum riskle en yüksek getiriyi sağlamaktır. İş GYO Türkiye'de dinamik, istikrarlı ve 
profesyonel bir gayrimenkul piyasası yaratılmasına katkıda bulunmaktadır.","Trusts and Estates","51-200 employees","Public Company","Levent, Istanbul","Turkey","isgyo.com.tr","https://www.linkedin.com/company/is-gayrimenkul"
,"Nordr","I Nordr ønsker vi å være langt mer enn eiendomsutviklere. Vi jobber for nabolag hvor folk føler seg hjemme, trygge lokalsamfunn og skape verdier utenfor boligens fire vegger.","Trusts and Estates","51-200 employees","Privately Held","Fornebu, Viken","Norway","nordr.com","https://www.linkedin.com/company/nordr"
,"KB53 Token","KB53 Token: Diversification Meets Virtual Reality in RWA Investment When it comes to secure and diversified investments, the KB53 Token, masterminded by David Wegner - a seasoned entrepreneur and cash flow expert - is rewriting the rules. This token is your ticket to a diversified investment portfolio involving up to 31 real-world assets. Through its proven 4C strategy, KBFT11 offers a balanced portfolio involving commodities, companies, cash flow projects, and the crypto market. The result is lower risk with the potential for higher returns. But what truly sets KBFT11 apart is its upcoming smart web platform, offering a virtual reality experience that allows you to interact and to visualize your investments like never before. Visit kb53token.com to dive into this investment revolution.","Trusts and Estates","2-10 employees","Public Company",,,"kb53token.com","https://www.linkedin.com/company/kb53token"
,"ARYA PROPERTIES","We are here to fulfill your dream of owning a villa by taking care of all the management tasks. Our goal is to provide you with an effortless stream of passive income from your second home.","Trusts and Estates","51-200 employees","Privately Held","Rai Kuta, Indonésie","Indonesia",,"https://www.linkedin.com/company/aryaproperties"
,"Istanbul Gayrimenkul Degerleme","IGD was established in year 2005, to provide real estate valuation and real estate consultancy services. Since 2006, it continues its activities under the title Istanbul Real Estate Valuation & Consulting Inc. IGD is a “Board Listed” valuation agency by Capital Markets Board of Turkey (CMB) and Banking Regulation and Supervision Agency (BRSA).

IGD provides valuation, consulting, project development, market research, feasibility study, highest and best use analysis, machinery valuation, real estate damage assessment, real estate legal consulting services, with its licensed valuers as well as a strong set of consultants comprising academicians providing scientific support.
IGD provides reporting compliant with International Real Estate Valuation Standards (IVS).

In accordance with the relevant communiqué under Capital Markets Board regulations, IGD provides independent and impartial reporting of the potential value at a certain date of a real estate, a real estate project, or the rights and benefits to derive from a real estate.","Trusts and Estates","201-500 employees","Privately Held","Istanbul","Turkey","igd.com.tr","https://www.linkedin.com/company/istanbul-degerleme"
,"Asia House • The EAC Foundation","Asia House is the first head quarters of the former East Asiatic Company (EAC). Today, we are anchored in the EAC Foundation, functioning as secretariat and platform for strengthening relations between Denmark and Asia.

We are an independent and non-profit organization with focus on Asian countries and regional cooperation – fully aware that Asia is vast and diversified. We function as a project house, a point of connection, and as a historic hub where generations and cultures, across time and borders, can meet and empower exchange.

Don't hesitate reaching out to us! Contact us here:
Tel: +45 3526 5611 - Email: ah@asia-house.dk","Trusts and Estates","2-10 employees","Non Profit","Copenhagen Ø, DK","Denmark","asia-house.dk","https://www.linkedin.com/company/asia-house-denmark"
,"JPI FIDC","Antecipação de recebíveis e soluções financeiras.","Trusts and Estates","51-200 employees","Privately Held","Pelotas","Brazil","jpifidc.com.br","https://www.linkedin.com/company/jpifidc"
,"Finpact","Clevere und moderne Schweizer Geldanlage für die Generation 50+.","Trusts and Estates","11-50 employees","Privately Held","Zürich","Switzerland","finpact.ch","https://www.linkedin.com/company/finpact-ag"
,"Insero","Insero is an association established to foster growth and development in our local area. We work through partnerships, innovation and entrepreneurship, skills development, and the allocation of funds to a wide range of projects that strengthen the community and make our local area more attractive. That is why we prioritise collaborating with competent and passionate local stakeholders who share our ambitions for our fantastic region. At Insero (2008–), we are proud of our roots and committed to honoring our origin - it comes with a responsibility. Insero’s capital originates from the former Energi Horsens Amba, and it is our task to manage it in a way that benefits the area far into the future. Therefore, we invest the capital through a portfolio of investments in companies, properties, and securities.","Trusts and Estates","11-50 employees","Public Company","Horsens, Midtjylland","Denmark","inserohorsens.dk","https://www.linkedin.com/company/inserostyrkerlokalomraadet"
,"Insero Horsens","Insero Horsens is an foundation from Horsens.","Trusts and Estates","11-50 employees","Public Company","Horsens, Midtjylland","Denmark","inserohorsens.dk","https://www.linkedin.com/company/insero-horsens"
