"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Adobe Illustrator - Tips, Tricks, & Tutorials","Unlock the full potential of Adobe Illustrator with our comprehensive collection of tips, tricks, and tutorials. Whether you're a seasoned graphic design professional or just starting your creative journey, this resource is your key to mastering one of the industry's leading vector graphics software.","Graphic Design","Self-employed","Public Company","Sunnyvale, California","United States",,"https://www.linkedin.com/company/adobe-illustrator-tips-tricks-tutorials"
,"Adobe Photoshop - Tips, Tricks, & Tutorials","Unlock the full potential of Adobe Illustrator with our comprehensive collection of tips, tricks, and tutorials. Whether you're a seasoned graphic design professional or just starting your creative journey, this resource is your key to mastering one of the industry's leading vector graphics software.","Graphic Design","Self-employed","Public Company","Sunnyvale, California","United States",,"https://www.linkedin.com/company/adobe-photoshop-tips-tricks-tutorials"
,"Adobe Illustrator - Tips, Tricks, & Tutorials","With Illustrator and generative AI, anyone can create logos, packaging designs, web graphics, and more.","Graphic Design","10,001+ employees","Educational","Mountain View, California","United States","creatorstoolbox.com","https://www.linkedin.com/company/illustratortricks"
,"Success by Quotes","Get inspired and stay motivated!","Graphic Design","2-10 employees","Self Owned","Las Vegas","United States","successbyquotes.com","https://www.linkedin.com/company/success-by-quotes"
,"After Effects - Tips, Tricks, & Tutorials","Unlock the full potential of Adobe After Effects with our comprehensive collection of tips, tricks, and tutorials. Whether you're a seasoned graphic design professional or just starting your creative journey, this resource is your key to mastering one of the industry's leading vector graphics software.","Graphic Design","Self-employed","Self Employed","Hollister, California","United States",,"https://www.linkedin.com/company/after-effect-tips"
,"Learn Graphic Design"," Want to Boost Your Graphic Design & Visual Skills in 2025?

 Whether you're a beginner or already deep into creative tech—these Top Courses picks will sharpen your edge.

 Learn from world-class instructors. Build real projects. Grow your career. 

 Handpicked Coursera Courses to Explore:

 • Adobe Graphic Designer – Master Adobe tools for stunning designs!
  https://lnkd.in/g4HmkyiC

• Geographic Information Systems (GIS) – Learn spatial data analysis with UC Davis
  https://lnkd.in/gQNxBHC5

• Graphic Design – Create impactful visuals with CalArts
  https://lnkd.in/gtW6-UsF

• Graphic Design Elements for Non-Designers – Beginner-friendly, by CU Boulder
  https://lnkd.in/g5R3S8-P

• Probabilistic Graphical Models – Advanced data science with Stanford
  https://lnkd.in/gt7gvZ-p

• Xbox Graphic Designer – Design visuals for gaming
  https://lnkd.in/gj-rQKSH

• Brand Identity and Vector Graphics – Build strong branding with Xbox
  https://lnkd.in/gXYE3uCN

• Sales Graphics with Canva – Create professional client presentations
  https://lnkd.in/gm6AiGQ7

• Create Facebook Graphics in Visme – Craft eye-catching social content
  https://lnkd.in/gMY4jQ9q

• Create an Infographic with Infogram – Make data storytelling effortless
  https://lnkd.in/gDejza-4

• Infographics with GenAI for Marketing – Use AI to elevate your visuals
  https://lnkd.in/g6C79Szs

• Design & Make Infographics (MSU) – Project-based learning experience
  https://lnkd.in/grzCgpaN

• Fundamentals of Graphic Design – Learn essential design principles
  https://lnkd.in/gQw5dh6K

• LinkedIn Graphics with Canva – Stand out with 3D visual banners
  https://lnkd.in/gvnhPBDd

• Ultimate Graphic Design Course – Build 40 real-world projects
  https://lnkd.in/gUZ49evy

 Upskill with purpose. Learn at your pace. Start something impactful today!

#GraphicDesign #OnlineCourses #GIS #VisualCommunication #UXDesign #DataVisualizati","Graphic Design","51-200 employees","Public Company",,,,"https://www.linkedin.com/company/learn-graphics-design"
,"Graphic Designers SA","Graphic Designers SA is a creative driven freelance graphic design company. We are an integrated collective of designers & artists. Focused on graphics, motion design, web design, website design & illustration. [A Graphic Designer & illustrator Community]","Graphic Design","2-10 employees","Public Company","Cape Town, Western Cape","South Africa","graphicdesignerssa.com","https://www.linkedin.com/company/graphicdesignerssa"
,"Self Employed","Freelance print and web design.  Highly skilled in InDesign, Photoshop, and Illustrator. Web skills in Dreamweaver, rudimentary CSS and Flash.","Graphic Design","Self-employed","Self Employed",,"United States","bergmandesig.com","https://www.linkedin.com/company/self-employed_1097"
,"Design Daily","Design Daily is a space for those who live and breathe creativity. 

We’re all about sparking new ideas, exploring design trends, and sharing techniques that bring visions to life. From graphic design to UX/UI, our feed is designed to keep your inspiration flowing. 

If you’re ready to think outside the box, you’re in the right place.","Graphic Design","2-10 employees","Self Employed",,,,"https://www.linkedin.com/company/designs-daily"
,"Print Magazine","PRINT celebrates the extraordinary in design—on the page, screen, and streets. From books to branding, motion to murals, we explore how design shapes culture and why it matters. Through sharp reporting and bold critique, PRINT reveals the ideas, people, and movements defining visual communication—and why the way the world looks is never by accident.","Graphic Design","2-10 employees","Privately Held","Austin, TX","United States","printmag.com","https://www.linkedin.com/company/print-magazine"
