"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Upholstery2u Ltd","At Upholstery2u, we’ve ripped up the rule book to deliver a high-quality and affordable mobile upholstery service. 

Our expert upholsterers come directly to your doorstep - using our pioneering, high-spec mobile workshops to refresh your space quickly and professionally without disrupting your business. Simply, we’ve got it in the van. 

As an award winning business, that was founded in 2021 by Daniel and Michael Boyle, we combined industry knowledge with focus on people. We pride ourselves on delivering a personalised, human service that prioritises the needs of our clients and team members. We thrive in multiple industries, catering to the diverse needs of businesses nationwide.

What’s more, Upholstery2u is a green option – by bringing well-used equipment and furniture back to life, we prevent thousands of items from going to landfill.

Linktr.ee: https://linktr.ee/upholstery2u.uk","Reupholstery and Furniture Repair","51-200 employees","Public Company","United Kingdom","United Kingdom","upholstery2u.com","https://www.linkedin.com/company/upholstery2u-ltd"
,"Tertio","- Jusqu’à 50% d’économie par rapport au prix neuf 
- minimum 40 Kg éq CO2 sauvés par siège
- garantie de 1 à 5 ans

Tertio accompagne les entreprises dans leur démarche RSE et éco responsable en proposant une alternative qui permet de rallonger de plus de 10 ans la durée de vie des sièges de travail. 

Grace à notre offre de reconditionnement 100% réalisé en France et agrée par les plus grands fabricants, nous contribuons à augmenter l’accès à des sièges ergonomiques au plus grand nombre. 

Avec Tertio Recycle:

- Donnez accès à des sièges ergonomiques à plus de collaborateurs et diminuer les TMS (Troubles Musculo squelettiques)
- Contribuez au réemploi et diminuer la pollution grâce à une offre de reconditionnement claire et accessible
- Engagez votre entreprise dans une démarche écologique grâce à un processus de reconditionnement unique en France et donnez une seconde vie à vos sièges de bureaux","Reupholstery and Furniture Repair","11-50 employees","Privately Held","Les Alluets-le-Roi, Île-de-France","France","tertio-recycle.fr","https://www.linkedin.com/company/tertio-recycle"
,"Confort Service","Confort Service is a service provider company specialized in the repair of leather, fabric and microfiber lounges and armchairs. With more than 25 years of experience in the field of after-sales service, our expertise is recognized by the largest manufacturers with whom we work in close collaboration. 

Confort Service is also: 

- Repairs carried out directly at home 
- Interventions carried out throughout France and in Corsica 
- A phoning platform based in the Grand Est, available from Monday to Friday to ensure appointments and case tracking
- A planning service at the cutting edge of technology and a first distance expertise
- Repair of your products out of warranty 

Our expertises: 

- Replacement of foams for softening seats and backs 
- Repair of breakdown of the electric relaxation system 
- Structure and base defect 
- Color work on leather (following a hitch, a scratch, etc.) 
- Recovering (pre-sewn covers only) 
- Spare parts replacement 
* non-exhaustive list 

Our key figures: 
- 48 technicians in France
- 50,000 interventions per year 
- 220 manufacturers partners worldwide 
- 7,500 stores partners in France 


SWITCHBOARD OPENING HOURS 

Monday to Thursday from 9 a.m. to 5 p.m. and Friday from 9 a.m. to 4 p.m. 


CUSTOMER SERVICE OPENING HOURS 

Monday to Thursday from 9 a.m. to 12 p.m. and 2 p.m. to 5 p.m. and Friday from 9 a.m. to 12 p.m. and 2 p.m. to 4 p.m.","Reupholstery and Furniture Repair","51-200 employees","Privately Held","Petite-Rosselle, Grand Est","France","confortservice.com","https://www.linkedin.com/company/confort-service-reparation-canape-salon-cuir-tissus-sav-expertise-devis"
,"Trysofic Projects","-Trysofic Projects Reupholsters and Repairs high quality, reasonably priced and durable fashionable furniture. Materials used range from Euro and Genuine leather to fabric. Indeed, we leave you with the choice of which material you’ll prefer, indicating our commitment to quality customer service.""

-The mission of Trysofic Projects is to serve the community with the best service at a fair price. Trysofic Projects is dedicated to providing the highest quality workmanship, meeting the agreed delivery dates, and executing the custom work exactly in accordance with the customers concept","Reupholstery and Furniture Repair","2-10 employees","Privately Held","Roodepoort, Gauteng","South Africa",,"https://www.linkedin.com/company/trysofic-projects"
,"RE:inventar","Re:inventar jobber med dokumentasjon, kvalitetssikring, ombruk, redesign og formidling av møbler og inventar. Vi jobber mot eiendomsbransjen, entreprenørbransjen, privat næring og offentlig virksomhet, både direkte og indirekte. Vårt nettverk av operasjonelle aktører gjør at vi skal gjennomføre våre prosjelt så lokalt som mulig, hvor både kvalitet og bærekraft ivaretas og dokumenteres.

Re:inventar vil gjennom stort fokus på bærekraft legge til rette for at lokale fabrikker/leverandører innenfor møbel- og inventarsegmentet skal kunne oppnå vekst.","Reupholstery and Furniture Repair","2-10 employees","Privately Held","Moss, Østfold","Norway","reinventar.no","https://www.linkedin.com/company/re-inventar"
,"Estofacar","Estofacar é uma empresa do ramo de estofaria automotiva. Localizada na Rua General Euríco Gáspar Dutra, nº397 - Estreito, Florianópolis, Brazil.","Reupholstery and Furniture Repair","11-50 employees","Privately Held","Florianópolis","Brazil","estofacar.com.br","https://www.linkedin.com/company/estofacar"
,"Furniture Repair Bank","Furniture Repair Bank is growing a community of empowered individuals to reduce household waste through repair and redesign to benefit refugees and low-income families and individuals. We rescue broken and worn furniture items from the public and our partners, restore and redesign them with the help of volunteers, and then provide them to recent immigrants and other people in need.

At Furniture Repair Bank, we are reducing the climate impact of furniture waste by promoting the circular economy of repair and redesign. We empower individuals and build a resilient community by teaching repair and refinishing skills to volunteers, talents that are less frequently passed down through the generations in our increasingly disposable economy. Our volunteers and donors learn that worn or broken furniture does not have to be destined for a landfill. Once restored to like-new condition, the items are gifted to community members in need, such as refugees, domestic violence survivors, and people emerging from homeless situations.

Our efforts are only made possible by our volunteers. Through furniture repair or group volunteering, help with deliveries or warehouse coordination, you can make a tangible difference for the environment and in other people’s lives.

We're here to help companies and groups meet their volunteer goals and promote an engaged workforce. We specialize in group volunteer events that require no skill or preparation. Reach out to build your hands-on, team-building experience with impacts that will last beyond your time with us.","Reupholstery and Furniture Repair","2-10 employees","Non Profit","Seattle, WA","United States","repairbank.org","https://www.linkedin.com/company/repair-bank"
,"NEO","Allier conscience et confort dans vos espaces de travail !

NEO rénove et réemploie vos équipements pour créer des espaces conviviaux et personnalisés. Pierre, bois, métal… Nous appliquons des revêtements adhésifs au visuel et au toucher réalistes sur votre mobilier pour moderniser votre environnement de travail tout en s'inscrivant dans une démarche écoresponsable.

Des chaises ou des fauteuils vieillissants, abimés ou encore tâchés ? Nous rénovons le tissu et la mousse ! 

NEO vous propose également de la pose de film solaire, confidentialité ou ant-UV. C'est la fin des problématiques de chaleur ou de vis-à-vis dans vos bâtiments !

Et si vous souhaitez renouveler ou acquérir du mobilier, nous avons une large gamme de mobilier d'occasion !","Reupholstery and Furniture Repair","2-10 employees","Privately Held","Thise, Bourgogne-Franche-Comté","France",,"https://www.linkedin.com/company/neo-pro"
,"Mark Baker - Antique Furniture Restoration","Get a unique look for your home with beautiful bespoke furniture by Mark Baker. Based in Hampton, we are ideally located for the South West London area.

Antique furniture can be transformed to give it a modern new twist, or we can provide designs to suit your tastes. For stunning custom furniture, get in touch now.","Reupholstery and Furniture Repair","2-10 employees","Self Owned","Windsor, Berkshire","United States","furnituretwickenham.co.uk","https://www.linkedin.com/company/markbakerfurniture"
,"Antiques & Furniture Restoration, Inc. - Refinishing, Repair & Upholstery since 1991","Antiques & Furniture Restoration, Inc. was founded in 1991 in New York City. In 1996, we moved our service to Sterling, Virginia. We are a full service antiques and furniture restoration company. Our 3000 square foot shop handles complete repair and refinishing services, specializing in French Polishing, Color Matching, Piece Replacement, Re-gluing, Upholstery and Repair. Antique Furniture and Restoration, Inc. also handles Insurance Claims for fire, smoke and water damage.

The focus of our work is on maintaining and restoring the look and artistic value of our client’s fine furniture, as well as retaining the value and integrity of the antique. To do so we utilize the finest traditions of quality hand craftsmanship available, we do so with all environmentally safe products. We have by far the most experience with environmentally safe and oil based products . Our products are highly durable and can achieve any look and feel from hand rubbed oil to lacquer and French polish finishes.

Every step in the total process-from the stripping to the final finish-is done by hand. Our company, has over twenty years experience in the field of antique refinishing and restoration. The skills the company has acquired have been obtained through hands-on experience under the guidance of Haridi and his staff of various local craftsmen and experts.

The restoration process involves the use of precious woods and products treated in a way as to preserve their antique value. Every step of our refinishing and restoration process is done in such a way as to preserve the original colors and tonalities of the wood. Every effort is made to ensure the warmth of your furniture. Our finishing is done using only the finest products.","Reupholstery and Furniture Repair","2-10 employees","Privately Held","Sterling, Virginia","United States","refinishing.org","https://www.linkedin.com/company/antiques-&-furniture-restoration-inc-"
