"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Techreus","Action-adventure streamer with almost 1,000,000 followers across multiple platforms.","Entertainment","Self-employed","Self Employed",,,,"https://www.linkedin.com/company/techreus-gaming"
,"Discovery Inc","Discovery, Inc. is now Warner Bros. Discovery! Follow our new LinkedIn page, Warner Bros. Discovery.","Entertainment","10,001+ employees","Public Company","New York","United States","wbd.com","https://www.linkedin.com/company/discoveryinc"
,"Variety","Variety is the #1 entertainment business news brand. Now celebrating its 119th year, Variety remains the most read showbiz publication in the world with over 30MM unique users/month and 14MM social followers.  Featuring award-winning breaking news reporting, insightful award-season coverage, must-read feature spotlights and intelligent analysis of the industry’s most prominent players, Variety is the trusted source for the business of global entertainment. Read by a highly engaged audience of industry insiders, Variety’s multi-platform content coverage expands across digital, mobile, social, print and branded content, events and summits. For more, visit www.variety.com","Entertainment","51-200 employees","Public Company","Los Angeles, CA","United States","variety.com","https://www.linkedin.com/company/variety"
,"Cinépolis","Leading global entertainment company born in Latin America, with over 6,000 screens, 3rd largest in the world. Cinépolis has operations in Mexico, Central and South America, Asia, Spain, India and United States of America. With more than 40k cinepolites delivering the ""Cinepolis"" experience based in the vision of ""Illuminating your life movie with smiles & unforgettable moments"". #youarethestar","Entertainment","10,001+ employees","Privately Held","Morelia , Michoacán","Mexico","cinepolis.com","https://www.linkedin.com/company/cinepolisjobsglobal"
,"Viacom","Viacom creates entertainment experiences that drive conversation and culture around the world. Through television, film, digital media, live events, merchandise and solutions, our brands connect with diverse, young and young at heart audiences in more than 180 countries.","Entertainment","10,001+ employees","Public Company","New York, NY","United States","viacom.com","https://www.linkedin.com/company/viacom"
,"Universal Studios Hollywood","Experience Universal Studios Hollywood  - where everyday is an opportunity to take action, a chance to have fun.
 
We bring to life the ultimate Hollywood entertainment experience with the world’s largest movie studio and heart-pounding rides, shows and attractions. Here, your individuality helps movie-making magic meet real life thrills to inspire memories that last a lifetime. 
 
Therefore, we strive to attract the best talent across a range of positions from hourly guest service to professionals. You are encouraged to bring the passion, energy and creativity that will make a difference to the thousands of families and friends who explore our universe every day.
 
Get ready for an epic adventure at a place where you can be Universally You - Universal Studios Hollywood , the Entertainment Capital of L.A℠.","Entertainment","5,001-10,000 employees","Public Company","Universal City, CA","United States","universalstudioshollywood.com","https://www.linkedin.com/company/universal-studios-hollywood"
,"Warner Bros. Animation","Warner Bros. Animation (WBA) is one of the leading producers of animation in the entertainment industry, producing and developing projects both domestically and internationally. 

As home to the iconic animated characters from the DC, Hanna-Barbera, MGM and Looney Tunes libraries, WBA produces highly successful series, shorts, specials, and animated films — including the DC Universe Movies — for release on multiple platforms including HBO, MAX, Netflix, and Hulu.","Entertainment","10,001+ employees","Public Company","burbank","United States","warnerbros.com","https://www.linkedin.com/company/warner-bros.-animation"
,"Disneyland Resort","Walt Disney opened Disneyland Park on July 17, 1955, with hopes that it would become “a source of joy and inspiration to all the world.” Since then, the Disneyland Resort in Anaheim, Calif., has welcomed guests from around the world, expanding to become an approximately 500-acre, multifaceted, world-class family resort destination, complete with two renowned Disney theme parks, three hotels and the Downtown Disney District known for its exciting shopping, dining and entertainment.

Disneyland introduced the world to an entirely new concept in family entertainment. Today, it continues to invest in creativity, technology and innovation to bring storytelling to new heights, while fulfilling Walt Disney’s vision that “Disneyland will never be complete as long as there is imagination left in the world.”","Entertainment","10,001+ employees","Public Company","Anaheim","United States","disneyland.jobs","https://www.linkedin.com/company/disneyland-resort"
,"DIRECTV","At DIRECTV, we believe TV is meant to be enjoyed. Everything we do is focused on delivering an entertainment experience above and beyond expectations and industry standards and advocating for excellence on behalf of our customers.  
 
A shared passion for the joy of television defines our mission to offer the content, service, and reliability that allows our customers to connect, unwind, and indulge their inner superfan by watching what they love on any screen, anywhere. 
 
We never stop innovating and continue to embrace emerging technologies. We’re constantly evolving our products, including best-in-class content and personalized services to provide our customers with industry-leading video offerings. 
 
Learn more about our offerings at DIRECTV.COM and follow us @DIRECTV on Instagram, TikTok, Facebook and X. To learn more about DIRECTV's culture and what it's like to be an employee, follow us at @WeAreDIRECTV on X and Instagram. And stay up to date with our @DIRECTVNews handle on X.","Entertainment","10,001+ employees","Public Company","El Segundo, CA","United States","direc.tv","https://www.linkedin.com/company/directv"
,"Blumhouse","Blumhouse is a film and television production company, based in Los Angeles, and founded by Jason Blum.","Entertainment","51-200 employees","Privately Held","Los Angeles, California","United States","blumhouse.com","https://www.linkedin.com/company/blumhouse"
