"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Corporación Fernandez S.A.","Corporación Fernández S.A. es una Empresa Nacional comercializadora, productora y procesadora de productos cárnicos y alimentos de consumo masivo en beneficio del bienestar y nutrición de sus clientes en armonía con el medio ambiente.

Mejora continuamente sus procesos para generar eficacia y eficiencia en su Sistema de Gestión, implementado Calidad, Buenas Prácticas de Manufactura y Pecuarias, Seguridad Alimentaria, Seguridad en el Medio Ambiente, Seguridad Industrial y Salud Ocupacional, además de mantener el compromiso con la Responsabilidad Social, la Satisfacción al Cliente y el cumplimiento de la legislación técnico legal vigente, siendo su base valores compartidos que caracterizan su Cultura Organizacional.
 
Corporación Fernández S.A cumple con su política y la socializa a sus partes interesadas, asignando los recursos económicos, técnicos  y tecnológicos necesarios para contribuir al Desarrollo Organizacional.","Meat Products Manufacturing","501-1,000 employees","Privately Held","Guayaquil, Guayas","Ecuador","fernandez.ec","https://www.linkedin.com/company/corporacion-fernandez"
,"Frigorífico Better Beef","Somos a unidade frigorífica do Better Group, especializada em carne bovina de alta qualidade desde 2003. Operamos com unidades industriais em Rancharia/SP e Araçatuba/SP, totalizando 1.500 abates/dia, e contamos com centros de distribuição em Itapevi/SP e Limeira/SP, garantindo agilidade logística e padronização de entrega.

A qualidade dos nossos cortes nasce na Agropecuária Vista Alegre: O maior confinamento coberto da América Latina, com capacidade para 40 mil animais, onde aplicamos bem-estar animal, manejo sanitário avançado e rastreabilidade total.

Nossa operação verticalizada, nos permite garantir QUALIDADE DO COMEÇO AO FIM, QUE VOCÊ VÊ, SENTE E CONFIA, além de estar alinhada às exigências globais mais restritivas: bem-estar animal, segurança alimentar, sustentabilidade, gestão de risco e transparência nos processos fazem parte do nosso propósito.

Produzimos com responsabilidade, tecnologia e critérios técnicos claros. A mesma carne que exportamos para mercados exigentes é a mesma que oferecemos ao mercado interno, com sabor, maciez e segurança.

Better Beef. 
Qualidade do começo ao fim, que você vê, sente e confia.","Meat Products Manufacturing","1,001-5,000 employees","Privately Held","Rancharia, São Paulo","Brazil","betterbeef.com.br","https://www.linkedin.com/company/betterbeefgroup"
,"Al Zain Poultry Farms LLC","Al Zain Poultry Farm was established in 2011 in Sultanate  Of  Oman,  in line with the vision of His Majesty Sultan Qaboos Bin Said to maintain food sustainability in Oman and ensure Good Quality locally produce. Within short period of time Al Zain Farms has started production of farm fresh Eggs, liquid Eggs, fresh and frozen Chickens. Al Zain Poultry farm is located at Bumsika, Sinaw  in the Sultanate of Oman. 


All our products are 100% halal and hygienically packed in state of the art facilities that are away from urban areas, polluted air and water. We truly give you freshness that you can savor and this is not just our promise but a way of life at Al Zain Farms.
We promise our consumers “fresh quality, healthy product & value for money”.
AL-ZAIN FARM LLC is HACCP & ISO 22000:2005 certified company","Meat Products Manufacturing","501-1,000 employees","Partnership","Muscat, Muscat","Oman","alzainpoultryfarm.com","https://www.linkedin.com/company/alzainfarms"
,"BRF_SA","BRF S.A. is a Brazilian food processing company with over 30 brands in its portfolio. They include Sadia, Perdigão, Qualy, Paty, Dánica and Bocatti. Its products are sold in over 150 countries, in five continents. More than 100 thousand employees work at the company, which owns more than 50 factories in eight countries: Argentina, Brazil, United Arab Emirates, Netherlands, Malaysia, United Kingdom, Thailand and Turkey.. we are mainly specialize in the supply of meat products such as frozen chicken part, frozen pork parts and cow meat","Meat Products Manufacturing","5,001-10,000 employees","Partnership","Itajaí, Santa Catarina","Brazil","sadia-export.com","https://www.linkedin.com/company/brf-sadia-brazil"
,"Golden Meat-Farm","Golden Meat Company, established in 2019, is one of the leading companies in the field of animal production and among the largest farms in the region today. We are dedicated to providing premium-quality, fresh, and healthy meat. We focus on natural livestock raising, and delivering exceptional products to our customers. With a commitment to quality and care, we ensure every step—from farm to table—meets the highest standards.","Meat Products Manufacturing","201-500 employees","Self Owned","Katameya Heights","United States",,"https://www.linkedin.com/company/golden-meat-farm"
,"Villani SpA","Since 1886 we have been producing special cold cuts, a skilful expression of a careful selection of territories in Italy, created with care by the expert hands of our masters, with a constant drive towards the highest levels of quality and perfection.

We are modern day masters of the Italian art of cold cuts preparation. Our products are rooted in expertise but look towards the future.

Quality is what drives our work. Passionate about our work, we are constantly committed to perfecting our specialities, driven by the desire to surprise and delight anyone who chooses our products.

People, with their talents, sensitivity and experience, guide our entire process, respecting the necessary production times and the cycles of nature. All of us at Villani, share the same company culture and the same common objective: a perfectly made product. 

We are proud to spread around the world a heritage of knowledge and flavours, which are the proud expression of our identity.","Meat Products Manufacturing","201-500 employees","Privately Held","Castelnuovo Rangone, Modena","Italy","villanisalumi.it","https://www.linkedin.com/company/villani-spa"
,"Frigorífico Grupo Tresnal","Desde nuestra planta frigorífica ubicada en Navarro, provincia de Buenos Aires trabajamos para satisfacer a nuestros clientes con el objetivo de fidelizar las relaciones comerciales y potenciar su crecimiento brindando productos cárnicos de excelente calidad.","Meat Products Manufacturing","201-500 employees","Self Owned","Navarro, Buenos Aires","Argentina","grupotresnal.com.ar","https://www.linkedin.com/company/frigor-fico-grupo-tresnal"
,"Good Ranchers","Our mission is to bring people to the table. Good Ranchers exists to connect the American family to the American farm, so that every person can know and trust where their meat comes from. We aim to provide high-quality meat at an affordable price while strengthening the American agriculture supply chain. 

With every order, a portion goes to support the Paralyzed Veterans Of America. To bring all veterans to the table, Good Ranchers will donate proceeds from every purchase to PVA, launch exclusive boxes for Veteran's Day and Memorial Day, and much more! We are excited for the good we can do together as we continue to grow. Taste the difference of the highest quality meat America has to offer while making a difference in your community.","Meat Products Manufacturing","51-200 employees","Self Owned","Friendswood, Texas","United States","goodranchers.com","https://www.linkedin.com/company/good-ranchers"
,"CoopeMontecillos","Cooperativa costarricense líder en el mercado de la industria cárnica. Contamos con una experiencia de más de 60 años y cerca de dos mil asociados, entre productores y colaboradores.
Nos enfocamos en la captación y procesamiento de ganado bovino y porcino para alimentos, así como la comercialización de cueros salados y la fabricación  de jabones.
Cada día trabajamos con el objetivo de ofrecer al consumidor productos de primera calidad en nuestros 30 Centros de Carne.","Meat Products Manufacturing","1,001-5,000 employees","Privately Held","Montecillos, Alajuela","Costa Rica","montecillos.com","https://www.linkedin.com/company/coopemontecillos"
,"QMP","Quality Meat Packers (QMP) is a privately owned company with a commitment to quality and innovation. Our company is guided by a family commitment to quality that goes back to our founding in 1970, when the company established its first butchery outlet in a posh Nairobi suburb to provide quality real halal meat products to the local community. Today QMP operates the largest slaughterhouse and meat processing plant in Kenya.

Our Beef, Lamb and processed products are unique as we are one of the few vertically integrated agribusiness in the region. This vertical integration gives us total control of the origin and freshness of all products and enables us to ensure quality at every step. This begins with a robust harvesting program at farms, continues through the implementation of good manufacturing practices at the factory floor and all the way to cold chain delivery through our own fleet of refrigerated vesicles.

As a company owned by a Muslim family with high values, QMP places the highest emphasis on full Halal compliance at all times. We are amongst the few meat processors in East Africa who do not deal with any non-halal products.  

Our slaughterhouse is the first privately owned slaughterhouse and meat processing plant to be declared 100% export compliant by Government of Kenya  in 1998. We have the gazette approvals from government of UAE, KSA, Egypt and other Middle East and African countries.  We have ISO 22000;2018, ISO TS 22002-1:2009 and additional FSSC 22000 requirements V5 by BVQ1.","Meat Products Manufacturing","501-1,000 employees","Partnership","Nairobi","Kenya","qmpkenya.com","https://www.linkedin.com/company/qmpkenya"
,"P.G.NIKAS SA","P.G. NIKAS SA was founded in 1966 inspired by a man's vision to create unique cured meat products based on high quality and top safety. 
We are a historical brand, looking forward to meeting contemporary consumer needs.","Meat Products Manufacturing","501-1,000 employees","Privately Held","Αγιος Στέφανος","Greece","nikas.gr","https://www.linkedin.com/company/p-g-nikas-sa"
,"Van Rooi Meat BV","Het familiebedrijf Van Rooi heeft een lange historie in de varkenshouderij en vleesverwerking. Martien van Rooi begon meer dan een halve eeuw geleden met een veehandel. Dit werd later uitgebreid met slachterij en vleesverwerking. Inmiddels bestaat de Van Rooi Group uit veehandel in Lieshout, een slachthuis, productielocatie en vrieshuis in Helmond, een productielocatie in Someren en enkele vestigingen in het buitenland. Hiermee wordt een jaaromzet van meer dan € 500 miljoen gerealiseerd.
Door uitbreiding van de moderne productielocatie in Helmond, is Van Rooi Group de eerste vleesverwerker die het hele proces van boer tot bord onder één dak heeft. Alle stappen in het proces – van slachten naar uitsnijden en uitbenen tot verwerken, verpakken en invriezen – worden onder één dak gedaan. Dit zorgt voor korte lijnen, efficiency, optimale versheid en kwaliteit. De voortdurende groei en optimalisatie maken het mogelijk om sneller en gemakkelijker in te spelen op onder meer nieuwe trends, zoals biologisch vlees, Milieukeur en Beter Leven. Klantgericht produceren en flexibiliteit ten behoeve van een duurzame relatie staan al jaren voorop bij Van Rooi Group.","Meat Products Manufacturing","1,001-5,000 employees","Privately Held","Helmond, Noord Brabant","Netherlands","vanrooi.com","https://www.linkedin.com/company/vanrooigroup"
