"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"BBC News","The BBC is the world leader in global breaking news, providing trusted, accurate, impartial and independent news on TV, radio, online and social media to hundreds of millions of people worldwide each week. We have an unrivalled global network of world-class journalists based in more places than any other broadcaster and covering stories from the widest variety of locations.","Broadcast Media Production and Distribution","10,001+ employees","Non Profit","London","United Kingdom","bbc.com","https://www.linkedin.com/company/bbc-news"
,"CNN","CNN Worldwide is the most honored brand in cable news, reaching more individuals on television and online than any other cable news organization in the United States. Globally, people across the world can watch CNN International, which is widely distributed in over 200 countries and territories. CNN Digital is the #1 online news destination, with more unique visitors than any other news source. CNN’s award-winning portfolio includes non-scripted programming from CNN Original Series and CNN Films for broadcast, streaming and distribution across multiple platforms. CNN programming can be found on CNN, CNN International and CNN en Español channels, on the CNN Originals hub on discovery+, on Max and for pay TV subscription via CNN.com, CNN apps and cable operator platforms. Additionally, CNN Newsource is the world’s most extensively utilized news service partnering with over 1,000 local and international news organizations around the world. CNN is a division of Warner Bros. Discovery.","Broadcast Media Production and Distribution","1,001-5,000 employees","Public Company","Atlanta","United States","cnn.com","https://www.linkedin.com/company/cnn"
,"CNBC","Welcome to CNBC's home on LinkedIn! Follow us for regular updates about financial news, top CNBC.com stories, behind-the-scenes moments and more.

CNBC, Inc. provides business news in the United States and Canada. It provides real-time financial market coverage and business information. The company, through its Web site, cnbc.com, provides real-time market analysis; video programming daily; industry and topic-specific blogs; cnbc.com live stream, a long-form scheduled programming of events; charts; and investing tools. The company was founded in 1989 and is headquartered in Englewood Cliffs, New Jersey. CNBC, Inc. operates as a subsidiary of NBC Universal, Inc.","Broadcast Media Production and Distribution","501-1,000 employees","Public Company","Englewood Cliffs, NJ","United States","cnbc.com","https://www.linkedin.com/company/cnbc"
,"BBC","The BBC is the world’s leading public service broadcaster.

We’re impartial and independent, and every day we create distinctive, world-class programmes and content which inform, educate and entertain millions of people in the UK and around the world.","Broadcast Media Production and Distribution","10,001+ employees","Public Company","London, England","United Kingdom","bbc.co.uk","https://www.linkedin.com/company/bbc"
,"Cheddar","Bringing you the latest in financial news and tech coverage. ","Broadcast Media Production and Distribution","51-200 employees","Privately Held","New York, NY","United States","cheddar.com","https://www.linkedin.com/company/cheddar-inc-"
,"Formula 1","Formula 1 delivers the world’s greatest sports and entertainment spectacle with innovation, inclusivity, and sustainability at the heart of its future growth and value. As the global rights holders of this incredible sport our team delivers the 24-race calendar direct to our passionate fans around the globe. 

Everything you see on screen or at an event comes via our people at F1. Whether its engineering, broadcast, legal, logistics, security, event management, commercial, media rights, marketing, and communications there is always a driven and talented team working to maximise the potential of the sport.  

We are focused on delivering the best for our fans and partners while also ensuring we do the right thing as a business and use the power of Formula 1 to make a positive contribution to the places we visit and to our own community. That is why sustainability and accessibility are part of every decision F1 makes. Our commitment to being Net Zero by 2030 is already reducing our emissions both on and off the track, and our focus on diversity and inclusion ensures everyone is welcome. 

This is Formula 1!","Broadcast Media Production and Distribution","501-1,000 employees","Public Company","St James' Market, London","United Kingdom","f1.com","https://www.linkedin.com/company/formula-one-management-ltd"
,"Forbes México","Forbes, la fuente global de negocios, finanzas y estilo de vida con mayor credibilidad en el mundo, ahora en México. 

Sitio web: http://www.forbes.com.mx/
Facebook: https://www.facebook.com/ForbesMexico
Twitter: https://twitter.com/Forbes_Mexico
Youtube: http://www.youtube.com/user/forbesmexico","Broadcast Media Production and Distribution","51-200 employees","Privately Held","Ciudad de México, Ciudad de México","Mexico","forbes.com.mx","https://www.linkedin.com/company/forbesmexico"
,"NPR","NPR's rigorous reporting and unsurpassed storytelling connect with millions of Americans everyday—on the air, online, and in person. NPR strives to create a more informed public—one challenged and invigorated by a deeper understanding and appreciation of events, ideas, and cultures. With a nationwide network of award-winning journalists and 17 international bureaus, NPR and its Member Stations are never far from where a story is unfolding. Listeners consider public radio an enriching and enlightening companion; they trust NPR as a daily source of unbiased independent news, and inspiring insights on life and the arts.","Broadcast Media Production and Distribution","1,001-5,000 employees","Non Profit","Washington, DC","United States","npr.org","https://www.linkedin.com/company/npr"
,"وظائف - وظيفتك علينا","نهتم بجمع ونشر اخبار الوظائف والفرص الوظيفية للباحثين عن عمل وتوفير وظائف منوعة عسكرية ومدنية وشركات للرجال والنساء باسهل الطرق.
نرحب بكم / لنشر إعلان وظيفي مجاناً على موقع وظيفتك علينا تواصل معنا عبر البريد التالي: info@wdeftksa.com","Broadcast Media Production and Distribution","2-10 employees","Self Owned","جدة, مكة المكرمة","Saudi Arabia","wdeftksa.com","https://www.linkedin.com/company/وظيفتك-علينا"
,"ESPN","ESPN is the leading multiplatform sports entertainment brand that features seven U.S. television networks, the leading sports app, direct-to-consumer ESPN+, leading social and digital platforms, ESPN.com, ESPN Audio, endeavors on every continent around the world, and more. ESPN is 80 percent owned by ABC, Inc. (an indirect subsidiary of The Walt Disney Company) and 20 percent by Hearst. Based in Bristol, Conn., ESPN has approximately 3,800 employees (4,600 worldwide).","Broadcast Media Production and Distribution","5,001-10,000 employees","Public Company","Bristol, CT","United States","espncareers.com","https://www.linkedin.com/company/espn"
,"ChinaDaily.com.cn","China Daily website (chinadaily.com.cn): Launched in 1995, the first national English-language website has become a comprehensive multimedia outlet and China’s most influential English-language Web portal. It has an average of more than 52 million page views per day. With more than 30 subsidiary websites and 300 channels, the China Daily website provides 24-hour authoritative information services about China to Web users around the world through multiple channels.","Broadcast Media Production and Distribution","501-1,000 employees","Government Agency","北京, 北京","China","chinadaily.com.cn","https://www.linkedin.com/company/中国日报网"
,"CNN Brasil","Pense bem, pense CNN.

Perfil brasileiro do maior canal de notícias do mundo. 
Acompanhe as principais notícias do dia na TV, pelo canal 577, no site, no aplicativo e nas redes sociais.","Broadcast Media Production and Distribution","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","cnnbrasil.com.br","https://www.linkedin.com/company/cnnbrasil"
,"CNBC Make It","Helping you be smarter and successful with your money, work & life.","Broadcast Media Production and Distribution","11-50 employees","Public Company","New York","United States","cnbc.com","https://www.linkedin.com/company/cnbc-make-it"
,"CNBC Africa","CNBC Africa, First in Business Worldwide, is the premier pan-African business and financial television network. With real-time coverage of financial markets and international business news, CNBC Africa provides business leaders, investors and the financial services industry across Africa with the information and analysis they need.
 
With programming from Africa, the US and Asia, CNBC Africa provides the perfect 24-hour global business briefing. Programming is built around key business events during the day. From the start of trading in Africa, through the Opening Bell on Wall Street and the closing of the markets in Asia, our fast-paced, hard-hitting business coverage makes CNBC Africa essential viewing for senior business leaders.
 
The channel has become must-see viewing for those who need to know first, and viewers all over Africa are tuning in whether at work, at home, or on the move, to keep up with the latest financial news. 
 
Today the network is available 24-hours on DStv channel 410 across sub-Saharan Africa.

In Africa, CNBC Africa launched in June 2007 as a business television network and has steadily grown its audience and built its reputation as a leading business and financial news network on the continent. As CNBC Africa grows and unfolds, it will open up and include even more news and markets information from the continent, creating a truly African network.","Broadcast Media Production and Distribution","51-200 employees","Privately Held","Johannesburg, Gauteng","South Africa",,"https://www.linkedin.com/company/cnbc-africa"
,"BFM Business","BFM Business TV est la première chaine d’information économique et financière de France. 

Elle se distingue par une programmation centrée sur la recherche d’expertise. Des émissions autour de l’actualité économique se sont établies comme des rendez-vous de l’actualité économique. « Good Morning Business » par exemple, propose sur son plateau des invités, les dernières innovations, édito et information sur les tendances de fond.

BFM Business TV est également disponible en direct sur notre site internet ainsi que sur une application qui lui est dédiée.","Broadcast Media Production and Distribution","51-200 employees","Privately Held","Paris, Île-de-France","France","bfmtv.com","https://www.linkedin.com/company/bfm-business"
,"GeekPark 极客公园","GeekPark is the biggest Chinese innovators' community. We were founded in 2010, having our headquarters in Beijing. Our community focuses on Internet products and tech trends through insightful product reports, high quality offline conferences. We connected the most outstanding entrepreneurs and product experts. We are a platform for the most awesome geeks to communicate and to collaborate.","Broadcast Media Production and Distribution","51-200 employees","Self Employed","Beijing, Beijing","China","geekpark.net","https://www.linkedin.com/company/geekpark"
,"BBC Studios","BBC Studios is a world-renowned content studio and channels & streaming business, powered by British creativity, with a reach that touches audiences in every corner of the globe.

We work with outstanding creative talent who are responsible for platform-defining shows from Strictly Come Dancing to Bluey, Prehistoric Planet to Planet Earth III.

The range and quality of our content is unsurpassed, creating critical and commercial successes and global phenomena.

From BAFTAs to RTS Awards, BBC Studios is Britain’s most awarded production company and the only producer with three of the top ten shows on IMDB; we’re the home of bbc.com, the widest-read English language news website in the world; and the UK’s largest distributor of British content.","Broadcast Media Production and Distribution","1,001-5,000 employees","Privately Held","London","United Kingdom","bbcstudios.com","https://www.linkedin.com/company/bbc-studios"
,"NDTV","NDTV is a formidable global news network, operating across both traditional and digital platforms. For 3 decades, we have been a trusted source of news for millions worldwide. As India's most trusted window to the world, we don't just report the news; we uncover the 'why' and 'what's next', ensuring every story informs, inspires, and empowers. From breaking headlines to deep-dive analyses, our team of dedicated journalists, analysts, and tech experts works relentlessly to decode complexities, amplify unheard voices, and deliver news that truly matters.

NDTV takes immense pride in leveraging its platform to create a better, more informed world. Decades of pioneering programming have spotlighted critical social issues, sparked dialogue, and inspired action. Campaigns like India Sustainability Mission, Save Our Tigers, and Greenathon brought environmental and cultural concerns to the forefront, while initiatives like Jeene Ki Asha, Kushalta ke Kadam, Marks for Sports, Support My School, and the Justice For Every Child nurtured hope and progress. In recent years, NDTV's impactful campaigns and initiatives - Banega Swasth India, and Samarth by Hyundai have championed public health, safety, and empowerment.","Broadcast Media Production and Distribution","1,001-5,000 employees","Public Company","New Delhi, DELHI","India","ndtv.com","https://www.linkedin.com/company/ndtv"
,"Sky","Sky connects and entertains millions of people across Europe. At the heart of everything we do, is a belief that people deserve better. For decades, we’ve shaken up every category we entered to give people what they love, to make life a little easier and to provide great value. That’s how we bring millions of customers the joy of a better experience in TV, broadband and mobile. 

In TV, we offer the best sports coverage, unmissable TV and the smartest ways to stream and aggregate the TV you love. In broadband, we power homes and businesses, with a fast, reliable connection. In mobile, we bring people closer, with plans at unbeatable value. And now, you can even keep your home connected and protected, through our smart insurance. We design our products to fit seamlessly into your life, with service whenever and however you need it. 


That’s how we do better for customers. And we believe in better for society too. We power the cultural economy in the UK and beyond, making award-winning news, original sport, and entertainment. We contribute billions to UK GDP, creating and sustaining thousands of jobs and sharing both our journalism and our coverage of the arts, free of charge. We are cutting emissions and making recyclable, energy-efficient products, and we give back, through free internet access and digital skills for under-served communities and young people. 

Sky is owned by Comcast Corporation, a global media and technology company.","Broadcast Media Production and Distribution","10,001+ employees","Public Company","Middlesex, England","United Kingdom","sky.com","https://www.linkedin.com/company/sky"
