"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Deloitte","Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. Deloitte invests in outstanding people of diverse talents and backgrounds and empowers them to achieve more than they could elsewhere. Our work combines advice with action and integrity. We believe that when our clients and society are stronger, so are we. 

Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited (“DTTL”), its global network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) and each of its member firms are legally separate and independent entities. DTTL does not provide services to clients. Please see www.deloitte.com/about to learn more.

The content on this page contains general information only, and none of Deloitte Touche Tohmatsu Limited, its member firms, or their related entities (collectively the “Deloitte Network”) is, by means of this publication, rendering professional advice or services. Before making any decision or taking any action that may affect your finances or your business, you should consult a qualified professional adviser. No entity in the Deloitte Network shall be responsible for any loss whatsoever sustained by any person who relies on content from this page.","Business Consulting and Services","10,001+ employees","Privately Held","Worldwide",,"deloitte.com","https://www.linkedin.com/company/deloitte"
,"Accenture","Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale.
 
We are a talent and innovation-led company serving clients in more than 120 countries. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities.

This LinkedIn company page is moderated. When engaging with Accenture, we encourage everyone to:

- Use common courtesy and be respectful of others.
- Create your own original content and avoid content that you know to be fraudulent.
- Never repost someone else's copyrighted work, unless you have permission.
- Never post personal, identifying, or confidential information.

We reserve the right to delete comments or posts we deem to be:

- Profane, obscene, inappropriate, offensive, abusive material.
- Spam, repeated comments and commercial messages and personal advertisements.
- Discriminatory or that contain hateful speech of any kind regarding age, gender, race, religion, nationality, sexual orientation, gender identity or disability.
- Threats; personal attacks; abusive, defamatory, derogatory, or inflammatory language; or stalking or harassment of any individual, entity or organization.
- False, inaccurate, libelous, or otherwise misleading in any way.","Business Consulting and Services","10,001+ employees","Public Company","Dublin 2","Ireland","accenture.com","https://www.linkedin.com/company/accenture"
,"McKinsey & Company","McKinsey & Company is a global management consulting firm. We are the trusted advisor to the world's leading businesses, governments, and institutions. 

We work with leading organizations across the private, public and social sectors. Our scale, scope, and knowledge allow us to address problems that no one else can. We have deep functional and industry expertise as well as breadth of geographical reach. We are passionate about taking on immense challenges that matter to our clients and, often, to the world. 

We work with our clients as we do with our colleagues. We build their capabilities and leadership skills at every level and every opportunity. We do this to help build internal support, get to real issues, and reach practical recommendations. We bring out the capabilities of clients to fully participate in the process and lead the ongoing work.","Business Consulting and Services","10,001+ employees","Partnership","san francisco","United States","mckinsey.com","https://www.linkedin.com/company/mckinsey"
,"Genpact","Genpact is an agentic and advanced technology solutions company. We leverage process intelligence and artificial intelligence to deliver measurable outcomes. With a strong partner ecosystem and decades of client trust, we provide innovative solutions that transform how businesses run. Powered by a team with an active learning mindset and client centricity at its core, we deliver lasting value for the world’s leading enterprises.
Get to know us at www.genpact.com and on the following social handles:
X: https://twitter.com/genpact
Facebook: https://www.facebook.com/ProudToBeGenpact/
Instagram: https://www.instagram.com/genpact_global/
YouTube: https://www.youtube.com/@GenpactGlobal

** Beware of fake offers**
Genpact never requires applicants to pay to be part of our hiring process.
If you receive an email asking you to purchase a starter kit, equipment, or training, or to pay to apply for a role, you can assume that the message is a scam. For more information on careers at Genpact, please visit us at https://www.genpact.com/careers","Business Consulting and Services","10,001+ employees","Public Company","New York, NY","United States","genpact.com","https://www.linkedin.com/company/genpact"
,"Boston Consulting Group (BCG)","Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.
 
Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. 

We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.

BCG Privacy Policy: https://www.bcg.com/about/privacy-policy.aspx","Business Consulting and Services","10,001+ employees","Partnership","Boston, Massachusetts","United States","bcg.com","https://www.linkedin.com/company/boston-consulting-group"
,"SEBRAE","Criado em 1972, o Sebrae estimula o empreendedorismo e promove a competitividade e o desenvolvimento sustentável dos pequenos negócios no Brasil.

Oferece consultoria, orientação e capacitação em gestão empresarial; promove feiras e rodadas de negócios; desenvolve e disponibiliza publicações impressas e on line; e premia as boas práticas de empreendedorismo, nos setores público e privado. 

O Sebrae atua ainda na articulação de políticas públicas que criem um ambiente mais favorável; no acesso a novos mercados, tecnologia e inovação; e na facilitação e ampliação do acesso aos serviços financeiros.

O Sebrae possui uma estrutura de atendimento presencial nos 26 estados e no Distrito Federal, um atendimento telefônico gratuito (0800 570 0800) e forte presença em ambientes online.

Saiba como encontrar o Sebrae mais perto de você: http://www.sebrae.com.br/sites/PortalSebrae/Contato

Conheça nossos cursos gratuitos: http://www.ead.sebrae.com.br/","Business Consulting and Services","5,001-10,000 employees","Non Profit","Brasília, Distrito Federal","Brazil","sebrae.com.br","https://www.linkedin.com/company/sebrae"
,"KPMG India","KPMG entities in India are established under the laws of India and are owned and managed (as the case may be) by established Indian professionals. Established in September 1993, the KPMG entities have rapidly built a significant competitive presence in the country. Today we operate from offices across 14 cities including in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijayawada.

KPMG entities have a domestic client base of over 2700 companies. Our global approach to service delivery helps provide value-added services to clients.

Our differentiation is derived from a rapid performance-based, industry-tailored and technology-enabled business advisory services delivered by some of the leading talented professionals in the country. KPMG professionals are grouped by industry focus and our clients are able to deal with industry professionals who speak their language. Our internal information technology and knowledge management systems enable the delivery of informed and timely business advice to clients.","Business Consulting and Services","10,001+ employees","Partnership","Gurugram, Haryana","India","social.kpmg","https://www.linkedin.com/company/kpmgindia"
,"Bain & Company","Bain & Company is a global consultancy that helps the world’s most ambitious change makers define the future. 

Across 65 cities in 40 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition, and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster, and more enduring outcomes. Our 10-year commitment to invest more than $1 billion in pro bono services brings our talent, expertise, and insight to organizations tackling today’s urgent challenges in education, racial equity, social justice, economic development, and the environment. We earned a platinum rating from EcoVadis, the leading platform for environmental, social, and ethical performance ratings for global supply chains, putting us in the top 1% of all companies. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client","Business Consulting and Services","10,001+ employees","Privately Held","Boston, MA","United States","bain.com","https://www.linkedin.com/company/bain-and-company"
,"PwC India","At PwC, we help clients build trust and reinvent so they can turn complexity into competitive advantage. We’re a tech-forward, people-empowered network with more than 364,000 people in 136 countries and 137 territories. Across audit and assurance, tax and legal, deals and consulting, we help clients build, accelerate, and sustain momentum. Find out more atwww.pwc.com. 

PwC refers to the PwC network and/or one or more of its member firms, each of which is a separate legal entity. Please see www.pwc.com/structure for further details.","Business Consulting and Services","10,001+ employees","Privately Held","Kolkata, West Bengal","India","pwc.in","https://www.linkedin.com/company/pwc-india"
,"Korn Ferry","Korn Ferry is a global consulting firm that powers performance. We unlock the potential in your people and unleash transformation across your business—synchronizing strategy, operations, and talent to accelerate performance, fuel growth, and inspire a legacy of change. That’s why the world’s most forward-thinking companies across every major industry turn to us—for a shared commitment to lasting impact and the bold ambition to Be More Than.","Business Consulting and Services","10,001+ employees","Public Company","Los Angeles, CA","United States","kornferry.com","https://www.linkedin.com/company/kornferry"
