"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Ubisoft","Ubisoft is a global leader in gaming with teams across the world crafting original and memorable gaming experiences featuring brands such as Assassin’s Creed, Brawlhalla, For Honor, Far Cry, Tom Clancy’s Ghost Recon, Just Dance, Rabbids, Tom Clancy’s Rainbow Six, The Crew and Tom Clancy’s The Division. 

We believe diverse perspectives help both players and teams thrive. If you’re passionate about innovation and pushing entertainment boundaries, join our journey and help us create the unknown!","Computer Games","10,001+ employees","Public Company","Saint-Mandé, Île-de-France","France","ubisoftgroup.com","https://www.linkedin.com/company/ubisoft"
,"Riot Games","Since 2006, Riot Games has stayed committed to changing the way video games are developed, published, and supported for players. From our first title, League of Legends, to 2020’s VALORANT; we have strived to evolve the community with growth in Esports, and expansion from games into entertainment. Players are the foundation of Riot's community and because of them, we’re able to reach new heights.

Founded by Brandon Beck and Marc Merrill, Riot is headquartered in Los Angeles, California, and has 4,500+ Rioters in 20+ offices worldwide. Riot has been featured on numerous lists including Fortune’s “100 Best Companies to Work For,” “25 Best Companies to Work in Technology,” “100 Best Workplaces for Millennials,” and “50 Best Workplaces for Flexibility.”

Riot Games recruiters will never ask for money or request sensitive information, and they'll always reach out from an @riotgames.com email address. You can learn more about Riot’s interview process here: https://www.riotgames.com/en/work-with-us/interviewing-at-riot/interview-process","Computer Games","1,001-5,000 employees","Privately Held","Los Angeles, CA","United States","riotgames.com","https://www.linkedin.com/company/riot-games"
,"Nintendo","Nintendo's mission is to put smiles on the faces of everyone we touch. We do so by creating new surprises for people across the world to enjoy together. We've forged our own path since 1889, when we began making hanafuda playing cards in Kyoto, Japan. Today, we’re fortunate to be able to share our characters, ideas and worlds through the medium of video games and the entertainment industry.

Nintendo of America, established in 1980 and based in Redmond, Washington, is a wholly owned subsidiary of Nintendo Co., Ltd. We are committed to delivering best-in-class products and services to our customers and to investing in the well-being of our employees as part of the global Nintendo family.

For more information about Nintendo please visit www.nintendo.com.","Computer Games","1,001-5,000 employees","Public Company","Redmond, Washington","United States","nintendo.com","https://www.linkedin.com/company/nintendo"
,"Epic Games","Founded in 1991, Epic Games is a leading interactive entertainment company and provider of 3D engine technology. Epic operates Fortnite, one of the world’s largest games with over 350 million accounts and 2.5 billion friend connections. Epic also develops Unreal Engine, which powers the world’s leading games and is adopted across industries such as film and television, architecture, automotive, manufacturing, and simulation. Through Unreal Engine, Epic Games Store, and Epic Online Services, Epic provides an end-to-end digital ecosystem for developers and creators to build, distribute, and operate games and other content. Epic has over 40 offices worldwide with headquarters in Cary, North Carolina.","Computer Games","1,001-5,000 employees","Privately Held","Cary, NC","United States","epicgames.com","https://www.linkedin.com/company/epic-games"
,"Rockstar Games","Rockstar Games is the global developer and publisher behind some of the world’s most groundbreaking, commercially successful, and critically acclaimed entertainment properties, including the Grand Theft Auto, Red Dead Redemption, Max Payne, and Midnight Club series, Bully, L.A. Noire, and The Warriors.
 
Through a commitment to progressive and innovative game design, the highest production values, and quality storytelling, Rockstar Games has helped propel video games to the center of culture.
 
Rockstar Games is an equal opportunity employer.","Computer Games","1,001-5,000 employees","Public Company","New York, New York","United States","rockstargames.com","https://www.linkedin.com/company/rockstar-games"
,"CD PROJEKT RED","We are CD PROJEKT RED, creators of The Witcher game series and Cyberpunk 2077. Home to over 1,000 game-making professionals from all over the world, we speak many languages but share one love — video games.

We’re headquartered in Warsaw, Poland — where The Witcher 4 and an original IP codenamed Hadar are in development — and have a growing hub in Boston too, where work is underway on Cyberpunk 2 and Project Sirius, a Witcher title with immersive multiplayer gameplay.

We have a player-first approach and stay true to our values, with the mission of creating revolutionary role-playing games with memorable stories that inspire players.","Computer Games","1,001-5,000 employees","Privately Held","Warsaw","Poland","cdprojektred.com","https://www.linkedin.com/company/cd-projekt-red"
,"Gameloft","We are Gameloft and our greatest reward is seeing that 1.5 million new Gameloft games are downloaded every day.

Our dream to offer mobile games to the entire planet through our products is about to become a reality. 

We owe our success to the talent and passion of our teams. It is because of their dedication to excellence and attention to detail that we can offer games of unparalleled quality to our millions of fans.

Do we have strong franchises? Yes! Just take a look at Asphalt, Order & Chaos, Modern Combat or Dungeon Hunter. . We also have a great network of partners to help us deliver cool new games to your favorite device. Think Universal, Illumination Disney, Marvel, Hasbro, Fox Digital Entertainment, Mattel, Ferrari and many more.

Gameloft is also home to Gameloft for brands and Gameloft Business Solutions, our business entities that provide gaming experiences for brands and carriers, respectively.

Learn how we create meaningful connections between people and brands at www.gameloft.com/forbrands and our customized gaming packages and subscription-based offers at www.gameloft.com/business-solutions.

Nous sommes Gameloft et voir que 1,5 million de nouveaux jeux Gameloft sont téléchargés chaque jour est notre plus grande récompense. Notre rêve d'offrir des jeux mobile à la planète entière à travers nos produits est en passe de devenir une réalité. Nous devons notre succès au talent et à la passion de nos équipes. C'est grâce à leur souci de l'excellence et du détail que nous pouvons proposer des jeux d'une qualité inégalée à nos millions de fans. Avons-nous des franchises bien établies ? Oui ! Regardez Asphalt, Order & Chaos, Modern Combat ou Dungeon Hunter. Nous avons également un excellent réseau de partenaires, qui nous permet de vous offrir de nouveaux jeux extraordinaires sur votre appareil préféré. Pensez à Universal, Illumination, Disney, Marvel, Hasbro, Fox Digital Entertainment, Mattel, Ferrari et à bien d'autres.","Computer Games","5,001-10,000 employees","Privately Held","Paris, Paris","France","gameloft.com","https://www.linkedin.com/company/gameloft"
,"Naughty Dog","For 40 years, Naughty Dog has been crafting best-selling, critically acclaimed games that constantly push the boundaries of interactive storytelling, gameplay, and technology. Naughty Dog recently released The Last of Us Part I and The Last of Us Part II Remastered for the PS5. We're also proud to say that both games are now available for the first time on PC. We’re currently busy at the kennel working on Intergalactic: The Heretic Prophet and we'd love to find talented individuals to join us.

Naughty Dog games have long been lauded for their evocative, character-driven stories and attention to detail. We are committed to innovation within our games and as such have curated some of the top creative and technically innovative minds in the industry. We welcome diverse candidates and believe that a broad range of cultural and life experiences contribute to the overall well-being and success of the studio and the titles we craft together.","Computer Games","201-500 employees","Public Company","Santa Monica, CA","United States","naughtydog.com","https://www.linkedin.com/company/naughty-dog"
,"2K","At 2K, we create unforgettable games that turn players into fanatics. Since 2005, we’ve delivered iconic experiences across PC, console, and mobile for millions of players around the world.

2K is home to many talented development studios, including 31st Union, Cat Daddy Games, Cloud Chamber, Firaxis Games, Gearbox Software, Hangar 13, HB Studios and Visual Concepts. 

2K’s portfolio currently includes several AAA, sports and entertainment brands, including global powerhouse NBA 2K; renowned BioShock, Borderlands, Mafia, Sid Meier’s Civilization and XCOM brands; popular WWE 2K and WWE SuperCard franchises, TopSpin as well as the critically and commercially acclaimed PGA TOUR 2K.

Our people are the heartbeat of 2K. We foster a culture where everyone is empowered to come as they are, think boldly, and do their best work - together. 
2K is a publishing label of Take-Two Interactive Software, Inc. (NASDAQ: TTWO).

For more information, please visit 2k.com.","Computer Games","1,001-5,000 employees","Public Company","Novato, California","United States","2k.com","https://www.linkedin.com/company/2k-games"
,"Hitmarker | Gaming Jobs","Hitmarker is the home of gaming jobs.","Computer Games","2-10 employees","Privately Held","Newcastle upon Tyne, Tyne and Wear","United Kingdom","hitmarker.net","https://www.linkedin.com/company/hitmarker"
