"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Association of the United States Army - AUSA","The Association of the United States Army is a nonprofit educational and professional development association serving America’s Total Army, our Soldiers, Army civilians, and their families; our industry partners, and supporters of a strong national defense. AUSA provides a voice for the Army, supports the Soldier, and honors those who have served in order to advance the security of the nation.

AUSA educates its members, the public, industry, and Congress about the critical nature of land warfare and the Army’s central role in national defense.

AUSA informs its members, our communities, and Congress about issues affecting America’s Army and the Soldiers who serve in the Regular Army, Army National Guard, and Army Reserve.

AUSA connects the Army to the American people at the national, regional, and chapter levels.","Military and International Affairs","51-200 employees","Non Profit","Arlington, Virginia","United States","ausa.org","https://www.linkedin.com/company/ausaorg"
,"AUKUS Forum","The nuclear powered submarine project with AUKUS thrusts Australia into a whole new world where innovation and technology rule.

AUKUS will be much more than nuclear submarines and the opportunities will expand into infrastructure and energy too.

AUKUS is already expanding from nuclear with particular emphasis on cyber capabilities, artificial intelligence, quantum technologies and more.

Moderated by Michael Sharpe

See AUKUS Forum - https://aukusforum.com","Military and International Affairs","2-10 employees","Non Profit",,,"aukusforum.com","https://www.linkedin.com/company/aukus-forum"
,"DGRIS - Direction générale des relations internationales et de la stratégie","La Direction générale des relations internationales et de la stratégie (DGRIS) contribue à la politique internationale coordonnée par le ministère de l'Europe et des Affaires étrangères et pilote l’action internationale du ministère des Armées.

Rattachée directement au ministre, la Direction générale des relations internationales et de la stratégie (DGRIS) pilote l’action internationale du ministère des Armées en y associant l’Etat-major des armées (EMA), la Direction générale de l’armement (DGA) et le Secrétariat général pour l’administration (SGA).

La DGRIS conduit également les travaux de prospective stratégique et coordonne, pour le ministère des Armées, ceux nécessaires à la préparation du Livre blanc sur la défense et la sécurité nationale et à son actualisation régulière. Elle veille, en liaison avec l’EMA, la DGA et le SGA, à l’articulation entre la stratégie de défense et la programmation militaire.

Elle représente le ministère auprès des autres départements ministériels pour les questions touchant à l’action internationale, à l’exception de la conduite des opérations des armées, des coopérations en matière d’armement et du soutien aux exportations pour lesquels elle apporte son appui et se coordonne avec l’état-major des armées et la direction générale de l’armement qui restent responsables de ces domaines. Elle définit la stratégie d’influence internationale du ministère des Armées et coordonne sa mise en œuvre.

Pour remplir ses missions, la DGRIS est composée d’une direction et de trois services.

La DGRIS pilote le réseau diplomatique de défense, qui est constitué des missions de défense (MdD) bilatérales ainsi que des représentations militaires et de la défense (RMD) et des conseillers militaires des représentants permanents auprès des organisations internationales (UE, OTAN, ONU, OSCE, Conférence du désarmement, OTICE, OIAC).","Military and International Affairs","201-500 employees","Government Agency","Paris, Île-de-France","France","defense.gouv.fr","https://www.linkedin.com/company/direction-générale-des-relations-internationales-et-de-la-stratégie-dgris"
,"Mac Jee","For over 15 years in the market, the Mac Jee Group is part of the Brazilian Defense Industrial Base (BID) and is composed of Mac Jee Defense, Mac Jee Technology, and Equipaer, innovative, technological, and 100% Brazilian companies. With a global reach, the company has qualified engineering teams with expertise in systems and solutions for the Defense Industry. The infrastructure includes factories located in São José dos Campos and Paraibuna, as well as commercial offices in São Paulo and France.","Military and International Affairs","201-500 employees","Privately Held","São José dos Campos, São Paulo","Brazil","macjee.com.br","https://www.linkedin.com/company/mac-jee"
,"Commissariat au Numérique de Défense - CND",,"Military and International Affairs","5,001-10,000 employees","Government Agency",,,"defense.gouv.fr","https://www.linkedin.com/company/commissariat-au-numérique-de-défense-cnd"
,"Naval Special Warfare Center","NSW Center is one of the eight major commands that comprise Naval Special Warfare Command, the Navy’s premier commando force and the maritime component of Special Operations Command. On any given day, NSW Center’s professional staff of more than 1,000 active-duty and civilian personnel is working to identify, assess, select and train the next generation of NSW warriors and leaders. Naval Special Warfare Center supervises Basic Training Command, Advanced Training Command, Assessment Command, and five training detachments in 16 geographic locations.","Military and International Affairs","501-1,000 employees","Government Agency","San Diego, California","United States","sealswcc.com","https://www.linkedin.com/company/naval-special-warfare-center"
,"Top Aces","Top Aces provides advanced adversary air (ADAIR) and joint terminal attack controller (JTAC) technology and training to the world’s leading armed forces. The mission-critical training offered by Top Aces enhances the operational readiness of combat forces by delivering real-world experience while creating significant cost efficiencies and extending the lifecycle of military aircraft fleets.

For a list of current career opportunities with Top Aces, please check out our ""Careers"" page at www.topaces.com/careers.","Military and International Affairs","501-1,000 employees","Privately Held","Dorval, Quebec","Canada","topaces.com","https://www.linkedin.com/company/top-aces"
,"Pakistan Armed Forces","About Us:

The Pakistan Armed Forces are the military forces of the Islamic Republic of Pakistan, responsible for defending the country's sovereignty and territorial integrity. It comprises the Pakistan Army, Pakistan Air Force, and Pakistan Navy,  built on a foundation of courage, honor, and loyalty.

Mission:

To protect Pakistan from external and internal threats, while maintaining the highest standards of professionalism, discipline, and sacrifice. PAF are committed to upholding the Constitution of Pakistan and defending the nation's interests at all costs.

Our Values:

- Loyalty to the State and its people
- Courage in the face of adversity
- Honor in our actions and decisions
- Discipline in our conduct and behavior
- Sacrifice for the greater good

Strengths

- Highly trained and motivated personnel
- Modern and advanced military equipment
- Strong international partnerships
- Unwavering commitment to national security
- Selfless service to the nation and its people

Connect

Join LinkedIn to stay updated on latest news, achievements of PAF. Let's work together to build a stronger and more prosperous Pakistan.","Military and International Affairs","10,001+ employees","Public Company",,,"ispr.gov.pk","https://www.linkedin.com/company/pakistan-armed-forces"
,"Armada Nacional de Colombia","To contribute to the defense of the Nation through the effective use of a flexible naval power in the maritime, fluvial and terrestrial spaces under its responsibility, with the purpose of fulfilling the constitutional function and participating in the development of the maritime power and to the protection of the interests of the Colombians.","Military and International Affairs","10,001+ employees","Public Company","Bogota D.C., Cundinamarca","Colombia",,"https://www.linkedin.com/company/armadadecolombia"
,"Office of the Secretary of Defense","The Office of the Secretary of Defense (OSD) is responsible for policy development, planning, resource management and program evaluation. OSD includes the offices of top civilian defense decision-makers with regard to personnel, weapons acquisition, research, intelligence and fiscal policy, as well as offices the Secretary establishes to assist in carrying out assigned responsibilities.","Military and International Affairs","501-1,000 employees","Government Agency","Washington, DC, DC","United States","defense.gov","https://www.linkedin.com/company/office-of-the-secretary-of-defense"
