"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Dole Chile","Nuestra misión es ""Hacer de un mundo, un lugar más saludable"".

En Dole somos entusiasta de los productos frescos. Estamos comprometidos a ser defensores de la nutrición, la buena salud y el bienestar. Para ello, nos comprometemos a educar, inspirar y capacitar a los consumidores para que elijas un estilo de vida más saludable y encuentren la diversión en las frutas y verduras frescas.","Wholesale Raw Farm Products","1,001-5,000 employees","Privately Held","Santiago, metropolitana","Chile","dole.cl","https://www.linkedin.com/company/dolechile"
,"Agromercantil","SOLUÇÕES INTELIGENTES PARA O AGRO

Seja bem vindo(a) ao Grupo Agromercantil, uma aliança estratégica de três empresas especializadas que oferecem soluções abrangentes e inovadoras no campo do agronegócio. 

AGROMERCANTIL S/A: Compramos e vendemos commodities agrícolas, nos mercados spot, a termo e futuro; gerenciando os elos da cadeia e mitigando seus riscos, provendo liquidez ao mercado nacional e internacional de grãos, e dando fluidez a cadeia de valor da agroindústria.

AGRO-E: Desenvolvemos Tecnologia e Inteligência para aplicação em negócios, utilizando linguagens computacionais, Ciência e Análise de Dados.

AGROMERCANTIL TRANSPORTES: Transportamos mercadorias agrícolas, granéis e produtos acabados, em todo território nacional, alinhados às melhores práticas de gestão operacional e de risco, entregando pontualidade e segurança aos nossos clientes.

BCA EMPREENDIMENTOS: Administramos e executamos todas as obras de engenharia do Grupo Agromercantil, garantindo a qualidade técnica dos projetos, a eficácia operacional na execução das obras, sua viabilidade econômica, e a segurança das pessoas nelas envolvidas.","Wholesale Raw Farm Products","51-200 employees","Privately Held","Uberlândia, Minas Gerais","Brazil","agromercantil.com.br","https://www.linkedin.com/company/agromercantil"
,"Bee2Be","Our mission is to unlock the power of bees to promote biodiversity, as well as personal and community wellbeing while developing scalable apiculture solutions to foster environmental sustainability.

Bee2Be’s circular business model focuses on pollination services that bolster the agricultural output of farmers along with reforestation efforts in ecological risk areas, while simultaneously unlocking a high-yield supply chain of nutrient-rich bee byproducts for commercial usage, including pollen, honey, and red propolis.","Wholesale Raw Farm Products","11-50 employees","Partnership","Mata de São João, Bahia","Brazil","bee2be.eco.br","https://www.linkedin.com/company/bee2be"
,"ТАС Агро","ТАС Агро – провідна аграрна компанія України, яка впевнено і динамічно розвивається. 

Ми досягаємо найкращих результатів у різних галузях агровиробництва – рослинництві, тваринництві та зберіганні зернових. 

Нині ТАС Агро обробляє понад 80 тис. га земель у Чернігівській, Сумській, Київській, Вінницькій, Кіровоградській, Волинській та Миколаївській областях і об’єднує майже 25 тисяч пайовиків. 

Впродовж останніх років у компанії проведено кластеризацію, таким чином, оптимізувавши управлінські та виробничі процеси й покращивши комунікацію у компанії. 

Нині кожен підрозділ здійснює самостійну виробничу діяльність та підпорядковується компанії «ТАС Агро».

Кластери компанії «ТАС Агро»:
ТОВ «ТАС Агро Захід»
ТОВ «ТАС Агро Північ»
ТОВ «ТАС Агро Центр»
ТОВ «ТАС Агро Південь»

Наша мета – впровадити єдині технології вирощування рослинницької продукції, централізувати забезпечення технікою, засобами захисту рослин, добривами, насінням та пально-мастильними матеріалами.","Wholesale Raw Farm Products","1,001-5,000 employees","Partnership","Київ","Ukraine","tasagro.com","https://www.linkedin.com/company/тов-тас-агро"
,"JACARANDAS MADAGASCAR","We are specialized in the production and sales of Spices, Natural Ingredients and Essential Oils from Madagascar. We are established in Madagascar & in France and have been for 20 years.
As we are implemented in several production areas, we have built up partnerships with our local farmers network on a sustainable, people-safe & environmentally-friendly approach. 
We perform strict quality control, in order to offer to our clients high quality and safe products.","Wholesale Raw Farm Products","201-500 employees","Privately Held","Toamasina","Madagascar","jacarandas-international.com","https://www.linkedin.com/company/jacarandas-madagascar"
,"aQysta | Small Farmers. Big Impact","We Bridge the Gap Between Global Food Companies and Smallholder Farmers
For any query, please drop us a message at info@aQysta.com","Wholesale Raw Farm Products","51-200 employees","Privately Held","The Hague, South Holland","Netherlands","aqysta.com","https://www.linkedin.com/company/aqysta1"
,"Flocus","Flocus is an industry leader in sustainable kapok fiber production, driven by a vision to transform the textile supply chain through ethical practices, environmental responsibility, and superior quality. Founded with a mission to elevate kapok as a viable, eco-friendly fiber, Flocus has pioneered advanced processing techniques and social standards that set it apart from traditional suppliers. Our purpose is to deliver a product that benefits both people and the planet. We don’t produce fibers; rather, we harvest them from regenerative trees, cherishing each tree and ensuring no harm is done. Instead, we plant and cultivate these trees to renew the land, empower local communities, and support a sustainable future, working with nature’s perfect creation to make it available for everyone to enjoy.","Wholesale Raw Farm Products","11-50 employees","Privately Held","Enschede, Overijssel","Netherlands","flocus.pro","https://www.linkedin.com/company/flocustextiles"
,"Desi Hatch Farms","Desi Chickens - Eggs, chicks, Meat.

About Us
At Desi Hatch, we are on a mission to bring back the authentic taste of India with farm-fresh, desi poultry products that are raised with love, care, and purity. Rooted in tradition and driven by quality, we support small farmers and empower local communities while delivering chemical-free, healthy eggs, chicks, and meat to your doorstep.

What We Offer:
 Desi Chicks (Free-range & Organic)
 Farm-Fresh Desi Eggs
 Naturally Raised Poultry Meat
 Authentic & Organic Farming Practices

Why Desi Hatch?
 Antibiotic-free, hormone-free products
 Ethical and sustainable farming
 Supporting rural livelihoods
 Taste that feels like home

Join us as we redefine poultry farming — the Desi way.
Dil Se Desi, Sehat Se Healthy.

 Contact us: 8010701017 / 9136364646 |  the.sheikh.shahab@gmail.com","Wholesale Raw Farm Products","2-10 employees","Self Employed","Madhubani, Bihar","India",,"https://www.linkedin.com/company/desi-hatch"
,"Krishikan","Welcome to Krishikan: Pioneering Sustainable Agriculture

At Krishikan, we are driven by a clear and impactful mission – to empower farmers and transform agriculture for a sustainable future. With a farmer-first approach and innovative AgriTech solutions, we are addressing the challenges faced by India's 90 million farmers. Our commitment extends beyond combating soil depletion and includes reducing carbon emissions in agriculture through regenerative practices that revive soil health and restore ecological balance. We are focused on securing the world’s food future. Join us as we cultivate a spicier, healthier, and more prosperous world.  
#SustainableAgriculture #AgriTechInnovation #EmpoweringFarmers #Krishikan  #SoilRevival","Wholesale Raw Farm Products","11-50 employees","Privately Held","Bangalore, Karnataka","India","krishikan.com","https://www.linkedin.com/company/krishikan"
,"Comité de Promotion Hauts-de-France","Le Comité de Promotion est un service de la Chambre d’Agriculture, chargé de la promotion de la gastronomie et du développement de la filière agroalimentaire. Il bénéficie du soutien financier de la Région Hauts-de-France.
Il a été créé en 1971 avec pour mission initiale d’aider les entreprises à faire connaître leurs produits sur les salons grand public (salon de l’agriculture)et les salons professionnels (SIAL). Aujourd’hui, le Comité de Promotion est reconnu pour la qualité professionnelle de ses actions notamment dans sa capacité de mise en relation des acteurs. Au cœur de l’action publique en matière d’alimentation, il est en relation avec les autres consulaires et l’ensemble des acteurs de la filière.
Les objectifs stratégiques sont les suivants :
Pour les agriculteurs : pérenniser et développer les exploitations agricoles, répondre aux attentes de la société,
Pour l’agroalimentaire : préserver la notion de filières régionales, promouvoir la filière agricole et agroalimentaire, développer l’économie régionale tout en développant l’économie agricole,
Pour les consommateurs : faire connaître le patrimoine gastronomique, inciter le consommateur à manger équilibré, diversifié, local et de saison, et promouvoir le métier d’agriculteur et la filière agroalimentaire.","Wholesale Raw Farm Products","2-10 employees","Government Agency","Saint Laurent Blangy Cedex","France","comitedepromotion.fr","https://www.linkedin.com/company/comite-de-promotion-hdf"
