"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Metlen Energy & Metals","METLEN (previously known as MYTILINEOS) is a global industrial and energy company operating two business Sectors: Energy and Metals that are highly interconnected and complementary, enabling synergies that unlock hidden value for the Company and significantly amplify its performance. The Company is strategically positioned at the forefront of the energy transition, while already established as a reference point for competitive green metallurgy at the European and global level. It has a consolidated turnover and EBITDA of €5,683 million and €1,080 million, respectively.","Metal Ore Mining","5,001-10,000 employees","Public Company","Maroussi - Athens, Attiki","Greece","metlengroup.com","https://www.linkedin.com/company/metlengroup"
,"PT Halmahera Persada Lygend (HPAL)","Halmahera Persada Lygend memanfaatkan teknologi hidrometalurgi High Pressure Acid Leaching untuk pabrik pengolahan dan pemurnian, yaitu melalui metode pelindian dalam media pelarut dan dalam wadah bertekanan tinggi. Pabrik ini mengolah bijih nikel berkadar nikel rendah (Ni < 1,6%) atau limonit dan menghasilkan produk berupa Mixed Nickel-Cobalt Hydroxide Precipitate (MHP), serta produk akhir nikel sulfat dan kobalt sulfat. Bijih limonit sebagai bahan baku bersumber dari hasil penambangan Izin Usaha Pertambangan (IUP) Produksi PT Trimegah Bangun Persada (TBP) dan PT Gane Permai Sentosa (GPS) yang merupakan bagian dari operasional penambangan Harita Nickel.","Metal Ore Mining","1,001-5,000 employees","Public Company","Jakarta Selatan, DKI Jakarta","Indonesia","hpalnickel.com","https://www.linkedin.com/company/pt-halmahera-persada-lygend-hpal"
,"PT Halmahera Jaya Feronikel (Harita Group)","PT Halmahera Jaya Feronikel (Harita Group) as one of Harita Nickel Division Group's Business Unit with Zhejiang Lygend Investment Co., Ltd., developing Ferronickel Smelter using Rotary Kiln Electric Furnace (RKEF) technology in Obi Island, North Maluku, Indonesia.","Metal Ore Mining","1,001-5,000 employees","Partnership","Jakarta Pusat, Jakarta","Indonesia","hjferonikel.com","https://www.linkedin.com/company/hjferonikel"
,"GFG Alliance","GFG Alliance is a collection of global businesses and investments owned by Sanjeev Gupta and his family. The Alliance is structured into three core industrial pillars; LIBERTY Steel Group, ALVANCE Aluminium Group and SIMEC Energy Group, independent of each other yet united through shared values and a purpose to create a sustainable future for industry and society.       

Our strategy is to create an economically sustainable business model for our industries which is profitable for the long term, allows for socially sustainable development in our local communities and is carbon neutral.  

Our strategy is driven by four key trends – increasing demand for steel and aluminium, the urgent need to decarbonise these sectors, the decline of traditional manufacturing industries in developed economies and the need to be globally competitive in a changing world. Our strategy enables us to identify opportunity and drive positive change in our industries. 

This means modernising industrial sites that have been left behind, establishing partnerships with employees to create self-determined change and transforming manufacturing processes by harnessing renewable power and agile production. This leads to lower costs, reduced emissions and sustainable profits to secure long-term employment in the communities we operate in.

To ensure a positive and respectful community here on LinkedIn, please follow these guidelines when commenting and engaging:

- Offensive, abusive, or hateful language, personal attacks, harassment, or discriminatory comments are prohibited. 

- Ensure comments are relevant and contribute constructively. Off-topic, irrelevant, or spam comments may be removed. 

- Avoid posting unsolicited advertisements, self-promotion, or unrelated links. 

- Do not share personal information. 

- Use appropriate language. No profanity or vulgarity. 

- Don't post the same comment multiple times.

Comments that do not comply with these guidelines may be deleted.","Metal Ore Mining","10,001+ employees","Privately Held","Dubai","United Arab Emirates","gfgalliance.com","https://www.linkedin.com/company/gfg-alliance"
,"Aurubis","Aurubis AG is a leading global provider of non-ferrous metals and one of the largest copper recyclers worldwide. The company processes complex metal concentrates, scrap metals, organic and inorganic metal-bearing recycling materials, and industrial residues into metals of the highest quality. Aurubis produces more than 1 million tons of copper cathodes annually, and from them a variety of products such as wire rod, continuous cast shapes, profiles, and flat rolled products made of copper and copper alloys. Aurubis produces a number of other metals as well, including precious metals, selenium, lead, nickel, tin, and zinc. The portfolio also includes additional products such as sulfuric acid and iron silicate. 

Sustainability is a fundamental part of the Aurubis strategy. “Aurubis responsibly transforms raw materials into value” – following this maxim, the company integrates sustainable conduct and business activities into the corporate culture. This involves a careful approach to natural resources, responsible social and ecological conduct in everyday business, and sensible, healthy growth. 

Aurubis has about 7,100 employees, production sites in Europe and the US, and an extensive worldwide distribution system.

Aurubis shares are part of the Prime Standard Segment of the German Stock Exchange and are listed in the MDAX, the Global Challenges Index (GCX), and the STOXX Europe 600.","Metal Ore Mining","5,001-10,000 employees","Public Company","Hamburg, Hamburg","Germany","aurubis.com","https://www.linkedin.com/company/aurubis"
,"Khoemacau Copper Mining","At a glance
Zone 5 Operations [photo]
Zone 5 Operations
The Khoemacau flagship +60ktpa copper and +2Mozpa silver metal in concentrate Project has involved the development of the Zone 5 underground mine and associated infrastructure, and the upgrade and expansion of the existing Boseto processing plant. The Phase 2 Expansion will see production rise to +130ktpa copper and +5Mozpa silver metal in concentrate.
The Zone 5 deposit currently has a 22-year mine life, with a total mineral resource of 92Mt at 2.2% Cu and 22g/t Ag. This high grade deposit offers a 4.2km strike length and with average widths over 10m is ideally suited to modern, highly mechanised mining, delivering C1 cash costs over the life estimated at approximately $1.30 per pound* of copper and $1.80* per pound on an all-in sustaining basis.

The Project was fully funded, through the US$650 million facilities raised in 2019. The total Project development capital costs were approximately $412m (within 3% of the original budget), and commissioning of the process plant was completed in July 2021. Ramp of mining is underway and due to reach full capacity in Q4 2022.The process plant and infrastructure has demonstrated operations at full capacity and design specifications.

Resource development drilling and feasibility studies of the Phase 2 Expansion exploiting the Zone 5 N, Zeta NE and Mango NE deposits, which offer total mineral resources of 76Mt at 2% Cu and 34g/t Ag, are underway, while regional exploration continues to define additional exploration targets.

Steady state production from the Current Operations will be +60ktpa copper and +2Mozpa silver metal in concentrate, growing to +130ktpa and +5Mozpa respectively as part of the Phase 2 Expansion with the ability to extend production to +150ktpa and +6Moz respectively.

* net of silver credits at consensus pricing","Metal Ore Mining","201-500 employees","Public Company","Gaborone, Republic of Botswana, xxxxxxx","Botswana","khoemacau.com","https://www.linkedin.com/company/khoemacau-copper-mining"
,"PT Bukit Makmur Resources","PT Bukit Makmur Resources (BMR) is an Indonesian nickel processing company located in North Kabaena, Bombana Regency, Southeast Sulawesi. Producing battery grade nickel sulphate hexahydrate from low grade nickel laterite ore with heap leach method is our main objective","Metal Ore Mining","51-200 employees","Privately Held","Jakarta, Jakarta","Indonesia","bmrnickel.com","https://www.linkedin.com/company/pt-bukit-makmur-resources"
,"MineSense Technologies Ltd.","Our revolutionary technology and data solutions help customers increase recovery, minimize environmental impacts, and expand their bottom line.","Metal Ore Mining","201-500 employees","Privately Held","Vancouver, British Columbia","Canada","minesense.com","https://www.linkedin.com/company/minesense-technologies-ltd-"
,"Balasore Alloys Limited","A leading Indian manufacturer and exporter of ferro alloys, specializing in high carbon ferro chrome for the global stainless steel industry. Committed to quality, sustainability, and innovation since inception. #FerroAlloys #FerroChrome #IndianMetals #BalasoreAlloys","Metal Ore Mining","1,001-5,000 employees","Public Company","Balasore, Orissa","India","balasorealloys.com","https://www.linkedin.com/company/balasore-alloys-limited"
,"Nexus Ligas","Seja bem-vindo à Nexus Ligas!
Uma empresa que nasceu para a expansão
dos negócios de mineração e siderurgia.

Comprometida com a evolução contínua de nossas operações e sustentabilidade dos negócios, somos parte relevante na indústria brasileira do aço, trazendo soluções avançadas em Minério e Ligas de Manganês.

Produtos essenciais para a fabricação dos mais diferentes tipos de aços, que por sua vez, estão presentes nos principais setores que movimentam a economia do mundo.

Por meio de uma gestão colaborativa, firmado nos pilares econômicos, sociais e ambientais, temos orgulho de fazer parte da força que sustenta o futuro.","Metal Ore Mining","201-500 employees","Privately Held",,,"nexusligas.com.br","https://www.linkedin.com/company/nexus-ligas"
