"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Waaree Group","Founded in 1990, Waaree Energies Limited is India’s leading renewable energy company, driving the global transition to clean power. Headquartered in Mumbai, Waaree operates advanced manufacturing facilities with a total solar PV module capacity of ~22.77 GW worldwide and a solar cell capacity of (20.17 GW in India & 2.6 GW in USA). With a strong footprint across India and over 25 countries, Waaree offers a comprehensive portfolio spanning solar panels & inverters manufacturing, EPC services, green hydrogen solutions, battery energy storage systems, green energy infrastructure, and data centres. Committed to sustainability and innovation, Waaree delivers cutting-edge, cost-effective solutions to power a greener future.","Solar Electric Power Generation","5,001-10,000 employees","Public Company","Mumbai, Maharashtra","India","waaree.com","https://www.linkedin.com/company/waaree-group"
,"Soltec","Soltec is a global manufacturer and supplier of single-axis solar trackers with a global workforce of over 1.300 people blend experience of over 20 years with innovation. The company has manufacturing facilities in Brazil and Spain, as well as offices in Argentina, Australia, Denmark, Chile, Colombia, Egypt, Francia, Kenya, India, Israel, Italy, Mexico, Peru, and the United States. 

With a strong commitment to renewable energy and the environment, the company is dedicated to innovation, product standardization, and customer success.","Solar Electric Power Generation","1,001-5,000 employees","Privately Held","Molina de Segura, Región de Murcia","Spain","soltec.com","https://www.linkedin.com/company/soltectrackers"
,"Pertamina New & Renewable Energy","Pertamina New & Renewable Energy is a subholding of Pertamina whose task is to carry out activities such as the exploration and production of new and renewable energy sources (EBT) in an integrated manner, with its business scope covering the exploration and operation of geothermal work areas, geothermal power plants, gas power plants and development new and renewable energy. Several initiatives have been realized in the provision of clean energy which are implemented through Solar Power Plants (PLTS), Steam Power Plants (PLTU), Geothermal Power Plants (PLTP) and others. Pertamina New & Renewable Energy has been mandated to carry out Pertamina's energy transition since 2020. In 2021, Pertamina New & Renewable Energy seeks to realize the energy transition by collaborating with various strategic partners, both with Pertamina subholdings, between BUMNs, and with other strategic partners to realize Indonesia's energy transition and achieve the target of net zero emissions in 2060. In an effort to realize this target, there is a vision and mission of Pertamina New & Renewable Energy, namely, Energizing People and Planet With Green Energy and Leading Pertamina Energy Transition Towards Net Zero Emission.

Pertamina New & Renewable Energy (Pertamina NRE) carries the vision of “Energizing People and Planet with Green Energy,” reflecting its commitment to driving sustainable progress that empowers communities while preserving the environment. Guided by this vision, Pertamina NRE embraces its mission to lead the energy transition and become the regional leader in Low Carbon Solutions, Renewable Energy, and Future Green Business. Through continuous innovation and breakthrough initiatives, Pertamina NRE strives to create long-term value for stakeholders, positioning itself as a key driver in shaping a cleaner, greener, and more resilient energy future.","Solar Electric Power Generation","51-200 employees","Privately Held","Central Jakarta, DKI Jakarta","Indonesia","pertaminanre.com","https://www.linkedin.com/company/pertamina-nre"
,"Nextpower","Nextpower (formerly Nextracker) designs, engineers, and delivers an advanced energy technology platform for solar power plants, innovating across structural, electrical, and digital domains. Our integrated solutions are designed to streamline project execution, increase energy yield and long-term reliability, and enhance customer ROI. Building on over a decade of technology and market leadership, the company delivers intelligent power generation systems and services to meet rapidly expanding global electricity demand. Nextpower partners with the world’s leading energy companies to power what’s next.","Solar Electric Power Generation","5,001-10,000 employees","Public Company","Fremont, California","United States","nextpower.com","https://www.linkedin.com/company/nextpowerinc"
,"BYD Energy Brasil","Líder na comercialização de veículos elétricos no Brasil e consolidada na fabricação de tecnologia de energia solar, a BYD vem expandindo sua atuação no país, desde sua chegada em 2013. Compromissada em cuidar do planeta e investir na transição energética sem emissão de poluentes , a empresa possui em solo nacional fábricas de montagem de chassis de ônibus 100% elétricos e de produção de módulos fotovoltaicos, ambas em Campinas (SP). Tem também no Polo Industrial de Manaus (AM), uma unidade dedicada à produção de baterias de fosfato de ferro-lítio. Além disso, importa empilhadeiras, paleteiras, rebocadores e caminhões para o Brasil, todos 100% elétricos. Em novembro de 2021, começou a comercialização de automóveis de passeio no país e já conta com diversos modelos e uma rede consolidada de concessionárias em operação. No ano passado deu início ao projeto para a construção do Complexo de Camaçari, na Bahia, onde vai instalar a primeira fábrica de carros fora da Ásia. A companhia ainda é responsável por um projeto de SkyRail (monotrilho) na cidade de São Paulo (SP) (Linha 17 – Ouro do metrô). Eleita pela revista americana Times como uma das 100 empresas mais influentes do mundo, a BYD integra o Pacto Global das Nações Unidas (ONU), uma iniciativa que fornece diretrizes para a promoção do crescimento sustentável e da cidadania, por meio de lideranças corporativas comprometidas e inovadoras.","Solar Electric Power Generation","501-1,000 employees","Privately Held","Campinas , São Paulo","Brazil","bydenergia.com","https://www.linkedin.com/company/byd-energy-brasil"
,"EDF solutions solaires","EDF solutions solaires est une filiale à 100% du groupe EDF et leader de l'autoconsommation solaire chez les particuliers depuis plus de 20 ans. 

Nous concevons des solutions clé en main pour les particuliers, les professionnels et les collectivités. Jour après jour, nous accompagnons nos clients dans leur transition énergétique en leur proposant des solutions solaires personnalisées, performantes et innovantes. 

 Notre ambition : construire un monde où l’électricité est décentralisée en permettant à chacun de nos clients de devenir producteur de leur propre énergie durable, locale et décarbonée et de maîtriser leur consommation.

 EDF solutions solaires, ce sont des équipes présentes partout en France, dans 15 sites (agences et bases travaux) afin d'accompagner nos clients à chaque étape de leur projet solaire et durant toute la vie de leur installation photovoltaïque.

Aujourd’hui plus de 100 000 clients nous ont fait confiance, pourquoi pas vous ?

 Demandez-nous le soleil !","Solar Electric Power Generation","1,001-5,000 employees","Privately Held","Limonest, Auvergne-Rhône-Alpes","France","edf-solutions-solaires.com","https://www.linkedin.com/company/edf-solutions-solaires"
,"Associação Brasileira de Energia Solar Fotovoltaica - ABSOLAR","Fundada em 2013, a Associação Brasileira de Energia Solar Fotovoltaica (ABSOLAR) é uma pessoa jurídica de direito privado sem fins lucrativos que congrega empresas de toda a cadeia produtiva do setor fotovoltaico (FV) com operações no Brasil. A ABSOLAR coordena, representa e defende os interesses de seus associados quanto ao desenvolvimento do setor e do mercado de energia solar fotovoltaica no Brasil, promovendo e divulgando a utilização da energia solar fotovoltaica no País.

Nossos principais objetivos:

1 - Representar e promover o setor fotovoltaico brasileiro no País e no exterior, perante o governo brasileiro, as demais entidades do setor elétrico brasileiro, a imprensa, ONGs, empresas e a sociedade civil.

2 - Acompanhar o avanço do setor fotovoltaico no País, produzindo informes e relatórios sobre a capacidade instalada e suas taxas de crescimento; divulgando aos membros da ABSOLAR as atuais oportunidades de negócio no setor (ex.: editais, projetos, leilões, entre outros) e divulgando para a sociedade brasileira projetos fotovoltaicos emblemáticos realizados no País.

3 - Servir de ponto de encontro e debate para as empresas do setor, por meio de reuniões estratégicas com autoridades e especialistas do setor, atividades desenvolvidas em nossos grupos de trabalho e assembleias e plenárias periódicas para os associados.","Solar Electric Power Generation","11-50 employees","Non Profit","São Paulo, São Paulo","Brazil","absolar.org.br","https://www.linkedin.com/company/absolar---associação-brasileira-de-energia-solar-fotovoltaica"
,"ENGIE GREEN","Acteur de référence des énergies renouvelables en France, ENGIE Green est présent sur toute la chaîne de valeur :
développement, financement, ingénierie, construction, exploitation-maintenance, vente de l’énergie et démantèlement des installations éoliennes et solaires. Nos clients et parties prenantes associés à nos
600 collaborateurs constituent une communauté d’acteurs engagés pour un avenir énergétique durable et souverain. Notre méthode de développement et d’exploitation a fait l’objet d’une certification baptisée TED (Transition Énergétique Durable). Ce label garantit le déploiement de projets intégrés à leur territoire, respectueux de l’environnement et utiles à la diminution des émissions de carbone du mix énergétique français. En 2023,l’électricité produite par nos parcs a couvert la consommation électrique de plus de 3 millions d’habitants, et évité l’émission d’environ 3 millions de tonnes équivalent CO2. Au 1er janvier 2024, les parcs opérés par ENGIE Green représentent en puissance installée 2,5 GW éoliens et 1,9 GW solaire.","Solar Electric Power Generation","501-1,000 employees","Privately Held","Courbevoie, Île-de-France","France","engie-green.fr","https://www.linkedin.com/company/engie-green-france"
,"Copec Flux","Energizamos el mundo de forma sustentable e inteligente  #CambiaTuEnergía
Somos una empresa chilena con más de 10 años de experiencia en la industria solar, especializada en proyectos de energía solar y eficiencia energética.

Nos encargamos del diseño, ingeniería, construcción y mantenimiento de proyectos solares, entregando soluciones integrales para impulsar un futuro más limpio.","Solar Electric Power Generation","201-500 employees","Privately Held","Huechuraba, Santiago Metropolitan Region","Chile","copecflux.cl","https://www.linkedin.com/company/flux-solar-spa"
,"Zendure Maroc","Zendure Morocco offers smart solar solutions tailored for residential use. Our systems adapt to balconies, façades, flat or sloped roofs, and enable households to produce and consume their own electricity, with or without battery storage. A green innovation, easy to install, to reduce your bills and carbon footprint.","Solar Electric Power Generation","11-50 employees","Privately Held","Casablanca, Casablanca-Settat","Morocco","zendure.ma","https://www.linkedin.com/company/zendure-maroc"
