"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"NSE India","The National Stock Exchange of India Limited, India’s largest stock exchange & world’s largest derivatives exchange. Follow us for updates on exchange traded products, insight on capital markets, Indian economy and  investor education. Disclaimer - https://bit.ly/3xgvlFQ","Capital Markets","501-1,000 employees","Privately Held","Mumbai, Maharastra","India","nseindia.com","https://www.linkedin.com/company/nseindia"
,"Kotak Securities","At Kotak Securities, we foster talent and nurture an environment that values, supports, and inspires every individual. Recognized as a Great Place to Work, we are committed to transparency, ethical conduct, and a strong work ethic within a stable and well-established financial services landscape.

We believe professional growth is key to success. Our internal training and mentorship programs equip employees with the skills needed to excel in dynamic financial markets. By nurturing talent from within, we create clear pathways for career advancement and leadership development.

Innovation is at the heart of our success. Kotak Securities leverages cutting-edge technology and digital tools to enhance service delivery, ensuring our team remains at the forefront of industry advancements. This focus on innovation drives operational excellence while offering employees opportunities to pioneer new solutions in the financial sector.

Our inclusive culture is a cornerstone of our organization. We celebrate diverse perspectives, fostering an environment where every voice is heard and valued. By championing equity and diversity, we empower employees to contribute meaningfully to our collective success.

We also recognize the importance of work-life balance. Through flexible work arrangements and wellness programs, we ensure employees thrive both professionally and personally.

Beyond business, we are dedicated to making a positive impact. Our Corporate Social Responsibility initiatives focus on financial literacy, education, and livelihood programs, empowering underserved communities through capacity building and skill development.

At Kotak Securities, you’re not just part of a team—you’re a valued member of a family united by shared values, a passion for progress, and a commitment to excellence in financial services.

Disclaimer: https://www.kotaksecurities.com/disclaimer/","Capital Markets","1,001-5,000 employees","Privately Held","Mumbai, Maharashtra","India","kotaksecurities.com","https://www.linkedin.com/company/kotaksecurities"
,"BSEIndia","BSE is Asia's First Exchange and World's Fastest Exchange with the Speed of 6 Microseconds.
Bombay Stock Exchange Limited is the oldest stock exchange in Asia, established in 1875. It is the first stock exchange in the country to obtain permanent recognition in 1956 from the Government of India under the Securities Contracts (Regulation) Act, 1956. It is widely recognized by its index, SENSEX.
The Exchange is professionally managed under the overall direction of the Board of Directors. The Exchange has a nation-wide reach with a presence in 417 cities and towns of India.","Capital Markets","201-500 employees","Public Company","Mumbai, Maharashtra","India","bseindia.com","https://www.linkedin.com/company/bseindia"
,"No-Company","Norwegian Company (NO Company) invests in a diversified portfolio of quoted and unquoted securities of companies, which are engaged in various businesses with a history of strong operating and financial performance.","Capital Markets","10,001+ employees","Privately Held","Frogner, Oslo","Norway","nocompany.no","https://www.linkedin.com/company/no-company_6"
,"Colombo Stock Exchange","The Colombo Stock Exchange (CSE) operates the only stock market in Sri Lanka and is responsible for providing a transparent and regulated environment where companies and investors can come together. CSE is a company that is limited by guarantee. It is licensed by the Securities and Exchange Commission of Sri Lanka (SEC) and is a mutual exchange consisting of 15 Members and 16 Trading Members. All Members and Trading Members are licensed by the SEC to operate as Stockbrokers. 

The CSE has its Head Office in the World Trade Centre, Colombo 1 and branches in Matara, Kandy, Kurunegala, Negombo, Jaffna, Anuradhapura, Ratnapura and Ambalantota.

The CSE is a member of the World Federation of Exchanges (WFE) and a founding member of the South Asian Federation of Exchanges (SAFE). We are also A Great Place to Work Certified.

For more information, please visit: www.cse.lk","Capital Markets","51-200 employees","Non Profit","Colombo 01.","Sri Lanka","cse.lk","https://www.linkedin.com/company/colombo-stock-exchange"
,"CIBC Capital Markets","Transform what's possible with industry-leading solutions tailored to you. 

At CIBC Capital Markets, we partner with corporations, governments and institutional clients in key financial centres around the world to develop customized solutions that enable our clients to access capital, expand their operations and actively invest.

Disclaimer: All activity on this LinkedIn account is subject to monitoring, including posts, shares, comments, reactions, and private messages.","Capital Markets","1,001-5,000 employees","Public Company","Toronto, ON","Canada","cibccm.com","https://www.linkedin.com/company/cibc-capital-markets"
,"Saudi Tadawul Group","Founded in 2021 and headquartered in Riyadh, the Saudi Tadawul Group is a holding company with a portfolio of four integrated subsidiaries: the Saudi Exchange, one of the largest 10 stock exchanges in the world by market capitalization, the Securities Clearing Center Company (Muqassa), the Securities Depository Center Company (Edaa), and Wamid, an innovative applied technology services business. Saudi Tadawul Group was established as part of a continuous development program focused on enhancing the capital market and its infrastructure, attracting foreign investments, and diversifying the Saudi economy. The Group reinforces Saudi Arabia’s position as an attractive global investment destination and the gateway to the MENA region.","Capital Markets","201-500 employees","Public Company","Riyadh","Saudi Arabia","tadawulgroup.sa","https://www.linkedin.com/company/saudi-tadawul-group"
,"Pakistan Stock Exchange - PSX","The official LinkedIn page of Pakistan Stock Exchange Limited.

The Pakistan Stock Exchange was established on September 18, 1947, incorporated in 1949 as the Karachi Stock Exchange, limited by Guarantee. In October 1970, a second stock exchange was established in Lahore to meet the stock trading needs of the provincial metropolis.","Capital Markets","201-500 employees","Public Company","Karachi, Sindh","Pakistan","psx.com.pk","https://www.linkedin.com/company/pakistanstockexchangelimited"
,"SEBI","Securities and Exchange Board of India (SEBI), is a statutory regulatory body established by an Act of
Parliament, to protect the interests of investors in securities market, to promote the development of and to regulate the securities market in India.","Capital Markets","501-1,000 employees","Government Agency","Mumbai, 400051","India","sebi.gov.in","https://www.linkedin.com/company/sebi"
,"First Derivative","First Derivative is driven by people, data, and technology, unlocking the value of insight, hindsight, and foresight to drive organizations forward. Counting many of the world's leading investment banks as clients, we help our clients navigate the data-driven, digital revolution that is transforming the financial services sector. Our global teams span across 15 offices serving clients across EMEA, North America and APAC. 
 
As an EPAM Systems, Inc. (NYSE: EPAM) company, a leading global provider of digital platform engineering and development services, we deliver advanced financial services solutions by empowering operational insights, driving innovation, and enabling more effective risk management in an increasingly data-centric world. Together with EPAM, we combine deep industry expertise with cutting-edge technology to help clients stay ahead in a rapidly evolving financial landscape, offering comprehensive solutions that drive business transformation and sustainable growth.","Capital Markets","1,001-5,000 employees","Public Company","Newry, Northern Ireland","United Kingdom","firstderivative.com","https://www.linkedin.com/company/first-derivative"
,"Ventura","Ventura is an omnichannel trading and investments platform with a network of branches, sub-brokers and Digital Channels. Incorporated in 1994, Ventura is a Mumbai, India-based SEBI-registered financial service provider and a member of NSE, BSE, MCX, NCDEX, NSDL, and CDSL.

Ventura offers online stock trading, commodity trading, currency derivatives trading, mutual funds and demat accounts. The company also provides portfolio management services and customised investment planning support. 

The Ventura app empowers its customers with seamless and efficient online trading access.","Capital Markets","1,001-5,000 employees","Privately Held","Mumbai Metropolitan Region, Maharashtra","India","venturasecurities.com","https://www.linkedin.com/company/ventura-securities-ltd"
,"Futures First","Futures First is part of the Hertshten Group, it's holding company, which has a fast-growing business that continues to raise the international benchmarks for excellence across the finance industry. 

 Futures First benefits from the significant international experience of the Hertshten Group in derivatives markets across global financial exchanges. 
 
Its principal assets are its people, recruited from the best universities. The entrepreneurial nature of our activity demands the commitment of dynamic and talented people who can compete at the highest level to meet the demands of these intense markets. 

In Futures First, we value quick-witted analysis, independent judgment, strong number skills, intellectual curiosity, honesty, and a proven track record of commitment, hard work and success.","Capital Markets","1,001-5,000 employees","Privately Held","Gurgaon, Haryana","India","futuresfirst.com","https://www.linkedin.com/company/futures-first-info--services-pvt--ltd-"
