"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Diriyah Company l شركة الدرعية","Diriyah Company is the developer shaping the future of Saudi Arabia’s most iconic destination, honoring its heritage while embracing innovation. 
Rooted in over 300 years of history, we are transforming Diriyah into a world-class cultural and lifestyle destination that celebrates the birthplace of the Kingdom, including its rich heritage and distinctive Najdi architecture, while embracing innovation and sustainable development. 

A subsidiary of the Public Investment Fund (PIF), Diriyah represents national pride and is a key contributor to the Saudi Vision 2030. Through strategic urban development, exceptional hospitality, cultural preservation, and a commitment to sustainable growth, Diriyah Company is building a vibrant, dynamic community where history and modernity come together seamlessly.

Join us on our journey to make Diriyah not only a place but a global meeting destination—where heritage meets the future and culture comes to life.

شركة الدرعية مطور عقاري يشكل مستقبل أكبر وجهة تراثية في العالم ومهد الانطلاقة السعودية؛ من خلال الحفاظ على إرثها 

المتجذر لأكثر من 300 عام من، في تحويل الدرعية إلى وجهة ثقافية بنمط حياة عالمي المستوى يحتفي بتراث المملكة الغني، بما في ذلك طرازها المعماري النجدي الأصيل مع تبني الابتكار والتنمية المستدامة.

وهي شركة تابعة لصندوق الاستثمارات العامة،لتكونا رافدًا محورياً في تعزيز  الفخر الوطني و مساهما رئيسيا في رؤية السعودية 2030. من خلال التنمية الحضرية الاستراتيجية والضيافة الاستثنائية والحفاظ على الثقافة والالتزام بالنمو المستدام، وبناء مجتمع حيوي ينبض بالحياة في بيئة تجتمع فيها الحداثة مع الإرث 

تابع رحلتنا في تعظيم مكانة الدرعية محلياً وعالمياً.","Community Development and Urban Planning","1,001-5,000 employees","Public Company","riyadh",,"diriyahcompany.sa","https://www.linkedin.com/company/diriyah-company"
,"New Murabba","New Murabba is a wholly owned subsidiary of the Public Investment Fund (PIF), and its Board of Directors is Chaired by His Royal Highness Crown Prince Mohammed bin Salman.

New Murabba aims to develop the world’s largest modern downtown in Riyadh, New Murabba, contributing to the city’s future development in line with Saudi Vision 2030.

New Murabba will be built around the concept of sustainability and will offer a unique living, working and entertainment experience.

At the heart of New Murabba is a new icon, The Mukaab.
An exceptional iconic landmark featuring the latest innovative technologies. The design of The Mukaab includes first-of-its-kind facilities and will be one of the largest built structures in the world. 

The Mukaab will be the world’s first immersive, experiential destination where hospitality, retail and leisure reach new levels, all in breathtaking, ever-changing environments.

Defining Riyadh’s new skyline, The Mukaab will attract visitors from across the world with its incredible state-of-the-art entertainment, dining and retail.

This is the new face of Riyadh.","Community Development and Urban Planning","201-500 employees","Privately Held","Al Malqa Dist, Riyadh","Saudi Arabia","newmurabba.com","https://www.linkedin.com/company/newmurabba"
,"Expo City Dubai","Expo City Dubai, the legacy city of Expo 2020 Dubai, is an innovation-driven, people-centric community rooted in the belief that collaboration can propel sustainable progress. Featuring an array of family-friendly attractions and educational, cultural and entertainment experiences, it offers fitness and leisure facilities, F&B options and event venues. 

Covering a total of 3.5sqkm, Expo City Dubai is a focal point on the 2040 Urban Master Plan and will become a hub for the key sectors driving the delivery of the Dubai Economic Agenda (D33). Expo City Dubai’s master plan, revealed in 2024, reaffirms the city as the lynchpin of Dubai’s future growth, offering investment opportunities for future-focused entities to take advantage of its proximity to Al Maktoum International Airport, Jebel Ali Port and Dubai Exhibition Centre. Its prime location and world-class connectivity offers benefits to businesses, investors, developers and residents.","Community Development and Urban Planning","201-500 employees","Government Agency","Dubai, Dubai","United Arab Emirates",,"https://www.linkedin.com/company/expocitydubai"
,"Dar wa Emaar","#دار_وإعمار نطوّر بإلهام نابع من نظرة عصريّة وثقة راسخة ترتقي بجودة حياتك.","Community Development and Urban Planning","201-500 employees","Privately Held","Khobar, Estern province","Saudi Arabia","darwaemaar.com","https://www.linkedin.com/company/dwe-world"
,"Al Balad Development Company","Al Balad Development Company (BDC) is the heritage-focused master developer and asset manager of Al Balad’s rehabilitation. Wholly owned by the Public Investment Fund, BDC works closely with the Ministry of Culture and Jeddah Historical District Program to develop, restore and manage assets, invest in sectors that support the regeneration of Al Balad, and provide public services for Al Balad.  

شركة تطوير البلد؛ المطور ومدير الأصول التي ستعنى بإعادة إحياء منطقة جدة التاريخية. ستعمل شركة تطوير البلد- المملوكة بالكامل لصندوق الاستثمارات العامة-، مع كل من وزارة الثقافة وبرنامج جدة التاريخية من أجل تأسيس وإعادة ترميم وإدارة الأصول، إلى جانب الاستثمار في القطاعات التي تدعم تطوير البلد، بالإضافة لتوفير الخدمات العامة للمنطقة.","Community Development and Urban Planning","51-200 employees","Government Agency",,,"balad.com.sa","https://www.linkedin.com/company/al-balad-development-company"
,"Masdar City","A ground-breaking sustainable urban community and a world-class free zone and technology hub","Community Development and Urban Planning","201-500 employees","Privately Held","Masdar City , Abu Dhabi","United Arab Emirates","masdarcity.ae","https://www.linkedin.com/company/masdarcity"
,"Remat Al-Riyadh Development Co.","REMAT Al-Riyadh is the development arm for Riyadh Region Municipality and the strategic enabler for private sector Participation to enhance municipal services and contribute toward improving the quality of life in Riyadh Region.

 

OUR VISION We aim to be one of the leading municipal services and development companies globally to contribute toward the prosperity and sustainable growth of Riyadh Region.

 

OUR MISSION is to offer value-add municipal services and projects through sustainable business models that contribute to building a vibrant and growing society in Riyadh Region.

OUR STRATEGIC PRIORITIES:
- Provide value-add projects and services that contribute to the region's prosperity and improve the quality of life.
- Enable the strategic role of Riyadh municipality.
- Drive financial sustainability.
- Create attractive and innovative business models in partnership with the private sector.

OUR BUSINESS DOMAINS:
- Urban Development.
- Municipal Asset Management.
- Municipal Services.
 
General Enquires: Info@remat.sa

Media Enquires: Media@remat.sa

Careers: TA@remat.sa","Community Development and Urban Planning","501-1,000 employees","Government Agency","riyadh","Saudi Arabia","remat.sa","https://www.linkedin.com/company/remat-alriyadh"
,"Diamond Developers","Diamond Developers specializes in master planning and designing live-work-thrive, future-ready, and scalable cities under The Sustainable City brand.

Leveraging knowledge from this working proof-of-concept, Diamond Developers embeds practical and sustainable solutions into every master plan based on the three pillars of sustainability: social, environmental and economic. 

Diamond Developers operates under the SEE Solutions arm of SEE Holding.","Community Development and Urban Planning","51-200 employees","Privately Held","Dubai","United Arab Emirates","seeholding.com","https://www.linkedin.com/company/diamond-developers-co-limited"
,"Mitrelli Urbanization","Como empresa do sector de Urbanização da Mitrelli, destacamo-nos no mercado pela nossa ampla especialização em projectos de infraestruturas, urbanização, edifícios públicos e gestão de projectos de construção.

Aplicamos a nossa experiência de décadas, pensamento ousado e conhecimento global para moldar cidades, oferecendo espaços inovadores e sustentáveis para governos e comunidades.

Acreditamos que o nosso maior activo é o capital humano, por isso apostamos em equipas de profissionais rigorosamente selecionados, dinâmicos e com elevada formação profissional. Investimos constantemente na formação dos nossos colaboradores, pois acreditamos que esta é uma aposta fundamental para o crescimento da empresa.

O nosso compromisso com a responsabilidade social abrange todas as partes interessadas, incluindo funcionários, clientes, comunidades, fornecedores e investidores.

Esforçamo-nos para fortalecer economicamente e socialmente as comunidades onde trabalhamos e vivemos.","Community Development and Urban Planning","201-500 employees","Privately Held","Luanda, Angola","Angola","kora.co.ao","https://www.linkedin.com/company/koraangola"
,"Atrium Ljungberg","We are no ordinary property company. Buildings are naturally the basis of our operations, but our heart actually lies with the people who stay in them. 

Our goal is to create living environments that people want to and can stay in, now and in the future. Our main focus is on retail and office properties, but our environments also contain housing as well as cultural, service and educational facilities. 

Atrium Ljungberg operates in growth towns and cities in Sweden, principally in Stockholm, Gothenburg,  Malmoe and Uppsala. Please visit http://www.atriumljungberg.se/en/ for more information.","Community Development and Urban Planning","201-500 employees","Public Company","Stockholm, Stockholm County","Sweden","al.se","https://www.linkedin.com/company/atrium-ljungberg"
,"Scet","La SCET est une société de conseil et d’appui aux territoires, spécialiste de l’économie mixte et du développement territorial. Elle tire sa richesse d’un réseau d’entreprises publiques locales de près de 300 adhérents qu’elle conseille et anime depuis 60 ans. La SCET s’appuie sur l’expertise et les compétences de ses 400 collaborateurs – directeurs, consultants experts métiers et techniques – qui œuvrent pour et avec le réseau, au service des collectivités. La richesse des métiers permet à la SCET de proposer une offre intégrée du conseil stratégique à l’accompagnement opérationnel.","Community Development and Urban Planning","201-500 employees","Self Employed","Paris, Île-de-France","France","scet.fr","https://www.linkedin.com/company/-scet-"
,"Lab of Thought","We help cities and organizations work with resistance.

Every ambitious mobility plan encounters pushback from fear, lobbies, or misinformation. We turn that friction into momentum.

Through our provocations, experiments, and applied work with partners, we shift debates, expand political space, and unlock the conditions for real change.

We are the antithesis of an engineering firm.
We don’t design your street.
We help you win the cultural and political battles that make change possible.","Community Development and Urban Planning","2-10 employees","Non Profit","Amsterdam","Netherlands","thelabofthought.co","https://www.linkedin.com/company/lab-of-thought"
,"PE Teknik & Arkitektur","PE is one of Sweden’s leading engineering and architecture consulting firms. As urban planners, we create innovative and sustainable solutions shaping the development of cities and societies. We are represented throughout Sweden and our annual revenue is in excess of SEK 1 billion. PE was founded in 2006 and is listed on Nasdaq Stockholm. Find out more at www.pe.se.","Community Development and Urban Planning","501-1,000 employees","Public Company","Stockholm","Sweden","pe.se","https://www.linkedin.com/company/pe-teknik-&-arkitektur"
,"Think Afrika City","Qui sommes-nous ? 

Le Réseau Scientifique International des Métiers des Villes Africaines (RéSIMVA) représente un regroupement dynamique de jeunes africains professionnels-praticiens, doctorants, docteurs ou tout simplement acteurs de la ville africaine, tous titulaires de diplômes en sciences de l’aménagement urbain ou autres sciences connexes répartis à travers le monde. “Think Afrika City” incarne la quintessence des activités déployées par les membres du réseau en faveur de la promotion de l’intelligentsia, de l’innovation urbaine et de la créativité au sein des villes africaines. Il s’incarne dans les avancées et changements contemporains à l’échelle mondiale tout en indexant les spécificités africaines à travers la loupe du partage et de l’apprentissage.","Community Development and Urban Planning","2-10 employees","Non Profit",,,"thinkafrikacity.org","https://www.linkedin.com/company/think-afrika-city"
