"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"freeCodeCamp","freeCodeCamp is a community of millions of people around the world who are learning to code together. Learn to code with free online courses, programming projects, and interview preparation for developer jobs. We're a 501(c)(3) public charity. Get started at: https://www.freecodecamp.org","E-Learning","11-50 employees","Non Profit","San Francisco, ca","United States","freecodecamp.org","https://www.linkedin.com/company/free-code-camp"
,"Vedantu","Vedantu is a LIVE online learning platform that brings together students and teachers to achieve best results.

On it, students can pick from a pool of India’s best teachers and learn from them via LIVE interactive classes. With its superior learning platform, Vedantu ensures that students can get their doubts solved instantly, take part in quizzes & activities and have a personalised learning experience from India’s best teachers.

By making LIVE learning engaging and fun, Vedantu students consistently perform well and produce great results!

To learn more and try out a free class, visit bit.ly/Vedantu","E-Learning","5,001-10,000 employees","Privately Held","Bengaluru, Karnataka","India","vedantu.com","https://www.linkedin.com/company/vedantu"
,"takeUforward","Data Structures, Algorithms and Competitive Programming together is the most powerful tool to get into any top Techies. 

Here are the things that I will present to you via my channel: 
1) Competitive programming
2) Data Structures and Algorithms
3) Interview preparations

I am known by the name Striver. I currently work at Google Warsaw. Prior to this, I was working at Media.net(Directi), and I have also interned with Amazon. 

You can connect with me at linkedin(https://www.linkedin.com/in/rajarvp/)

Subscribe for the latest updates and press the bell icon too :D","E-Learning","2-10 employees","Non Profit","Kolkata","India","takeuforward.org","https://www.linkedin.com/company/takeuforward"
,"Udacity","With over a decade of experience creating digital talent at scale, Udacity’s comprehensive solutions address the global talent shortages impacting growth, productivity, and innovation. Our exceptional curriculum, personalized mentor support, and measurable outcomes create expertise with a focus on the in-demand competencies that ensure workplace relevance. Udacity is now part of Accenture.","E-Learning","201-500 employees","Privately Held","Mountain View, California","United States","udacity.com","https://www.linkedin.com/company/udacity"
,"علم ينتفع به","صفحة متخصصة في نشر للعلم بدون مقابل
نرحب بكل المتطوعين","E-Learning","2-10 employees","Non Profit","cairo, cairo","Egypt","management-academy.us","https://www.linkedin.com/company/علم-ينتفع-به"
,"KAIZEN Made Easy","At Kaizen Made Easy, our mission is to provide authentic, accessible, practical and original kaizen insights to all continuous improvement enthusiasts. We aim to bridge the gap between CI consultants, trainers, enthusiasts, and job seekers, fostering meaningful connections and opportunities. We are committed to engaging and collaborating with thought leaders in the field, encouraging them to share their insights and experiences

#KME_Quotes #Lean #Kaizen

Visit our collections of #podcasts  and Live #webinars  on #KME_Collections

Visit the experts' quotes  on #KME_Quotes","E-Learning","2-10 employees","Educational","Melbourne","Australia","kaizenmadeeasy.com","https://www.linkedin.com/company/kaizen-made-easy"
,"Technical Books Library","""Mechanical Engineering World"" is a leading community knowledge in the world which is related to oil and gas, petrochemical industry, refinery, power plant and offshore.","E-Learning","2-10 employees","Partnership","doha","Qatar","mechanical-knowledge.com","https://www.linkedin.com/company/automobile-engineering-world"
,"بتاع كورسات",,"E-Learning","2-10 employees","Educational",,,"stjegypt.com","https://www.linkedin.com/company/بتاع-كورسات"
,"Let us Lead","A platform to nurture the soft skills and leadership qualities to lead this world and solve problems.
We focus on personality development and leadership through engaging activities.

Looking forward for Leaders and Organisations across the Globe to partner with us in this Mission to nurture Leadership in Youth and solve Problems of the World.

Connect at 
rakesh@letuslead.in","E-Learning","11-50 employees","Privately Held","chennai, Tamil Nadu","India","letuslead.in","https://www.linkedin.com/company/letusleadtechtable"
,"Free Courses Certificates","Free Courses Certificates is a website sharing online courses absolutely free of cost on a daily basis.

The courses we share on our website are produced by the world's top and leading online courses providers like Udemy, Coursera, Skillshare, Edx, Bitdegree, Simpliv and from top Universities like Harvard University, Princeton University, Oxford University.

The free online courses with certificates are available in a variety of categories such as Web Development, Personal Development, Business, Entrepreneurship, Finance, and Accounting, Health and Fitness, Office Productivity, IT and Software, Make Money Online, Online Business, Home Business, Software Engineering and so much more.

The courses are shared with 100% off Udemy coupons on a daily basis and using these coupons will give you the course absolutely free of charge and after successful enrollment, you will have lifetime access to the course videos and materials and you can learn on your schedule and anywhere.

Please do visit our website or follow our page on LinkedIn for daily free online courses with printable certificates and take your knowledge to the next level and learn new skills to benefit from it in your job.","E-Learning","2-10 employees","Educational","united states","United States","awsomenews.com","https://www.linkedin.com/company/free-courses-certificates"
