"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"PORTAL EMPLEO ECUADOR","Portal Empleo Ecuador se destaca como la red líder en difusión de oportunidades laborales en todo el país. 

Si estás buscando reclutar nuevo talento, te invitamos a compartir tus vacantes con nosotros enviando un correo a ""contacto @ portaltalento .com""","Operations Consulting","2-10 employees","Privately Held","Guayaquil, Guayaquil","Ecuador",,"https://www.linkedin.com/company/portalempleo"
,"agap2 Italia","agap2 è una multinazionale di consulenza operativa specializzata nel mondo dell’ingegneria e dell’IT, parte del Gruppo MoOngy. Fondata nel 2005 in Portogallo, oggi è presente in 11 paesi europei e conta più di 7.500 risorse.

Dalla volontà di ampliare ulteriormente gli orizzonti, nel 2018 nasce agap2 Italia con il suo HQ a Milano, sedi anche a Parma, Roma e Brescia, e un’operatività estesa in tutto il territorio italiano.

We are proud to share:
• +700 membri;
• 32M€ di fatturato;
• 35 anni la nostra età media;
• 100% equal opportunities employer.

Perché agap2?
Entrare in agap2 significa inserirsi in una realtà in continua evoluzione, nella quale si è pronti ad apportare il proprio know-how in progetti di respiro internazionale ed entrare a far parte di un team dinamico e ambizioso, dove il desiderio di superare se stessi, i propri limiti e la voglia di lavorare insieme sono valori essenziali. Inoltre, agap2 offre un percorso di crescita professionale e personale che permetterà di sviluppare sempre nuove competenze e capacità.

INDUSTRIA
Automotive | Aerospace & Difesa | Ferroviario | Automazione Industriale | Biomedicale | Oil&Gas | Energy | Telecomunicazioni 

IT
Betting & Gaming | Fashion & Luxury","Operations Consulting","201-500 employees","Partnership","Assago (MI), Italia","Italy","agap2.it","https://www.linkedin.com/company/agap2-italia"
,"Sagility","Sagility is the foremost expert in healthcare operations with over 25 years of experience across the entire value chain—upstream, midstream, and downstream. We combine deep domain expertise, tech-led transformation, and trusted collaboration to help healthcare organizations achieve operational excellence and deliver better outcomes.

• 𝐃𝐞𝐞𝐩 𝐃𝐨𝐦𝐚𝐢𝐧 𝐄𝐱𝐩𝐞𝐫𝐭𝐢𝐬𝐞: We understand healthcare operations like no one else. Our knowledge is embedded in every process, enabling us to create meaningful value for payers, providers, and other stakeholders.

• 𝐓𝐞𝐜𝐡-𝐋𝐞𝐝 𝐓𝐫𝐚𝐧𝐬𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧: Transformation is more than deploying point solutions or isolated AI use cases. We reimagine end-to-end workflows, architecting integrated designs that drive efficiency, scalability, and innovation.

• 𝐓𝐫𝐮𝐬𝐭𝐞𝐝 𝐂𝐨𝐥𝐥𝐚𝐛𝐨𝐫𝐚𝐭𝐢𝐨𝐧: We build on the trust our clients place in us by fostering a robust ecosystem of partners—including consulting firms, software providers, platform companies, system integrators, and cloud innovators—to deliver comprehensive solutions delivering higher ROI.

At Sagility, we are mastering the art of leading with AI-first mindset that is grounded in compliance powered by the passion of our people to deliver value across the continuum of healthcare operations. With a presence across 5 countries and a strong workforce of nearly 45,000 employees, we bring global scale and expertise to every engagement.","Operations Consulting","10,001+ employees","Privately Held","Westminster, Colorado","United States","sagilityhealth.com","https://www.linkedin.com/company/sagilityhealth"
,"Brooks International","Brooks International creates and delivers Execution Excellence to our CEO clients. We achieve our clients' strategic imperatives by linking financial and operational models, while dramatically enhancing all execution methods, competencies and capabilities. Brooks delivers significantly enhanced profits and predictive business performance as well as substantial and sustainable organizational, operational and financial improvements. We specialize in execution performance capabilities across all industries and sectors.

Since 1960, Brooks International has specialized in delivering the design, acceleration and execution of our clients’ strategic imperatives that instill a culture of continuous improvement and achieve the required financial objectives. Brooks International works diligently to understand the people, processes, measurements and organizational culture in place. Applying more than a half-century of management leadership with precise and thorough in-depth analysis and comprehensive implementation, we create custom-tailored transformations delivering measurable and sustainable step-change results straight to your bottom-line.","Operations Consulting","51-200 employees","Privately Held","West Palm Beach, FL","United States","brooksint.com","https://www.linkedin.com/company/brooks-international_2"
,"The Kaizen Hub",,"Operations Consulting","2-10 employees","Self Employed","Rome","Italy","ivancarillo.com","https://www.linkedin.com/company/the-kaizen-hub"
,"KEMPETRO Engenharia","A KEMPETRO Engenharia incorpora os ativos relacionados ao segmento de Engenharia Industrial, tais como acervo técnico, equipe, carteira de clientes e certificados, resultado dos mais de 20 anos de experiência em serviços de engenharia nessa área.

A KEMPETRO Engenharia acumula mais de 6 milhões de homens/hora no segmento de engenharia industrial, resultado de sua atuação com projetos realizados junto à empresas de grande porte, fator este que a classifica como uma das maiores empresas de Engenharia Industrial do Brasil.","Operations Consulting","501-1,000 employees","Partnership","Salvador, Bahia","Brazil","kempetro.com.br","https://www.linkedin.com/company/kempetroengenharia"
,"IBSP: Segurança do Paciente","O IBSP é referência nacional em consultorias e educação voltadas para a Segurança do Paciente em organizações de saúde.

Oferece serviços adaptados às necessidades, ao momento e à cultura das organizações de saúde, nas modalidades digital, presencial ou híbrida.

Conheça alguns dos processos de consultoria e validação de boas práticas assistenciais disponibilizados pelo IBSP:

• Consultoria em Núcleo de Segurança do Paciente (NSP): implemente ou aprimore o seu NSP;
• Consultoria em Qualidade e Segurança do Paciente: desenvolva amplamente os processos da sua organização;
• Consultoria MAIS IBSP: aperfeiçoamento de Indicadores de Segurança;
• Consultoria e validação de boas práticas assistenciais: estruture diferentes protocolos multiprofissionais na sua instituição.","Operations Consulting","11-50 employees","Privately Held","São Paulo, SP","Brazil","ibsp.net.br","https://www.linkedin.com/company/ibsp-seguranca-do-paciente"
,"AI Manufacturing",,"Operations Consulting","2-10 employees","Self Employed",,,"ivancarillo.com","https://www.linkedin.com/company/aimanufacturing"
,"KEMPETRO Engenharia","A KEMPETRO Engenharia incorpora os ativos relacionados ao segmento de Engenharia Industrial, tais como acervo técnico, equipe, carteira de clientes e certificados, resultado dos mais de 20 anos de experiência em serviços de engenharia nessa área.

A KEMPETRO Engenharia acumula mais de 6 milhões de homens/hora no segmento de engenharia industrial, resultado de sua atuação com projetos realizados junto à empresas de grande porte, fator este que a classifica como uma das maiores empresas de Engenharia Industrial do Brasil.","Operations Consulting","501-1,000 employees","Partnership","Salvador, Bahia","Brazil","kempetro.com.br","https://www.linkedin.com/company/kempetro-engenharia"
,"Vector Renewables","Vector Renewables offers professional consulting services in the renewable energy industry, specializing in wind, solar and hydro. It belongs to the group Renantis and it covers the full life cycle of renewable energy projects through its three business lines: Asset Management, Technical Advisory, & Legal Advisory.
Exceeding 230 GW of track record in Technical Advisory services, over 5.4 GW under management and 6 GW in Legal Advisory. Vector Renewables reinforce its position as a reference in the market. So far, present  with 8 offices worldwide and over 200 employees. As a team, we are young, dynamic, and one of our main value is the employee care.","Operations Consulting","201-500 employees","Privately Held","Madrid","Spain","vectorenewables.com","https://www.linkedin.com/company/vector-renewables"
