"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Cushman & Wakefield - Formerly DTZ","Cushman & Wakefield is a global leader in commercial real estate services, helping clients transform the way people work, shop, and live. The firm’s 43,000 employees in more than 60 countries provides deep local and global insights that create significant value for occupiers and investors around the world. Cushman &
Wakefield is among the largest commercial real estate services firms with revenues of $5 billion across core 
services of agency leasing, asset services, capital markets, facility services (branded C&W Services), global 
occupier services, investment management (branded DTZ Investors), project & development services, tenant 
representation and valuation & advisory.","Commercial Real Estate","10,001+ employees","Public Company","Chicago, Illinois","United States","cushmanwakefield.com","https://www.linkedin.com/company/dtz"
,"315Work Avenue","315Work Avenue ( A Nestavera Venture ) is a new age and rapidly growing co-working space provider that focuses on enterprise solutions. We aim to create vibrant auto-pilot ecosystem for employers and inspirational community work spaces that fosters innovation. Its design-driven workspaces and best-in-class services and amenities instill a sense of pride in its customers and empower the work community to be their best each day. The work space encourage community engagement of similar-minded individuals from any space – they may be investors, freelancers, founders or professionals who just want to focus work without getting distracted about running the office.","Commercial Real Estate","51-200 employees","Privately Held","Bangalore , Karnataka","India","315workavenue.com","https://www.linkedin.com/company/315workavenue"
,"Dalian Wanda Group","Dalian Wanda Group, ranked #380 on the 2017 Fortune 500 list, was established in 1988 and has developed into a conglomerate of commercial management, culture, real estate and investment. Endeavoring to become a model in corporate social responsibility, we are the only company to have received the China Charity Award 9 times. Wanda is ambitious in its vision, demanding only the highest workplace standards, and striving to create a masterpiece with each one of its projects. We are also one of China's pioneer advocates in sustainable development.","Commercial Real Estate","10,001+ employees","Privately Held","Beijing","China","wanda-group.com","https://www.linkedin.com/company/dalian-wanda-group"
,"Irvine Company Office","We create places that bring people together to succeed. Our expert teams, uniquely flexible leasing model, and experience-driven amenities ensure our 3,000+ customers achieve more, every day. As a forever owner, we invest and reinvest in our 150+ workplaces so what’s exceptional today is even better tomorrow

We invest in our talented team with mentorship, training and an exceptional employee experience. United by our shared values and purpose, we’re building the future of work together.","Commercial Real Estate","1,001-5,000 employees","Privately Held","Irvine, CA","United States","irvinecompanyoffice.com","https://www.linkedin.com/company/irvinecompanyoffice"
,"KingSett Capital","KingSett Capital is a Canadian private equity real estate investment business which creates and co-invests in real estate investment solutions to deliver sustainable premium risk weighted returns. KingSett manages $18 billion in assets across its Growth, Income, Urban, Mortgage, Residential Development and Affordable Housing strategies.","Commercial Real Estate","51-200 employees","Privately Held","Toronto, Ontario","Canada","kingsettcapital.com","https://www.linkedin.com/company/kingsett-capital"
,"Ascencia Ltd","Ascencia, one of the top 10 listed companies on the Stock Exchange of Mauritius, stands as the leading retail property player in Mauritius.

With a portfolio of seven strategically located malls, namely Bagatelle Mall, Phoenix Mall, Riche Terre Mall, Bo'Valon Mall, So'flo, Kendra, and Les Allées, Ascencia is synonymous with creating singular shopping and leisure destinations that prioritise accessibility, sustainability, comfort and engagement for visitors and retailers alike.","Commercial Real Estate","Self-employed","Privately Held","Bagatelle Mall, Mauritius, Indian Ocean","Mauritius","ascenciacorporate.com","https://www.linkedin.com/company/ascencia-group"
,"SYN","Somos a SYN, uma empresa referência no mercado imobiliário comercial brasileiro. Nosso compromisso é oferecer soluções de alta qualidade para nossos clientes, garantindo que cada ambiente colabore para o sucesso de seus negócios.

Atuamos em diversos segmentos do mercado imobiliário, como shoppings, edifícios comerciais e galpões, com um portfólio que abrange locação, administração, compra e venda de imóveis comerciais.

Em tudo o que fazemos, entregamos um atendimento personalizado e eficiente, sempre focados em facilitar a vida de nossos clientes.

Nosso time é composto por profissionais com grande experiência, autonomia e talento. Juntos, atuamos para atingir nosso propósito de integrar pessoas e espaços, criando ambientes que geram experiências incríveis.","Commercial Real Estate","501-1,000 employees","Privately Held","São Paulo, SP","Brazil","syn.com.br","https://www.linkedin.com/company/synproptech"
,"Landmark","At Landmark, we understand that great businesses need great places to work. And we know this isn’t just about bricks and mortar, furniture and technology. It’s about creating a professional experience that reflects your success, and a place you can call home. 

Our approach is to blend new ways of working with a business class experience. So we offer stunning communal spaces and inspiring design, alongside smartly presented, professional teams. 

We’re proud of our workspaces – and we know you will be too.

Our products include Private Offices, Meeting Rooms, Virtual Offices and Coworking Memberships so you can work however best suits you. 

For more information visit our website.","Commercial Real Estate","51-200 employees","Privately Held","London, UK","United Kingdom","landmarkspace.co.uk","https://www.linkedin.com/company/landmarkspace"
,"Cassidy Turley","DTZ is a global leader in commercial real estate services providing occupiers, tenants and investors around the world with a full spectrum of property solutions. Our core capabilities include agency leasing, tenant representation, corporate and global occupier services, property management, facilities management, facilities services, capital markets, investment and asset management, valuation, building consultancy, research, consulting, and project and development management. DTZ manages 3.3 billion square feet and $63 billion in transaction volume globally on behalf of institutional, corporate, government and private clients. Our more than 28,000 employees operate across more than 260 offices in more than 50 countries and proudly represent DTZ’s culture of excellence, client advocacy, integrity and collaboration.","Commercial Real Estate","10,001+ employees","Privately Held",,,"dtzglobal.com","https://www.linkedin.com/company/cassidy-turley"
,"Amdec Group","Amdec is a privately owned property development, investment and project management group, with an established reputation as South Africa’s leading developer of new urban lifestyle solutions. Founded in 1989, the company is active in all sectors of the property industry with a national footprint to match its significant industry experience and brand development ethos.

Amdec’s current property portfolio places the company among the country’s biggest private property developers. The company’s outstanding growth may be attributed to a solid foundation of superior service, consistently high building standards and on-time delivery. These qualities underpin a focus on building brand equity and retaining industry leadership by creating innovative new urban spaces that embrace the foremost international trends.","Commercial Real Estate","51-200 employees","Privately Held","Tokai, Western Cape","South Africa","amdec.co.za","https://www.linkedin.com/company/amdec"
