"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Rede D'Or Star","O estado da arte na saúde.
Um novo conceito de assistência médica.

Criamos uma experiência assistencial única de conforto e hospitalidade ao paciente e seus familiares. Com altíssimo padrão de qualidade e excelência no cuidado seguro e humanizado, oferecemos as tecnologias mais avançadas do mundo em diagnósticos e tratamentos.

Nossa história começou em 2016, com a inauguração do CopaStar no bairro de Copacabana, no Rio de Janeiro. A segunda unidade da marca foi concebida em 2018, na cidade de São Paulo: OncoStar, um centro de referência em tratamento do câncer. 

Em 2019, chegam os hospitais DF Star, em Brasília (DF), e o Vila Nova Star,  localizado no bairro da Vila Nova Conceição, em São Paulo. 

Em 2022, a Rede Star inovou mais uma vez com a inauguração da Maternidade São Luiz Star, também em São Paulo, trazendo um novo conceito de maternidade premium ao país. Mantendo o constante crescimento, 2024 foi marcado por mais duas importantes inaugurações, dessa vez no Nordeste: Memorial Star, em Recife, e o Aliança Star, em Salvador.

Nossas acomodações contam com um sistema desenvolvido exclusivamente, o Smart Hospitality, concebido para aumentar o bem-estar do paciente e seu acompanhante. Com essa tecnologia, através de um tablet, é possível controlar luminosidade e temperatura do quarto, fazer chamadas de vídeo para a equipe de enfermagem e médico assistente, além de solicitações para equipe de Hotelaria.

Contamos com uma estrutura física pensada nos mínimos detalhes, com ambientes harmônicos e sofisticados, decorados com obras de arte. Nossos restaurantes, por sua vez, são conduzidos por chefs renomados e oferecem um cardápio de alto padrão gastronômico, harmonizado com os requisitos de uma culinária saudável e de qualidade.

Orgulho de ser Star!     

RTs: 
Bruno Wunder de Alencar CRM 68434-1 RJ
Maria Gibelli - CRM: 82560 - SP
Thiago Romano - CRM: 117291 - SP
Guilherme Meyer - CRM: 28095 - DF","Hospitals","5,001-10,000 employees","Privately Held","Rio de Janeiro","Brazil",,"https://www.linkedin.com/company/rededor-star"
,"Rede Américas","A Rede Américas é a segunda maior rede de hospitais privados do Brasil.

Possui atuação em oito estados (SP, RJ, PR, BA, PE, MA, SE, RN) e no DF.  São 27 hospitais e 42 unidades oncológicas, resultado da joint venture entre Dasa e Amil.

Com mais de 34 mil colaboradores, 40 mil médicos atuantes e mais de 4.200 leitos, une excelência clínica, inovação contínua e olhar humano. Guiada pelo propósito “Paixão por cuidar”,  alia qualidade assistencial e segurança em cada etapa do atendimento aos pacientes.","Hospitals","10,001+ employees","Privately Held","São Paulo","Brazil","saudeamericas.com.br","https://www.linkedin.com/company/saude-americas"
,"Hospital São Lucas da PUCRS","Transformação em cada cuidado ","Hospitals","1,001-5,000 employees","Non Profit","Porto Alegre, Rio Grande do Sul","Brazil","pucrs.br","https://www.linkedin.com/company/hslpucrs"
,"Clínica del Country","Desde 1962 hemos entregado lo mejor para cuidar la vida de nuestros pacientes y sus familias, con servicios de alta calidad, complejidad e innovación.
Nuestra presencia en este espacio estará encaminada a brindar información relevante y especializada sobre el sector de la Salud. De la mano de nuestros especialistas, deseamos crear una comunidad unida por su vocación y compromiso con la vida.","Hospitals","1,001-5,000 employees","Privately Held","Bogotá, Colombia","Colombia","clinicadelcountry.com","https://www.linkedin.com/company/cl-nica-del-country"
,"Hospital Vozandes Quito","OUR PURPOSE: Provide safe care and excellence centered on love of God and love people.","Hospitals","201-500 employees","Privately Held","Quito, Pichincha","Ecuador","hospitalvozandes.com","https://www.linkedin.com/company/hospital-vozandes-quito"
,"Clínica Sagrada Esperança","Desde 1990, somos a maior rede de saúde privada de Angola, com presença em quase todo o território nacional e um compromisso firme com cuidados de saúde mais humanizados.","Hospitals","1,001-5,000 employees","Partnership","Luanda, Luanda","Angola","clinicasagradaesperanca.co.ao","https://www.linkedin.com/company/clinicasagradaesperanca"
,"HOPE - Hospital de Olhos de Pernambuco","O Hospital de Olhos de Pernambuco (HOPE), há mais de 70 anos é referência nas áreas de Oftalmologia e Otorrinolaringologia, sendo o único hospital de olhos do Norte e Nordeste certificado pela Qmentum Internacional Accreditation, um modelo de avaliação de saúde que assegura às organizações o cumprimento dos requisitos internacionais de governança e boas práticas assistenciais.

Com seis unidades de atendimento na Região Metropolitana do Recife e três unidades no Agreste, possui Urgência 24h situada no polo médico da capital e clínicas de atendimento nos principais shoppings. 

O HOPE faz parte da Vision One, uma rede nacional de hospitais especializados em oftalmologia.","Hospitals","501-1,000 employees","Privately Held","Recife, Pernambuco","Brazil","hope.com.br","https://www.linkedin.com/company/hopereferencia"
,"Hospital Evangélico de Vila Velha","O Hospital Evangélico de Vila Velha, filantrópico, é gerido pela Associação Evangélica Beneficente Espírito-Santense (Aebes).

É habilitado em alta complexidade e referência no Estado nas especialidades: Cardiovascular, Neurocirurgia, Bariátrica, Oftalmologia, Oncologia e transplantes de rim, córnea, coração, fígado e tecidos.

Possui certificação de excelência ONA nível 3 e tem como missão: cuidar da saúde das pessoas com carinho de forma sustentável e inovadora.


--------- INFORMAÇÃO IMPORTANTE ---------
O Hospital Evangélico de Vila Velha e as demais unidades sob gestão da Aebes não possuem contrato com empresa terceirizada para recrutamento de funcionários. Além disso, não há qualquer tipo de cobrança vinculada ao cadastro de candidatos. O único meio oficial para inscrição nas vagas de emprego é através do nosso site institucional: www.evangelicovv.com.br.","Hospitals","1,001-5,000 employees","Self Owned","Vila Velha, ES","Brazil","evangelicovv.com.br","https://www.linkedin.com/company/evangelicovv"
,"Clínica La Colina","Somos una Clínica privada de tercer nivel con una filosofía basada en la vocación de servicio a la comunidad gracias a nuestro cuerpo médico y valores institucionales. Contamos con un equipo humano altamente calificado para la atención integral de niños y adultos.



En este espacio queremos brindar información relevante y especializada sobre el sector de la Salud. De la mano de nuestros especialistas, deseamos crear una comunidad unida por su vocación y compromiso con la vida.","Hospitals","1,001-5,000 employees","Self Owned","Bogotá","Colombia","clinicalacolina.com","https://www.linkedin.com/company/clinica-la-colina"
,"Hospital de Alta Complejidad en Red ""El Cruce"", Dr. Nestor Carlos Kirchner","El Hospital El Cruce, Alta Complejidad en Red, surge como respuesta a la necesidad de los habitantes de Florencio Varela, Berazategui, Almirante Brown y Quilmes de acceder a una atención de mayor complejidad, que incluye entre otras cosas distintos estudios para diagnóstico e intervenciones quirúrgicas especializadas.
Constituye un nodo de la red de salud de la región, integrada por los hospitales Mi Pueblo de Florencio Varela; Evita Pueblo de Berazategui; Arturo Oñativia de Almirante Brown; Isidoro Iriarte y el Hospital Subzonal Especializado Materno Infantil Dr. Oller de San Francisco Solano de Quilmes.","Hospitals","1,001-5,000 employees","Self Owned","Florencio Varela, Buenos Aires","Argentina","hospitalelcruce.org","https://www.linkedin.com/company/hospital-el-cruce"
,"Hospital Clínica San Francisco de Guayaquil","Brindamos salud integral a nuestra comunidad, innovando en equipamiento,  y fomentando  la investigación.","Hospitals","201-500 employees","Self Owned","Guayaquil, Guayas","Ecuador","hospitalsanfrancisco.com.ec","https://www.linkedin.com/company/hospital-clínica-san-francisco-de-guayaquil"
,"Inova Saúde","A Inova Saúde é uma empresa do grupo Construcap que está há 80 anos realizando obras civis e de infraestrutura, sendo uma das 10 maiores construtoras do país. 

A Inova Saúde é especializada na administração e gestão de hospitais públicos por meio de Parcerias Público-Privadas (PPP) que tem como princípios a inovação tecnológica e a excelência no atendimento dos pacientes. A empresa busca quebrar um paradigma na saúde pública no Brasil, fazendo com que hospitais públicos tenham o mesmo padrão de atendimento e qualidade de hospitais privados. É responsável pela gestão da Bata Cinza dos hospitais: Planejamento e Gestão de Medicamentos e Materiais Especiais; Planejamento e Gestão de Próteses e Órteses; Serviços de Logística Hospitalar; Central de Material e Esterilização; Gestão e Manutenção da Tecnologia da Informação; Recepção e Portaria; Serviços da Segurança e Vigilância; Telefonia; Lavanderia; Rouparia; Unidade de Alimentação Nutricional; Engenharia Clínica; Serviços de Logística e Destinação de Resíduos; Transportes (ambulância e veículos); Conservação de Jardins; Limpeza e Higienização; Engenharia e Manutenção Predial.

Atualmente são três hospitais: Hospital da Mulher de São Paulo, Hospital Regional de Sorocaba e Hospital Regional de São José dos Campos. 

Nossa Missão: Promover os serviços de apoio não assistenciais a complexos hospitalares, com eficiência na gestão de recursos e qualidade operacional, atendendo as diretrizes estabelecidas no contrato e com foco na segurança e saúde do paciente.

Nossa Visão: Ser reconhecida como uma empresa inovadora e eficaz na prestação de serviços não assistenciais, cumprindo suas responsabilidades num ambiente socialmente responsável.

Nossos Valores:
- Excelência
- Humanização
- Integridade
- Sustentabilidade","Hospitals","501-1,000 employees","Privately Held","São Paulo, São Paulo","Brazil","inovasaudesa.com.br","https://www.linkedin.com/company/inovasaude"
,"Clínica de Marly","Somos la institución de salud privada más antigua y de mayor tradición en Colombia, institución que se ha caracterizado desde su fundación en 1903 por la calidad y calidez en la prestación de sus servicios. 

En el 2018 la Clínica de Marly Jorge Cavelier Gaviria, ubicada en el municipio de Chía - Cundinamarca, abre sus puertas para ampliar la cobertura en el norte de Bogotá. 

Somos instituciones sólidas con fortalezas ampliamente reconocidas a escala nacional e internacional, en donde nuestros pacientes reciben servicios en todos los niveles de complejidad en un ambiente moderno, cálido y confortable. 

La Clínica de Marly y la Clínica de Marly Jorge Cavelier Gaviria trabajan con la mejor tecnología y el mejor recurso humano, buscando siempre la comodidad y seguridad de nuestros pacientes.","Hospitals","1,001-5,000 employees","Self Employed","Chapinero, Distrito Capital","Colombia","marly.com.co","https://www.linkedin.com/company/clínica-de-marly"
,"Clínica Juan Pablo II","Clínica Juan Pablo II, es una institución con más de 40 años de trayectoria,  acreditada por la superintendencia de salud y  orientada a la salud de la familia, buscando excelencia en el servicio, haciendo énfasis en la calidad y seguridad  de la atención.","Hospitals","51-200 employees","Privately Held","Santiago","Chile","clinicajp2.cl","https://www.linkedin.com/company/clínica-juan-pablo-ii"
