"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Liliana Electrodomésticos","Somos una Empresa 100% Argentina, con más de 70 años de historia y con presencia en todo el país a través de nuestra amplia línea de productos que comprende las líneas de Alimentación, Calefacción, Ventilación, Jardín, Cuidado de Pisos y Ropa.

Conoce las oportunidades de Empleo de Liliana Electrodomésticos en: 
https://surl.li/jfodbv","Household Appliance Manufacturing","1,001-5,000 employees","Privately Held","Rosario, Santa Fe","Argentina","liliana.com.ar","https://www.linkedin.com/company/liliana-electrodomésticos"
,"Freudenberg Home and Cleaning Solutions","Freudenberg Home and Cleaning Solutions is a leading provider for branded cleaning and household products and services. As part of the Freudenberg Group, a global technology group with 40.000 employees in about 60 countries, we develop leading-edge technologies, and excellent products, solutions and services for more than 30 market segments. Freudenberg Home and Cleaning Solutions is the home of global leading brands like Vileda, Vileda Professional, O-Cedar, Marigold, Gimi, Wettex, Oates and Gala. Our highly talented, motivated and results-orientated employees continuously secure and expand our leadership in markets worldwide.

Considering a career at Freudenberg Home and Cleaning Solutions? Visit our Website below for more.","Household Appliance Manufacturing","1,001-5,000 employees","Privately Held","Weinheim, Baden-Wurttemberg","Germany","freudenberg-homeandcleaningsolutions.com","https://www.linkedin.com/company/freudenberg-home-and-cleaning-solutions-gmbh"
,"BSH Electrodomésticos España, S.A.","En el Grupo BSH trabajamos para mejorar la calidad de vida de las personas en el hogar a través de nuestras marcas reconocidas, productos de alta calidad y servicios y soluciones excepcionales. 

En España, fabricamos electrodomésticos en 5 plantas de producción ubicadas en Aragón, Cantabria y Navarra y contamos con marcas de electrodomésticos* establecidas en todo el mundo como Bosch, Siemens y Gaggenau, y nuestra marca local Balay. Con Home Connect, ofrecemos a los consumidores servicios digitales y soluciones sostenibles para mejorar su vida diaria.

Los empleados son la base de nuestro éxito. Por eso, fomentamos una cultura corporativa en la que nuestros más de 4.000 empleados se sienten valorados. En 2024, BSH Electrodomésticos España, S.A. ha sido certificada por duodécimo año consecutivo como empresa Top Employer.

Pero en BSH somos algo más que el fabricante de electrodomésticos líder en Europa y en España.

En el Grupo BSH creemos que la sostenibilidad tiene tres dimensiones que no se excluyen mutuamente, sino que están profundamente interrelacionadas. La protección del medio ambiente, la responsabilidad social y la sostenibilidad del negocio son los cimientos de cualquier empresa de éxito.

Nuestro objetivo es prevenir la contaminación ambiental y reducir nuestra huella. Por eso, reducimos constantemente nuestra huella de carbono e impulsamos el uso de materiales y componentes sostenibles, para que nuestros electrodomésticos estén preparados para una economía circular. 

Diseñamos tecnología dedicada a ahorrar energía y agua, y desarrollamos ideas e innovaciones que nos hacen la vida mucho más fácil a todos. 

Conoce más sobre nosotros en nuestra web http://www.bsh-group.com/es 

*BSH es licenciatario de marca para Siemens AG y Robert Bosch GmbH para las marcas Siemens y Bosch.","Household Appliance Manufacturing","1,001-5,000 employees","Privately Held","Zaragoza, Zaragoza","Mexico","bsh-group.com","https://www.linkedin.com/company/bsh-electrodomesticos"
,"Butterfly Gandhimathi Appliances Ltd","For over four decades, Butterfly has been a part of India’s everyday cooking journey — trusted in millions of homes and known for bringing practical innovation to the kitchen.

We believe every home has its own rhythm, personality, and way of evolving. And every kitchen is shaped by the ideas, tastes, and spirit of the people who cook in it. That belief inspires us to design appliances that are intuitive, reliable, and built for today’s evolving lifestyles.

Our culture is driven by craftsmanship, curiosity, humility, and a continual desire to improve. We take pride in being a homegrown brand built by original thinkers and everyday doers — inspired by real homes, powered by real people, and committed to making everyday living effortless and joyful.

Our renewed positioning, ‘Celebrating Change’, reflects a deep understanding of modern Indian homes — where roles shift, routines blend, and technology enhances everyday living. As a part of Crompton, one of India’s most respected home-solutions companies, we bring intelligent and intuitive solutions that simplify life in the kitchen and beyond. The fingerprint-inspired butterfly identiy brings this idea to life. Crafted from the unique swirls of a fingerprint, it represents every individual whose touch shapes Butterfly — from consumers in their homes to employees who make it possible to our partners who take the ideas forward. It reminds us that while life changes constantly, our essence, values, and personal imprint remain unmistakably our own.

Butterfly — Celebrating Change.
Where every idea, every kitchen, and every individual leaves a mark.","Household Appliance Manufacturing","1,001-5,000 employees","Public Company","Chennai, Tamil Nadu","India","butterflyindia.com","https://www.linkedin.com/company/butterfly-kitchen-appliances"
,"Worten España","Worten es una empresa de la distribución especializada en la venta de Electrodomésticos por Internet. La venta se realiza a través de la página web de Worten.es 


Nuestros compromisos están dirigidos a ofrecer la mejor tecnología al mejor precio: garantizamos la financiación 100% gracias a la tarjeta Worten, aseguramos la instalación y la retirada de los electrodomésticos, una devolución fácil hasta 100 días y un descuento del 5% permanente en todas las compras de dos o más grandes electrodomésticos.","Household Appliance Manufacturing","11-50 employees","Public Company","Madrid, Comunidad de Madrid","Spain","worten.es","https://www.linkedin.com/company/worten-españa"
,"Create","CREATE es muchas cosas, pero sobre todo es una compañía joven creada por jóvenes apasionados por el diseño, la  innovación, la tecnología y con el objetivo de mejorar y simplificar el día a día de nuestros clientes a través de productos únicos y accesibles para todo el mundo.

Somos un equipo que se mueve, se adapta y crece al mismo ritmo que nuestros clientes, que son el eje central de nuestro negocio. Buscamos perfiles que compartan nuestro mismo espíritu: que cada uno se sienta orgulloso de su trabajo y que disfrute consiguiéndolo. 

Sólo eso hará posible conseguir nuestro último objetivo, ser la marca más deseada en cualquiera de los más de diez países donde operamos (por ahora).","Household Appliance Manufacturing","51-200 employees","Privately Held","Madrid, Madrid","Spain","create-store.com","https://www.linkedin.com/company/createglobal"
,"GA.MA Italy - Brasil",".","Household Appliance Manufacturing","501-1,000 employees","Privately Held","São Paulo, São Paulo","Brazil","gamaitaly.com.br","https://www.linkedin.com/company/gama-italy-brasil"
,"upliance.ai","India’s first AI powered home appliance brand. Our first upliance has been designed for beginners and pros to start cooking fantastic food without any stress or hassle. 

Designed in India, Built in India & Made in India. 

The upliance offers guided recipes on its touchscreen, a jar that uses presets for cooking tasks and an integrated weighing scale that makes cooking for 1 or 4 easy and simple. With thousands recipes at your fingertips and an upliance that does all the work, you no longer have an excuse to eat boring food! 

Stop eating boring food with upliance.","Household Appliance Manufacturing","11-50 employees","Privately Held","Bengaluru, Karantaka","India","upliance.ai","https://www.linkedin.com/company/upliance"
,"The Washing Machine Project","We are The Washing Machine Project. 

The Washing Machine Project works to end the burden of hand washing clothes - a daily challenge faced by up to 50% of the global population, especially women and girls, in low-income, remote and displaced communities worldwide.

Based in the UK, The Washing Machine Project is a social enterprise working with corporate partnerships and collaborations, local organisations, charities, consultants and in-country partners in 13 countries to design, manufacture and distribute manual washing machines. The development of the Divya Washing Machine started in 2018 and since then, hundreds of machines have been distributed to households and communities, impacting 46,840 people as of August 2025. The Washing Machine Project and partners also provide support and advice to manual washing machine users to help them maintain the machines independently, whilst also providing grants and training for income related activities.

Our goal is to impact 1,000,000 people by 2030.

We can't do this alone - to find out how you can be part of an ecosystem committed to creating lasting change, that empowers women across the world then visit: https://www.thewashingmachineproject.org/contact-us

Through innovation, collaboration and care we will end the burden of hand washing clothes. One wash at a time.","Household Appliance Manufacturing","11-50 employees","Non Profit","London , London","United Kingdom","thewashingmachineproject.org","https://www.linkedin.com/company/thewashingmachineproject"
,"LG Colombia","Bienvenidos a la cuenta oficial de LG Colombia! 
Llevamos hasta tu hogar tecnología capaz de hacerte vivir experiencias únicas, llenas de detalles, innovación y accesibilidad.
¿Quieres ver de lo que puede ser capaz tu hogar?
#LifesGood","Household Appliance Manufacturing","501-1,000 employees","Privately Held","Bogotá","Colombia","lg.com","https://www.linkedin.com/company/lg_colombia"
