"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Spinny","Spinny is a new age used car end-to-end platform in India. By establishing absolute trust & simplicity in transactions, we are bringing radical change to the way people buy used cars. We follow a full-stack business model to offer Value, Transparency, and Simplicity to our customers. Our goal is to help our customers purchase a car that matches their aspirations with absolute confidence and complete peace of mind.

We present our customers thoroughly inspected high-quality cars while making sure the overall process is entirely transparent and seamless. Every Spinny car must pass a 200-Point rigorous quality check and comes with a 5-Day no questions asked money-back guarantee. Our customers can shortlist a car of their choice from our online platform, and then can visit our physical car hubs for a no-obligation test drive. The right selection, adequate assortment, fair & scientific pricing, and assistance in decision making are the core pillars of our business model.

We are on a mission to build Spinny as the most loved and trustworthy brand of India and believe technology has to play a significant role in achieving this. Do reach out to us to explore potential opportunities to collaborate if you share our passion. We are currently operating in Delhi-NCR, Bengaluru, Hyderabad, Pune, Mumbai, Kolkata, Chennai, Ahmedabad, Jaipur, Chandigarh, Indore, Coimbatore, Lucknow and Kochi.","Retail Motor Vehicles","1,001-5,000 employees","Privately Held","Gurugram, Haryana","India","spinny.com","https://www.linkedin.com/company/spinny"
,"Grupo Mavesa","Maquinarias y Vehículos S.A. tiene su instalación principal en la ciudad de Guayaquil, tiene sucursales en Quito y agencias en Guayaquil ,Ambato y Cuenca.

Misión

Contribuimos al desarrollo de nuestros clientes, proveedores, colaboradores, accionistas y de la sociedad en general, proporcionando productos y servicios de alta calidad.

 
Visión

Ser la mejor opción del mercado automotor ecuatoriano en servicio de postventa.","Retail Motor Vehicles","501-1,000 employees","Self Owned","Guayaquil, Guayas","Ecuador","grupomavesa.com.ec","https://www.linkedin.com/company/grupo-mavesa"
,"Al-Futtaim Automotive","Al-Futtaim Automotive supports how people and businesses move today, tomorrow and in the future.
 
Part of Al-Futtaim, we operate across a broad automotive network, providing vehicles and services that help customers make informed choices and rely on consistent support throughout ownership. Our focus is on what matters most to customers: trust, reliability, and long-term value.
 
As mobility needs and expectations evolve, our role is to help customers navigate change with confidence. We work to ensure new technologies and services are practical, accessible, and relevant to everyday use so that people and businesses can move with clarity, not complexity.
 
Guided by strong values and powered by our people, Al-Futtaim Automotive focuses on delivering meaningful value for customers across the markets we serve.
 
Driving the future of mobility, today.","Retail Motor Vehicles","5,001-10,000 employees","Privately Held","Dubai","United Arab Emirates","alfuttaim.com","https://www.linkedin.com/company/alfuttaimautomotive"
,"Petromin Corporation","Petromin Corporation is a leading multi-national organization in the Kingdom of Saudi Arabia. We stand as a strong transformative force, enabling the movement of people, products and services through sustainable and innovative mobility solutions serving individuals and businesses alike – We help you move!

With a family of more than 6000 colleagues, Petromin boasts deep roots in over 40 countries throughout Central Asia, Southeast Asia and the MENA region.

Under the Petromin Corporation banner, we proudly host 8 business verticals, all devoted to provide a wide range of  products and services. Through this profile, we are the only company to serve the entire customer automotive journey.","Retail Motor Vehicles","5,001-10,000 employees","Privately Held","JEDDAH, WESTERN","Saudi Arabia","petromin.com","https://www.linkedin.com/company/petromin-corporation"
,"Inchcape Américas","Inchcape es el principal distribuidor automotriz multimarca independiente a nivel mundial y opera en más de 40 países con una cartera de las principales marcas de automóviles del mundo. 

Contamos con fuentes de ingresos multicanal diversificadas que incluyen la venta de vehículos nuevos y usados, repuestos, servicios, financiación y seguros. 

Regionalmente Inchcape Américas está presente en 14 países de América Latina y el Caribe (Chile, Colombia, Perú, Bolivia, Argentina, Uruguay, Ecuador, Panamá, Costa Rica, Guatemala, El Salvador, Barbados, Honduras y Puerto Rico) empleando a más de 8,000 personas en la región.","Retail Motor Vehicles","5,001-10,000 employees","Self Employed","lima",,"inchcape.com","https://www.linkedin.com/company/inchcape-americas"
,"CFAO Mobility Côte d'Ivoire","Créée en 1973, CFAO Mobility Côte d’Ivoire est la filiale de la division CFAO Mobility, groupe CFAO, premier réseau automobile en Afrique et dans les Départements et Territoires d’Outre-Mer. 
 
•Le relais de confiance des plus grandes marques mondiales  

CFAO Mobility Côte d’Ivoire est le distributeur exclusif de plusieurs marques de renommée mondiale. La filiale distribue des véhicules utilitaires (TOYOTA, MITSUBISHI, PEUGEOT, MERCEDES, CITROEN, SUZUKI) ; des poids lourds (HINO, KING LONG, FUSO, JCB, TOYOTA EQUIPMENT, MASSEY FERGUSSON, CAMSO, TECHKING) ; des motos et moteurs marins (YAMAHA) ; des véhicules d’occasions (AUTOMARK) ; des pièces de rechange (Winpart). Elle dispose également d’un service de location de longue et courte durée (LOXEA). 
 
•La proximité, gage d’une plus grande efficacité

CFAO Mobility Côte d’Ivoire est présent à Abidjan, Yamoussoukro, Bouaké et est représentée par un agent agréé à San Pedro. 
 
Disposant de 7 points de vente répartis sur le territoire, elle assure à ses clients réactivité et disponibilité. 
 
CFAO Mobility Côte d’Ivoire dispose également d’un réseau de garages agrées sur l’étendue du territoire. 

•Une organisation performante au service des clients  

CFAO Mobility Côte d’Ivoire s’appuie sur l’organisation logistique du groupe CFAO, et plus particulièrement sur ses plateformes de stockage en Europe, pour assurer la disponibilité et la rapidité d’acheminement des véhicules et des pièces de rechange.

•L’esprit de service, un engagement au quotidien  

CFAO Mobility Côte d’Ivoire propose une offre complète de services pour répondre aux besoins de ses clients : Garantie Constructeur / Contrats d’entretien / Service après-vente.","Retail Motor Vehicles","1,001-5,000 employees","Privately Held","Abidjan, Lagune","Ivory Coast","cfaogroup.com","https://www.linkedin.com/company/cfaomobility-ci"
,"Derco","Los cinco mil colaboradores de Derco en Chile, Perú y Colombia y de Imcruz en Bolivia nos unimos a la empresa de distribución automotriz líder en el mundo, para formar Inchcape Américas.

Inchcape Américas combina las operaciones de dos distribuidoras líderes en América Latina, para ofrecer la más variada oferta de soluciones de movilidad para las personas y las empresas, representando a más de 30 marcas y acompañándolos con una propuesta omnicanal que incluye servicios durante todo el ciclo de vida del vehículo.

Inchcape es una empresa de origen inglés con más de 90 años de trayectoria que opera en más de 40 países en todo el mundo e integra una cartera de negocios diversificada que incluye la venta de vehículos nuevos y usados, repuestos, servicios, mantenimiento, financiación y seguros.
 
En la región, Inchcape Américas está presente en 12 países de América Latina y el Caribe (Chile, Colombia, Perú, Bolivia, Argentina, Uruguay, Ecuador, Panamá, Costa Rica, Guatemala, El Salvador y Barbados), empleando a más de 8,000 personas.

Síguenos también en Inchape Américas!","Retail Motor Vehicles","1,001-5,000 employees","Privately Held","Santiago, RM","Chile","inchcape.com","https://www.linkedin.com/company/derco"
,"Al Jazirah Vehicles Agencies Co. Ltd.","Aljazirah Ford: A leading agency dedicated to delivering Ford's finest vehicles and services. With over than 200 Sales point across Saudi Arabia! 

Since its establishment, the auto industry in the United States and probably around the world has been closely associated with Ford Motor Co., the leading auto maker established by Henry Ford. Ford vehicles were first introduced in the Kingdom by the U.S President as a gift to the late King Abdul Aziz. In the 1940s Ford became the vehicle of choice for the Saudi people especially as Saudi Aramco adopted Ford vehicles as one of their main trusted car fleet brands.

The introduction of Ford vehicles in the Kingdom has initiated long standing bonds of trust and dependability which Al Jazirah Vehicles Agencies Company Ltd cultivated as the first Ford Dealer in Saudi. It is a unique business relationship that has grown between this world-renowned auto maker and the car owners in Saudi Arabia.


For more about Ford Automotive please visit our website through the link: https://en.aljazirahford.com/ 

For inquiries: 920002999
For complains feel free to reach out to us at: 8007492222

  
To visit the official Al Jazirah Vehicles Agencies co. website, please click on the following link: https://www.aljazirahvehicles.com/en/","Retail Motor Vehicles","1,001-5,000 employees","Partnership","Riyadh, Central","Saudi Arabia","aljazirahford.com","https://www.linkedin.com/company/al-jazirah-vehicles-agencies-co-ltd-"
,"Sardar Group","In 1970’s in Kirkuk city,  Al-Haj Hussien Al-Bebany the founder of the business, had a vision far ahead of his time that started from simple trading of transportation vehicles.

During the early 1980’s the business shifted to car trading; Sardar Cars became the most known name throughout Iraq after the business had moved to Baghdad in the 1990’s building the largest covered Car Showroom in Iraq.

With more than 30 years of rich experience in the automotive sector, Sardar Group became the leading group in the Automotive Sector in Iraq. The intricate knowledge of the Iraqi market helped import, stock and sell the right brands, types, and models, while the excellent reputation, track record and credibility have helped growing the business times over since the year 2003.

Since 2005 with a desire to move from Automobile Trading to providing its customers with all-round Automotive Solutions, Sardar Group started utilizing the synergies of its existing operations to diversify its automotive business activities to include Trading, Leasing of Vehicles, Equipment & Machinery and most importantly Aftersales Service Support.

Today, Sardar Group represents world-renowned automotive brands and heavy construction equipment & machinery exemplified in the following brands :

• Toyota & Hino
• Lexus
• Jaguar
• Land Rover
• Polaris
• BP Castrol
• TOTO
• Thermo Kig","Retail Motor Vehicles","1,001-5,000 employees","Partnership","Erbil, Erbil","Iraq","sardargroup.iq","https://www.linkedin.com/company/sardar-group-automobile"
,"Mitsubishi Motors North America, Inc.","Explore Mitsubishi Cars, Crossovers & Electric Cars. Build, Price, and Locate Today!","Retail Motor Vehicles","201-500 employees","Privately Held","Franklin, Tennessee","United States","mitsubishicars.com","https://www.linkedin.com/company/mitsubishi-motors-north-america-inc-"
