"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"ParagonCorp","Be part of Indonesia’s most purposeful beauty movement. At ParagonCorp, we believe beauty is more than skin deep — it’s a force for good. With 14,000+ Paragonians across the nation, we build brands that move markets, touch hearts, and uplift communities. Our growth isn’t a reward for doing good — it’s driven by it. Because we don’t grow after being beneficial — we grow by choosing to be beneficial.

As Indonesia’s leading beauty company, our hypersegmented portfolio reflects the diversity of needs, dreams, and lifestyles across generations: Wardah, Make Over, Emina, Kahf, Putri, Crystallure, Instaperfect, Labore, Biodef, Tavi, Wonderly, OMG, Beyondly, and Earth Love Life — 14 brands born from insight, science, and deep care for our consumers.

We grow with intention. Guided by our three pillars — Product, People, and Planet — we create not only high-performing innovations, but also meaningful impact through sustainable action, talent development, and community collaboration. Everything we do is rooted in our belief: For the Greater Good, For Life.

Grow with Purpose. Grow at ParagonCorp. Unleash your potential in a place where bold ideas matter, where care fuels progress, and where your everyday work creates lasting impact.

#BeyondBusiness #UnleashYourPotential #ForTheGreaterGoodForLife","Consumer Goods","10,001+ employees","Privately Held","South Jakarta, DKI Jakarta","Indonesia","paragon-innovation.com","https://www.linkedin.com/company/paragoncorp"
,"Wings Group Indonesia (Sayap Mas Utama)","What is today a major corporation that exports its products around the world began life over 60 years ago in East Java. Over the years, Wings has grown to become one of Indonesia's well-known brands.

The company's first products were soap and detergent, which proved a hit with customers. Soon other cleaning products were introduced and distribution channels were established across Indonesia. The next few decades saw Wings steadily expand its product lines and now produces and sell hundreds of SKUs of household, personal care and food products.

Today, Wings is recognized as a leading local manufacturer and distributor of household and personal care products. Blending local knowledge and advanced manufacturing technologies, Wings is still dedicated to company's vision of providing quality products at affordable prices.

Welcome to WINGS Group Indonesia Official Career Page!

Now it's easier to get the latest information about our vacancies and recruitment events.

Join us now !
1. Send us your latest resume by :
- Linkedin private message with subject : Position Applied
- Email to hrd@wingscorp.com with subject : Linkedin_Position Applied
2. Only qualified candidates will be invited to the selection process.
3. Any qualified candidates for the closed positions will be kept for our talent pool.
4. We respect your politeness while commenting on our post. Any inappropriate can be deleted by our admin anytime.

Thank you ! Now please explore more about us :)","Consumer Goods","10,001+ employees","Privately Held","Jakarta Timur, Jakarta","Indonesia","wingscorp.com","https://www.linkedin.com/company/pt-sayap-mas-utama"
,"DIAGEO India","Diageo India is among the country’s leading beverage alcohol company and a subsidiary of global leader Diageo Plc. The company manufactures, sells and distributes an outstanding portfolio of premium brands such as Johnnie Walker, Black Dog, Black & White, VAT 69, Antiquity, Signature, The Singleton, Royal Challenge, McDowell’s No1, Smirnoff, Ketel One, Tanqueray, Captain Morgan and Godawan, an artisanal single malt whisky from India. 

Headquartered in Bengaluru, our wide footprint is supported by a committed team of over 3000 employees, 37 manufacturing facilities across states and union territories in India, a strong distribution network and a state-of-the-art Technical Centre. Incorporated in India as United Spirits Limited (USL), the company is listed on both the National Stock Exchange (NSE) and Bombay Stock Exchange (BSE) in India.

For more information about Diageo India, our people, our brands, and our performance, visit us at www.diageoindia.com. Visit Diageo’s global responsible drinking resource, http://www.DRINKiQ.com, for information, initiatives, and ways to share best practices.

Celebrating life, every day, everywhere.","Consumer Goods","1,001-5,000 employees","Public Company","Bangalore, Karnataka","India","diageoindia.com","https://www.linkedin.com/company/diageo-india"
,"Orang Tua Group","Selama lebih dari setengah abad, kami telah mengolah bahan-bahan dari sumber alam menjadi produk-produk berkualitas pilihan konsumen. Berawal dari produk minuman kesehatan dgn ramuan alamiah yg diolah secara tradisional, produk-produk kami berkembang semakin modern, canggih, praktis, & efisien sesuai dgn tuntutan zaman. Warisan nenek moyang kita, yg telah terbukti khasiatnya sejak dahulu, terus dikembangkan secara berkesinambungan tanpa meninggalkan rahasia keasliannya.
 Melalui riset dan inovasi, kami selalu menghadirkan Unique Winning Products untuk memenangkan persaingan & menciptakan produk-produk bermerek pilihan utama konsumen dgn investasi merek yg terus menerus dilakukan. Sebut saja merek-merek TANGO, FORMULA, TEH GELAS, FULLO, OOPS, VITACHARM, KIRANTI, & lain-lain yg sudah tidak asing lagi. Mulai dari pasta gigi & sikat gigi hingga makanan & minuman kesehatan, beragam produk kami telah menjadi bagian dari kehidupan masyarakat Indonesia. Bahkan, banyak produk kami yg sudah dapat dinikmati oleh konsumen di berbagai negara.

Komitmen pada kualitas & inovasi membuat kami mampu berdiri tegak selama lebih dari setengah abad & menjadi salah salah satu perusahaan consumer goods lokal yg siap bersaing dgn perusahaan-perusahaan dunia yg sejenis. Beberapa merek dari produk kami bahkan menjadi pemimpin pasar di Indonesia & meraih berbagai penghargaan atas kepuasan konsumen & merek terbaik melalui lembaga surveyor yg diakui secara nasional maupun internasional. 

Semua kemajuan yg telah dicapai ini tidak lepas dari nilai-nilai yg telah kami yakini sejak awal serta terjalinnya hubungan kekeluargaan yg dekat dengan konsumen, karyawan, pemilik, & pihak-pihak lain yg terkait. Kehadiran kami adalah untuk selalu memenuhi kebutuhan konsumen & memberikan kontribusi bagi kesejahteraan masyarakat. Maka, kami terus berupaya untuk mengembangkan usaha & menyempurnakan layanan serta kualitas produk-produk sesuai dgn kebutuhan konsumen, baik saat sekarang maupun akan datang.","Consumer Goods","10,001+ employees","Privately Held","Jakarta Barat, DKI Jakarta","Indonesia","ot.id","https://www.linkedin.com/company/orang-tua-group"
,"Dangote Industries Limited","Driving Africa’s economic growth through industrial excellence and empowering lives.","Consumer Goods","10,001+ employees","Privately Held","Lagos, Lagos","Nigeria","linkbio.co","https://www.linkedin.com/company/dangotegroup"
,"Emami Ltd","Founded in 1974 by two childhood friends - RS Agarwal and RS Goenka, Emami Ltd. has positioned itself as one of the leading and fastest growing personal care and healthcare businesses in India. With a prodigious portfolio of household brand names such as BoroPlus, Navratna, Kesh King, Fair and Handsome, Zandu Balm, Mentho Plus Balm and Fast Relief, Emami employs around 25,000 employees across geographies. Well known for its aggressive marketing powered by celebrity endorsements, Emami products are available in over 4.9 million retail outlets across India through its network of ~3200 distributors with a global footprint spanning over 70 countries including SAARC, MENAP, SEA, Africa, Eastern Europe and the CIS countries. Emami Ltd is the flagship Company of the diversified Emami Group.

To know more, please visit www.emamiltd.in and www.emamigroup.com","Consumer Goods","1,001-5,000 employees","Public Company","Kolkata, West Bengal","India","emamigroup.com","https://www.linkedin.com/company/emami-ltd"
,"PT. Softex Indonesia","ENHANCING THE QUALITY OF LIFE

From the humble beginning in 1974, PT. Softex Indonesia start with a simple purpose, be a part of Indonesian family. Its' excellent corporate heritage has serve as a strong foundation for the growth and expansion of the company. We have grown by leaps and bounds. In November 2020, we achieved another milestone as we are now part of the Kimberly Clark global family.

Coming from Softex Indonesia's long history, Kimberly-Clark Softex (PT. Softex Indonesia) is committed to continuously improving the quality of life of consumers, communities and employees, as well as accelerating growth by leveraging Kimberly-Clark's global expertise and innovation and maintain the local market expertise, insights of Softex.

Our mission is to enhance the quality of life. We believe it's important to play a key role in every stage of life of our consumers by providing continuous innovation for high quality and value in personal hygiene and health products and services, that will improve the well being and enhance the quality of life for all generations.


For more information about our job vacancy, visit us on:
https://www.linkedin.com/company/kcsoftex/
https://www.jobstreet.co.id/id/job-search/jobs-at-pt-softex-indonesia/","Consumer Goods","1,001-5,000 employees","Privately Held","South Tangerang, Banten","Indonesia","softexindonesia.com","https://www.linkedin.com/company/kcsoftex"
,"Daikin Airconditioning India Pvt. Ltd.","Daikin Air-conditioning India Pvt. Ltd., a subsidiary of Daikin Industries Ltd. is one of the leading global manufacturers of both commercial and residential air-conditioning systems. After introducing our superior air-conditioning solutions in India in the year 2000, we gained the trust of our valuable customers with our innovative range of products and dedication towards quality. Our never-ending quest for innovation has made us the market leaders for both commercial use and high-end residential air-conditioning systems. An ISO 14001 certified company; we remain committed to keep you at the core of everything we do. We at Daikin, with global philosophy of ‘Quality First’ walk on to realise our dream for a better world.","Consumer Goods","501-1,000 employees","Privately Held","Gurgaon, Haryana","India","daikinindia.com","https://www.linkedin.com/company/daikin-airconditioning-india-pvt.-ltd."
,"Nutrifood","Founded in 1979, Nutrifood is an innovative company that manufactures & markets international-quality health foods & beverages under leading brands. 
Nutrifood is a company that innovatively inspires and supports every individual to attain balanced life by living a fun healthy-life and being mindful of nutrition intake, thus enjoying a longer healthy life.

Our activity is supported by three pillars:
1. Quality Product and Services
Nutrifood innovatively provides premium product and services of in high quality, ease and pleasant, and effective based on scientific approach.

2. Sound Management
Nutrifood is spearheaded by an expert team who’s professional and highly committed, experienced and innovative in maximizing product and service quality

3. Stakeholder Engagement Program
Nutrifood is innovatively and proactively educating and promoting healthy and nutritious lifestyle that involves key stakeholders.

Nutrifood strives to become a pioneer and market leader in providing our costumer the path to a life that is healthier, more enjoyable & more fulfilling, now and in the future.
""INSPIRING A NUTRITIOUS LIFE""

To accomplish that mission, Nutrifood makes effort to help our customer to achieve a longer healthy life through our reputable and leading brands; Tropicana Slim, NutriSari, HiLo, L-Men, dan WRP. Nutrifood is here to inspire people to enjoy longer healthy life, through healthy lifestyle which supported by healthy nutritions.","Consumer Goods","501-1,000 employees","Privately Held","Jakarta Timur, DKI Jakarta","Indonesia","nutrifood.co.id","https://www.linkedin.com/company/pt-nutrifood-indonesia"
,"Bombril","Somos a Bombril, empresa  de marcas brasileiras icônicas, presentes na casa de mais de 90% dos brasileiros. Bombril, Limpol, MonBijou nossas grandes estrelas, ao longo dos últimos 77 anos, foram construídas com muita inovação, campanhas memoráveis, cheias de autenticidade e irreverência. 

Um legado enorme, com um grande futuro pela frente. Assim queremos continuar crescendo e fortalecendo nossas marcas. Transformação é a palavra da vez e você que curte um desafio é a pessoa certa para construir essa nova jornada com a gente. 

Venha empreender conosco, e ser protagonista em dar continuidade a essa grande história.","Consumer Goods","1,001-5,000 employees","Privately Held","São Bernardo do Campo, SP","Brazil","bombril.com.br","https://www.linkedin.com/company/bombril"
