name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,rank,category,write_idempotency_key
Pfizer Inc,pfizer.com,https://linkedin.com/company/pfizer,"New York, NY, USA",Global,"Pfizer Inc is a leading global pharmaceutical company specializing in the development, manufacturing, and distribution of innovative medicines and vaccines. With a strong focus on research and development, Pfizer addresses some of the world's most pressing healthcare challenges and maintains a significant presence in the pharmaceutical industry.",Pharmaceutical,"10,001+ employees",$10B+,USD,United States,Public Company,83000,58000.0,2.0,CPG,f1397964e6ac6e0d307656c92b4feced
Global Ecommerce,globalecommerce.com,https://linkedin.com/company/global-ecommerce,"San Bruno, CA, USA",Global,"Global Ecommerce is a leading retail subsidiary specializing in online shopping and digital commerce. With a vast product catalog and operations spanning worldwide, the company is recognized for its innovative approach to e-commerce and its dominant market position in the retail industry.",E-commerce,"10,001+ employees",$10B+,USD,United States,Subsidiary,100000,675600.0,1.0,Retail,a604a746f6d8a60113a46b8f468550d9
L'Oréal USA,lorealusa.com,https://linkedin.com/company/loreal-usa,"New York, NY, USA",Global,"L'Oréal USA is a subsidiary of the L'Oréal Group, a global leader in beauty and cosmetics. The company offers a wide range of skincare, haircare, makeup, and fragrance products, catering to diverse consumer needs. With a strong presence in the U.S. market, L'Oréal USA is committed to innovation, sustainability, and inclusivity in the beauty industry.",Beauty & Cosmetics,"10,001+ employees",$10B+,USD,United States,Subsidiary,12000,45000.0,4.0,Retail,13660a321617213e5826a74fe09c2040
L'Oréal France,loreal.com,https://linkedin.com/company/loreal,"Clichy, Île-de-France, France",Global,"L'Oréal is a global leader in the beauty and cosmetics industry, offering a wide range of products including skincare, haircare, makeup, and fragrances. With a strong presence in over 150 countries, the company is known for its innovation, sustainability initiatives, and diverse portfolio of brands catering to various consumer needs.",Beauty & Cosmetics,"10,001+ employees",$10B+,USD,France,Public Company,87000,45000.0,3.0,Retail,2526644f7e928f753d735a2faea33202
"Canon U.S.A., Inc.",usa.canon.com,https://linkedin.com/company/canon-usa,"Melville, NY, USA",Global,"Canon U.S.A., Inc. is a leading provider of consumer, business-to-business, and industrial imaging solutions. The company specializes in cameras, printers, and optical products, maintaining a strong market position in the consumer electronics and imaging industries.",Consumer Electronics,"10,001+ employees",$10B+,USD,United States,Subsidiary,18000,28000.0,6.0,Retail,18abcf7d5ac327c67012841f8a2ede6c
Authentic Brands Group,authenticbrands.com,https://linkedin.com/company/authentic-brands-group,"New York, NY, USA",Global,"Authentic Brands Group is a brand development, marketing, and entertainment company that owns a portfolio of iconic and global brands. The company specializes in managing intellectual property and licensing for fashion, sports, and lifestyle brands, positioning itself as a leader in the consumer packaged goods (CPG) industry.",Brand Management,"1,001-5,000 employees",$10B+,USD,United States,Private Company,2000,30000.0,5.0,CPG,671d59fdda98a20903f9b2d18e8a97c4
Canon USA,usa.canon.com,https://linkedin.com/company/canon-usa,"Melville, NY, USA",Global,"Canon USA is a leading provider of consumer, business-to-business, and industrial digital imaging solutions. The company offers a wide range of products, including cameras, printers, and imaging equipment, and is recognized for its innovation and quality in the consumer electronics market. As a subsidiary of Canon Inc., it serves customers across the United States and globally.",Consumer Electronics,"10,001+ employees",$10B+,USD,United States,Subsidiary,15000,28000.0,7.0,Retail,2f8e1a5409d7bbd47a1b4fc86508099b
"Louis Vuitton North America, Inc.",louisvuitton.com,https://linkedin.com/company/louis-vuitton,"New York, NY, USA",Global,"Louis Vuitton North America, Inc. is a subsidiary of LVMH, specializing in luxury fashion, leather goods, accessories, and high-end retail. Known for its iconic monogram and craftsmanship, the company is a leader in the global luxury market, offering premium products to discerning customers.",Fashion Retail,"10,001+ employees",$10B+,USD,United States,Subsidiary,15000,25000.0,8.0,Retail,19bdfb0d8d04dd61f982f3871d28116d
H&M,hm.com,https://linkedin.com/company/hm,"Stockholm, Sweden",Global,"H&M, also known as Hennes & Mauritz, is a leading global fashion retailer offering affordable and sustainable clothing, accessories, and home goods. With a strong presence in over 70 countries, H&M is known for its fast-fashion model and commitment to sustainability initiatives.",Fashion Retail,"10,001+ employees",$10B+,USD,Sweden,Public Company,155000,22000.0,9.0,Retail,6f5d54970ff11faa4ba970415433eb0a
Aramark Corporation,aramark.com,https://linkedin.com/company/aramark,"Philadelphia, PA, USA",Global,"Aramark Corporation is a leading provider of food services, facilities management, and uniform services to various industries, including education, healthcare, business, and sports. With a strong global presence, the company is known for delivering innovative solutions and exceptional customer service. Aramark is committed to sustainability and enhancing the customer experience.",Facilities Management and Food Services,"10,001+ employees",$10B+,USD,United States,Public Company,248000,20500.0,10.0,Retail,576f4a6c5881453fc19d7c0e21d05521
