name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,write_idempotency_key
3M Co.,3m.com,https://linkedin.com/company/3m,"Saint Paul, United States",Global,"3M Co. is a multinational conglomerate that operates in various industries, producing a wide range of products including adhesives, abrasives, and consumer goods. The company is known for its innovation and iconic brands like Post-it Notes and Scotch Tape.",Industrial And Consumer Goods,"10,001+ employees",$10B+,USD,United States,Public Company,92000,32681.0,0fd37e4b4cd9fec665743195cb68106f
7-Eleven,sej.co.jp,https://www.linkedin.com/company/7-eleven-japan,"Tokyo, Japan",Asia-Pacific,"7-Eleven is a leading convenience store chain in Japan, offering a wide range of products and services to meet the daily needs of customers. It operates as part of Seven & I Holdings Co., Ltd.",Convenience Retail,"10,001+ employees",$10B+,USD,Japan,Private Company,45000,78000.0,bcace0a1ca96172b94b57fb738a2ab22
"Academy Sports And Outdoors, Inc.",academy.com,https://linkedin.com/company/academy-sports-outdoors,"Katy, United States",United States,"Academy Sports and Outdoors, Inc. is a leading full-line sporting goods and outdoor recreation retailer, offering a wide assortment of quality products at affordable prices.",Sporting Goods Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,22000,6159.0,2c39f1e13f7f440bd2d6f7ceaa8fab61
AB Electrolux,electrolux.com,https://linkedin.com/company/electrolux,"Stockholm, Sweden",Global,"AB Electrolux is a leading global appliance company that designs and manufactures household and professional appliances, including refrigerators, dishwashers, washing machines, and vacuum cleaners.",Home Appliances,"10,001+ employees",$10B+,USD,Sweden,Public Company,52000,12679.0,6ac2376fe2973172e60fb052bd0d799b
Action Holding BV,action.com,https://linkedin.com/company/action,"Zwaagdijk-Oost, Netherlands",Europe,"Action Holding BV is a leading international non-food discount retailer, offering a wide range of affordable products across various categories, including household goods, DIY, and personal care.",Discount Retail,"10,001+ employees",$10B+,USD,Netherlands,Private Company,65000,12471.0,395dea43d0ba4ca4c883b6c8c506938c
Adidas AG,adidas.com,https://linkedin.com/company/adidas,"Herzogenaurach, Germany",Global,"Adidas AG is a leading multinational corporation that designs and manufactures sportswear, footwear, and accessories, catering to athletes and consumers worldwide.",Sportswear And Apparel,"10,001+ employees",$10B+,USD,Germany,Public Company,59000,23190.0,3b1a0e4c361b01b95f00dad231a817e9
Aldi Einkauf Gmbh & Co. Ohg And Aldi International Services Gmbh & Co. Ohg,aldi.com,https://linkedin.com/company/aldi,"Essen, Germany",Global,"Aldi Einkauf GmbH & Co. oHG and Aldi International Services GmbH & Co. oHG are part of Aldi, a leading global discount supermarket chain known for offering high-quality products at affordable prices.",Discount Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,250000,123608.0,759aa1f6613b9030700c9ad41a8f5830
"Albertsons Companies, Inc.",albertsons.com,https://linkedin.com/company/albertsons,"Boise, United States",United States,"Albertsons Companies, Inc. is a leading food and drug retailer in the United States, operating a variety of supermarket banners and providing grocery, pharmacy, and other retail services.",Supermarkets And Grocery Retail,"10,001+ employees",$10B+,USD,United States,Private Company,290000,77649.0,f677c8ec65669269c4b7609276479c09
Alibaba Group Holding Limited/New Retail & Direct Sales,alibabagroup.com,https://linkedin.com/company/alibaba-group,"Hangzhou, China",Global,"Alibaba Group Holding Limited is a multinational conglomerate specializing in e-commerce, retail, internet, and technology. The New Retail & Direct Sales division focuses on integrating online and offline retail experiences.",E-Commerce And Retail,"10,001+ employees",$10B+,USD,,Private Company,251462,24890.0,326a15b212c891eec63dca39de6dc824
Altria Group,altria.com,https://linkedin.com/company/altria,"Richmond, United States",United States,"Altria Group is a leading producer and marketer of tobacco, cigarettes, and related products. The company owns well-known brands such as Marlboro and focuses on providing adult consumers with innovative and high-quality products.",Tobacco Products,"5,001-10,000 employees",$10B+,USD,United States,Public Company,6000,24483.0,cbc13a39f858d9a3c1bddc590cffbe57
