"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Grupo Pochteca","We are a Mexican company with a presence throughout Latin America, dedicated to the marketing of value-added raw materials. We serve more than 40 industrial sectors, including water treatment, mining, food, automotive, oil exploration and drilling, personal care, cleaning, sanitation, and the metalworking industry.

We have a catalog of more than 9,980 products, including both generic and specialty products for each industry. Our logistics network consists of 33 distribution centers in Mexico, 4 in Central America (El Salvador, Costa Rica, Guatemala, and Panama), 17 in South America (Argentina, Brazil, Chile, Colombia, Ecuador, and Peru), and 1 in the United States, from which we serve more than 28,330 customers annually in over 500 cities.

We provide specialized technical support backed by 6 quality control laboratories, 17 application research and development labs, and 4 multi-functional labs, where we design customized solutions. We also have the support of leading national and international suppliers in their respective industries, 22.4 million liters of storage capacity, and over 354,700 m² of logistics infrastructure.

Founded in 1988, Grupo Pochteca is a market leader and serves more than 8,000 clients monthly. We hold certifications such as ISO 9001-2008, Clean Industry, and FSC, and we were the first company in Mexico to obtain the NACD (United States) Responsible Distributor Certification. We are currently listed on the Mexican Stock Exchange.

At Grupo Pochteca, we offer the quality, reliability, and support our clients need to strengthen their operations.

We invite you to visit our website to learn more about our products and services: pochteca.net","Wholesale Chemical and Allied Products","1,001-5,000 employees","Public Company","Miguel Hidalgo, CDMX","Mexico","pochteca.net","https://www.linkedin.com/company/grupo-pochteca"
,"Tricon Energy","Tricon Energy is an industry leader in the global trade and distribution market. Founded in 1996, Tricon has grown into one of the largest privately held companies in Houston, Texas, with annual revenues of several billion dollars. We employ talent in nearly forty countries and conduct business in over one hundred.

We add value to our suppliers and customers by providing superior logistics, risk management, financing, and market intelligence services. We originate and market products globally, meeting specific location, quality, timing and volume requirements. We also provide a versatile range of price risk management and contracting alternatives to our clients. Each day, we strive to enhance international commerce through the physical movement and marketing of industrial chemicals, dry bulk, fuels, plastic intermediates, and fertilizers. We are committed to providing our clients and suppliers with streamlined services so they can focus on their core business. With our worldwide team of professionals, we have grown from a business that began with distribution of caustic soda, to a globally recognized company trading and distributing hundreds of products.","Wholesale Chemical and Allied Products","501-1,000 employees","Privately Held","Houston, Texas","United States","triconenergy.com","https://www.linkedin.com/company/tricon-energy"
,"WD-40 Company","Founded in San Diego, California U.S.A. in 1953, WD-40 Company is a publicly traded, global sales and marketing company. The blue and yellow can with the little red top and yellow “shield” carries with it positive brand equity - the brand is memorable, easily recognizable and known for its superiority in quality and reliability to end users across 62 unique channels of trade in more than 176 countries.  Our maintenance products currently make up ~90% of net sales and homecare and cleaning products ~10%.

WD-40 Company's corporate headquarters and Corporate Brand Support Center are located in San Diego.  Our ~500 highly engaged tribe members in our 15 offices throughout the world are caretakers of our brands and innovators of our future.

Our “Why”
We exist to create positive lasting memories in everything we do. We solve problems. We make things work smoothly. We create opportunities.

Our “How”
We create positive lasting memories by cultivating a tribal culture of learning and teaching which produces a highly engaged workforce who live our company’s values every day. 

Our “What”
Our mission is to deliver unique, high value and easy-to-use solutions for a wide variety of maintenance needs in workshops, factories and homes. We market and distribute our brands across multiple trade channels in countries all over the world.

In the company's 70 year history, there has not been a reduction in force.  We work diligently to ensure that our approach to workforce planning and hiring is conservative to ensure sustainable workforce in good times and bad. We invest carefully and our people and take seriously the commitment we make to hiring, developing and retaining. This aligns with our people first strategy: our people are not disposable.","Wholesale Chemical and Allied Products","501-1,000 employees","Public Company","San Diego, California","United States","wd40company.com","https://www.linkedin.com/company/wd-40-company"
,"Quimidroga","Quimidroga S.A. is a company founded in 1944 in Barcelona dedicated to the marketing and distribution of chemical products, whose mission is to contribute to the development of a more sustainable chemical industry. Headquartered in Barcelona and present throughout the Mediterranean Arc, Quimidroga works every day to become the benchmark distributor in Southern Europe.

Quimidroga seeks to be a reference through its way of understanding and developing its activity: constant work, a close relationship with suppliers and clients based on trust and transparency, and a deep knowledge of our activity, which allows us to position ourselves as a company specialised in each of the industrial sectors in which we are present.

The sustained practice of these principles by a team of more than 500 people has made us the undisputed leader in our sector for the Iberian Peninsula and one of the top 10 European distributors. In 2022 Quimidroga registered a turnover of €1 248 million.

Not only does Quimidroga market a wide range of chemical products ranging from basic industrial products or commodities to the most sophisticated specialties, but it is also integrated into the supply chain of clients and suppliers, carrying out all kinds of operations, thanks to its extensive distribution network which has one of the most modern and best equipped Logistics Complexes in Europe. It is also involved in the development of new solutions from its R&D&I laboratories.","Wholesale Chemical and Allied Products","501-1,000 employees","Privately Held","Barcelona, Barcelona","Spain","quimidroga.com","https://www.linkedin.com/company/quimidroga"
,"Redox Ltd","Redox markets a range of more than 1,000 different chemicals, ingredients and raw materials, sourced from leading manufacturers throughout the world. Our products are supplied to 170 different industries throughout Australia, New Zealand, Malaysia and the United States. Whatever your chemical raw material or ingredient need, Redox can help.

Our dedicated team of more than 400 employees operate from 16 offices across the globe, with more than 100 convenient storage locations. Redox is well placed to source and supply an extensive range of products. Let us be an integral part of your sourcing strategy.

Starting as a small trader of speciality products in 1965, Redox has grown to become one of the largest chemical, ingredient and raw material distributors in the Asia Pacific region.

A growing business with sales revenue of over $1.258 billion in the financial year 2023, we have ambitious targets and need talented people to get to our goal.

Redox looks for long term partnerships, where shared values and common goals align for mutual benefit.

Our relationships are open, innovative and based on teamwork.

Redox is listed on the Australian Securities Exchange (ASX) under the ticker of RDX","Wholesale Chemical and Allied Products","201-500 employees","Public Company","Sydney, NSW","Australia","redox.com","https://www.linkedin.com/company/redox"
,"Wego Chemical Group","Wego Chemical Group—a privately owned and operated firm—is a global supplier and distributor of chemicals, minerals, and raw materials. 

We offer a variety of chemical products with diverse applications and uses, servicing a wide range of industrial and distribution markets. Since inception in 1978 our philosophy has been founded upon the sourcing and development of competitive chemical supply originating from the Pacific Rim, with a strong emphasis on China, Taiwan, Korea, Japan, India, and Indonesia.","Wholesale Chemical and Allied Products","201-500 employees","Privately Held","Great Neck, New York","United States","wegochem.com","https://www.linkedin.com/company/wegochem"
,"Golmar","Il gruppo Golmar è una delle più grandi realtà leader nel settore dell’igiene e della disinfezione professionale. Operiamo da oltre 50 anni nel business dell’Industria, della Medica, dell’Estetica, dell’HO.RE.CA ed in tutti quei settori dove sono richieste competenze tecniche e prodotti professionali destinati ad utilizzi specifici. Serviamo più di 200.000 Clienti in tutta Italia grazie alla professionalità di oltre 400 venditori tecnici professionisti ed alla vicinanza garantita dalle nostre 15 filiali presenti su tutto il territorio nazionale.","Wholesale Chemical and Allied Products","201-500 employees","Privately Held","Torino","Italy","golmar.com","https://www.linkedin.com/company/golmar-italia"
,"Golmar","Il gruppo Golmar è una delle più grandi realtà leader nel settore dell’igiene e della disinfezione professionale. Operiamo da oltre 50 anni nel business dell’Industria, della Medica, dell’Estetica, dell’HO.RE.CA ed in tutti quei settori dove sono richieste competenze tecniche e prodotti professionali destinati ad utilizzi specifici. Serviamo più di 200.000 Clienti in tutta Italia grazie alla professionalità di oltre 400 venditori tecnici professionisti ed alla vicinanza garantita dalle nostre 15 filiali presenti su tutto il territorio nazionale.","Wholesale Chemical and Allied Products","201-500 employees","Privately Held","Torino","Italy","golmar.com","https://www.linkedin.com/company/golmar-italia-spa"
,"Bodo Möller Chemie","Bodo Möller Chemie is one of the leading distributors of speciality chemical products and bonding solutions in Europe. With over 45 years of experience in this field our Core business areas are Adhesives & Sealants, Additives, Polymers and Coatings. With its headquarters in Germany (Offenbach) and subsidiaries in now 24 offices in Europe, Africa and Asia, a production plant in Egypt and a laboratory in Poland, the Bodo Möller Chemie Group has developed into a global operating company.

Bodo Möller Chemie is dedicated to meeting the needs and expectations of customers without compromising its commitment to sustainability. Bodo Möller Chemie is certified according to ISO 9001:2000 and ISO 14001:2005, ISO 18001 and participates actively in the Responsible Care Programme. Bodo Möller Chemie is also a fully assessed company according to ESAD II.","Wholesale Chemical and Allied Products","201-500 employees","Public Company","Offenbach, Germany","Germany","bm-chemie.com","https://www.linkedin.com/company/bodo-m-ller-chemie"
,"Maha","Starting with raw materials distribution, we have now ventured into “greener pastures”, not limited to technology and equipment, and also new product innovations.

We dream to build an ecosystem as a sustainable solutions provider, connecting players worldwide with opportunities in Asia and vice versa. Yet we always stay committed to enrich lives with chemistry by sharing knowledge, fostering bonds, and promoting sustainability.

It’s always about growth, and we are here to help you accelerate it.

We are Maha, your preferred partner from Asia.

Visit us: www.maha.asia","Wholesale Chemical and Allied Products","201-500 employees","Privately Held","Singapore","Singapore","maha.asia","https://www.linkedin.com/company/maha-asia"
