"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"DSA","Data Systems Analysts, Inc. (DSA) has been providing mission essential solutions for Defense, Federal Government, Academia, and Commercial customers since 1963. DSA's employees excel in helping our customers achieve sensitive, mission-critical business goals and objectives. DSA is a 100 percent employee-owned company: every employee has a stake in the success of our company. Since its inception, DSA has played an important role in supporting the U.S. Government. As one of its first major programs, DSA partnered with the U.S. Department of Defense (DoD) to provide a secure and reliable messaging system for America's fighting forces and our allies. Today, we provide high-end solutions across the Federal customer spectrum, including DoD and Civil agencies. We have expanded our customer base to include Universities and private industry partners as we provide Critical Infrastructure support and monitoring. 

DSA has deep expertise and comprehensive understanding of the operational, security, collaboration, and identity management challenges our customers must address. We are CMMC Level 2 (C3PAO), ISO 9001:2015 and ISO/IEC 27001:2013 registered and appraised at CMMI Maturity Level 3 for Service Projects and for Development. DSA’s service offerings include Systems Engineering and Integration, Software Development, Data Analytics, Cyber Operations and Security, Systems Modernization, Cloud Solutions, Enterprise Collaboration and Knowledge Management, and Critical Infrastructure Intelligence Systems.  DSA is headquartered in Trevose, PA and has major operations in the United States and support over 60 various locations across the country.","IT System Operations and Maintenance","201-500 employees","Privately Held","Trevose, PA","United States","dsainc.com","https://www.linkedin.com/company/dsa"
,"Goods And Services Tax Network","Goods and Service Tax (GST) was the largest indirect tax reform in the history of India. The reform mandated integration of entire nation’s diverse tax portfolio into a single taxation system. This brought upon a massive complexity in developing an IT platform, to handle not only the diverse tax systems of 36 States/Union Territories & Union Government, but also needed providing a single interface for more than a crore taxpayers’ for their GST compliance functions. Goods and Services tax Network (GSTN) was entrusted to build such a platform to service the need of diverse set of stakeholders. The responsibilities include and not limited to the following:
•	GST System Application design, development and operation
•	Taxpayer Migration from erstwhile regime to GST regime
•	IT Infrastructure procurement, commissioning with state-of-an-art Security apparatus
•	Systemic resilience against failures and Disaster Recovery mechanism
•	Helpdesk Setup and Operations
•	Training and Capacity Building
•	GST Eco-System creation and management (GSPs)
•	Backend system for 27 States/UTs for assessments, appeal etc.","IT System Operations and Maintenance","51-200 employees","Public Company","New Delhi","India","gstn.org.in","https://www.linkedin.com/company/gstn-official"
,"Nexien Inc.","We are committed to providing the best expertise & service to ensure cost-effective and successful results. Nexien has applied our people, processes, and technologies to accelerate solving some of the world’s toughest challenges in order to positively impact the environment, marketplace, workplace, and society. We recognize that the basic needs of society remain constant.

To meet society’s needs in a world of decreasing resources and increasing innovations, we need to help our customers develop intelligent infrastructure solutions, including technical resources provisions and smart ecosystems. We work closely with our clients to accurately interpret their envisioned dreams in drawings and to bring them to life. We are constantly working with our clients to better understand their challenges.

We believe that our active engagement and interest in our clients initiate a flexible approach which provides them with the best solution that is both cost effective and right for their business.","IT System Operations and Maintenance","201-500 employees","Privately Held","Ridgefield Park, NJ","United States","nexien.com","https://www.linkedin.com/company/nexien-inc"
,"ARC by ChargeItSpot","Managing enterprise devices is complex. ARC by ChargeItSpot simplifies it.

ARC was launched in 2021 by ChargeItSpot, a pioneer in public mobile charging stations trusted by brands like Neiman Marcus, Bloomingdale's, Nordstrom, Target and Under Armour. Built on a decade of kiosk innovation, ARC was developed specifically to address growing demand for secure, efficient, and automated employee device management.

Before ARC, companies often faced costly device loss, hours of manual troubleshooting, and inefficient device tracking. With ARC's intelligent, modular locker system, businesses can now securely store, charge, and monitor handheld devices—all through a centralized self-service kiosk.

ARC's patented hardware and integrated software track each device in real time, alerting managers instantly if devices aren't returned or require maintenance. Organizations using ARC report impressive results, including a 93% reduction in device shrink, managers reclaiming 84% of time previously spent on manual device management, and 75% fewer devices held in overstock.Industry-leading brands like Walmart Canada, Sam’s Club, Lululemon, and DHL rely on ARC to optimize their device management, minimize waste, and increase employee productivity.","IT System Operations and Maintenance","51-200 employees","Privately Held","Philadelphia, PA","United States","experiencearc.com","https://www.linkedin.com/company/chargeitspot-arc"
,"OpsRamp","HPE OpsRamp is a HPE company specializing in IT Operations Management (ITOM) solutions for multi-vendor and multi-cloud environments, helping simplify and automate IT operations. It provides a SaaS-based ITOM solution that helps organizations manage and monitor IT infrastructure, cloud resources, workloads, and applications. 

From discovery to resolution: Simplify your IT operations across multi-vendor, hybrid multi-cloud environments. Know more about it here: https://www.hpe.com/in/en/opsramp.html

Follow us on Twitter
https://twitter.com/OpsRamp

Follow us on Facebook
https://www.facebook.com/OpsRampHQ/","IT System Operations and Maintenance","201-500 employees","Privately Held","San Jose, California","United States","opsramp.com","https://www.linkedin.com/company/opsramp"
,"Automox","Automox is the IT automation platform for modern organizations. Policy-driven human-controlled automation empowers IT professionals to prove vulnerabilities are fixed, slash cost and complexity, win back hours in their days, and delight end users.
Automox makes it easy for IT to save time, reduce risk, and thoughtfully automate OS, third-party, and configuration updates on Windows, macOS, and Linux desktops, laptops, and servers. Join thousands of IT heroes automating confidence across millions of endpoints with Automox.","IT System Operations and Maintenance","201-500 employees","Privately Held","Boulder, Colorado","United States","automox.com","https://www.linkedin.com/company/automox"
,"AutonomOps AI","AutonomOps AI is on a mission to bring Agentic workflows to Ops, starting with transforming how teams investigate incidents and alerts","IT System Operations and Maintenance","2-10 employees","Privately Held","San Ramon, California","United States","autonomops.ai","https://www.linkedin.com/company/autonomops-ai"
,"3D Infosystems","With two decades of experience, 3D has solidified its reputation as a reliable and innovative provider of solutions to businesses throughout Southeast Asia. In partnership with its sister company, FCS, a leading provider of hospitality technology solutions, 3D brings FCS1 - a comprehensive cloud-based solution uniquely crafted to tackle the day-to-day operational challenges faced by businesses in various industries, including healthcare, retail, education, oil & gas, telecommunications, and hospitality. 

Focusing on innovation and customizable solutions, 3D's approach is centered around understanding each customer's unique business needs and tailoring solutions to improve productivity, profitability, and overall success. Its user-friendly technology solutions help organizations across all sectors remain competitive in an ever-evolving business landscape. 

FCS1 enables businesses to create an operational management solution unique to their needs and seamlessly integrates with their preferred third-party solution via open API - allowing businesses to optimize their daily workflow, stay on top of all tasks, and make data-driven decisions to utilize resources effectively. Designed to automate and streamline processes, empower staff, and provide real-time information to management, the solution's modules cover a wide range of operations - maintenance, cleaning, incidents, and task dispatch - connecting different departments for more efficient management. 

3D's customizable operational solutions have helped organizations unlock efficiencies and enhance performance, establishing 3D as a trusted partner for businesses throughout Southeast Asia.","IT System Operations and Maintenance","501-1,000 employees","Privately Held","Singapore","Singapore","3dnetworks.com","https://www.linkedin.com/company/3d-networks"
,"Nordic Computer A/S","ABOUT US
Since 1979 Nordic Computer has worked with both public and private companies, which both have in common that they want to optimize their IT budget. We sell, buy and maintain datacenter equipment, and thereby helping our customers by extending the lifecycle of their IT setup, so they can postpone their investments and save money. Whether we supply hardware or service a datacenter, our 40 years of experience in the IT industry are a testament to our commitment to establishing long term relationships with our customers and partners.

Multi Vendor Hardware Service
We offer onsite datacenter hardware services in Denmark and the Nordics with a focus on quality and cost savings. Our skilled technicians and the largest spare part stock in the Nordics guarantee a fast resolution to any maintenance issue. Our starting point is your needs - and not inflated OEM service prices, which aim to push you to invest in new hardware, before you even need it. Take control of your datacenter and do not let the OEMs' need for selling new hardware dictate when you should upgrade.

Refurbished Datacenter Hardware
We offer worldwide delivery of refurbished servers, storage and networking datacenter hardware. We give you a fast response, tested equipment, quality packing and excellent service. Our large stock with more than 50,000 parts of tested hardware enables same day shipping. Prior to leaving our warehouse, all products are thoroughly tested and come with 12 months warranty.","IT System Operations and Maintenance","51-200 employees","Privately Held","Nørresundby","Denmark","nordiccomputer.com","https://www.linkedin.com/company/nordic-computer-as"
,"Watad Group","Watad Group is primarily a solutions provider for diverse business ventures and our key strength lies in the ability to source and develop solutions uniquely as per client's demand.","IT System Operations and Maintenance","51-200 employees","Privately Held","Doha","Qatar","watadqatar.com","https://www.linkedin.com/company/watad-group-enterprises"
