"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Empleos Petroleros","Empleos Petroleros es una comunidad independiente del sector energético y petrolero.
Compartimos empleos, noticias, análisis y tendencias para profesionales de Oil & Gas en Colombia y el mundo.
Nuestra misión es informar, orientar y visibilizar, apoyando el crecimiento profesional en la industria energética.
No gestionamos procesos de selección ni representamos a empresas u organizaciones.","Oil, Gas, and Mining","Self-employed","Self Employed","Bogota, .","Colombia",,"https://www.linkedin.com/company/empleos-petroleros"
,"Energy Recruitment Hub","Please let me introduce our product and explain how much of an essential tool this is for you if working in the contract world of oil and gas.

I’ve personally worked as a Contractor for over 20 years, around the UK, offshore and overseas, both on small campaign work to multibillion dollar projects; all leading on from one to another and always having the options to choose where I work next, therefore always staying employed. The reasoning behind always staying employed is having the correct Contacts, like in any business, good and relative Contacts is the key. The more contacts you have, the more opportunity you have of finding work, it’s simple.

Having this list of contacts will certainly give you a massive advantage in securing your next job.
The way how it works now is companies/agencies advertise jobs on their websites and you have to register with them and apply for the position advertised through them, however, when do you ever hear back from the company regarding your interest in the position? How do you know the company recruiting have received your application? The only way to be 100% sure you have got through to the company and they have received your CV for that desired position is to contact them directly showing your interest. So go one better and speak or email the company and have a direct point of contact and give yourself that winning chance.

The great advantage of having this list is, I can guarantee you will not have even heard of 90% of the contacts on our list, that’s a huge amount of potential positions you are missing out on and applying for, don’t just keep applying with the usual big name agencies for your job hunting like the rest of the millions doing the same thing!! “Yes millions” because that’s how much web traffic (job hunters) these big name job search companies get through their websites each month. Give yourself a chance and contact anyone of the 1500+ agencies on our list who the millions won’t even know about!","Oil, Gas, and Mining","2-10 employees","Self Owned","TEESSIDE, CLEVELAND","United States","energyrecruitmenthub.com","https://www.linkedin.com/company/energy-recruitment-hub"
,"Comunidad Petrolera de Colombia","Pauta con Nosotros!
Si estás interesad@ en pautar con nosotros, contáctanos.

En la Comunidad Petrolera le apostamos a:
1. Promover y facilitar la construcción de redes de desarrollo y de negocios.
2. Contribuir en el desarrollo de la academia e industria nacional mediante la innovación y la difusión de conocimiento aplicado.
3. Promover el uso de tecnologías y procesos energéticamente sostenibles y eficientes en el país.
4. Apoyar a la micro, pequeña y mediana empresa con la promoción de sus productos y servicios.
5. Promover eventos nacionales e internacionales: Workshops, Foros y Conferencias Técnicas, Cursos Especializados, Seminarios y Simposios Técnicos, Congresos y Semanas Técnicas, Exposiciones y Ferias Empresariales.
6. Apoyar el empleo formal mediante la promoción de ofertas laborales y prácticas estudiantiles.

Conoce nuestras Páginas Oficiales con más de 100.000 seguidores:
- Facebook: COMUNIDAD PETROLERA COLOMBIANA
- LinkedIn: Comunidad Petrolera de Colombia

Somos la red de desarrollo y profesional del sector energético colombiano.
#SomosLaEnergíaDeColombia
#SOYINDUSTRIADELPETRÓLEOYGAS","Oil, Gas, and Mining","2-10 employees","Privately Held","Bogotá","Colombia",,"https://www.linkedin.com/company/comunidad-petrolera-de-colombia"
,"Massy Energy Colombia S.A.S.","Massy Energy is one of the more than 60 companies of the Massy Group, a holding company that operates in Central America and the Caribbean and is listed on the Colombian Stock Exchange. We are a company driven by energy and the desire to contribute to the development of our environment, for over 18 years we have been the expert ally of the Colombian industry, enhancing the growth, profitability, and efficiency of our customers; we provide comprehensive solutions in products and services through our service lines (Operation, Maintenance, Technical Services, Commissioning, Supply Chain Management, Asset Management, and Operating Assets). As well as products, with parts and spare parts as representatives of recognized international companies. We are also distributors of LPG through our companies Dicengas, Gasprocol and Gragos.","Oil, Gas, and Mining","1,001-5,000 employees","Privately Held","Bogotá, Bogotá","Colombia","massyenergy.co","https://www.linkedin.com/company/massyenergycolombia"
,"Oil and Gas Jobs","Oil and gas job vacancies","Oil, Gas, and Mining","2-10 employees","Public Company","Mumbai","India",,"https://www.linkedin.com/company/oil-gas-people"
,"OPAL OMAN","Oman Energy Association (OPAL) is the premier non-governmental, non-profit organization representing Oman’s Energy and Minerals sector. Established in 1998, OPAL unites more than 520 member companies with a shared vision to promote industry standards, address common challenges, and exchange best practices. 

OPAL’s work is driven by four core departments:

1/ HSE & Standardization: Leads Health, Safety, and Environment (HSE) standardization and digitalization across the sector, coordinates with operators and government bodies, and promotes knowledge sharing through events and studies.

2/ Quality & Accreditation: Enhances compliance and service quality through initiatives like the OPAL STAR, conducting audits and developing standards to ensure operational excellence.

3/ Human Capital Development (HCD) & CSR Initiatives: Develops national workforce capabilities through National Occupational Standards (NOS), training programs, and skill certifications while driving In-Country Value (ICV) and Corporate Social Responsibility (CSR) initiatives.

4/ Member Network Management: Strengthens engagement with OPAL members, supports collaboration across the Energy and Minerals sector, and oversees communications, events, and committees.","Oil, Gas, and Mining","51-200 employees","Non Profit","Muscat, Muscat","Oman",,"https://www.linkedin.com/company/opal-oman-society-for-petroleum-services"
,"Empleos Oil & Gas Argentina","Nos especializamos en conectar a profesionales de la industria Oil & Gas en Argentina con oportunidades de empleo relevantes. Publicamos ofertas de trabajo, compartimos noticias y fomentamos el desarrollo de la comunidad profesional en el sector energético.","Oil, Gas, and Mining","2-10 employees","Self Employed","Neuquen, Neuquen","Argentina",,"https://www.linkedin.com/company/empleosargentinaoilandgas"
,"Forship","Forship offers specialized engineering services and integrated solutions for industrial assets across sectors such as Oil & Gas (Onshore and Offshore), Petrochemical, Shipbuilding, Power, Mining, Infrastructure, Agribusiness, Biofuels, Fertilizers, Pulp & Paper, LNG, and Green Hydrogen.

Headquartered in Brazil, Forship operates globally with subsidiaries strategically located in Africa and Asia, enabling us to serve clients across five continents and deliver high-impact projects worldwide.

With a diverse portfolio, we offer a comprehensive range of services, including Commissioning, Operation & Maintenance (O&M), Modifications (IMR), Technical Consulting, and HMSWeb (Handover Management System).","Oil, Gas, and Mining","501-1,000 employees","Privately Held","Rio de Janeiro, RJ","Brazil","forship.com","https://www.linkedin.com/company/forship-group"
,"Drilling  Marine People","Sharing all kind of Oil and Gas jobs and vacancies...please follow. And share","Oil, Gas, and Mining","51-200 employees","Public Company","Frisco, Texas","United States","connectingoilgas.online","https://www.linkedin.com/company/oil-drilling-people"
,"Offshore Onshore Professionals","Looking for an Worldwide oil and gas jobs ? You are at right Page, Stay Connected, Be updated","Oil, Gas, and Mining","11-50 employees","Public Company","Khed, Maharashtra","India","oilgasjob.online","https://www.linkedin.com/company/offshore-onshore-professionals"
