"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Federal Bureau of Investigation (FBI)","This is the official Federal Bureau of Investigation (FBI) LinkedIn account and is used to build awareness of workplace culture, engagement opportunities, and the FBI mission. The FBI does not collect comments or messages through this account.  

The FBI is the premier law enforcement agency in the world. We are an intelligence-driven, outcome-focused national security organization. Steeped in a history of innovation and determination, the Bureau is a collective of individuals united under one unwavering mission: to protect the American people and uphold the U.S. Constitution. The FBI mission guides our efforts and focuses our resources on critical threats, while our core values—respect, integrity, accountability, leadership, compassion, fairness, and rigorous obedience to the Constitution—serve as the foundation of everything we do.  

The FBI has more than 500 purpose-driven careers—such as special agent, forensic accountant, victim specialist, and IT specialist—to safeguard the nation against cyberattacks, financial fraud, organized crime, and more. We leverage our varied backgrounds, from art history to engineering, to investigate illegal activity. The FBI collaborates worldwide with law enforcement partners and intelligence agencies, providing resources including biometric identification, laboratory examinations, comprehensive training, and more. And while you are investing in us, the FBI is investing in you: Bureau benefits include unparalleled leadership development, advancement and growth opportunities, and an impactful career that enables our workforce to evolve with the mission.  

Set yourself apart by joining the FBI. Apply today.  

Note: Submit tips at tips.fbi.gov. Public info may be used for authorized purposes only: justice.gov/doj/privacy-policy.","Law Enforcement","10,001+ employees","Government Agency","Washington, DC","United States","fbijobs.gov","https://www.linkedin.com/company/fbi"
,"INTERPOL","The world’s largest police organization, INTERPOL’s mission is to assist law enforcement agencies in each of its 196 member countries to combat all forms of transnational crime.

Guided by four core functions, INTERPOL provides a high-tech infrastructure of technical and operational support to enable police forces around the world to meet the growing challenges of crime in the 21st century.

The General Secretariat in Lyon, France, is operational 24 hours a day, seven days a week, providing a central contact point for the National Central Bureau (NCB) in every member country for assistance or information on cross-border investigations.

All NCBs are connected to each other and the General Secretariat through I-24/7, INTERPOL’s secure global police communications system, which also enables law enforcement officers to directly check a range of vital police databases.

INTERPOL uses a system of colour-coded international notices to locate, arrest or provide warnings about fugitives and other criminals.","Law Enforcement","1,001-5,000 employees","Government Agency","Lyon","France","interpol.int","https://www.linkedin.com/company/interpol"
,"National Crime Agency (NCA)","The National Crime Agency’s mission is to protect the public from serious and organised crime by targeting and pursuing those criminals who pose the greatest risk to the UK. 

LinkedIn House Rules

Whilst the NCA strives to moderate offensive comments, we also rely on our followers to help us do this by reporting any inappropriate comments or content to LinkedIn directly. We reserve the right to delete any post which breaks our House Rules.

Any posts which are rude, threatening, offensive or contains a link to offensive material will be deleted.

You are legally responsible for what you say and post on this page. Don't post anything that is defamatory; fraudulent, deceptive or misleading; in violation of copyright/someone else's intellectual property; at risk of causing serious prejudice to a trial; or in violation of any other laws or regulations. Your views are solely your own and not those of the NCA. The NCA does not endorse any opinions on this page other than its own. 

If we think you're trying to dominate the page with your own agenda, we may delete your post. If you keep trying to do this, we may ban you from the page.

Don't report crime. This page isn't monitored 24-hours a day. In an emergency, if a crime is taking place, or you are in immediate danger, dial 999. To report non-urgent crime call 101 for your local police.

Do not post personal details. Don’t ever include any personal or sensitive information in a post, like phone numbers or email addresses: you could be putting yourself or others at risk. If you have sensitive information for police, please call 101. In an emergency always call 999. 

Bullying and harassment will not be tolerated on this page.

If you want to make a complaint you can do so on our website: www.nationalcrimeagency.gov.uk/contact-us/complaints. Please do not use our LinkedIn page to make complaints.

The 24/7 telephone number for NCA is 0370 496 7622. Call for general enquiries or to verify an officer.","Law Enforcement","5,001-10,000 employees","Government Agency","London","United Kingdom","nationalcrimeagency.gov.uk","https://www.linkedin.com/company/national-crime-agency"
,"U.S. Secret Service","The United States Secret Service is a federal law enforcement agency with headquarters in Washington, D.C., and more than 150 offices throughout the United States and abroad. The Secret Service was established in 1865, solely to suppress the counterfeiting of U.S. currency. Today, the agency is mandated by Congress to carry out dual missions: protection of national and visiting foreign leaders, and criminal investigations.","Law Enforcement","5,001-10,000 employees","Government Agency","Washington, DC","United States","secretservice.gov","https://www.linkedin.com/company/us-secret-service"
,"U.S. Department of Justice","The mission of the Department of Justice (DOJ) is to uphold the rule of law, to keep our country safe, and to protect civil rights.

Learn more about the Department and its mission at www.justice.gov/about","Law Enforcement","10,001+ employees","Government Agency","Washington, DC","United States","justice.gov","https://www.linkedin.com/company/usdoj"
,"Politie Nederland","Politiemensen staan midden in de maatschappij, dicht op het nieuws. De politie is daar waar het gebeurt. Het optreden van agenten ligt altijd onder een vergrootglas. Bij de politie ben je 24 uur per dag en voor iedereen in onze diverse samenleving. Integer, moedig, betrouwbaar en verbindend zijn daarom onze kernwaarden. 

Binnen de politieorganisatie kun je op verschillende manieren bijdragen aan een veilige samenleving. Op straat of achter de schermen; elke collega draagt bij aan het politiewerk. Agenten mogen ingrijpen en verdachten hun vrijheid ontnemen als dat nodig is. Je houdt toezicht op straat en bent daar waar jouw hulp nodig is. Je kunt ook kiezen voor een functie in de bedrijfsvoering, bijvoorbeeld in de administratie, ICT of beleid. Of voor een functie bij de financiële of digitale recherche. 

Maar wat je ook doet, in uniform of juist niet: vakmanschap staat voorop.","Law Enforcement","10,001+ employees","Government Agency",,,"kombijdepolitie.nl","https://www.linkedin.com/company/politie-nederland"
,"Europol","Europol is the European Union Agency for Law Enforcement Cooperation. Our main goal is to achieve a safer Europe for the benefit of all EU citizens.

Headquartered in The Hague, the Netherlands, we assist the 27 EU Member States in their fight against serious international crime and terrorism. We also work with many non-EU partner states and international organisations.

Our position at the heart of the European security architecture allows us to offer a unique range of services and to serve as a:
- support centre for law enforcement operations;
- hub for information on criminal activities;
- centre for law enforcement expertise.

Our operational activities focus on:
- illicit drugs
- trafficking in human beings
- facilitated illegal immigration
- cybercrime
- intellectual property crime
- cigarette smuggling
- euro counterfeiting
- VAT fraud
- money laundering and asset tracing
- mobile organised-crime groups
- outlawing motorcycle gangs
- terrorism

CAREERS AT EUROPOL
We seek employees who are creative, self-reliant, energetic and ready for a challenge. Prospective candidates should be prepared to work in a dynamic and fast-paced environment that requires a high level of flexibility, and should have the ability to perform well within a team.

We offer job opportunities under contracts as Temporary Agents (TAs) and Contract Agents (CAs).

Available Temporary Agent posts may be non-restricted (open to all EU citizens) or restricted (open only to EU citizens who are members of national services competent to fight organised crime and terrorism). We also select National Experts who are seconded by Member States, to specific fields of expertise.

Current job openings are listed on our vacancies page: https://www.europol.europa.eu/careers-procurement/vacancies

Learn more about us on: 
https://www.europol.europa.eu
https://www.facebook.com/europol
https://twitter.com/Europol
https://www.instagram.com/europol.eu
https://www.youtube.com/EUROPOLtube","Law Enforcement","1,001-5,000 employees","Government Agency","The Hague","Netherlands",,"https://www.linkedin.com/company/europol"
,"Swedish Police Authority","Vi gör hela Sverige tryggt och säkert!

Att arbeta inom polisen är ett av de finaste uppdrag man kan ha. Du bidrar till samhället genom att göra hela Sverige tryggt och säkert. Oavsett om du jobbar i en civil roll eller som polis, är möjligheterna att växa med en större uppgift många. 

Vi är Sveriges största myndighet. För att klara vårt uppdrag behövs många olika kompetenser. Här finns ett stort antal yrkesroller att utforska, inspireras och utvecklas av. I samarbete med duktiga och engagerade kollegor har du varje dag chansen att göra skillnad lokalt, regionalt, nationellt eller internationellt. Oavsett vilken väg inom polisen du väljer, står vi starka tillsammans.

REGLER FÖR DENNA SIDA
Det här är Polismyndighetens officiella LinkedIn-konto. Syftet är att visa hur det är att jobba hos oss och om polisutbildningen.  Kontot är bemannat vardagar under kontorstid. 

Kommentarer kan inte användas för larm, anmälan eller tips till Polisen. Kontakta oss på 114 14, och vid akuta situationer ring 112. 

Detta innebär även att kommentarer till våra inlägg ska hållas till sakfrågan och hålla en god ton. Alla inlägg i polisens sociala medier blir allmänna handlingar och kan komma att diarieföras. 

Mer information kring vad som gäller i våra sociala medier finns på vår hemsida: https://polisen.se/someregler","Law Enforcement","10,001+ employees","Government Agency","Stockholm, Sverige","Sweden","polisen.se","https://www.linkedin.com/company/polismyndigheten"
,"U.S. Immigration and Customs Enforcement (ICE)","Protects America through criminal investigations and by enforcing immigration law to preserve national security and public safety.  Privacy: http://go.dhs.gov/UC8

https://go.dhs.gov/lapse-2025","Law Enforcement","10,001+ employees","Government Agency","Washington, DC","United States","ice.gov","https://www.linkedin.com/company/u-s-immigration-and-customs-enforcement-ice"
,"FBI Cyber Division","Imposing costs on cyber adversaries through unique authorities, world-class capabilities, and enduring partnerships.","Law Enforcement","10,001+ employees","Government Agency","Washington, District of Columbia (DC)","United States","fbi.gov","https://www.linkedin.com/company/fbicyber"
