"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"DanceLife X Indonesia",,"Dance Companies","2-10 employees","Self Employed",,,"dancelifex.com","https://www.linkedin.com/company/dancelife-x-indonesia"
,"AYA Foundation Dance Theatre","Danstheater AYA creates bold and accessible dance theatre for young people and children. Combining contemporary and urban dance, acting, singing, and live music from diverse youth cultures, AYA fearlessly tackles taboo subjects. Their performances are direct and honest, exploring themes such as cultural identity, racism, displacement, gender, friendships, and peer pressure.

AYA believes dance is a language that speaks directly to young people. The dancers and actors bring their personalities to the stage to move and captivate audiences, showing both strength and vulnerability. The company offers young people the opportunity to make dance an important part of their lives through performances that are daring and thought-provoking on topics that matter to them.

Since March 2024, AYA has been led by artistic director Ryan Djojokarso and managing director Nicole Rust. They are developing a new program of performances that are impactful, socially relevant, and sometimes even activist in nature. AYA performs in theaters, schools (from VMBO to HAVO/VWO levels), and on location—regionally, nationally, and internationally.

Founded in 1990 by choreographer Wies Bloemen, AYA has focused on young audiences since the success of its 1996 production Bronsttijd. The core values of AYA are Artistic, Bold, Multicolored, and Current. The company continues to inspire young people with performances that amaze, challenge, and connect.

Psst!
AYA stands for As You Are.","Dance Companies","11-50 employees","Non Profit","Amsterdam, North Holland","Netherlands","aya.nl","https://www.linkedin.com/company/danstheateraya"
,"Five678 Dance Studio","Five678 Dance Studio is a boutique dance school for children and adults. We offer the largest variety of dance styles in the region.","Dance Companies","2-10 employees","Public Company","Dubai, DUBAI","United Arab Emirates","five678dubai.com","https://www.linkedin.com/company/five678-dance-studio"
,"Five678 Arts & Entertainment","Five678 Dance Studio is a boutique dance school for children and adults. We offer the largest variety of dance styles in the region.","Dance Companies","2-10 employees","Public Company","Dubai, DUBAI","United Arab Emirates","five678dubai.com","https://www.linkedin.com/company/five678-dubai"
,"Tym4Seed","Christian Worship","Dance Companies","2-10 employees","Self Owned","Johannesburg","South Africa",,"https://www.linkedin.com/company/tym4seed"
,"Bal Viennois de Genève","The tradition of the Viennese Ball is known throughout the world. In many cities such as New York, Brussels or Paris – and now also in Geneva – this annual tradition is an integral part of social life from an early age. I observe that the respect for this tradition based on exchange and sharing through music and dance continues to grow.

The concept of the Viennese Ball is not only a means of “networking”. It is also a way to convey a message. According to the latest surveys launched by the Vienna Chamber of Commerce, about 80% of the participants say they “like to spend this evening with their partner”, of which 35% also want to meet business partners.

A traditional Viennese Ball is a whirlwind par excellence. After the opening show with the beginners’ waltz, the dance floor welcomes all guests. The latter wander from table to table, while sharing a drink and some appetizers. Some take the opportunity to talk business, others find the love of their life. The riders are proud of their elegant partners and the ladies enjoy being the “queens” for a night. A ball also unites generations and society as a whole.

The great success of the Viennese balls abroad is due to their democratic components: openness to the public; mixing of generations and social backgrounds; introduction of young people to music, dance and etiquette; possibility of professional and private exchange.","Dance Companies","2-10 employees","Non Profit","Cité, Geneva","Switzerland","balviennois.ch","https://www.linkedin.com/company/balviennoisgeneve"
,"Gaurav Mehra Dance Group","Gaurav Mehra Dance Group & Soul Dance Institute Established in the year 2009.

We have Dance Group/Dance Troupe, Background Dancers, Choreographers & Anchors for Corporate & Wedding Events, Birthday or Anniversary Functions, Promotions, Product Launch, Shoots, Annual Day function, College Fests, School Annual Day Celebration etc.

We provide Russian Artist, Welcome Girls/Hostess as well. We offer our services Worldwide.

We also have a Dance studio by the name of Soul Dance Institute. You can contact us for different kind of Dance Classes for kids & adults, Zumba, Dance Classes for Hip Hop, Salsa, Bhangra, Bollywood Style, Jazz etc. Dance Classes at home also available.

If you have any requirement for Stage Dance Performances, Stage Shows, Special entry of Bride Groom, Dance Group, Background Dancers, Dance Classes, Choreographers you can contact us on +91 9873954007, +91 9999421584","Dance Companies","11-50 employees","Privately Held","Ghaziabad, Delhi NCR","India",,"https://www.linkedin.com/company/gaurav-mehra-dance-group"
,"Prayas Dance Academy","Prayas Dance Academy is a unique dance school which seeks to help aspiring dancers of all ages and skill levels hone their craft. Through innovative instruction methods and passionate staff members we strive to connect our students with their inner creative genius while creating an atmosphere of respect and accountability resulting in life-long artistically empowered individuals. We believe that everyone deserves access to great dance education; therefore we are dedicated to making sure our classes are available at affordable prices so all can benefit from being part of the Prayas family.","Dance Companies","2-10 employees","Non Profit","Madhu Vihar, Delhi","India","prayasdanceacademy.com","https://www.linkedin.com/company/prayasdanceacademy"
,"Ballet Nights","Ballet Nights presents uniquely compèred evenings of Classical Ballet, Neo-Classical & Contemporary Dance","Dance Companies","2-10 employees","Privately Held","London, England","United Kingdom","balletnights.com","https://www.linkedin.com/company/balletnights"
,"Pas À Pas","Soutenez le talent, vibrez avec nous!
Depuis 2018, Pas à Pas fait rayonner la danse à Livry Gargan en offrant à plus de 330 danseurs la possibilité de s'exprimer à travers le Modern'Jazz, le street Dance, la Dancehall, la Danse Classique et Contemporaine, et même l'Handidanse.
Nos jeunes talents enchaînent les victoires en compétition, et cette année, ils visent encore plus haut.","Dance Companies","Self-employed","Self Employed","Livry Gargan","France",,"https://www.linkedin.com/company/pas-à"
,"DansFabrika","DansFabrika olarak, her biri kendi alanında uzman, deneyimli ve tutkulu eğitmenlerden oluşan ekibimizle dansın her yönünü keşfediyor, sanatın gücünü paylaşıyor ve kendimizi özgürce ifade ediyoruz.  

Dans, sadece adımlardan ibaret değil; bir yaşam biçimi, bir duygu dili ve güçlü bir topluluk hissidir. Eğer sen de bu özel yolculuğun bir parçası olmak, kendi dans hikayeni yazmak ve DansFabrika’nın ilham veren enerjisini hissetmek istiyorsan, aşağıdaki linke tıklayarak bize katılabilirsin! ","Dance Companies","11-50 employees","Privately Held","Sarıyer, Istanbul","Turkey",,"https://www.linkedin.com/company/dansfabrika"
,"Vincent Dance Theatre","Vincent Dance Theatre produces the work of choreographer / director Charlotte Vincent, who conceives, directs and designs productions on stage on film and online. Vincent works closely with Artistic Associates Janusz Orlik, Robert Clark, Aurora Lubos, Film Maker Bosie Vincent, Lighting Designer Nigel Edwards, Production Manager Mat Ort and Composer Jules Maxwell.

VDT’s programme of activity represents a unique offer for its home city of Brighton and across the Sussex region, creating opportunities for professional and non-professional performers to work together, for audiences and participants to explore contemporary themes and for audiences to engage in dialogue and debate around contemporary practice.

From 2023- 2027, five strategic aims drive our work:Creating and sharing live work; expanding reach via film and online platforms; deepening engagement through a new online interactive resource; enabling agency for people new to creative practice, sector leadership and support for progressive practice.these aims are underpinned by the guiding principles care around people, financial resilience, equity, diversity and inclusion and environmental responsibility.

Vincent is a vocal advocate for improving conditions for parents and carers working in the performing arts sector.

In 2024/25 Vincent is developing Vincent Works, a new online resource and archive of 30 years of Vincent’s feminist practice.

Based in Brighton, VDT is a National Portfolio Organisation funded by Arts Council England. VDT is an Associate Company at Brighton Dome and Festival and works in partnership with the Sidney de Haan Centre for Arts and Health at Canterbury Christ Church University and Dr Cath Lambert Director of Education in the Dept of Sociology at Warwick University.","Dance Companies","2-10 employees","Non Profit","Brighton, East Sussex","United Kingdom","vincentdt.com","https://www.linkedin.com/company/vincent-dance-theatre"
,"Ismo Dance Company","Ismo Dance Company is the brainchild of the award winning Finnish choreographer Ismo-Pekka Heikinheimo, known for inventive and ground-breaking performances. 

Ismo-Pekka blends art and performance with new concepts and artistic methods. His social agenda touches on body politics and the aesthetics of movement. His work is multidisciplinary and transformative, exploring the spectrum of visual culture. For him dance is a way to perceive, to describe and to be within the world.

Ismo-Pekka is known for artistic bravery in breaking the boundaries of dance in his collaboration with performance and visual artists, scenographers, architects, philosophers, musicians and voice artists, fashion and light designers. He has created over 60 choreographies presented in 15 countries from Iceland to Namibia.

Ismo-Pekka has danced in works by numerous international choreographers: Carolyn Carlson, Andrew Degroat, Sylvie Guillermin, Kilina Kremona, Didier Deschamps, Andrew Degroat, Lea Anderson, Jessica Iwanson, Jorma Uotinen, Nanna Nilsson, Christine Meldahl and Ólöf Ingólfsdóttir.

Ismo-Pekka is a graduate in Contemporary Dance and Choreography from London Contemporary Dance School (1989). He has a Master of Arts (2014) from Aalto University School of Arts, Design and Architecture. He was senior lecturer for Contemporary Dance and member of the faculty at the Theatre Academy of Finland from 1996 to 2001.

Ismo-Pekka is the founder of Tanssin Aika / Time of Dance Festival which became the largest festival of Finnish contemporary dance during his five years as Artistic Director.","Dance Companies","2-10 employees","Non Profit","Helsinki","Finland","ismodance.fi","https://www.linkedin.com/company/ismo-dance-company"
,"Linden Dance","Linden Dance Company is an innovative professional dance company based in Birmingham, creating passionate and exciting new works. Directed by Christopher Radford and Sara Macqueen, the company champions positivity, individuality and free expression and blends positive physical and mental wellbeing training throughout all areas of its work.


Positivity. Individuality. Empowerment.","Dance Companies","2-10 employees","Non Profit","Birmingham","United Kingdom","lindendc.com","https://www.linkedin.com/company/linden-dance"
,"Dance Team Union","Dance Team Union (DTU) is one of the largest training and competition providers for school and all-star dance teams across the United States. We host nearly 50 competitions and 30 camps per year, providing nearly 10,000 dancers with the opportunity to create, take risks and be rewarded for their efforts as more than just sideline supporters of other athletes.","Dance Companies","2-10 employees","Privately Held","Nolensville, TN","United States","danceteamunion.com","https://www.linkedin.com/company/dance-team-union"
,"Flawless Feet Dance Studio (FFDS)","At Flawless Feet Dance Studio(FFDS), we believe dance is an art that thrives on innovation, expression and creativity, which is why we go above and beyond to provide a welcoming, positive, and nurturing environment where our students can build confidence, master movements, and express themselves. Get in touch today with us to enroll in one of our dance classes for yourself, or to enroll your child!","Dance Companies","2-10 employees","Self Owned","Bengaluru East, Karnataka","India","flawlessfeetdancestudio.com","https://www.linkedin.com/company/flawless-feet-dance-studio"
,"Samadhi Dance","Inaugurada em 2001, tradicionalmente no Butantã, referência em diversidade artística, qualidade e acessível a todos!","Dance Companies","11-50 employees","Educational","São Paulo, SP","Brazil","samadhidance.com.br","https://www.linkedin.com/company/samadhi-dance"
,"555 MARRAKECH","555 Famous Club Marrakech vous souhaite la bienvenue!","Dance Companies","11-50 employees","Self Owned","Marrakech","Morocco","555marrakech.com","https://www.linkedin.com/company/555-marrakech"
,"icandance","icandance is a London based charity which offers dance and performance opportunitites to children and young people with varying disabilities, including wheelchair users. 

Our approach encourages creativity, fosters social interaction and builds confidence in each dancer. Sessions are fun and interactive and cater to the needs of the individuals involved.Events are supported by a high ratio of specialist staff and, where needed, one to one support is provided. 

If you require any more information please e-mail Juliet at juliet@icandance.org.uk or call our office on 020 8492 8860

Donations can be made at www.virginmoneygiving.com/charities/icandance","Dance Companies","11-50 employees","Non Profit","London","United Kingdom","icandance.org.uk","https://www.linkedin.com/company/icandance"
