"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"L'Oréal","No.1 Beauty Group Worldwide.
No.1 most innovative company in Europe (Fortune's ranking).

We are 90K employees across 150 countries on five continents, united by our shared purpose: creating the beauty that moves the world.  

Our 37 international brands are divided into four unique Divisions: Luxe, Consumer Products, Dermatological Beauty, and Professional Products. This diverse portfolio includes brands like Kiehl’s, Lancôme, Giorgio Armani Beauty, Yves Saint Laurent Beauté, Ralph Lauren, Aesop, Maybelline New York, Essie, Kérastase, IT Cosmetics, Prada Beauty, Biotherm, Shu Uemura, Viktor&Rolf, Maison Margiela, Urban Decay, Redken, Vichy, La Roche-Posay, Diesel, Garnier, L’Oréal Paris, and more. 

For more than a century, L’Oréal has devoted itself solely to one business: beauty. We want to bring beauty to all people. Our goal is to win over another one billion consumers around the world by innovating and creating cosmetic and skincare products that meet the infinite diversity of their beauty needs and desires.

That’s about us… now what about you? You are driven and up for a challenge! You’re passionate about putting your best foot forward, but you’re not afraid to fail either. You love to learn, grow and make an impact on the world. You can be an intern, or at a senior level position, we’re always looking for new people to join our teams.

If you are ready to take charge of your career and join us, you’re one click away: https://careers.loreal.com/en_US/content

Interested about our quest to the next billion consumers, follow us here to get the insider scoop on our business, culture, and tips on how to join us to shape the future of beauty.

Freedom to go beyond, that’s the beauty of L’Oréal.","Personal Care Product Manufacturing","10,001+ employees","Public Company","Paris","France","loreal.com","https://www.linkedin.com/company/loréal"
,"Natura","Founded in 1969, Natura is a Brazilian multinational in the cosmetics and personal care segment, a leader in direct sales in Brazil, and recognized for protecting the Amazon social biodiversity through its sustainable business model. Cruelty free. 100% vegan. With 7,000 employees and 2 million beauty Consultants worldwide, Natura operates in 11 countries. In 2014, Natura became the first publicly traded company to receive B Corp  certification, and its third certification was concluded in 2020. Natura’s Ekos line is certified by the Union for Ethical Biotrade (UEBT).

Learn more: natura.com","Personal Care Product Manufacturing","10,001+ employees","Public Company","São Paulo, São Paulo","Brazil","natura.com.br","https://www.linkedin.com/company/natura"
,"Grupo Boticário","Beleza é o negócio do Grupo Boticário. Para nós, ela se traduz em nossas quatro unidades de negócio com atuação no setor cosmético: O Boticário, Eudora, quem disse, berenice? e The Beauty Box. A beleza também está no empreendedorismo, na sustentabilidade, inovação, ética e integridade que inspiram nossa conduta e estimulam as atitudes das pessoas. 

A beleza de nossa organização se expressa , ainda, na Fundação Grupo Boticário de Proteção à Natureza, instituição sem fins lucrativos que realiza ações de conscientização e conservação da natureza em todo o país, desde 1990. 

Para nós, resultados econômicos são reflexos desta postura e de nosso ambiente de trabalho amistoso, diverso e criativo, que promove o desenvolvimento profissional contínuo dos mais de 5.700 colaboradores que fazem parte da organização. 	

Esta soma incentiva nossa rede colaborativa a fazer sempre mais e nos insere nas listas das melhores empresas para trabalhar e começar a carreira no Brasil, de acordo com os rankings do Great Place to Work e das revistas Exame e Você S/A. 

Saiba mais sobre o Grupo Boticário:

www.grupoboticario.com.br 
www.oboticario.com.br 
www.eudora.com.br 
www.quemdisseberenice.com.br
www.thebeautybox.com.br
www.fundacaogrupoboticario.org.br

Acesse  hotsite do Relatório de Sustentabilidade 2012 - grupoboticario.com.br/relatoriosustentabilidade  -  e conheça nossa estratégia de sustentabilidade focada em Matérias-Primas e Embalagens, Canais de Venda e Ecoeficiência.","Personal Care Product Manufacturing","10,001+ employees","Privately Held","Curitiba, Paraná","Brazil","grupoboticario.com.br","https://www.linkedin.com/company/grupo-boticario"
,"The Estée Lauder Companies Inc.","The Estée Lauder Companies Inc. is one of the world’s leading manufacturers, marketers, and sellers of quality skin care, makeup, fragrance, and hair care products, and is a steward of outstanding luxury and prestige brands globally. The company’s products are sold in approximately 150 countries and territories under brand names including: Estée Lauder, Aramis, Clinique, Lab Series, Origins, M·A·C, La Mer, Bobbi Brown Cosmetics, Aveda, Jo Malone London, Bumble and bumble, Darphin Paris, TOM FORD, Smashbox, AERIN Beauty, Le Labo, Editions de Parfums Frédéric Malle, GLAMGLOW, KILIAN PARIS, Too Faced, Dr.Jart+, the DECIEM family of brands, including The Ordinary and NIOD, and BALMAIN Beauty.

To explore our current job openings, go to www.elcompanies.com","Personal Care Product Manufacturing","10,001+ employees","Public Company","New York, NY","United States","elcompanies.com","https://www.linkedin.com/company/the-estee-lauder-companies-inc"
,"Avon","Think you know Avon? Think again.

We’ve been doing beauty differently for 135 years.

Pioneering in listening to women’s needs and speaking out for them. 

Standing for what matters to them. Supporting their endeavours.

We’re a company that connects people through beauty, sharing passion, innovation and expertise - affordably. 

We use the power of beauty to transform women’s lives for the better. 

We were founded to provide an opportunity for women to earn and learn – bringing economic freedom for our Beauty Advisers so they can shape their own future. We continue to carry this spirit with us today. Our independent Representatives provide millions of customers worldwide with trusted, personal beauty advice and products to help them express their individuality. 

We believe in beauty democracy: inclusive beauty that is open to all. We’re passionate about keeping you at the forefront of beauty, creating products that embrace the hottest trends and cutting-edge technology, alongside everyday essentials that will be the staples of your beauty kit.

We believe in a better world for women, which is a better world for all. We believe everyone is equal and we champion gender equality. We speak up and speak out on issues that matter to our communities; supporting causes that help women’s health and wellbeing, including:
•	Breast cancer, the most commonly occurring cancer in women,
•	Violence against women and girls, which will impact 1 in 3 in their lifetime

There’s still work to do.

And we promise to continue doing more.

Join us and be part of the movement..","Personal Care Product Manufacturing","10,001+ employees","Public Company","Northampton","United Kingdom","avonworldwide.com","https://www.linkedin.com/company/avon"
,"Beiersdorf","Beiersdorf has been a pioneer in innovative, high-quality skin care products and groundbreaking skin research for over 140 years. Our internationally beloved brands, including NIVEA – the world’s no. 1 skin care brand –, Eucerin, Hansaplast, La Prairie and Chantecaille, are cherished by millions around the world. Our diverse and trusted portfolio of brands also includes Aquaphor, Coppertone, Labello, 8x4 and Hidrofugal. 

With a team of over 20,000 dedicated employees worldwide, Beiersdorf is united by shared core values, a vibrant corporate culture and our guiding purpose: Care Beyond Skin. We are committed to an ambitious sustainability agenda that creates real value for consumers, society and the environment. 

At Beiersdorf, our people are our greatest asset –  they make all the difference in our success now and in the future. If you’re inspired to join us in our mission to be the world’s best skin care company, we invite you to explore the exciting career paths we offer. As the inventors of modern skin care, we provide countless opportunities for growth and meaningful responsibilities across the globe. 

Whether you're just starting your career or are a seasoned professional and whether your background is in science or business, our open, inclusive and purpose-driven corporate culture is designed to help you thrive. We offer the freedom to unleash your entrepreneurial spirit and share your passion for our brands, people and innovative technologies and the planet. Join us at Beiersdorf, where your ideas and enthusiasm can shape the future of skin care. 

Imprint: https://www.beiersdorf.com/meta-pages/imprint 

Social Media Netiquette: https://www.beiersdorf.com/meta-pages/social-media-policy","Personal Care Product Manufacturing","10,001+ employees","Public Company","Hamburg","Germany","beiersdorf.com","https://www.linkedin.com/company/beiersdorf"
,"Coty","Since 1904, Coty has fearlessly pioneered innovation across the beauty industry. We have a reputation for breaking new ground; a history of ‘firsts’ and ‘bests’ that has laid the foundation for the industry as we know it today. 
For over a century, our brands have been empowering people to express themselves and create their own vision of beauty. It’s a legacy we’re proud to own and grow.
We work hand-in-hand with our people, our partners and our customers. Together, we unleash every vision of beauty.
We stand for the beauty of diversity and the diversity of beauty - celebrating and inspiring all the expressions of beauty that exist and that will exist.
We honor you, and we honor our planet. We create Beauty That Lasts. A beauty that is both good to people and the world.
Our mission is to create a forward thinking beauty; Products that provide new, innovative and simply better science based solutions.
Let’s keep making over the beauty world TOGETHER.","Personal Care Product Manufacturing","10,001+ employees","Public Company","Amsterdam, North Holland","Netherlands","coty.com","https://www.linkedin.com/company/coty"
,"Parfums Christian Dior","Christian Dior described himself as a fashion and perfume designer. The House of Dior, founded in 1946, changed the face of style forever when its New Look was unveiled in the halls of 30 Avenue Montaigne on February 12th, 1947. The revolutionary look was accompanied by a fragrance, Miss Dior. This timeless perfume was the first fragrance created by a visionary brand which invented the concept of global beauty. 

The spirit of Dior is reflected in each of the House's products and in the care taken at every stage of their production. From Grasse to Paris to the Dior Gardens, Parfums Christian Dior enhances the most beautiful ingredients so that each of its creations helps shape its global aura.

The House of Dior embodies passion, excellence, creativity, diversity, and collaboration. These values, so dear to the House, are at the heart of all Parfums Christian Dior’s activities. The Dior spirit is characterized by a professional environment of excellence where innovation and know-how have a primordial place. Day after day, all the Dior teams around the world are encouraged to be visionary, creative, audacious and agile. Thus, the House of Dior has always invested in employees to reveal their talent and personality, to build together, the Dior of tomorrow.","Personal Care Product Manufacturing","10,001+ employees","Privately Held","Neuilly-sur-Seine, Île-de-France","France","dior.com","https://www.linkedin.com/company/parfums-christian-dior"
,"Benefit Cosmetics","Oh, hey! We’re Benefit Cosmetics. You know, the brand behind Benetint, The POREfessional, Hoola, BADgal BANG!, and probably at least one brow product in your bag (we are the world’s #1 brow brand*, after all).
Founded in San Francisco in 1976 by trailblazing twin sisters Jean & Jane Ford during an era of rule-breaking revolution & free-flowing creativity, we’ve been making beauty radically feelgood with inventive solutions that pack a punch and serve a smile ever since. Today, we operate under luxury products group Louis Vuitton Moët Hennessy (LVMH) in more than 60 countries, with 3,000+ boutiques & service destinations (and growing!), plus 5,000+ trained Brow & Beauty experts worldwide.
We believe beauty should lift us up, never bring us down. To us, beauty is all about feeling good, saying yes to what brings us joy, and forgetting the rest.
At Benefit, we live by four pledges: to have fun, make our own rules, build real connections, and always invent creative solutions to unmet beauty needs.
Everyone is welcome here, and we’re committed to driving positive change worldwide. From creating global Employee Resource Groups to advancing sustainable packaging & practices, to giving back to women & girls through our Bold is Beautiful philanthropy program, we’re as passionate about doing good as feeling good.
Our people are our #1 priority.  As a certified Great Place to Work in 34 countries (and counting!), the well-being, happiness, and growth of our teams come first. From flexible work conditions and health & wellness benefits to global career opportunities and access to LVMH resources (and employee sales ), we’re focused on helping our teams grow & make an impact—with plenty of perks along the way.
So, whether you want a beauty solution you can trust, you’re on the hunt for your dream job, or you just need a laugh, we’ve got what you need to feel good at Benefit. Because feeling good is always a good look.","Personal Care Product Manufacturing","1,001-5,000 employees","Privately Held","San Francisco, CA","United States","benefitcosmetics.com","https://www.linkedin.com/company/benefitcosmetics"
,"Shiseido","Shiseido is one of the top cosmetics companies in the world, with a rich portfolio of international brands in 120 countries and regions.

Among others, Shiseido owns the following prominent cosmetics, skincare and fragrance brands: SHISEIDO, NARS, Clé de Peau Beauté, BENEFIQUE, ELIXIR, IPSA, MAQUILLAGE, INTEGRATE, AUPRES, ANESSA and ISSEY MIYAKE.  

Our mission―BEAUTY INNOVATIONS FOR A BETTER WORLD―is to offer solutions to social problems and achieve a sustainable society, helping people find happiness through our mainstay beauty business. We strive to create a better world through beauty innovations, as we perceive and respond to each person's profound need for betterment in an ever-changing global environment. 

For more than 150 years our history and tradition have been built on distinctive innovations in each era. Today, we are taking on new challenges and making a concerted effort across the entire Group to pursue innovations that break the status quo and meet the diverse beauty values and needs of people around the world.

As a global beauty company of Japanese origin, we not only develop cosmetics, but introduce and create unprecedented products and new value that go beyond. Through these activities, we realize “beauty innovations” leading to new lifestyles for consumers around the world. 

※ All comments and queries will be responded to in due course.","Personal Care Product Manufacturing","10,001+ employees","Public Company","Minato-ku, Tokyo","Japan","shiseido.com","https://www.linkedin.com/company/shiseido"
