"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"QUILON SHIPPING & CREW SERVICES","Shipping crew managment services .barge & rig crew arrangement ,All kerala Navigation equipment arrangement, ship safety equipment arrangements,   quilonshipping@gmail.com","Boilers, Tanks, and Shipping Container Manufacturing","2-10 employees","Self Owned","Kollam, Kerala","India",,"https://www.linkedin.com/company/quilon-shipping-crew-services"
,"ECA Boilers | UK","ECA Boilers offer a wide range of boilers to suit all needs and budgets, and our team of experts is on hand to help you choose the right boiler for your home or business.

We are committed to providing our customers with the best possible service and support. We offer a free boiler consultation service, and our team of engineers is available to install and maintain your boiler. We also offer a comprehensive warranty on all of our boilers, so you can be sure that you are covered in the event of any problems.

Why Choose ECA Boilers?

There are many reasons to choose ECA Boilers, including:

We offer a wide range of boilers to suit all needs and budgets.
Our team of experts is on hand to help you choose the right boiler for your home or business.

We offer a free boiler consultation service.
Our team of engineers is available to install and maintain your boiler.
We offer a comprehensive warranty on all of our boilers.

Contact Us

If you would like to learn more about our boilers or services, please contact us today. We would be happy to answer any of your questions.

Safety Guidelines

We are committed to providing our customers with a safe and positive experience. We adhere to all relevant safety guidelines and regulations, and we take all necessary precautions to protect our customers, employees, and the environment.","Boilers, Tanks, and Shipping Container Manufacturing","11-50 employees","Privately Held","London","United Kingdom","ecaboilers.co.uk","https://www.linkedin.com/company/eca-boilers"
,"MFC Container Solutions","MFC Container Solutions specializes in container depot services, operating and managing one of the largest container depots outside of the ports in the UAE. With storage space for 3,500 containers, MFC offers storage, repairs, certification and a full portfolio of containers for sale or lease worldwide, including standard, reefer, offshore and special equipment.
As a part of the UAE DUTCO group, MFC has the size, scale and experience to handle any supply chain challenge or any container requirement you may have.","Boilers, Tanks, and Shipping Container Manufacturing","11-50 employees","Privately Held","Dubai, UAE","United Arab Emirates","mfccontainersolutions.com","https://www.linkedin.com/company/mfc-containersolutions"
,"SIGEDI - GROUPE ALBATROS","SIGEDI est structurée pour répondre aux différents domaines métallurgiques et mécanique de l'industrie en général et du nucléaire en  particulier, avec une spécificité pour les entreprises classées SEVESO.
Les vocations premières  de SIGEDI sont l'étude, la transformation et la mécanisation des matériaux inaltérables et / ou ferreux.
Qualifié ISO19443, fabricant d'équipements sous pression nucléaire (ESPN) et fabricant d'ensemble chaudronnés et tuyauteries DESP","Boilers, Tanks, and Shipping Container Manufacturing","501-1,000 employees","Self Owned","Loyettes, Auvergne-Rhône-Alpes","France","sigedi.fr","https://www.linkedin.com/company/sigedi"
,"SYMCON Industries Pvt Ltd","We are manufacturers of ISO Shipping / Freight Containers | Dry Cargo Containers as per ISO 1496 series standards.  Our Freight Containers range includes 10FT, 20FT, 20FT High Cube, 30FT, 40FT, 40FT High Cube, 45FT, 45FT High Cube as per customer's specific design / requirement.

Besides General Purpose Dry Cargo Containers, we also design and develop Containers as per customer's requirement for:
Battery Energy Storage System (BESS)
Containerized Data Center
Containerized Natural Gas based Genset
Containerized Diving System
Containerized Green Hydrogen Electrolyzer Packages
Containerized Power Station
Containerized Solar Solution / System
Off-Grid Containerized Energy System
various such applications

Current installed capacity is over 2000 TEUs per annum and an additional production line is being developed to enhance the production capacity to over 4000 TEUs per annum.","Boilers, Tanks, and Shipping Container Manufacturing","51-200 employees","Privately Held","Ahmedabad, Gujarat, India, Gujarat","India","symcon.in","https://www.linkedin.com/company/symcon-industries-pvt-ltd"
,"Drino Indústria de Tanques S/A","A Drino Indústria de Tanques S.A é especialista na fabricação de tanques, vasos de pressão e soluções para a Indústria. Somos especialistas em GLP (Gás Liquefeito de Petróleo), com mais de 25 anos de atuação neste mercado.

Com uma linha completa de soluções, fabricamos e requalificamos tanques de gás LP com alto padrão de eficiência e automação nos processos. Oferecemos também os melhores equipamentos e soluções diversas para instalações industriais.

Segurança para a Drino é inegociável, atendemos todas as normas vigentes e somos comprometidos com a sustentabilidade, construindo relações de confiança cin tidas as partes envolvidas com o nosso trabalho.

Dispomos dos seguintes modelos:

P190;
P500;
P1000;
P2000;
P4000;
Os tanques podem ser montados nos formatos horizontais, verticais e subterrâneos, dependendo da necessidade do cliente.

Além da fabricação, temos a mais completa e eficiente linha de requalificação de tanques P190 do Brasil e atuamos em toda a América (Sul / Central / Norte).","Boilers, Tanks, and Shipping Container Manufacturing","51-200 employees","Partnership","Jaguariúna, SP","Brazil","drino.com.br","https://www.linkedin.com/company/drino-indústria-de-tanques-s-a"
,"Hanwha Shipping","Hanwha Group is one of the largest multi-industry and multi-national conglomerates in South Korea, and one of the Fortune Global 500 companies. Hanwha Group operates globally across aerospace & ocean, energy & renewables, chemical & materials, infrastructure development, services & leisure and finance.

Hanwha Shipping is an integral part of the Hanwha group of companies, supporting principal investments, asset optimization, research and development, technology adaption and risk management in the maritime sector. Hanwha Shipping’s fleet operates across LNG, Ethane, Ammonia, LPG, Crude, Chemical and Product markets and green solutions, with a strategic focus on ensuring energy and supply chain security through maritime and infrastructure channels.","Boilers, Tanks, and Shipping Container Manufacturing","11-50 employees","Privately Held","Houston, Texas","United States","hanwhashipping.com","https://www.linkedin.com/company/hanwha-shipping"
,"Boson Engineering - Solidity of Steel","Pipe Spool 
Pressure vessel
Steel Structure
Special Steel Parts
Field Tanks
Site Erection
Flange Fitting Pipe Supply","Boilers, Tanks, and Shipping Container Manufacturing","51-200 employees","Privately Held","Ankara","Turkey","boson.com.tr","https://www.linkedin.com/company/boson-engineering-pipe-and-vessel-fabrication"
,"CINDARA PRATAMA GROUP","Established on February 2007 in Balikpapan. The main works of the company are to transport oil fuel over land and water, distribute and also market oil fuel that owned by PERTAMINA using Oil Barge and Ship Propeller Oil Barge (SPOB) for the center part of Indonesia, especially East and Central Kalimantan.","Boilers, Tanks, and Shipping Container Manufacturing","501-1,000 employees","Privately Held","Balikpapan, East Kalimantan","Indonesia","pt-cpl.co.id","https://www.linkedin.com/company/cindara-pratama-group"
,"Hellenic Shortsea Shipowners Association- EENMA","HSSA was established with the objective of becoming the major representation body of the Greek SSS and is committed to promote the overall development of SSS activity within national and European boarders.
Our Association’s foundation is built on our members’ values, to promote SSS and fair business practices while sustaining our responsible financial, environmental and social performance. 

Long Term Objectives

Build a strong Business Association that supports local economy and lobbies on behalf of its members.
Improve the competitiveness and the financial and environmental performance of the Hellenic Shortsea fleet through enabling global exchange of knowledge and best practices.
Support the development of green solutions.
Build strong linkages with national, European and international business communities, maritime associations and logistic partners.
Educating/informing the maritime industry and the key stakeholders about SSS benefits .
Establishing effective communications tools, for the promotion of SSS and the improvement of its image.
Improve SSS image to youngsters in order to attract qualified personnel.
Optimize the performance and effectiveness of the Board, Committees and Staff to be effective trustees of member interests.","Boilers, Tanks, and Shipping Container Manufacturing","2-10 employees","Non Profit","Piraeus, Attiki","Greece","shortsea.gr","https://www.linkedin.com/company/hellenic-shortsea-shipowners-association"
,"Kroma Equipamentos Especiais","Kroma Equipamentos Especiais is a mining & metals company based out of R Isaura Fernandes Dos Santos, 306, Botucatu, São Paulo, Brazil.","Boilers, Tanks, and Shipping Container Manufacturing","11-50 employees","Privately Held","Botucatu, São Paulo","Brazil","kroma.com.br","https://www.linkedin.com/company/kroma-equipamentos-especiais"
,"Applied Heat Recovery","Applied Heat Recovery specializes in customized heat recovery solutions intended to reduce operating costs and carbon footprint. As well as custom boiler deaerator tanks, surge tanks and condensate receivers specially designed for your application.

With unmatched service and expertise, our proven designs will exceed expectations every time.","Boilers, Tanks, and Shipping Container Manufacturing","11-50 employees","Privately Held","Fair Oaks Ranch, TX","United States","appliedheatrecovery.com","https://www.linkedin.com/company/applied-heat-recovery-inc"
,"AquaDolph",,"Boilers, Tanks, and Shipping Container Manufacturing","2-10 employees","Privately Held",,,"aquadolph.com","https://www.linkedin.com/company/aquadolph"
,"DCM CONTAINERS (DCM HYUNDAI LTD)","DCM CONTAINERS (DCM HYUNDAI LTD) is a joint venture, set up in 1993 to manufacture all types of standard & special containers, Marine Freight Containers and heavy sheet metal products including trailers, tippers and other similar products. DCM Hyundai Limited is promoted by M/S DCM Shriram Industries Ltd (DSIL) India and Hyundai Mobis, Korea. 

DSIL is a part of ""DCM Shriram Group"" and has diversified business interests. The manufacturing in Sugar, Power, Alcohol, Rayon, Industrial Fibre and Fine Chemicals. 

DCM Containers has a modern, state-of-the-art manufacturing facility located at Faridabad, near New Delhi, India.

We pride ourselves in being a Single Point Solution from design – dispatch products approved by various international agencies such as Bureau Veritas, Lloyds Register, Det Norske Veritas etc. as per customer’s requirements.

Our customer base is global and include major oil & Gas Companies, Petro Chemical Companies, Shipping Lines, Leasing Companies and companies in the Power Rental Industries.

The Company Manufactures & Supplies the Following Products for Both Domestic & International Markets:

•	Shipping Containers – 20’ / 40’ standard and High Cube (End Open and / or Side Access) 
•	DNV 2.7-1 Approved Containers / Cargo Handling Units
•	ISO Steel Dry Containers comprising the Standards and Open Tops
•	Customized Containers for Specialized end applications
•	Dwarf (Short Height) Containers for Indian Railways
•	Genset Containers / Power Pack Containers for Mobile Generators
•	ISO Tank Containers
•	Mobile Fuel Storage Tanks
•	Site Offices / Bunk House Containers
•	Expandable Mobile Shelters for Defence
•	Tri Axle Trailers
•	Bi Axle Trailers
•	Flat & Semi-Flat Bed Trailers
•	Low Bed Trailers
•	Tip Trailers
•	Side Wall Trailers
•	Skeletal Trailers
•	TK-5 & TR-8 Car Carriers
•	Tippers","Boilers, Tanks, and Shipping Container Manufacturing","201-500 employees","Privately Held","New Delhi, Delhi","India","dcmcontainers.com","https://www.linkedin.com/company/dcm-hyundai-limited-new-delhi"
,"Emiliana Serbatoi","Emiliana Serbatoi has been an international leading producer of equipment, devices and systems for storage, transport and delivery of petroleum products and liquids in general since its founding.
Servicing areas as diverse as construction, agriculture, oil and gas sectors, military and governmental sectors, transport field, disaster relief and client rapid response needs, over the last 40 years Emiliana Serbatoi has gained a reputation as the leader in the design, production, supply of fuelling systems to clients and customers in both the European and global markets.","Boilers, Tanks, and Shipping Container Manufacturing","51-200 employees","Privately Held","Campogalliano, Modena","Italy","emilianaserbatoi.com","https://www.linkedin.com/company/emiliana-serbatoi"
,"Transafe Services Limited","At, Transafe Services Limited we believe that our only restriction is the eight corner castings and the main design structure of a container, for the rest we leave to the imagination and need of the customer.

Initiated with the simple idea to offer comprehensive logistics solutions, Transafe Services Limited today is a well-known name in Indian domestic logistics industry as well as in international shipping.
We own a large fleet of dry van as well as refrigerated containers. We also provide container-related equipment on long-term lease.

We are the largest Container Leasing Company in India with a sizeable asset base and a network to cater to the needs of the shipping industry as well as domestic road/rail and short sea movement.

Our strength, however, lies in improvising the basic marine freight container design and creating derivatives to suit various applications like modules for disaster management, strategic and defence applications, workshop, laboratory, mobile hospital, kitchen and many more. We call them Creative Containers and manufacture them in our units situated in various parts of the country.

We run the largest fleet of refrigerated trucks and trailers in India along with a number of Cold Rooms/Warehouses through Our Glacio Cold Chain logistics. We also have a fleet of ISO Refrigerated Containers for international waters as well as domestic requirements.","Boilers, Tanks, and Shipping Container Manufacturing","201-500 employees","Privately Held","Kolkata, West Bengal","India","transafeservices.com","https://www.linkedin.com/company/transafe-services-limited"
,"Green Box Containers","GREEN BOX CONTAINERS LLC  is the region’s fast-growing and trusted Modular Building manufacturer using ISO shipping containers.","Boilers, Tanks, and Shipping Container Manufacturing","11-50 employees","Privately Held","Dubai","United Arab Emirates","greenboxtainer.com","https://www.linkedin.com/company/greenboxtainer"
,"Bulkliner Logistics Ltd","Bulkliner Logistics Ltd. is one of India's few integrated bulk liquid logistics specialists. Bulkliner Logistics is the designer and supplier of many innovative bulk liquid logistics solutions. Bulkliner provides more efficient and affordable logistics solutions and serves its key customer segments in the  Petroleum oil, Edible Oil, Food, Latex, and Chemical Industries worldwide.

At Bulkliner we transport bulk liquid shipments the world over with reliability and consistency that gives our customers peace of mind.  Our team of logistics professionals takes pride in understanding our customers’  business and evaluating the most effective shipment options.  Dedication and attention to detail make  Bulkliner the logistics partner you can trust with your bulk liquid supply chain.

At Bulkliner,  we are pleased to confirm our commitment to your business needs,  from supplying flexitank and other products to offering our customers a fully integrated  Total-Logistics Solution and complete door-to-door service with strong technical support from our own experienced team in combination with our trained agents and distributors who are strategically placed across the world.","Boilers, Tanks, and Shipping Container Manufacturing","11-50 employees","Privately Held","CBD Belapur India, maharashtra","India","bulklinerlogistics.com","https://www.linkedin.com/company/bulkliner-logistics-private-ltd"
,"BETA KAZAN Boiler Company","With a solid 15 years’ experience in the industry, BETA KAZAN Boiler Company offers energy solutions for domestic and industrial applications of all sizes thanks to its extensive portfolio and activities that include steam, hot water and hot oil boilers, solid fuel and waste burning systems, heat exchangers, feed water preparation systems, chimney filtration systems and dust collection.","Boilers, Tanks, and Shipping Container Manufacturing","11-50 employees","Privately Held","Ankara, Kahramankazan","Turkey","betakazan.com","https://www.linkedin.com/company/betakazan"
,"MANNING STEEL COMPANY LTD","We are sellers of insulated and refrigerated shipping container, available from 10ft to 53ft. All of our used containers are refurbished and repaired. 
#tinyhouse #import #containerarchitecture #trailer #photography #trailers #hamburg #transportation #scania #freight #supplychain #containerhomeplans #trucking #vessel #containerstore #food #containerterminal #box #containershipping #prefab #lng #boothcontainer #tank #lpg #logistica #transports #chombotrailer #stainless #dreamtruegroup #pullingtrailer","Boilers, Tanks, and Shipping Container Manufacturing","201-500 employees","Privately Held","California, Sen Bernadino","United States","manningsteelltd.com","https://www.linkedin.com/company/dig-and-see-cotainers"
