"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Dasa","A Dasa é uma das maiores empresas de saúde do mundo, líder em medicina diagnóstica no Brasil. Trabalha para transformar sua especialização, alcance e escala em acesso à saúde de qualidade e cuidado humanizado.

A empresa faz parte da vida de mais de 20 milhões de pessoas por ano, com alta tecnologia, amplo portfólio de exames e serviços e foco na melhor experiência em saúde. Com mais de 25 mil colaboradores e mais de 350 mil médicos parceiros, processa mais de 414 milhões de exames por ano em suas mais de 40 marcas presentes em todo o território nacional.

Essa capilaridade única torna a Dasa a companhia de saúde que mais se relaciona com as pessoas, oferecendo soluções conectadas à realidade e à diversidade do país. Com uma governança baseada em gestão disciplinada e capacidade de execução, a empresa avança como uma organização inovadora, focada e sustentável, sempre pautada pela excelência médica e pelo compromisso com a sustentabilidade do setor da saúde.","Medical and Diagnostic Laboratories","10,001+ employees","Public Company","São Paulo","Brazil","dasa.com.br","https://www.linkedin.com/company/dasa"
,"Quest Diagnostics","Quest Diagnostics (NYSE: DGX) empowers people to take action to improve health outcomes.  Derived from the world's largest database of clinical lab results, our diagnostic insights reveal new avenues to identify and treat disease, inspire healthy behaviors and improve health care management.  Quest annually serves one in three adult Americans and half the physicians and hospitals in the United States, and our 47,000 employees understand that, in the right hands and with the right context, our diagnostic insights can inspire actions that transform lives.

The company offers physicians the broadest test menu (3,000+ tests), is a pioneer in developing innovative new tests, is the leader in cancer diagnostics, provides anatomic pathology (AP) services, & interpretive consultation through its medical & scientific staff of about 900 M.D.s & Ph.D.s. The company reported 2020 revenues of $9.44 billion. 

Quest Diagnostics offers the most extensive clinical testing network in the U.S., with laboratories in most major metropolitan areas, & in Mexico, the UK & India. The company also operates four esoteric laboratories, 40 outpatient AP laboratories, & 160 smaller, rapid-response laboratories. 

Patients may have specimens collected in any of the company’s approximately 2,250 patient service centers. On a typical workday, testing is performed for about 550,000 patients. 

Quest Diagnostics empowers healthcare organizations & clinicians with state-of-the-art connectivity solutions. 

The company is the leading provider of pre-employment drugs-of-abuse screening for employers & risk assessment services for the life insurance industry. It is the world’s 2nd largest provider of clinical trials testing for new pharmaceuticals.

More information is available at www.questdiagnostics.com.

Language Assistance / Non-Discrimination Notice
Asistencia de Idiomas / Aviso de no Discriminación
語言協助 / 不歧視通知
www.QuestDiagnostics.com/home/nondiscrimination","Medical and Diagnostic Laboratories","10,001+ employees","Public Company","Secaucus, NJ","United States","questdiagnostics.com","https://www.linkedin.com/company/quest-diagnostics"
,"FEMME - Laboratório da Mulher","O FEMME - Laboratório da Mulher é um laboratório de medicina diagnóstica especializado na saúde da mulher. Desde sua concepção tem como foco a prevenção de doenças femininas, como o câncer de mama e câncer ginecológico.  Além disso, todas as estruturas do laboratório são pensadas especialmente no conforto e bem-estar da mulher.

Possui acreditação nível III em excelência pela ONA (Organização Nacional de Acreditação).

Lidar com vidas, sentimentos e emoções é um privilégio, por isso criamos um jeito encantador de atender nossas clientes, o Jeito FEMME de atender.

Desenvolvimento de Carreira é um dos nossos pilares. Pensando nisso, temos áreas especializadas e uma variedade de treinamentos e trilhas de aprendizagem que auxiliam a capacitação do nosso Time. Além disso, por meio do nosso Comitê de Sustentabilidade, discutimos e implementamos iniciativas para que a responsabilidade socioambiental permeie as ações internas e externas da companhia, de modo a proporcionar um impacto positivo à sociedade e ao meio ambiente. 
 
Sabemos que uma organização é composta por pessoas e cada um de nós possui o seu jeito de ser, sua identidade de gênero, crença, cor, raça, estilos e valores. Aqui no Femme temos uma Política de Diversidade e Inclusão e estamos trabalhando diariamente para tornar o nosso ambiente de trabalho mais inclusivo e diverso. Então, se você quer fazer a diferença e nos ajudar a construir essa missão, venha fazer parte do nosso Time.

https://femme-laboratoriodamulher.pandape.com.br/

#TIMEFEMME","Medical and Diagnostic Laboratories","1,001-5,000 employees","Partnership","São Paulo, São Paulo","Brazil","laboratoriodamulher.com.br","https://www.linkedin.com/company/femme-laboratório-da-mulher"
,"Tricog Health","Tricog is on a mission to empower healthcare providers with virtual cardiac diagnostic tools and services that help them in the accurate, timely, and consistent diagnosis of heart conditions.  

Tricog products - InstaECG and InstaEcho are diagnostic solutions for ECG and Echocardiogram built by combining artificial intelligence and medical expertise to process digital data and deliver an accurate and timely diagnosis of cardiac conditions to save lives. 

Tricog's vision is to become the world's most trusted diagnostic brand enabling the prediction and detection of cardiovascular ailments.

Tricog operates in 14+ countries and has been used by more than 5000+ physicians to treat 10 million + patients and saved 4 lakh+ lives using artificial intelligence and medical expertise.","Medical and Diagnostic Laboratories","201-500 employees","Privately Held","Bengaluru, Karnataka","India","tricog.com","https://www.linkedin.com/company/tricog-health"
,"Metropolis Healthcare","We believe that every human being deserves to know the truth about their inner health.

We are Metropolis - Your Pathology Specialist,  delivering millions of tests every year while catering to so many patients, leading laboratories, Hospitals, Nursing homes and 2,00,000 doctors. With over 35 years of experience in delivering accurate reports, Metropolis has earned the reputation of being India's most respected and only multinational chain of diagnostic centres with presence in UAE, Sri Lanka, South Africa, Kenya, Mauritius and Ghana. 

Metropolis follows a rigorous 8-Stage MET Protocol that ensures the most comprehensive testing for accurate and reliable reports. Metropolis offers diagnostic and wellness services like Blood tests, Clinical Trials, Hospital Lab Management, Home Health Services, Preventive Health Check-ups and Corporate & Wellness Solutions. 

Metropolis is at the forefront in adopting cutting edge technologies and services that cater to patients needs. Driven to make a difference and provide quality & affordable services to our consumers we have a wide network that includes 115+ state-of-art Laboratories across India with over 1500 collection centres, processing over 4000 varieties of tests and supported by an efficient team of more than 4500 people. 

Today, we are one of the few laboratories that has received the CAP (College of American Pathologists), accreditation, the global gold standard in Laboratory Accreditation. Most of our laboratories in India have received the NABL Accreditation (National Accreditation Board for testing and Calibration Laboratories). In addition, the central laboratory in Mumbai also adheres to CLIA (Clinical Laboratory Improvement Amendments) program and also follows the guidelines laid by GCP and GLP. Our unit in South Africa is accredited by SANAS (South African National Accreditation System is the only accreditation body approved by South African Government).","Medical and Diagnostic Laboratories","1,001-5,000 employees","Public Company","Behind Glaxo, Worli","India","metropolisindia.com","https://www.linkedin.com/company/metropolislab"
,"Redcliffe Labs","Redcliffe Labs is a purpose-driven, pan-India diagnostics provider dedicated to Giving India its Right to Quality Diagnostics. Operating across 220+ cities with a network of 80+ advanced labs and 2000+ collection centers, we deliver trusted healthcare solutions to Tier 1, 2, and 3 cities and beyond. Our convenient home collection services bring diagnostics directly to patients' doorsteps, ensuring accessibility and ease. With over 50 stringent quality checks performed regularly to ensure 100% report accuracy, Redcliffe Labs has served over 7 million patients and remains steadfast in advancing precise, reliable, and accessible diagnostics, setting new standards of healthcare excellence across Bharat.","Medical and Diagnostic Laboratories","1,001-5,000 employees","Privately Held","Noida, Uttar Pradesh","India","redcliffelabs.com","https://www.linkedin.com/company/redcliffelabs"
,"Dandy","Dandy was created with one goal in mind: to modernize the dental lab process.

We’re the first solution of its kind. Our platform is designed to level up practices by making the entire process effortlessly digital — from start to finish.

*All recruiting emails will come from email addresses ending in @meetdandy.com","Medical and Diagnostic Laboratories","501-1,000 employees","Privately Held","New York, NY","United States","meetdandy.com","https://www.linkedin.com/company/dandyofficial"
,"Thyrocare Technologies Ltd.","Why is Thyrocare more than just a workplace? Because we are not just diagnostics; we are also a place that values every life, be it one within those vials or the ones making this happen. We’re also a Great Place to Work Certified organization. That means we don’t just deliver healthcare; we invest in people.

Founded in 1996, we’ve built India’s foremost IT-enabled, 24x7, fully automated clinical laboratory. We operate from a central processing lab in Mumbai, 21 regional, 2 zonal, 5 satellite processing, & 3 Hybrid labs pan India.

Starting with only thyroid testing, today, we’re not only proud of our 1200+ vast test menu, but also our national network & global-quality certifications. We are the first Indian diagnostic laboratory to obtain internationally renowned quality accreditations, like ISO 9001-2000 in 2001 (now ISO 9001:2015), CAP certification in 2007 & NABL. 

What Makes Working Here Different?
1. We believe in Delivery Not Hierarchy: Your ideas matter, we foster open dialogue & ownership at every level.
2. Learn From Mistakes: A culture of continuous improvement helps you become your best.
3. Demanding yet Rewarding: Your growth depends on your performance & learning.
4. Good Ideas Will Be Backed: Your word matters. If you have an Idea, we support you.
5. Grow Further: Wins are collective, teamwork drives success

USP’s:
1. 100% Samples processed in NABL-accredited labs
2. 9/10 Doctors trust that Thyrocare reports are Accurate & Reliable (As per a survey on doctors' perception of laboratory diagnostics (IJARIIT, 2023)
3. 98% Reports released within 06 hrs of samples reaching the lab
4. 7400+ Centers Pan India & 570+ Districts served

Brands:
1. Aarogyam, a flagship preventive healthcare series
2. Jaanch offers doctor-curated specialised packages for the management of lifestyle disorders.
3. Her Check an extensive range of packages for Women’s Reproductive Health.

Join us to grow, be valued & shape the future of diagnostics.","Medical and Diagnostic Laboratories","1,001-5,000 employees","Privately Held","Navi Mumbai, Maharashtra","India","thyrocare.com","https://www.linkedin.com/company/thyrocare-technologies-ltd"
,"SYNLAB Italia","synlab Italia è un network sanitario che opera a livello locale, nazionale ed internazionale ed è riconosciuta in Italia e all'estero come una tra le prime dieci aziende europee attive nella medicina di laboratorio.
 
Attraverso le proprie unità operative, da oltre trent'anni synlab svolge:
Attività di laboratorio analisi
Diagnostica specialistica
Service di laboratorio, in Italia e all'estero.","Medical and Diagnostic Laboratories","1,001-5,000 employees","Public Company","Monza (MB), Italia","Italy","synlab.it","https://www.linkedin.com/company/synlab-italia"
,"SYNLAB España","En breve cerraremos este perfil de LinkedIn, pero no nos vamos. Seguimos más activos que nunca desde @Eurofins España, donde podrás encontrar toda la información sobre nuestros servicios, avances científicos y soluciones diagnósticas de vanguardia.","Medical and Diagnostic Laboratories","10,001+ employees","Privately Held","Esplugues de Llobregat, Catalonia","Spain","eurofins-megalab.com","https://www.linkedin.com/company/visitaeurofins"
