"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Skyborne","Skyborne is a global modern airline training academy headquartered at Gloucestershire Airport in the UK, with additional training facilities in Vero Beach, Florida, US and Bournemouth Airport, UK. Established by industry experts, Skyborne brings a fresh approach to airline pilot training.
 
We set ourselves the highest standards and believe that work should be both satisfying and fun. At the core of Skyborne is a culture shaped by our values and pillars: we champion creativity in everything we do, foster a supportive, team-focused environment and set the bar high for quality and professionalism. We’re a people-first company and a motivated, passionate team who take pride in giving our trainees the strongest start to their aviation careers.
 
We employ a carefully selected team of professionals who are committed to shaping the next generation of pilots.","Flight Training","201-500 employees","Privately Held","Staverton, Cheltenham","United Kingdom","skyborne.com","https://www.linkedin.com/company/skyborneacademy"
,"Airbus Flight Academy Europe","Airbus Flight Academy Europe is a 100% subsidiary of Airbus Group. It was created in 2006 to supply the training assets and services to support the French Air Force and French Navy. Since 2019, Airbus Flight Academy Europe deploys its own pilot training capacity while joining the Airbus Pilot Cadet Training Programme.
Since 2019, Airbus Flight Academy Europe deploys its own flight school where future airline and military pilots are trained. To that end, Airbus Flight Academy Europe is a full member of the Airbus Cadet Pilot Training Program and delivers excellent training under the Airbus ATO approval.Airbus Flight Academy Europe has its own fleet (Grob, Cirrus, Diamond), maintained in the best conditions by technical experts in a secure, controlled and modern environment.
Airbus Flight Academy Europe is accredited of the following agreements delivered by the ad-hoc authorities, e.g. the French DGAC for civilian aircraft or the DSAE, a French MoD entity, for state aircraft. The company has the approvals for the maintenance of aircraft: EASA PART CAMO, EASA PART 145, EMAR/FRM, EMAR/FR 145, ISO 9001-2015 & ISO 14001-2015. 
Airbus Flight Academy Europe is located on 6 permanent sites in France: Avord, Angoulême, Cognac, Lann Bihoué, Lanvéoc et Salon de Provence. The company's headquarters and flight school are located in Angoulême.","Flight Training","51-200 employees","Privately Held","Champniers, Nouvelle-Aquitaine","France","airbus-flight-academy.com","https://www.linkedin.com/company/airbus-flight-academy-europe"
,"IFA - International Flight Academy","Prime flight school present in the aviation market for over 25 years. The academy with the largest range of training courses in the aviation industry in Portugal: pilots, aircraft mechanics and cabin crew (EASA). 

We have highly qualified professionals, ultra-modern technology and equipment to ensure that students receive quality and excellent training throughout their entire learning journey. 

IFA - International Flight Academy, is an authorized training organization (ATO), with initial and advanced pilot training, being also specialized in Type Rating courses. 
As aviation experts, our commitment is to make dreams come true.","Flight Training","11-50 employees","Educational","Cascais, Lisboa","Portugal","ifa-training.com","https://www.linkedin.com/company/ifatraining"
,"Eagle Eye Innovations Ltd","Eagle Eye Innovations LTD is a UK based Remotely Piloted Air System (RPAS)  Company that specialises in training and consultancy. All our operations staff come from an ex military/commercial aviation background and possess a wealth of experience unparalleled in the commercial RPAS industry.","Flight Training","11-50 employees","Privately Held","Lincoln, Lincolnshire","United Kingdom","eeinnovationsltd.com","https://www.linkedin.com/company/eagle-eye-innovations-ltd"
,"U.S. Aviation Training Solutions","U.S Aviation Training Solutions has, for more than 30 years, served more than 120 countries and left an indelible mark on the Helicopter Industry, becoming the premier provider of professional Helicopter Pilot Training. Thousands of professional military and civil aviators started their pilots’ careers in our hallways and on our ramp. 
 
USATS offers a wide range of helicopter and fixed wing pilot training courses. From individual Private Pilot Licenses (PPL), Commercial Pilot Licenses (CPL) and Instrument Ratings (IR) to our fully integrated Professional Pilot training packages, we have a solution to meet everyone's aspirations. 
 
USATS also offers programs for experienced military pilots wishing to convert to civilian operations or switch from rotary to fixed wing flying.

In addition to learning excellent aircraft technical knowledge and diverse handing skills, a USATS pilot graduates with a deep-rooted understanding of safe operating culture, crew resource management, threat and error management and risk management practices. 
 
These are skills essential to maintaining safe flight operations in today’s highly complex aircraft and challenging operating environments; they are also what makes a USATS pilot stand out to a potential employer.
 
In addition to our basic training courses, USATS pilots can also undertake a wide range of specific training programs, such as our FAA CPL(H), EASA CPL(H) with ATPL/IR(H) Theoretical Knowledge Credit and IOGP590 accelerated command programs. 
 
These courses deliver graduates who are fully compliant with relevant industry sector standards and are ready to play a value adding frontline role in operations from day one. 
 
USATS courses come with the assurance of FAA Part 141 and EASA approvals and in some cases can be taught at our clients’ location, outside of the United States. USATS is also the only school in the United States approved to deliver the complex EASA CPL(H) with ATPL/IR(H) Theoretical Knowledge Credit course.","Flight Training","11-50 employees","Privately Held","Titusville, Florida","United States","usatsflighttraining.com","https://www.linkedin.com/company/us-aviation-training-solutions"
,"Aeropyrenees","L’école d’aviation Aéropyrénées a été fondée en 1970 sur l’aéroport de Perpignan. Aéropyrénées est la première école professionnelle de pilotage du secteur privé en France. Devenue une référence de la formation pilote de ligne, Aéropyrénées dispose désormais de plusieurs sites implantés dans plusieurs villes et pays : Paris (Toussus-le-Noble), Dordogne (Belves & Sarlat), Martinique, Tunisie, Maroc …

Depuis sa création, l’école d’aviation Aéropyrénées totalise plus de 350 000 heures de formation pilote de ligne. En 2020 Aéropyrénées a dispensé plus de 350 actes de formation et a réalisé plus de 7000 heures de vol sur la trentaine d’avions monomoteurs et bimoteurs que constitue sa flotte.

De l’équipe pédagogique à la flotte d’appareils, découvrez tous les outils mis à la disposition des stagiaires en formation pilote de ligne.","Flight Training","11-50 employees","Educational","Perpignan, Occitanie","France","aeropyrenees.com","https://www.linkedin.com/company/aeropyrenees"
,"RheinMain Flightcenter GmbH","Wir machen Ihren Traum vom Fliegen wahr!

Das RheinMain Flightcenter ist Ihr renommierter und professioneller Partner für die sichere Ausbildung zum Piloten - auf Ihrem Wunschflugzeug, zu Ihren Wunschterminen und in dem Zeitrahmen, den Sie uns vorgeben.
Daneben verchartern wir an Inhaber einer Pilotenlizenz eine der modernsten und hochwertigsten Flotten des RheinMain-Gebietes, hierunter mehrere Flugzeuge von Cirrus wie etwa unser Flaggschiff - eine wunderschöne Cirrus SR 20 G3. Wir sind herstellerunabhängig und kaufen nur solche neuen oder jungen Flugzeuge, die unseren hohen Ansprüchen genügen und die wir für die besten ihrer jeweiligen Klasse halten. Vom Zweisitzer mit Glascockpit bis zum hochkomfortablen und schnellen viersitzigen Reiseflugzeug mit Fallschirmsystem – bei uns bleiben keine Wünsche offen!

Das RheinMain Flightcenter hat seit seiner Gründung in 2010 bereits eine sehr erfolgreiche Strecke zurückgelegt und startet nun vollends durch - als Nummer 1 im RheinMain-Gebiet nach Schülerzahlen und Flugbewegungen, mit unschlagbarem Preis-Leistungs-Verhältnis, mit kompromisslosem Verständnis von Sicherheit und Service und mit maßgeschneiderten Lösungen. 

Als EASA-zugelassene ATO (Approved Training Organisation) stellen wir Ihnen herausragend qualifizierte und erfahrene Fluglehrer zur Verfügung. Die meisten unserer Fluglehrer sind Berufs- oder gar Verkehrspiloten; alle jedoch verfügen über eine Qualifikation, die ihresgleichen sucht.

Wir sind kein Verein, und wir sind gewiss anders als andere. 
Wir verstehen, dass Sie wenig Zeit und ehrgeizige Ziele haben und dass Sie das Besondere gewohnt sind oder anstreben. Und deshalb verstehen wir uns als Ihr Premium-Dienstleister, als One-Stop-Shop für Flug-Enthusiasten und solche, die ihren Traum vom Fliegen wahr machen möchten. 

Warten Sie nicht auf irgendwann, sondern starten Sie jetzt mit uns Ihre Ausbildung zum Privatpiloten.
Es erwartet Sie die Liebe zum Fliegen - und Freiheit!

Aviation solutions: custom made.","Flight Training","11-50 employees","Privately Held","Egelsbach, Hessen","Germany","rm-flightcenter.de","https://www.linkedin.com/company/rheinmain-flightcenter-gmbh"
,"Asia Drone Technical Academy","Asia Drone Technical Academy, the drone arm of SG Academy, holds a truly unique position in Malaysia’s training landscape. We are the first institution to combine two national pillars of recognition:

Civil Aviation Authority of Malaysia (CAAM) approval as a licensed Remote Pilot Training Organisation (RPTO), and

Full-fledged Malaysian Skills Certificate (SKM) programs at Level 2 & Level 3 under the Department of Skills Development (JPK).

This pioneering combination makes us the only academy where graduates leave with both aviation licensing (RCoC-B and advanced modules like EVLOS & AGR) and government-recognised TVET qualifications (SKM) — a dual credential pathway that sets our pilots apart locally and internationally.

We don’t just train drone operators; we produce career-ready professionals who are compliant with CAAM regulations, recognised under JPK, and skilled in real-world applications — agriculture, surveying, mapping, inspection, media, and beyond.

By uniting RPTO licensing with SKM certification, we have created Malaysia’s most complete drone education ecosystem — the first and only of its kind.","Flight Training","11-50 employees","Partnership","Kuala Lumpur, Wilayah Persekutuan","Malaysia","drone.edu.my","https://www.linkedin.com/company/asiadronetechnicalacademy"
,"Novation Academy","Novation Academy is advance aviation training facility.
Our name, “Novation” made from “Aviation” + “Innovation”and we are striving to bring innovation into aviation training.
Designed to be the best advanced flight training academy in the South-East Asia, we are on a journey to become a key part of aviation’s future in Cambodia and Asia, using advanced training technologies and progressive curriculum to empower students to go beyond the ordinary and become world-class pilots.","Flight Training","2-10 employees","Privately Held","Phnom Penh","Cambodia","novation.academy","https://www.linkedin.com/company/novation-academy"
,"EPAG NG","EPAG NG is a flying school created and managed by four instructors from the historic École de Pilotage Amaury de la Grange.

Their objective : to provide you with their know-how gained through training airline pilots for some of the largest national and international carriers.

Experience, expertise and excellence are the watchwords for the passing on of their knowledge.

They are experienced instructors, used to working with Airlines Air France, Air Algérie, Air Mauritius, China Eastern, Shanghaï Airlines as well as with the Algerian Armed Forces. Between them they have 25,000 hours of flight training experience. 

All are members of the French Aviation Authorities (DGAC) examination board and are qualified to train in English.

This young yet mature team has a wide range of skills and un unfailing determination to succeed. Together they form a close knit, and readily available dynamic group. 

They are at your service to provide the best standards of JAA & EASA training in French or English. They will pass on the technical and personal skills required for a future airline pilot with a high degree of globally recognized professionalism.

EPAG NG is an EASA Approved Training Organisation, reference : FR.ATO.0059","Flight Training","11-50 employees","Educational","Merville, France","France","epag-ng.fr","https://www.linkedin.com/company/epagng"
