"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Verallia","At Verallia, our purpose is to re-imagine glass for a sustainable future. We want to redefine how glass is produced, reused and recycled, to make it the world’s most sustainable packaging material. We work in common cause with our customers, suppliers and other partners across the value chain to develop new healthy and sustainable solutions for all. With around 10,000 people and 32 glass production facilities in 11 countries, we are the leading European and the third largest producer globally of glass containers for food and beverages, providing innovative, customized and environmentally friendly solutions to more than 10,000 businesses around the world. Verallia produced more than 16 billion bottles and jars and achieved revenues of €2.7 billion in 2021. 

Verallia is listed on compartment A of the Euronext Paris stock exchange (Ticker: VRLA – ISIN: FR0013447729) and belongs to the SBF 120, CAC Mid 60, CAC Mid & Small et CAC All-Tradable indexes.","Glass Product Manufacturing","10,001+ employees","Privately Held","Courbevoie","France","verallia.com","https://www.linkedin.com/company/verallia"
,"LAV","Gürok Grubu’nun yenilikçilik anlayışıyla geliştirilerek sofra camı sektörüne adım atan LAV, grubun 1948 yılına uzanan gücünü şirketin gelecek hedefleri doğrultusunda, üretimden pazarlamaya kadar yenilikçi, dinamik ve teknolojiye değer veren bir çalışma anlayışı ile sektöre “deneyimli, modern ve genç” bir yaklaşımla hizmet sunmayı hedeflemektedir.

Logosundan ambalaj tasarımına kadar her açıdan yepyeni bir marka olarak tasarlanan LAV, kadınlar başta olmak üzere tüm kullanıcılarının en samimi, en tarz arkadaşı olmayı hedeflemektedir. Adını cam şekillendirmenin en önemli enerjisi ateş ve camın hammaddesinin bir araya geldiği kızgın cam hamurundan almaktadır.

Üretimini Kütahya’da gerçekleştiren LAV, toplam 300 bin metrekare alan üzerinde kurulu 2 üretim tesisinde günde 2 milyon adede ulaşan üretimi ile dünya üreticileri arasında 5. sırada yer almaktadır. 2000 kişinin istihdam edildiği tesislerde, toplam 3500 kalem üretim gerçekleştirilirken, ürünler başta Fransa, İspanya olmak üzere, Brezilya’dan Çin ve Filipinler’e kadar dünyanın 140 ülkesine ihraç edilmektedir.

Ayrıca, 2001 yılında kurulan Gürok Teknopark bünyesinde cam üretimiyle ilgili yeni teknolojiler üzerinde çalışmalar yapılmakta; cam üretiminin yanı sıra üretim yapan makinelerin tasarım ve üretimi süreçleri de burada yürütülmektedir. Kendi teknolojisini sürekli geliştirme amacıyla çalışan birim, 2003 yılında devreye alınan ve ikinci fırına bağlı olan tüm cam şekillendirme makinelerinin mekanik ve elektrik-elektronik süreçlerinin yanı sıra üretimini de sürdürmektedir. 
  
https://www.facebook.com/LAVTurkiye/ 
https://twitter.com/LAVTURKIYE
https://instagram.com/lavturkiye/","Glass Product Manufacturing","1,001-5,000 employees","Privately Held","İSTANBUL, İstanbul","Turkey","lav.com.tr","https://www.linkedin.com/company/lav"
,"SAVERGLASS","Saverglass, a world leader in the design, production, customization and decoration of high-end bottles for the premium and ultra-premium spirits and wine markets, is a privileged partner of the world's leading spirits and wine brands, as well as emerging brands committed to the quality and exclusivity of their packaging.

From its six glass plants and four decoration units benefiting from leading-edge technologies, and thanks to the professionalism, ongoing training and passion for excellence of its 3,900 employees, Saverglass sells over 700 million bottles to more than 4,000 customers in some 100 countries, and is committed to its longstanding sustainable development strategy with the objective of reducing its carbon footprint by 50% by 2035.","Glass Product Manufacturing","1,001-5,000 employees","Privately Held","Feuquières, FRANCE","France","saverglass.com","https://www.linkedin.com/company/saverglass"
,"Arc","For more than 200 years, we have been beautifying tables around the world.

World leader in tableware, the Arc group creates everyday innovative and sustainable glass solutions to enjoy eating, drinking and home experiences. 

Through its Luminarc, Arcoroc, Cristal d'Arques Paris and Chef&Sommelier brands, Arc is aimed at both individuals and professionals. The Group is present in many markets, in particular that of mass distribution, hotels, restaurants, bars and cafes, wine merchants, and collective catering. Arc is also actively contributing to the transition to a new circular economy model, including offering innovative and sustainable glass containers as alternatives to single-use plastic.

With production sites in France, the United States, China and the United Arab Emirates, the Group produces more than 4 million items every day. Arc employs 6100 people, including 3750 in France, and generated sales of 688 million euros in 2024.

By joining Arc, you will experience a wonderful human and entrepreneurial adventure in a historic company that has been combining tradition and modernity for more than 200 years.","Glass Product Manufacturing","5,001-10,000 employees","Privately Held","ARQUES","France","arc-intl.com","https://www.linkedin.com/company/arc-international"
,"Wheaton Brasil Vidros","With over a century experience in the production of glass packaging, and established in Brazil since 1952, the Wheaton Brasil Group acts in the world market of glass packaging and tableware, and its present in the daily life of families in Brazil and other 40 countries. Presently, the company is the country’s leader and one of the five biggest plants in the world supplying glass packaging for the perfumery, cosmetics and pharmaceutical industries.","Glass Product Manufacturing","1,001-5,000 employees","Privately Held","São Bernardo do Campo, São Paulo","Brazil","wheaton.com.br","https://www.linkedin.com/company/wheaton"
,"AGP eGlass","AGP eGlass is part of AGP Group, one of the world’s leading glazing manufacturers with a large portfolio of products for the automotive, marine, and security markets. 

With a value proposition focused on anticipating and responding to the latest trends of the industry – such as electrification, connectivity, shared mobility, autonomous driving, digitalization and well-being – eGlass provides high-tech glazing solutions for more than 20 automotive brands that are shaping the future of sustainable mobility. 

AGP has seven manufacturing plants, three AVOs, and four Tech Innovation Centers in Europe, North and South America as well as commercial offices in 20 countries. With more than 4,000 employees from over 60 different nationalities, the company delivers solutions to make the world cleaner, safer, and more enjoyable.","Glass Product Manufacturing","1,001-5,000 employees","Privately Held","Ghent, Flemish Region","Belgium","agpglass.com","https://www.linkedin.com/company/agp-eglass"
,"Verallia Brasil","Verallia Brasil offers innovative, customized and sustainable glass packaging solutions for the food and beverage industry. . Our purpose is to reimagine glass for a sustainable future. We want to redefine how glass is produced, reused and recycled to make it the most sustainable packaging material in the world. We work in common cause with our customers, suppliers and other partners across the value chain to develop new healthy and sustainable solutions for all.

Verallia Brasil has three factories located in the cities of Campo Bom (RS), Jacutinga (MG) and Porto Ferreira (SP) and also provides its customers with a Creation Center for the development of new products at its headquarters in São Paulo. In all of its production processes, Verallia seeks to optimize water and energy consumption, control atmospheric emissions, encourage social development and create new options in glass packaging that require less raw material and that , at the same time, stimulate and facilitate the recycling chain.

 Verallia Brasil is part of an independent group that is a European leader and one of the world's three largest manufacturers of glass packaging with around 10,000 employees and 32 factories in 11 countries, five technical centers and 13 product development centers, serving more than 10 thousand customers worldwide. Verallia produced over 16 billion glass bottles and jars and achieved global revenues of €2.7 billion in 2021.","Glass Product Manufacturing","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","verallia.com.br","https://www.linkedin.com/company/verallia-brasil"
,"VILUX SA","Con casi cinco décadas en el mercado nacional y presencia en las ciudades de Minga Guazu, Encarnación, Pedro Juan Caballero y Asunción, nuestro liderazgo en el procesamiento del vidrio lo compartimos hoy poniendo a su alcance productos innovadores y de gran calidad para la construcción.","Glass Product Manufacturing","201-500 employees","Partnership","Asuncion, Central","Paraguay","vilux.com.py","https://www.linkedin.com/company/vilux-sa"
,"Gold Plus Glass Industry Ltd.","Gold Plus Glass Industry Limited is a leading manufacturer and supplier of high-quality float glasses. Established in 1985, the company has a rich history of providing top-notch glass solutions to its customers. With a focus on quality and innovation, Gold Plus Glass Industry Limited offers a wide range of float glasses including clear float glass, tinted glass, reflective glass, aluminum coated mirror, silver coated mirror, frosted glass, architectural glass, automotive glass and industrial glass that cater to diverse needs and requirements. The company has state-of-the-art production facilities at Roorkee Uttarakhand and Belagavi Karnataka and a team of experienced professionals who ensure that each product meets the highest standards of quality. Gold Plus Glass is the first BIS-certified company in India, Choose Gold Plus Glass Industry Limited for all your glass needs, and experience the best in class products and services.","Glass Product Manufacturing","1,001-5,000 employees","Privately Held","Delhi","India","goldplusgroup.com","https://www.linkedin.com/company/goldplusglass"
,"Emirates Float Glass LLC","Emirates Float Glass (EFG) LLC, a greenfield venture based in Abu Dhabi, the EFG production facilities have a 320,000 sqm plot at a cost of AED 692 million, and have a design capacity to produce 600 tons per day of clear molten glass. it is first integrated glass manufacturing and processing facility in the UAE, providing world class standards and practices in its delivery commitments. EFG LLC has long-term plans to consolidate and emerge as a leader in this business segment.

Dubai Investments (DI) is a world-class company that invests in viable and profitable entities. The Company has an enviable track record and has shown leadership in all fields of investment activities in the United Arab Emirates and the Middle East.  With over 21,500 shareholders, and paid-up capital of AED 3.2 billion, it is the largest investment company listed on Dubai Financial Market. Its prudent use of capital and sound management skills enables DI to establish, acquire, or strategically participate in successful corporate ventures throughout the region.","Glass Product Manufacturing","501-1,000 employees","Public Company","Mussafah, Abu Dhabi","United Arab Emirates","efgme.com","https://www.linkedin.com/company/emirates-float-glass-llc"
,"City Glass","City Glass was first established in 1986 , with a mission to produce high quality glass products made of premium quality materials of Soda-Lime glass with the use of latest technology. It consists of factories with various production types from handmade, half automated and automated press. These types of production are categorized in to four brands;
We move too fast, and experience too little. There are many special moments hidden in our daily lives, but we tend to overlook them. We believe that those brief moments are what makes our lives more exciting. Through useful, affordable and simple design.
Here at City Glass, we highly value our customers as well as our craft of glass making.
Through City Glass Products we aim to provide highly artistic products, that resemble the historical art of glass cutting.
Our products will play both decorative and functional items paired with our high quality standards, value for design and attention to our clients needs,
We hope to satisfy customers whom appreciate the original glass artisans in which there work was the inspiration to City Glass .","Glass Product Manufacturing","1,001-5,000 employees","Partnership","Heliopolis, Cairo","Egypt","cityglass.com","https://www.linkedin.com/company/cityglass"
,"SOTUVER","Established in 1963, SOTUVER is regarded as one of the leading players in the hollow glass industry in the Mediterranean basin.

For years, SOTUVER has embarked on a marketing development strategy focused on strengthening its sales in the local market and an increasing presence in its export markets.
Thus, in addition to the local market, its products serve the European markets (France, Italy, Spain …), North Africa, Sub-Saharan Africa, Middle East, as for others destinations.

The company produces a wide range of glass packaging in a variety of colors (Flint, Mid flint, Emerald Green and Antic Green) in the agri-food industry, including oils, wines, liquors and spirits, Beer, Mineral waters, soft drinks, juices as well as jars.
Apart of the standard models, SOTUVER offers customized bottles and possibly with ACL printing adapted to customers’ needs.","Glass Product Manufacturing","201-500 employees","Privately Held","Bir M'chergua, Zaghouan","Tunisia","sotuver.com.tn","https://www.linkedin.com/company/sotuver"
,"Verallia France","Chez Verallia, notre raison d’être est de réimaginer le verre pour construire un avenir durable. Nous voulons redéfinir la façon dont le verre est produit, réutilisé et recyclé, pour en faire le matériau d'emballage le plus durable au monde. Nous faisons cause commune avec nos clients, nos fournisseurs et d'autres partenaires tout au long de notre chaîne de valeur pour développer de nouvelles solutions saines et durables pour tous. 

Avec environ 11 000 collaborateurs et 34 usines verrières dans 12 pays, nous sommes le leader européen et le troisième producteur mondial de l’emballage en verre pour les boissons et les produits alimentaires et offrons des solutions innovantes, personnalisées et respectueuses de l’environnement à plus de 10 000 entreprises dans le monde. 
Verallia produit plus de 17 milliards de bouteilles et pots en verre et a réalisé 3,5 milliards d’euros de chiffre d’affaires en 2024. Verallia est coté sur le compartiment A du marché réglementé d'Euronext Paris (Ticker : VRLA – ISIN : FR0013447729) et figure dans les indices suivants : SBF 120, CAC Mid 60, CAC Mid & Small et CAC All-Tradable. Pour plus d’informations : www.verallia.fr","Glass Product Manufacturing","5,001-10,000 employees","Privately Held","Courbevoie, Île-de-France","France","verallia.com","https://www.linkedin.com/company/verallia-france"
,"Verallia UK","We are immensely proud that Verallia is trusted to create ground-breaking glass packaging for many world-leading brands of food and drink. With over a century of glassmaking experience and unwavering dedication to meeting the needs of every customer, it is faith well founded.

Verallia is a company renowned for taking glass packaging to new levels of quality and sophistication, and we see every new challenge as an opportunity to further enhance our reputation for award-winning creativity.","Glass Product Manufacturing","501-1,000 employees","Public Company","Leeds, England","United Kingdom","verallia.com","https://www.linkedin.com/company/verallia-uk"
,"Arc Middle East LLC","ARC Middle East LLC is a glass manufacturing company based in Ras Al Khaimah, United Arab Emirates. Arc Middle East founded in 2005 has its headquarters in France. 

About the Group:
Arc was founded in 1825 in Arques, France, which is still home to the group’s global headquarters and one of the world’s largest glass production plants. Today, Arc’s footprint extends across the world, with factories in the USA, China and the UAE and sales in over 160 countries. For nearly 200 years, we have continuously evolved and have stayed at the forefront of the industry by innovating manufacturing techniques, incorporating cutting-edge technologies, developing and improving new designs and materials, and pushing the boundaries of our own creative visions. All of these key areas of focus have helped us to grow to become a world leader in the tabletop industry. Over the decades, we are proud to have created long relationships with a multitude of well known large globalists to independents; from candle jars to custom promotional beverage glasses, to collections for some of the largest US retailers, to beautiful and durable tableware for a plethora of hospitality partners. Our Luminarc, Arcoroc, Cristal d'Arques Paris and Chef&Sommelier brands are designed for both individuals and professionals.

Committed to a Corporate Social Responsibility approach, the Arc group invested 4.1 million euros in research & development in 2019 and reduced its CO2 emissions by 26% per ton of glass produced between 2010","Glass Product Manufacturing","1,001-5,000 employees","Privately Held","RAS AL KHAIMAH, Ras Al Khaimah","United Arab Emirates","arc-meai.com","https://www.linkedin.com/company/arc-middle-east"
,"PKO do Brasil","A PKO do Brasil é uma empresa que atua nos setores de vidros e pedras para diversos segmentos do mercado, em todas as regiões do Brasil. Criada há mais de 10 anos, a PKO funciona em duas unidades altamente equipadas e é reconhecida pela qualidade dos produtos e pelo profissionalismo de seus colaboradores.","Glass Product Manufacturing","201-500 employees","Privately Held","Mogi das Cruzes, São Paulo","Brazil","pkodobrasil.com.br","https://www.linkedin.com/company/pkodobrasil"
,"Vidroforte Industry and Trade of Glass Ltd","With worldwide technology in special glass processing, Grupo Vidroforte is a supplier of automotive (assembly and spare parts), civil construction (tempered, laminated and insulated), special (trains, subways, nautical vessels, agricultural machinery), antivandalism and safety, besides the line of appliances and furniture. The group has the companies Templex and Vidroforte Transportes, four distribution units (SP, MG, PR, GO) and businesses around the globe.","Glass Product Manufacturing","201-500 employees","Privately Held","Caxias do Sul, Rio Grande do Sul","Brazil","vidroforte.com.br","https://www.linkedin.com/company/vidroforte"
,"RIEDEL - The Wine Glass Company","If your wine could choose a glass, it would be RIEDEL.

As a leading brand in the glassware industry, RIEDEL is best-known for the creation and development of grape varietal-specific stemware.

RIEDEL was the first manufacturer to recognize that the taste and aroma of a beverage is affected by the shape of the glass from which it is consumed.

Founded in 1756 and pioneering varietal-specific stemware since 1958, RIEDEL has become the brand of choice for wine connoisseurs, sommeliers, and hospitality professionals globally.

To this day, RIEDEL remains a family-run business, owned and operated by Georg and Maximilian J. Riedel – the 10th and 11th generation of the RIEDEL glassmaking legacy.

RIEDEL glassware is distributed worldwide and can be found in top-rated wineries, hotels, and restaurants around the world.

RIEDEL produces collections for every lifestyle and price range, whether for critical wine evaluation, a picnic or dinner. There is a series for every wine lover, including the popular RIEDEL Veloce, RIEDEL Performance, and many more.

A RIEDEL glass turns a sip of wine into a celebration.","Glass Product Manufacturing","1,001-5,000 employees","Privately Held","Kufstein, Tirol","Austria","riedel.com","https://www.linkedin.com/company/riedel"
,"DWK Life Sciences","DWK Life Sciences is a leading global manufacturer and supplier of precision labware as well as primary packaging solutions for Life Science Research, Diagnostics and Pharmaceutical markets. 
The company´s offering includes over 35,000 glass and plastics products, manufactured at 12 sites, marketed under the acclaimed brands DURAN, WHEATON and KIMBLE. Its world-leading and trusted glass is complemented by an innovative research and life science portfolio. 
Worldwide, 1,900 people are dedicated to developing and delivering superior products and services to meet the high expectations of customers in laboratories and production environments around the world.","Glass Product Manufacturing","1,001-5,000 employees","Public Company","Wertheim, Baden-Württemberg","Germany","dwk.com","https://www.linkedin.com/company/dwklifesciences"
,"LG Advanced Materials (LG PuroTec)","The new standard in antimicrobial glass. Our innovative solution takes surface sanitation to new heights with enhanced antimicrobial performance.","Glass Product Manufacturing","10,001+ employees","Public Company","Seoul","South Korea","lg.com","https://www.linkedin.com/company/lg-purotec"
,"Glass Open Book","Welcome to Glass Open Book (GOB), the glass industry community with thousands of followers in more than 100 countries and territories worldwide. GOB's mission is to unite glass industry professionals. Thus, the platform provides ample opportunities to search for everything necessary for glass production and processing - from glass manufacturing machinery and equipment, raw materials and consumables to technical assistance, online tools and digital services. 

Glass Open Book (GOB) is equally useful for the glass industry professionals involved in Production, Engineering, Sales, Marketing, Purchasing, Training, HR, R&D, QA, IT, Business Development and so many more, as well as for those who are looking for a job in the glass industry or want to increase their professional competence in the field of glassmaking.

Glass Open Book - new era of glass industry networking, brand building and business communication.

Join us!","Glass Product Manufacturing","2-10 employees","Non Profit","Leeds","United Kingdom","glassopenbook.com","https://www.linkedin.com/company/glassopenbook"
,"Sans Souci","Bohemian designer of bespoke high-end lighting and decorative glass features. Founded in 2005 by Martin Cháb, the company has become synonymous with cutting-edge luxury creations, developing over the years into a leader in the decorative lighting market thanks to its forward-looking approach, innovative designs and pioneering use of nanotechnologies. With stunning projects spanning the entire world, from Burj Al Arab in Dubai to Claridge's in London, Sans Souci presents the right choice for anyone desiring a one-of-a-kind lighting solution.","Glass Product Manufacturing","51-200 employees","Self Owned","Prague","Czechia","sanssoucilighting.com","https://www.linkedin.com/company/sans-souci-s-r-o"
,"Verallia Italia","In Verallia, il nostro scopo è ripensare il vetro per costruire un futuro sostenibile. Vogliamo ridefinire il modo in cui il vetro viene prodotto, riutilizzato e riciclato, per renderlo il materiale di imballaggio più sostenibile al mondo. Uniamo le forze con i nostri clienti, fornitori e altri partner in tutta la nostra catena del valore per sviluppare nuove soluzioni sane e sostenibili per tutti.
Con circa 10.000 dipendenti e 35 stabilimenti che producono packaging in vetro in 12 Paesi, siamo il leader europeo e il terzo produttore mondiale di imballaggi in vetro per bevande e prodotti alimentari e offriamo soluzioni innovative, personalizzate e rispettose dell'ambiente a più di 10.000 aziende in tutto il mondo.
Verallia produce più di 16 miliardi di bottiglie e barattoli di vetro e ha generato vendite per 3,9 miliardi di euro nel 2023. 
In Italia può contare sulla forza di 7 stabilimenti produttivi e sulla passione ed esperienza di oltre 1600 dipendenti.","Glass Product Manufacturing","1,001-5,000 employees","Public Company","Lonigo, VI","Italy","verallia.com","https://www.linkedin.com/company/verallia-italia"
