"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Google","A problem isn't truly solved until it's solved for all. Googlers build products that help create opportunities for everyone, whether down the street or across the globe. Bring your insight, imagination and a healthy disregard for the impossible. Bring everything that makes you unique. Together, we can build for everyone.

Check out our career opportunities at goo.gle/3DLEokh","Software Development","10,001+ employees","Public Company","Mountain View, CA","United States","google.com","https://www.linkedin.com/company/google"
,"Amazon","Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. We are driven by the excitement of building technologies, inventing products, and providing services that change lives. We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company, and the spirit and heart of a small one.

Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world.

Our mission is to be Earth's most customer-centric company. Our actions, goals, projects, programs, and inventions begin and end with the customer top of mind.

You'll also hear us say that at Amazon, it's always ""Day 1."" What do we mean? That our approach remains the same as it was on Amazon's very first day - to make smart, fast decisions, stay nimble, invent, and focus on delighting our customers.","Software Development","10,001+ employees","Public Company","Seattle, WA","United States","amazon.com","https://www.linkedin.com/company/amazon"
,"LinkedIn","Founded in 2003, LinkedIn connects the world's professionals to make them more productive and successful. With more than 1 billion members worldwide, including executives from every Fortune 500 company, LinkedIn is the world's largest professional network. The company has a diversified business model with revenue coming from Talent Solutions, Marketing Solutions, Sales Solutions and Premium Subscriptions products. Headquartered in Silicon Valley, LinkedIn has offices across the globe.","Software Development","10,001+ employees","Public Company","Sunnyvale, CA","United States","linkedin.com","https://www.linkedin.com/company/linkedin"
,"Microsoft","Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn’t just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. Because impact matters. 

Microsoft operates in 190 countries and is made up of approximately 228,000 passionate employees worldwide.","Software Development","10,001+ employees","Public Company","Redmond, Washington","United States","microsoft.com","https://www.linkedin.com/company/microsoft"
,"TED Conferences","TED’s mission is to discover and champion the ideas that will shape tomorrow. Powerful ideas, powerfully presented, can move us to feel something, to think differently, to take action and create a brighter future.

TED finds these powerful ideas across disciplines and around the globe, from people who passionately seek a deeper understanding of the world and want to make a difference in it. TED’s spotlight, and its engaged, open-minded audience, help these ideas to create real impact: to shift one person’s perspective, to make a difference within a community or to spark global transformation. 

Ideas change everything.","Non-profit Organizations","51-200 employees","Non Profit","New York, NY","United States","ted.com","https://www.linkedin.com/company/ted-conferences"
,"Deloitte","Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. Deloitte invests in outstanding people of diverse talents and backgrounds and empowers them to achieve more than they could elsewhere. Our work combines advice with action and integrity. We believe that when our clients and society are stronger, so are we. 

Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited (“DTTL”), its global network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) and each of its member firms are legally separate and independent entities. DTTL does not provide services to clients. Please see www.deloitte.com/about to learn more.

The content on this page contains general information only, and none of Deloitte Touche Tohmatsu Limited, its member firms, or their related entities (collectively the “Deloitte Network”) is, by means of this publication, rendering professional advice or services. Before making any decision or taking any action that may affect your finances or your business, you should consult a qualified professional adviser. No entity in the Deloitte Network shall be responsible for any loss whatsoever sustained by any person who relies on content from this page.","Business Consulting and Services","10,001+ employees","Privately Held","Worldwide",,"deloitte.com","https://www.linkedin.com/company/deloitte"
,"Unilever","Every day, 3.4 billion people around the world enjoy our products - from ground-breaking brands like Hellmann's, Domestos, Dove and Rexona (to name just a few). Our brands lead the way - innovating in their fields, delighting their consumers and powering our business forward. 
 
And it is our people who make everything happen. Our bright and curious people who imagine and create the future - diverse, passionate and ambitious people. 
 
A role with us means endless opportunities with global brands that make markets and people who play to win. We make markets and create cultures through some of the biggest brands and best-known products in the world.
 
Talented teams in 190 countries redefine the way we do business and set new standards for our brands. Always learning, always innovating. Is this your moment?","Manufacturing","10,001+ employees","Public Company","Blackfriars, London","United Kingdom","unilever.com","https://www.linkedin.com/company/unilever"
,"IBM","At IBM, we do more than work. We create. We create as technologists, developers, and engineers. We create with our partners. We create with our competitors. If you're searching for ways to make the world work better through technology and infrastructure, software and consulting, then we want to work with you.

We're here to help every creator turn their ""what if"" into what is. Let's create something that will change everything.","IT Services and IT Consulting","10,001+ employees","Public Company","Armonk, New York, NY","United States","ibm.com","https://www.linkedin.com/company/ibm"
,"Tata Consultancy Services","Tata Consultancy Services (TCS) is a digital transformation and technology partner of choice for industry-leading organizations worldwide. Since its inception in 1968, TCS has upheld the highest standards of innovation, engineering excellence and customer service.

Rooted in the heritage of the Tata Group, TCS is focused on creating long term value for its clients, its investors, its employees, and the community at large. With a highly skilled workforce spread across 55 countries and 202 service delivery centers across the world, the company has been recognized as a top employer in six continents. With the ability to rapidly apply and scale new technologies, the company has built long term partnerships with its clients helping them emerge as perpetually adaptive enterprises. Many of these relationships have endured into decades and navigated every technology cycle, from mainframes in the 1970s to Artificial Intelligence today.

TCS sponsors 14 of the world’s most prestigious marathons and endurance events, including the TCS New York City Marathon, TCS London Marathon and TCS Sydney Marathon with a focus on promoting health, sustainability, and community empowerment.

Caution against fraudulent job offers: TCS doesn’t charge any fee throughout the recruitment process. Refer here: https://www.tcs.com/careers/india/recruitment-fraud-alert","IT Services and IT Consulting","10,001+ employees","Public Company","Mumbai, Maharashtra","India","tcs.com","https://www.linkedin.com/company/tata-consultancy-services"
,"Forbes","Forbes Media is a global media, branding and technology company, with a focus on news and information about business, investing, technology, entrepreneurship, leadership and affluent lifestyles. The company publishes Forbes, Forbes Asia, and Forbes Europe magazines as well as Forbes.com. The Forbes brand today reaches more than 94 million people worldwide with its business message each month through its magazines and 37 licensed local editions around the globe, Forbes.com, TV, conferences, research, social and mobile platforms. Forbes Media’s brand extensions include conferences, real estate, education, financial services, and technology license agreements.  

Forbes is an equal opportunity employer.","Book and Periodical Publishing","201-500 employees","Privately Held","Jersey City, NJ","United States","forbes.com","https://www.linkedin.com/company/forbes-magazine"
