"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"WEJ Shoes","A Fast Growing Footwear Manufacturing & Wholesale Concern Based in Lahore, Pakistan","Wholesale Footwear","51-200 employees","Self Owned","Lahore, Punjab","Pakistan","wej.com","https://www.linkedin.com/company/wej-shoes"
,"Dynasty Footwear","Partnerships with the largest retailers in the world. Experts in private label design as well as brand building. Specializing in men's, women's, children's & toddler shoes. Headquarters in California, with additional offices in Hong Kong, China and Taiwan.

Brands:
- Seychelles Footwear
- BC 
- Seven 7
- Self Esteem Footwear
- London Underground
- Makalu California
- Beach Club","Wholesale Footwear","51-200 employees","Privately Held","El Segundo, California","United States","dynastyfootwear.com","https://www.linkedin.com/company/dynasty-footwear"
,"Spring Footwear, Corp.","Since 1991, Spring Footwear has provided consumers an experience and feel they can't resist. Utilizing state-of-the-art technology, combined with true European styling and craftsmanship, the commitment remains: to create an experience of natural freedom and luxury that will not be forgotten. Our team strives to deliver a product that boasts unique design and exceptional comfort at competitive prices. We invite you to come and experience Spring Footwear for yourself.","Wholesale Footwear","51-200 employees","Privately Held","Pompano Beach, Florida","United States","springfootwear.com","https://www.linkedin.com/company/spring-footwear-corp-"
,"Calzados Azaleia Perú","Calzados Azaleia Perú cuenta con más de 25 años en el mercado Peruano.
Forma parte del Grupo Brasilero Vulcabrás, con más de 70 años de trayectoria en el rubro.
https://www.vulcabras.com/o-grupo

Nuestras marcas: Azaleia, Olympikus y Botas Vulcabrás.

Orgullosos de nuestra historia, ofrecemos calzados de calidad, a la moda, enfocados en la comodidad y utilizando siempre la mejor tecnología, pensando en las necesidades de nuestros clientes, a un precio justo.

Brindamos calidad de servicio a nuestros clientes a través de todos nuestros canales de distribución, ventas al por mayor y menor, ventas por catálogo y e-commerce.  

Siempre comprometidos y enfocados en  el crecimiento conjunto de la empresa, colaboradores y socios estratégicos, innovando constantemente en nuestra propuesta de productos.","Wholesale Footwear","51-200 employees","Self Owned","Lima, Lima","Peru","azaleia.pe","https://www.linkedin.com/company/calzados-azaleia-perú"
,"Izzy Boutique","Founder & CEO at Izzy Boutique | Redefining Footwear Retail in Kigali | Nationwide Delivery via DHL 

About Section:

 From a Single Vision to a Multi-Location & National Retailer

In February 2023, I founded Izzy Boutique with a simple yet powerful mission: to bring high-quality, stylish footwear and an unparalleled customer experience to the heart of Kimironko. What started as a premier local shoe destination has now blossomed into a growing retail brand serving customers across Rwanda.

I am thrilled to announce our latest milestone: the grand opening of our second Izzy Boutique location at Unity House, First Floor, Nyarugenge! This strategic expansion, coupled with our official partnership with DHL, marks a significant step in our journey to make premium sneakers and fashion accessible to all of Rwanda.

 What We Offer:

Curated Collections: Specializing in authentic, trend-forward sneakers from top brands like Nike, Adidas, and Puma.

Nationwide Delivery: Official DHL partnership for reliable, fast shipping across Rwanda.

Beyond Retail: A full-service footwear hub, offering expert shoe repair and customization.

Customer-Centric Experience: From our comfortable fitting spaces to our knowledgeable team, we ensure every visit is exceptional.

 Our Growth Philosophy:
Our success is built on a foundation of trust, quality, and a deep understanding of our customers' evolving needs. We are proud to be a part of the #RwandaBusiness growth story and are committed to contributing to the local economy and fashion landscape.

I am passionate about entrepreneurship, retail innovation, and building brands that customers love. Let's connect to discuss retail growth, logistics partnerships, and the future of fashion in Rwanda.

 Visit Us:

Kimironko Branch: The original home of Izzy Boutique. | Call: 0792686828

Nyarugenge Branch: Unity House, First Floor (KN 2 St). | Call: 0792106033

Nationwide: We deliver everywhere in Rwanda via DHL.

#IzzyBoutique","Wholesale Footwear","2-10 employees","Self Employed","Kigali, Nyarugenge","Rwanda",,"https://www.linkedin.com/company/izzy-boutique"
,"Guante y Gacel","Generar una experiencia única que siempre cautive a nuestros clientes.","Wholesale Footwear","501-1,000 employees","Privately Held",,,"guante.cl","https://www.linkedin.com/company/guante-y-gacel"
,"Latin Shoes SA","Quiénes somos

Con 71 años de experiencia en el mundo del calzado, Latin Shoes es una empresa familiar argentina especializada en la distribución mayorista. Desde nuestros inicios en 1953, hemos evolucionado desde la fabricación de pantuflas y sandalias hasta convertirnos en referentes en la importación y comercialización de marcas reconocidas a nivel nacional e internacional.

En 2001 ampliamos nuestro negocio adquiriendo licencias exclusivas de marcas líderes. Hoy distribuimos más de 13 marcas, ofreciendo no solo productos de calidad, sino también herramientas estratégicas para potenciar el crecimiento de nuestros clientes.

Nuestros Canales de Distribución

Contamos con un equipo comercial distribuido estratégicamente en todo el país, asegurando una sólida presencia en el mercado con más de 5.000 puntos de venta en el canal minorista. Con más de 1.300 clientes activos, en Latin Shoes entendemos las necesidades del mercado y trabajamos junto a nuestros clientes para ayudarlos a crecer.","Wholesale Footwear","51-200 employees","Privately Held","Buenos Aires, Ciudad Autónoma de Buenos Aires","Argentina","latinshoes.com","https://www.linkedin.com/company/latin-shoes-sa"
,"FACE2FACE","Somos una empresa colombiana apasionada por la moda, dedicada a resaltar la belleza de la mujer a través de la producción y comercialización de nuestros productos. Valoramos la comodidad, versatilidad y calidad en cada una de nuestras piezas, donde los detalles juegan un papel fundamental en la construcción de nuestra marca.","Wholesale Footwear","11-50 employees","Privately Held","Itagui, Antioquia","Colombia","face2face.com.co","https://www.linkedin.com/company/face2facecalzadoybolsos"
,"cnickerfootwarestore","Welcome to cnickerfootwarestore, a Ugandan base footware store, where quality and comfort meet. We offer an extensive collection of footware for men, women, and children.

At our store, we understand the value of time and convenience. Therefore, we only offer deliveries to our clients to ensure they receive their desired footwear without leaving their comfort zones.

Our range of products includes sneakers, sandals, boots, flats, and sports shoes from top-notch brands. We pride ourselves on delivering high-quality footwear that meets your style and comfort needs.

Our platform is extremely user-friendly, allowing you to browse through our collection, select your favorite footware, and place an order with ease. Additionally, our team is always available to guide you through the ordering process to ensure a smooth shopping experience.

After placing your order, our dedicated delivery team will ensure your footware is delivered to your doorstep within the shortest possible time. We also offer FREE DELIVERIES for orders above a certain AMOUNT, making shopping with us even more affordable.

In conclusion, if you are a FOOT-WARE enthusiast looking for top-quality and comfortable shoes that are delivered to your doorstep, look no further than cnickerfootware store. We guarantee you a shopping experience like no other.

Call/WhatsApp: +256778798179 | DM’s OPEN to SHOP WITH US TODAY ","Wholesale Footwear","11-50 employees","Privately Held","Kampala","Uganda","cnicker.com","https://www.linkedin.com/company/cnickerfootwarestore"
,"Calzatodo","Somos una Compañía Colombiana líder en la comercialización y distribución de calzado, con más de 50 años de historia. Dentro de nuestras líneas de negocio de distribución ofrecemos Calzado de Seguridad y Dotación al por Mayor para todas las empresas en el territorio Colombiano.

Con nuestro portafolio de calzado para dotación atendemos empresas de todos los sectores industriales, pasando por el Agro, Alimentos, Construcción, Hoteles, Restaurantes, Logística, Metalurgica, Seguridad, Servicios Hospitalarios, Energía, Recolección de Residuos, Industria Manufacturera, Transporte, y muchos más.

Llevamos años de relación comercial suministrando la dotación para los colaboradores de empresas en todo el territorio nacional.

También ofrecemos Bonos Empresariales y Virtuales que pueden ser entregados como dotación u obsequio, y pueden redimirse en uno de nuestros puntos a nivel nacional ubicados en 32 ciudades del país o en la tienda virtual www.calzatodo.com.co","Wholesale Footwear","51-200 employees","Privately Held","Cali","Colombia","calzatodo.com.co","https://www.linkedin.com/company/calzatodooficial"
