"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Oasis Enterprises (Al Shirawi Group)","Oasis Enterprises creates immersive and original experiences for the most demanding applications using Audio Visual, Pro Lighting, Architainment, Automation, CCTV & ELV systems Integration. 

We have completed up to 5000+ projects since 1982 within numerous fields, such as: education, corporate, worship, healthcare, government organizations, and agencies of all sizes throughout MENA.

Services:

•	Audio/Video, Lighting design & consultancy
•	Projects management & planning
•	Fast supply & reliable installation and training
•	24/7 technical support and after sales service
•	Maintenance & operation contracts

Oasis Enterprises can help you with any requirements, from a single room to a full building management scheme, and is a distributor of well-renowned brands (ETC, ROSCO, Datavideo, Desisti, Ayrton, BB&S...).

“Our mission is to engineer reliable and cost-effective technological solutions that attain our clients' business growth potential.”

Awards:

• Sound and Stage Awards 2008 “Best New Projection/Display Technology of the Year” for Element Labs Helix LED Video Screens. 
• ETC 2008 “Distributor of the Year” for Dimming Systems and Turnover. 
• Digital Studio Awards 2009 “Best Academic Installation” for Sharjah University College of Fine Arts. 
• Sound and Stage Awards 2009 “Lighting Installation Project of the Year” for Dubai Aquarium, Dubai Mall.","Audio and Video Equipment Manufacturing","51-200 employees","Privately Held","Dubai","United Arab Emirates","oasisppd.com","https://www.linkedin.com/company/oasis-enterprises"
,"Aputure","Aputure was founded by a team of inspired filmmakers and videographers who wanted to create high quality content, but struggled with steep cost of equipment needed to do so. Determined to create professional-grade equipment at an affordable price, they started Aputure: the first company to provide truly affordable and professional cinema equipment with the quality and functions needed to fully realize any creative vision.

Today, Aputure sells globally in over 300+ cities with offices in Amsterdam, China, Singapore, India and the United States. It is one of the fastest growing cinema technology companies, designing and specializing in creative lighting solutions. 

As a part of the creative community, Aputure continues to develop for the ever-expanding needs of budding artists and professionals alike. Each member of our team has felt the burning desire to bring a creative vision to life at all costs. We're here to keep that fire alive.","Audio and Video Equipment Manufacturing","201-500 employees","Privately Held","Los Angeles, CA","United States","aputure.com","https://www.linkedin.com/company/aputure-photo-tech-limited"
,"All Wave AV Systems","At Allwave AV Systems, we are dedicated to providing cutting-edge audio-visual solutions tailored to meet the unique needs of corporate workspaces. 

From custom AV integrations to comprehensive system designs, our expert team delivers innovative and reliable services. 

Operating in Mumbai, India, we are well-positioned to serve a diverse range of clients throughout PAN India through our branches in Pune, Delhi, Hyderabad, Bangalore, Indore, and Kolkata.

Our mission is to enhance communication and collaboration through state-of-the-art AV technology. Connect with us to explore how we can transform your business environment.","Audio and Video Equipment Manufacturing","51-200 employees","Privately Held","Mumbai, Maharashtra","India","allwaveav.com","https://www.linkedin.com/company/allwave-av"
,"Peerless-AV","For over 80 years, passion and innovation continue to drive Peerless-AV forward. We proudly design and manufacture the highest quality products, including outdoor displays and TVs, dvLED and LCD video wall systems, complete integrated kiosks, professional carts and stands, and more. Whether a full-scale global deployment or high volume custom project, Peerless-AV develops meaningful relationships and delivers world-class service. In partnership with Peerless-AV, you are trusting an award-winning team of experts who will support your business every step of the way. For more information, visit peerless-av.com.","Audio and Video Equipment Manufacturing","201-500 employees","Privately Held","Aurora, IL","United States","peerless-av.com","https://www.linkedin.com/company/peerless-av"
,"Calrec Audio","Calrec Audio is a leading designer and supplier of audio broadcast mixing consoles and equipment, relied upon by the world’s most successful broadcasters.

Formed as a microphone manufacturer in 1964, Calrec’s reputation for build quality, reliability and audio performance has made it an industry benchmark across the world. 

We’re based in Hebden Bridge, but you hear us on live television every single day. From Premiership football and the Superbowl to ‘X Factor’ and ‘Dancing with the Stars’, if it’s live, there is a good chance it is mixed on a Calrec!","Audio and Video Equipment Manufacturing","51-200 employees","Public Company","Hebden Bridge, West Yorkshire","United Kingdom","calrec.com","https://www.linkedin.com/company/calrec-audio-ltd"
,"McIntosh Laboratory, Inc.","Founded in 1949, McIntosh Laboratory, Inc. is known for offering distinguished quality audio products, superior customer service and the ultimate experience in music and film. All McIntosh products are handcrafted at the Binghamton, NY factory by over 150 employees with a passion for music and the McIntosh heritage. McIntosh continues to define the ultimate home entertainment experience for discriminating consumers around the world, with the iconic “McIntosh Blue” Watt Meters globally recognized as a symbol of quality audio. Since its inception, McIntosh has been powering some of the most important moments in music history and pop culture. From President Lyndon Johnson’s inauguration speech to Woodstock to the famous Grateful Dead “Wall of Sound,” McIntosh has not only witnessed history, it has shaped it. With McIntosh, customers have the ability to create their own premium audio experience – and truly live their music.","Audio and Video Equipment Manufacturing","51-200 employees","Privately Held","Binghamton, NY","United States","mcintoshlabs.com","https://www.linkedin.com/company/mcintosh-labs"
,"Sonus faber","Sonus faber è un'azienda italiana che produce diffusori acustici Hi-Fi e Hi-End.

Sonus Faber has a policy of constant research inspired by the past; it draws on the ancient art of lute-making in the design of the acoustic cabinets and uses modern technology for the transducers.","Audio and Video Equipment Manufacturing","51-200 employees","Privately Held","Arcugnano (VI), Italy","Italy","sonusfaber.com","https://www.linkedin.com/company/sonus-faber"
,"Monitor Audio Group","Monitor Audio Group is an independent, engineering-led British audio company, designing and manufacturing a range of products with a single purpose: to give customers an enhanced listening experience, at every price point. The company has assembled a world-class team of audio engineers, product designers and manufacturing specialists with a wide range of skills, knowledge, experience and backgrounds, who work across the Group’s Monitor Audio, Roksan and Blok brands.","Audio and Video Equipment Manufacturing","51-200 employees","Privately Held","Rayleigh, Essex","United Kingdom","monitoraudio.com","https://www.linkedin.com/company/monitor-audio-group"
,"Tymphany","Tymphany is a renowned audio design and manufacturing powerhouse that specializes in consumer audio, professional audio, conference systems, automotive audio, and component business. The company's unique holistic X-IN-1 technology pool, which includes transducers, amplifiers, DSP/software, acoustic system design, and mechanical solutions, enables them to design and manufacture high-quality audio products that improve user experience and provide the best sound per dollar.

With state-of-the-art R&D and manufacturing facilities in Europe, the USA, and Asia, the company boasts a dedicated team of over 5,000 highly skilled employees and 700 engineers who continuously push the boundaries of technology to remain at the forefront of the industry.","Audio and Video Equipment Manufacturing","1,001-5,000 employees","Privately Held","Nangang District, Taipei City","Taiwan","tymphany.com","https://www.linkedin.com/company/tymphany"
,"Peerless-AV EMEA","Peerless-AV, a Peerless Industries, Inc. company, has over 80 years’ experience as a leading designer and manufacturer of audio visual solutions. 

In May 2009, Peerless-AV opened it European HQ following the merger of BBG Distribution with Peerless Industries. Its warehouse in Watford, UK, was recently expanded to 20,000 sq.ft.  A new warehouse facility also opened in Dubai in 2015 in response to rising demand for Peerless-AV’s mounts and solutions from the Middle East, Africa and CIS.

Peerless-AV is responsible for multiple industry firsts and is fast becoming a true solutions provider. There are over 3,600 products in the company's portfolio, including flat panel mounts, projector mounts, digital signage and video wall solutions, environmental enclosures, trolleys and stands, indoor/outdoor kiosks, fully-sealed outdoor displays and a full assortment of accessories. 

Peerless-AV is focused building quality relationships with distributors, resellers, installers, integrators and OEMs, creating reliable mounting solutions that save time and money by being quick and simple to install. By adopting a consultative approach involving personalised, quality time with clients, Peerless-AV is trusted worldwide and stands out from the rest.

For more information, visit our website: http://www.peerless-av.com","Audio and Video Equipment Manufacturing","11-50 employees","Public Company","St Albans, England","United Kingdom","peerless-av.com","https://www.linkedin.com/company/peerless-av-emea"
