"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Artemyn","Artemyn is a new global company, it benefits from decades of expertise in the processing and application of minerals to help its customers develop innovative and sustainable solutions.  

With approximately 1000 employees, in 22 industrial facilities, 2 R&D centers and a large logistic global network, Artemyn has a strong presence in Americas, Europe and Asia, and is a leader in mineral solutions to the Paper & Board industry, supplying kaolin, ground calcium carbonate (“GCC”), precipitated calcium carbonate (“PCC”), and talc. 

Get to know more: www.artemyn.com","Nonmetallic Mineral Mining","1,001-5,000 employees","Privately Held","são paulo",,"artemyn.com","https://www.linkedin.com/company/artemyn"
,"SONAMINES SA CAMEROON","société à Capital Public, la SONAMINES est chargée de développer le secteur minier et gérer les intérêts de l'Etat du Cameroun. la SONAMINES a l'exclusivité de la commercialisation de l'or et du diamant sur le territoire Camerounais. Vous souhaitez investir dans la Mine au Cameroun, la SONAMINES est votre partenaire privilégié. Nous vous offrons des services d'accompagnement dans toutes les procédures.","Nonmetallic Mineral Mining","51-200 employees","Government Agency","Yaoundé, Centre","Cameroon","sonamines.cm","https://www.linkedin.com/company/sonamines"
,"Pattison Company, LLC","Pattison Company, LLC is a Mining company located at 23656 Great River Rd., Garnavillo, IA, 52049, United States.","Nonmetallic Mineral Mining","51-200 employees","Self Owned","Garnavillo, Iowa","United States","pattisoncompany.com","https://www.linkedin.com/company/pattison-sand-company-llc"
,"EDEM Agrominerais","A EDEM Agrominerais desenvolve projetos que oferecem à agropecuária e a agricultura alternativas sustentáveis de fertilizantes naturais ou remineralizadores de solo. A atividade minerária realizada de forma  responsável pela empresa nos estados de Goiás e Mato Grosso do Sul, com o desenvolvimento de novas jazidas de fosfato natural reativo e fertilizante potássico, contribui com o aumento sustentável da produtividade no campo ao mesmo tempo que minimiza o uso de fertilizantes e defensivos químicos nas lavouras.","Nonmetallic Mineral Mining","51-200 employees","Partnership","Goiânia, Goiás","Brazil","edemagrominerais.com.br","https://www.linkedin.com/company/edem-agrominerais"
,"Kode Contracting Ltd","Vision:  Kode Group of Companies vision is to be a leader in Canada's construction materials sector, focusing on sustainable aggregates, with a commitment to building a solid foundation for employee growth and fostering Local community and First Nation ties.

Purpose: Responsibly Source. Process. Deliver the quality rock products that are needed for Canadas major projects, communities and everyday life.","Nonmetallic Mineral Mining","51-200 employees","Privately Held","Prince George, British Columbia","Canada","kode.ca","https://www.linkedin.com/company/kodecontractingltd"
,"Rio Clays","Rio Clays is the most customer centric material solutions manufacturer. Our company sources, refines and produces no metallic industrial minerals - particularly kaolin, ball clay & feldspars.

We serve diverse industries from ceramics, paints, coatings, ink & paper to fiberglass applications.

We focus a lot on new product developments and process enhancements to enable our customers to increase their own refinement capabilities.

We value our customers, vendors, staff and other stake holders to be at the core of our business. We also look at how we can generate maximum resource output with minimum environmental impact.

Our goal is to be the biggest non metallic mineral manufacturer in India with innovation & environment at our core.","Nonmetallic Mineral Mining","51-200 employees","Privately Held","Bhuj, Kutch, Gujarat","India","rioclays.com","https://www.linkedin.com/company/rioclays"
,"AMMICO - Arzesh Afarin Mining & Mineral Industries Co.","Arzesh Afarin Mining & Mineral Industries Co.

Ammico, having two industrial complexes located in the east and center of the country and a series of mines, offers its products including fluorite, steel balls, micronized powder (bentonite, kaolin and barite), bentonite lumps, industrial clothing, as well as retreading tires of heavy mining machinery. 

This company aims to gain a prestigious and reputable position among, mineral and mining industries as a leading company based on its specialized and value-creating structure and be a reliable partner for stakeholders (customers, shareholders and employees).","Nonmetallic Mineral Mining","201-500 employees","Partnership","Tehran","Iran","arzeshafarinco.com","https://www.linkedin.com/company/arzeshafarinco"
,"Cantera Piatti S.A.","Somos una empresa familiar centenaria dedicada a la explotación de yacimientos propios de granito y ubicados en el paraje Cerro Sotuyo, sierras Bayas, partido de Olavarría. 

Actualmente, contamos con una importante capacidad instalada que nos coloca entre las canteras más grandes del país. Realizamos continuamente mejoras de los procesos con inversiones en tecnología de punta y con programas de capacitación en temas éticos, técnicos, de seguridad y prevención de riesgos. 

Además, buscamos gestionar la empresa en armonía con la comunidad y el medioambiente, haciéndola cada día más competitiva y sostenible.","Nonmetallic Mineral Mining","51-200 employees","Privately Held","Olavarría, Buenos Aires","Argentina","canterapiatti.com.ar","https://www.linkedin.com/company/canteras-piatti"
,"Ingeocc SAS","Ninguna","Nonmetallic Mineral Mining","51-200 employees","Partnership","Yumbo, Valle del Cauca","Colombia",,"https://www.linkedin.com/company/ingeocc-s.a."
,"Magris Talc","Magris Talc is the leading fully integrated North American Talc producer with a 100+ year operating history. Our products are used globally by leading, blue-chip organizations, to enhance performance in a variety of industrial applications in key markets including polymers, paints & coatings, pharmaceutical, building products and more.

Leading Supplier of Critical Inputs:
We are the leading supplier of talc products in North America. Our products increase performance, reduce weight, control emissions and displace harmful chemicals in a variety of industries including automotive, building products, agriculture, pharmaceutical and more. 

Continuous Innovation:
We understand the complex demands of customers. Our research & development experts help develop solutions by designing new products, technologies & processes. 

Health, Safety & Environmental:
Safety is our most important value, and we believe that everyone should go home safe & healthy everyday. At Magris Talc, we utilize best in class safety management programs which help us to target continuous improvement in our safety performance & culture.

Approach to Sustainability:
We define the performance of our organization based on a strong health & safety leadership & culture, and on industry-best environmental practices. We also prioritize building and maintaining relationships with the communities that are critical to sustain our mission. We operate responsibly, respecting our employees, communities, and the environment. Across our operations, we ensure that we enhance everyday lives, and communities at large, to create a lower carbon world.  We continuously invest in technologies that reduce our overall footprint, and in communities that help sustain our mission.

Community:

Magris’s core values are rooted in the relationships we strive to build with our communities. We define these communities to include our employees, contractors, suppliers, local communities, & others who may be impacted by our activities","Nonmetallic Mineral Mining","201-500 employees","Privately Held","Denver, Colorado","United States","magrispm.com","https://www.linkedin.com/company/magris-talc"
,"Rizqu Konsultan","We are a Mining and Environtmental Consultant, specializing in non-metallic minerals and rocks mining. Our team has extensive experience supporting clients through all project stages; from exploration and resource evaluation, through to mine feasibility and operational support, and finally mine closure and rehabilitation.

We provide solutions for your business, such as exploration activities, geological mapping, core drilling, mine geotechnical, mine management, hydrogeology study, waste management, UKL UPL and AMDAL.","Nonmetallic Mineral Mining","11-50 employees","Privately Held","Surabaya, Jawa Timur","Indonesia","rizqukonsultan.com","https://www.linkedin.com/company/rizqukonsultan"
