"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Construtora Fonseca & Mercadante (CFM)","Com 31 anos de história, a Construtora Fonseca & Mercadante é uma referência nacional em engenharia e construção civil no setor privado, reconhecida pela entrega de obras com alto desempenho técnico, excelência em gestão e compromisso com resultados.

Desde sua fundação em 1994, a empresa já construiu mais de 3 milhões de metros quadrados, atuando nos mais diversos segmentos: Shopping Centers, Data Centers, Indústria, Logística, Saúde, Edifícios Corporativos e Comerciais. A solidez de sua trajetória é sustentada por uma cultura organizacional ética, humana e transparente — valores que orientam as relações com clientes, parceiros e colaboradores.

Mais do que construir grandes empreendimentos, a CFM se dedica a construir relações de confiança, oferecendo soluções personalizadas, com alto nível de governança, inovação e respeito aos prazos e orçamentos. A atuação da empresa é pautada por rigor técnico, qualidade na execução, segurança nas operações e foco constante no resultado final para o cliente, da Pré-Construção à execução de obras.



Focada em clientes das áreas corporativa, indústria/logística, comércio/saúde e shopping centers, a empresa possui extensa experiência na gestão e execução de obras com projetos arquitetônicos ousados e demandas específicas. 

Sua experiência se traduz em eficiência nas várias etapas da construção, da elaboração de projetos e gerenciamento de custos à execução, aprovação e entrega da obra. 

A Fonseca & Mercadante, reafirma sua posição no mercado e aponta, nos próximos anos, para um crescimento estratégico que continua priorizando justamente o seu maior diferencial: a dedicação e a atenção personalizada a cada obra e a cada cliente.","Nonresidential Building Construction","51-200 employees","Privately Held","São Paulo , SP","Brazil","fonsecamercadante.com.br","https://www.linkedin.com/company/construtorafonsecaemercadante"
,"VELUX Commercial","VELUX Commercial is a division in the VELUX Group, offering daylight and ventilation solutions for industrial, commercial, and public buildings. 
We offer to support building professionals throughout the entire process from specification to delivery and maintenance of daylight and ventilation solutions. 

Our product program ranges from high-end bespoke glazing solutions for prestigious architectural buildings to domes and continuous roof lights for industrial and agricultural buildings and warehouses. 

VELUX Commercial has 1,100 employees working in Sales, Production and support functions in 14 countries.","Nonresidential Building Construction","1,001-5,000 employees","Public Company","Hüllhorst, North Rhine-Westphalia","Germany","velux.com","https://www.linkedin.com/company/velux-commercial"
,"CTS Group","Leading design and build contractor for data center solutions in Europe and the largest in the Nordics.

CTS Group is a business with traditional values, diligence and integrity being paramount. Our genuine aim is to provide Total Client Satisfaction by consistently delivering quality design and build solutions whilst maintaining motivated, happy and dedicated work force. 

CTS Group focuses on sustainability and delivery of first class projects in an environmentally friendly way. A commitment to innovation and excellence helps CTS Group remain at the forefront of technology, giving us the ability to provide our clients with the best service on the market today.

«With passion for the business!»","Nonresidential Building Construction","1,001-5,000 employees","Privately Held","Eysins, Nyon","Switzerland","cts-group.com","https://www.linkedin.com/company/ctsgroup-holding"
,"Hutton","We're more than builders, we're a team of experts – planners, architects, builders and maintenance all in one house. We serve as a single resource at any point in a client’s facilities journey. However a company may be changing, whether that be new strategic processes, a new building, maintenance for an existing building, or a switch to alternative energy, we're the pros who work it from start to finish and then some. We do it all.","Nonresidential Building Construction","201-500 employees","Privately Held","Wichita, Kansas","United States","huttonbuilds.com","https://www.linkedin.com/company/huttoncorporation"
,"Schoenfelder Renovations, Inc.","Schoenfelder Renovations provides interior and exterior remodeling and general contracting services for commercial properties across the United States. Our team specializes in renovations for hotels & resorts, senior living communities, multi-housing complexes, retail buildings, restaurants, and other commercial facilities.

Founded in 1991, our core values remain the same: quality craftsmanship and “renovations done right.” Schoenfelder Renovations is the answer if you need premier nationwide renovation or contracting services. Contact us or request a bid online!","Nonresidential Building Construction","51-200 employees","Privately Held","Minneapolis, Minnesota","United States","schoenfelder.com","https://www.linkedin.com/company/schoenfelder-renovations-inc-"
,"Aroma International Buiding Contracting LLC",,"Nonresidential Building Construction","1,001-5,000 employees","Privately Held","Dubai, Dubai","United Arab Emirates","aromacontracting.com","https://www.linkedin.com/company/aroma-international-buiding-contracting-llc"
,"SwiftWall","SwiftWall is a nationwide leader in innovative temporary wall solutions for events, offices, and construction projects across the U.S. With distributors and dealers nationwide, we provide sales, rentals, and installations of modular wall systems that empower you to Create, Transform, and Divide Any Space with unmatched simplicity and quality.

Our Product Lineup:
•	SwiftWall Pro: Heavy-duty barriers for tough construction and industrial applications.
•	SwiftWall Max: Non-combustible and secure, meeting high safety standards.
•	SwiftWall Flex: Flexible and reconfigurable for evolving workspaces and healthcare.
•	SwiftWall Lite: Lightweight, cost-effective, and quick to install in commercial spaces.
•	SwiftWall Click: Tool-free assembly for rapid setup and easy reconfiguration.

Our patented modular systems simplify and accelerate installation, delivering professional-grade results without the need for skilled labor. Designed to meet the highest standards of safety and performance, SwiftWall products are reusable, reconfigurable, and durable, ideal for construction sites, dynamic workspaces, healthcare facilities, and more. They meet ASTM E-84 Class A/C and ICRA Class IV/V standards, with noise reduction capabilities of up to 50%, making them perfect for creating quiet environments in busy areas.

Key Benefits:
•	Fast & Simple Installation: Panels click together seamlessly in minutes.
•	No Skilled Labor Needed: Anyone can assemble, disassemble, or reconfigure.
•	Reusable & Reconfigurable: Adaptable to changing project needs, saving time and resources.
•	Professional Quality: Engineered for strength, stability, and reliability.
•	Lightweight & Durable: Built for robust performance in various applications.

At SwiftWall, we believe there’s a better way to install walls—one that’s sustainable, efficient, and adaptable. From multi-phase projects to large event spaces and industrial applications, SwiftWall makes transforming your space easy and impactful.","Nonresidential Building Construction","11-50 employees","Privately Held","Midland, Michigan","United States","swiftwall.com","https://www.linkedin.com/company/swiftwall"
,"Heritage Service Group","Heritage Service Group provides expert repair, installation and maintenance of commercial foodservice equipment in and around Pompano Beach, Florida and New Orleans, Louisiana. Available 24/7 for all your commercial foodservice equipment needs, you can trust our manufacturer-authorized technicians for repairs done right the first time. Self-performing and with a parts counter, we're your hometown foodservice equipment service company. Reach out to us today and get back to cooking faster.","Nonresidential Building Construction","11-50 employees","Privately Held","Pompano Beach, Florida","United States","heritageservicegroup.com","https://www.linkedin.com/company/heritageservicegroup"
,"M. Davis & Sons, Inc.","*National Safety Excellence Award Winner 2024 *
M. Davis and Sons, Inc. is a fifth-generation industrial construction company that builds, installs, and maintains corporate plants and facilities for Fortune 500 companies and government entities.  Our turnkey construction expertise in Mechanical, Electrical, Fabrication, and Engineering is honed with technical know-how to create a more efficient process for our customer. 
Our Services: Mechanical, Electrical, Fabrication, and Engineering are our four pillar services. These include the following: ASME Code Repairs & pressure vessel fabrication, Boiler Repairs, Automation & Instrumentation, Sheet Metal & Ductwork, Plumbing and Pipefitting. 
Our Products: Power Distribution Equipment (VTi by M. Davis), Control Panels, Piping and Modular Skids.
We bring innovative solutions together as a skilled team, with a focus on safety and quality workmanship. From small factory retrofits to new plant system installations, M. Davis offers highly skilled tradespeople, state-of-the-art equipment and industry know-how to handle projects big or small. www.mdavisinc.com","Nonresidential Building Construction","201-500 employees","Privately Held","Newark, Delaware","United States","mdavisinc.com","https://www.linkedin.com/company/m-davis-&-sons"
,"Housing & Building National Research Center ( HBRC )",,"Nonresidential Building Construction","10,001+ employees","Public Company",,,,"https://www.linkedin.com/company/hbrcenter"
