"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Baykar Technologies","Türkiye'nin ilk milli S/İHA'larını geliştiren Baykar'ın resmi Linkedin hesabı | Official Baykar Linkedin, Türkiye's first tech company to develop indigenous UAVs","Defense & Space","1,001-5,000 employees","Privately Held","Istanbul, N/A","Turkey",,"https://www.linkedin.com/company/baykar"
,"NASA Goddard Space Flight Center","NASA's Goddard Space Flight Center is a major U.S. laboratory for developing and operating unmanned scientific spacecraft. The center manages many of NASA's Earth observation, astronomy, planetary science and astrophysics missions.

NASA's Goddard Space Flight Center in Greenbelt, Maryland, is home to the nation's largest organization of scientists, engineers and technologists who build spacecraft, instruments and new technology to study Earth, the sun, our solar system and the universe.

Just outside Washington, Goddard is home to Hubble operations and the upcoming James Webb Space Telescope. Goddard manages communications between mission control and orbiting astronauts aboard the International Space Station. Goddard scientists stare into the sun, grind up meteorites for signs of life's building blocks, look into the farthest reaches of space, and untangle the mysteries of our own changing world. Goddard engineers construct sensitive instruments, build telescopes that peer into the cosmos, and operate the test chambers that ensure those satellites' survival.

Named for American rocketry pioneer Dr. Robert H. Goddard, the center was established May 1, 1959, as NASA's first space flight complex. Goddard and its several installations are critical in carrying out NASA's missions of space exploration and scientific discovery.

Goddard encompasses several other NASA properties, most significantly:

• Wallops Flight Facility near Chincoteague, Virginia
• Katherine Johnson Independent Verification and Validation Facility in Fairmont, West Virginia
• Goddard Institute for Space Studies in New York City
• White Sands Complex outside Las Cruces, New Mexico
• Columbia Scientific Balloon Facility in Palestine, Texas","Defense & Space","5,001-10,000 employees","Government Agency","Greenbelt, MD","United States","nasa.gov","https://www.linkedin.com/company/nasa-goddard-space-flight-center"
,"NAVSEA Warfare Centers (NSWC/NUWC)","The Naval Surface and Undersea Warfare Centers (NSWC / NUWC) - part of the Naval Sea Systems Command - are the Navy's Innovation Engine.  We are also the Navy's Trusted Technical Experts. We identify and provide innovative, cost-effective technical solutions to America's warfighters. 

Our 27,000 + scientists, engineers, researchers, and technicians work in 10, innovative and diverse Divisions around the country, tackling the Navy's relevant surface and undersea needs and delivering results.  If it's on a surface combatant or submarine, chances are the Warfare Centers have touched that system in some form or fashion.  

We are experts in things like autonomy, lasers, additive manufacturing, energetics, mechanical and systems engineering, measurement science, sensors, explosive ordnance, littoral warfare, ship design and testing, and so much more.  Together we provide full-spectrum research, development, test & evaluation, engineering and fleet support for offensive and defensive systems associated with surface and undersea warfare. 
The advice and solutions our people develop and deploy across the entire life cycle of ship and submarine systems are not just ideas, they are technologies and solutions that fill capability gaps to reach our warfighting Sailors more quickly. 
 
Come join our forwarding-thinking WC teams who innovate as they go, quickly expanding the Navy's advantage by delivering real results. Come partner with the Navy Research & Development Establishment, Industry, Academia, and other government agencies in dynamic, collaborative professional exchanges. Whether it's in our world-class laboratories, one-of-a-kind facilities, or at sea aboard a surface combatant or submarine belonging to the world's most powerful navy, we need America's best and brightest to work with us. Come help deliver the decisive capabilities to keep America strong. Come deliver Science, Solutions, and Seapower to ships & Sailors.

#WarfightingExcellence
#ExecuteAndInnovate","Defense & Space","10,001+ employees","Government Agency","Washington Navy Yard, DC","United States","navy.mil","https://www.linkedin.com/company/navsea-warfare-centers-nswc-nuwc"
,"BİTES - Defence & Aerospace Technologies","Established in Istanbul in 2005, BİTES Defense & Aerospace Technologies is a national high-tech Defense Industry and Information Technologies company, currently continuing its activities in Ankara. In 2019, ASELSAN became a shareholder with 51% of the equity. With a strong and dynamic team consisting of nearly 500 people, BİTES keeps developing new technologies and solutions for various industries. 
The company’s primary focus is on next-generation technologies, such as Extended Reality and Image Processing, Artificial Intelligence, Modeling and Simulation Technologies, Avionic System Software, Safety-Critical Embedded Software and Cloud Technologies. 
BİTES ranked among “Fastest Growing Technology Companies of Turkey” and was granted “The Deloitte Fast 50 Award” for 3 consecutive years. In 2020, the company became one of the top 10 companies that makes the most R&D expenditure in Turkey in the Software and Information Technologies sector and ranked among the top 50 companies in all sectors. In 2023, BİTES became a subsidiary of ASELSAN by the acquisition of the remaining shares. 
For 20 years, our company has been offering high-quality solutions and services that create added value for its customers and business partners. Using the latest technology, our aim is to provide a competitive advantage to our partners and clients. 
Developing software-intensive systems and technologies with its highly qualified team, BİTES keeps working with determination and passion to create added value for our country, and aiming to offer its innovative products and solutions on a global scale.","Defense & Space","501-1,000 employees","Privately Held","Çankaya, Ankara","Turkey","bites.com.tr","https://www.linkedin.com/company/bitessavunma"
,"Savunma Sanayii Akademi","Savunma Sanayii Akademi, ülkemizin savunma sanayii ekosisteminin ihtiyaç duyduğu yetkin insan kaynağını yetiştirmeye katkı sağlamak amacıyla, 2017 yılında T.C. Cumhurbaşkanlığı Savunma Sanayii Başkanlığı bünyesinde kurulmuştur. Savunma Sanayii Akademi, savunma sanayii alanında yetişmiş nitelikli insan gücünün artırılmasına yönelik eğitim ve teknoloji programlarını geliştirmekte ve uygulamaktadır.


The Defense Industry Academy was established in 2017 within the Presidency of Defense Industries of the Republic of Turkey to contribute to the development of a qualified workforce needed by our country’s defense industry ecosystem. The Defense Industry Academy develops and implements training and technology programs aimed at increasing the number of qualified professionals in the defense industry.","Defense & Space","11-50 employees","Educational","Çankaya, Ankara","Turkey","ssa.gov.tr","https://www.linkedin.com/company/savunmasanayiiakademi"
,"HENSOLDT South Africa","HENSOLDT South Africa brings together a comprehensive range of products, systems and services across defence and civil markets, from electronic warfare and optronics, to spectrum monitoring and security solutions.

On land, at sea or in the air, our world-class solutions detect and protect to make the world a safer place.","Defense & Space","501-1,000 employees","Privately Held","Pretoria, Gauteng","South Africa","hensoldt.co.za","https://www.linkedin.com/company/hensoldt-south-africa"
,"Avibras","A Avibras é uma empresa brasileira de tecnologia e inovação com capacidade industrial única e reconhecida mundialmente pela excelência e qualidade de seus produtos, sistemas e soluções de engenharia nas áreas de Aeronáutica, Espaço, Eletrônica, Veículos e Defesa. 

Com mais de 60 anos de atuação e certificada como Empresa Estratégica de Defesa (EED), a Avibras consolidou sua posição como uma das empresas líderes mundiais no segmento de Defesa e Aeroespacial com o desenvolvimento e a fabricação de veículos especiais para fins militares, tornando-se uma referência em Sistema Lançador Múltiplo de Foguetes (MRLS), foguetes balísticos e guiados, mísseis e pioneira participação nos programas de pesquisa espacial.

Conhecida como uma empresa que tem “Competência para construir Competências”, a Avibras é uma System House, oferecendo soluções tecnológicas em atendimento a qualquer necessidade dos clientes, evidenciando a real diversificação e oportunidades de spin-off em Defesa, Espaço e Integração de Sistemas Complexos. 
Sediada em São José dos Campos, no Vale do Paraíba, a empresa é pioneira em tecnologia própria, inovadora e independente, e opera em amplas instalações em Jacareí e Lorena. Sua força de trabalho é composta por engenheiros, pesquisadores e técnicos altamente qualificados e capazes de prover soluções para os mais variados segmentos. 

Acesse o site da Avibras www.avibras.com.br e conheça as oportunidades de uma empresa, que reconhece talentos!","Defense & Space","1,001-5,000 employees","Privately Held","Jacareí, São Paulo","Brazil","avibras.com.br","https://www.linkedin.com/company/avibras-industria-aeroespacial-s.a"
,"Tonbo Imaging","Tonbo Imaging designs, builds and deploys advanced imaging and sensor systems to sense, understand and control complex environments. Tonbo Imaging offers a suite of solutions that address critical market needs in military reconnaissance, infrastructure security and transportation safety. The company’s offerings consist of sophisticated imaging products and intellectual property cores that can be licensed by OEMs and systems integrators.

The ability to see better and farther with the right contextual perspective for complete situational awareness is invaluable. Be it a soldier on the battlefield, an unmanned drone doing a reconnaissance mission in bad weather, a security guard looking through darkness and mist or a automotive driver navigating fog, all need the ability to sense the environment better, understand it in real-time and take control.

Tonbo Imaging leverages innovative designs in micro-optics, lower power electronics and real-time vision processing to design imaging systems for real world applications. Traditional systems across different imaging spectrums have relied on a single aperture principle with the burden of image formation placed excessively on the optics. Tonbo’s technology balances front end analog processing with sophisticated digital image processing to support the realization of light weight, low power imaging platforms across visible, mid wave IR and long wave IR spectrums.

TONBO is uniquely positioned in emerging markets. Tonbo offers state of the art electro optics technology without ITAR/Government restrictions. With vertically integrated design expertise in optics, electronics and computer vision and a large portfolio of intellectual property in imaging technologies, Tonbo is able to provide the best combination of technology and products at the best commercially competitive price","Defense & Space","201-500 employees","Privately Held","Bangalore, Karnataka","India","tonboimaging.com","https://www.linkedin.com/company/tonbo-imaging"
,"Civils de la Défense","Rejoindre le ministère des Armées, c’est s’inscrire dans un projet professionnel clair, motivant et évolutif. C’est être acteur de son avenir professionnel.
De la cyberdéfense à la mécanique, des ressources humaines à la politique mémorielle, de la santé à l’environnement, avec ou sans diplômes et à tout niveau de responsabilités, le ministère des Armées propose 5 000 postes chaque année.
260 000 personnes - dont 63 200 agents civils - travaillent au côté des militaires dans les filières suivantes : technique, administrative, sociale, paramédicale.","Defense & Space","10,001+ employees","Government Agency","Paris, Île-de-France","France","defense.gouv.fr","https://www.linkedin.com/company/civils-de-la-défense"
,"Nurol Teknoloji","Nurol Teknoloji, part of the Nurol Holding Group, was founded in 2008 to produce advanced ballistic ceramics. From the beginning, we have focused on research and development, achieving significant advancements, including developing high-temperature sinter furnaces for our production needs. Over the years, we have expanded from advanced technical ceramics to comprehensive ballistic solutions.

Our product range includes Alumina, Silicon Carbide, Boron Carbide ceramics, and Tungsten Carbide ceramics for civilian use. Based in Ankara, we operate two production facilities that manufacture high-tech ballistic ceramics and hybrid ballistic protective armor for friendly and allied countries worldwide, especially the Turkish Security Forces.

In 2023, we expanded our capabilities with the acquisition of Industrie Kreamike Hocherhein (IKH) in Germany, a leader in manufacturing advanced ceramic powder. Additionally, NT Armor and NT Cera, our U.S. branch, enhances our global presence and strengthens our commitment to delivering superior protection solutions.

As Türkiye's only advanced technical ceramic producer, we have positioned the country among the few globally capable of producing Boron Carbide ceramics with our unique processes. Our capabilities include a state-of-the-art machine park, skilled workforce, robust quality infrastructure, accredited ballistic labs, and a strong R&D vision. Our bespoke ballistic solutions for personnel, vehicle, and structural protection are trusted by security forces both domestically and internationally.

Committed to the responsibility of safeguarding lives, we strive daily to improve, providing our security forces with the most innovative, effective, lightweight, and reliable solutions against evolving threats.","Defense & Space","201-500 employees","Privately Held","Ankara, Gölbaşı","Turkey","nurolteknoloji.com","https://www.linkedin.com/company/nurolteknoloji"
