"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Black Women Empowered Incorporated","Helping women have spiritual and professional balance. networking opportunities, teaching Christianity, self love, prayer, love for others, giving back, being UN-selfish and most importantly, keeping God first!

https://m.facebook.com/blackwomenempoweredinc/

https://www.instagram.com/accounts/login/?next=/dr.jacqueline_king/

https://mobile.twitter.com/BlkWmEmpInc?

https://www.pinterest.com/bwempowered/

https://www.tiktok.com/@blackwomenempowered","Religious Institutions","2-10 employees","Self Owned","Fort Wayne, Indiana","United States","blackwomenempowereddirectory.com","https://www.linkedin.com/company/blackwomenempoweredinc"
,"The Church of Jesus Christ of Latter-day Saints","""This work is so liberating: to be employed in an organization wherein we have the ultimate freedom to use true principles of the restored gospel of Jesus Christ in our work each day. Having access to all truth and applying it in our daily performance is the most liberating thing I know. This truly is the work of the kingdom of God.""
 —Elder David A. Bednar of the Quorum of the Twelve Apostles

Church employees find joy and satisfaction in using their unique talents and abilities to further the Lord’s work. From the IT professional who develops an app that sends the gospel message worldwide -- to the facilities manager who maintains our buildings, giving Church members places to worship, teach, learn, and receive sacred ordinances, our employees seek innovative ways to share the gospel of Jesus Christ with the world. They are literally working in the Kingdom.

Find your next job within Church employment here: http://careersearch.churchofjesuschrist.org","Religious Institutions","10,001+ employees","Non Profit","Salt Lake City, UT","United States","churchofjesuschrist.org","https://www.linkedin.com/company/the-church-of-jesus-christ-of-latter-day-saints--"
,"Cristo Interior","Ser divulgador da palavra de Deus, dos ensinamentos de Jesus Cristo, uma abordagem a despertar os seres humanos que se fecharam em si mesmos e esqueceram o propósito de estarem aqui. Proporcionar o sentir, sentir-se amado, acolhido, amparado pelo Cristo que existe dentro de cada um de nós. Incentivar o ser humano a expandir cada vez mais o Amor e a Luz para dentro do seu ser e então expandir o Amor e a Luz para aqueles ao seu redor.","Religious Institutions","2-10 employees","Non Profit","Ribeirão Preto, SP","Brazil","cristointerior.com.br","https://www.linkedin.com/company/cristointerior"
,"YouVersion","We wholeheartedly believe intimacy with God has the power to transform lives.  

That’s why YouVersion creates culturally relevant, biblically-centered experiences that encourage and challenge people to seek God throughout each day. Through these experiences, we create opportunities for people to connect with God, helping them form a spiritually-rich rhythm of seeking God intimately.  

Our hope is that each person in our community is on an active journey to become who God made them to be, abiding in Him, and drawing closer to Him every day.  

YouVersion is a ministry of Life.Church. Named one of the largest, fastest growing and most innovative churches in America, Life.Church is one church in multiple locations, and we are passionate about using technology to reach the world with the hope of Jesus. This passion led us to start YouVersion in 2007 with a simple vision, which God has grown to a community of over 550 million (and counting!). Life.Church wants to make a lasting difference in our communities and the world, seeking to lead people to become fully devoted followers of Christ. We are risk-taking, irrationally generous, spiritual contributors who bring our best, laugh hard, and honor God with integrity.  

In 2019, Glassdoor named Life.Church a Best Place to Work and named our senior pastor, Craig Groeschel, one of the Top CEOs.","Religious Institutions","51-200 employees","Non Profit","Edmond, Oklahoma","United States","youversion.com","https://www.linkedin.com/company/youversion"
,"C-Suite for Christ","C-Suite for Christ is an international fellowship for Christian business executives. There are many ways to join our movement. Help us in our mission of being open about our faith and covering the world in Christ.

Get Involved:
1. Attend a monthly gathering.
Join us the third Wednesday of each month via livestream or at Grace Lutheran Church in Menomonee Falls, WI. Connect with other Christian business leaders.
2. Become a member.
If you are a follower of Jesus Christ and have a significant level of responsibility in your organization, become a member of C-Suite For Christ. Attend our monthly meetings and learn from other members through robust discussions around shared issues of similar complexity and significance.
3. Start a chapter in your city.
Our C-Suite for Christ family is growing. Do you feel a call to help cover the world in Christ? We’re nurturing the beginnings of several new chapters of C-Suite for Christ across the U.S. God is indeed on the move! Plant a chapter near you. Licenses are exclusive to your city. Spots are filling up fast, reserve your area today.
4. Create a corporate partnership.
Invest in your faith and get in front of Christian executives through our partnership opportunities.  

For information regarding who we are, our meetings, and membership benefits, please visit our website. If you’re interested in starting a chapter in your city or creating a corporate sponsorship, contact Founder Paul M. Neuberger at 414-313-8338 or pneuberger@csuiteforchrist.com.","Religious Institutions","11-50 employees","Self Owned","Milwaukee, WI","United States","csuiteforchrist.com","https://www.linkedin.com/company/c-suite-for-christ"
,"الدَّالَّ عَلَى الْخَيْرِ كَفَاعِلِهِ","أَلَمْ تَرَ كَيْفَ ضَرَبَ ٱللَّهُ مَثَلًا كَلِمَةً طَيِّبَةً كَشَجَرَةٍۢ طَيِّبَةٍ أَصْلُهَا ثَابِتٌ وَفَرْعُهَا فِى ٱلسَّمَآءِ","Religious Institutions","2-10 employees","Educational","Rabat","Morocco",,"https://www.linkedin.com/company/thepathtoallah"
,"منبر الدعوة إلى الله","A special page of invitation to Allah through the dissemination of Allah's book (Quran) and the sunnah of the Prophet Muhammad peace be upon him.","Religious Institutions","10,001+ employees","Non Profit","Algiers, Algeria","Algeria",,"https://www.linkedin.com/company/forum-of-invitation-to-allah"
,"Reflect on God's Word","Encouraging people worldwide to believe in God, trust in His plan, and follow His teachings, inspiring them to stay patient and hopeful.","Religious Institutions","2-10 employees","Non Profit","nairobi","Kenya","buymeacoffee.com","https://www.linkedin.com/company/reflectongodsword"
,"The Gospel Coalition","The Gospel Coalition exists to renew and unify the contemporary church in the ancient gospel by declaring, defending, and applying the good news of Jesus to all of life.  

One of the ways we do this is by publishing free resources designed to practically help Christians and church leaders apply the gospel and biblical wisdom to the litany of complex topics, questions, and challenges in contemporary life and ministry. 

Our resources range from articles, a theological journal, conference messages and breakout sessions to topical panel discussions, debates, podcast conversations, and more.  Our archive spans two decades and includes rich content from Tim Keller, Don Carson, John Piper, David Platt, and dozens of other Christian leaders.  Follow now to receive updates on all of our latest content, designed to encourage and equip you for wise Christian living and effective ministry.

Read more about our organization and our Theological Vision for Ministry by going here: https://www.thegospelcoalition.org/about/foundation-documents/","Religious Institutions","11-50 employees","Non Profit","deerfield",,"thegospelcoalition.org","https://www.linkedin.com/company/the-gospel-coalition"
,"C.S. Lewis Institute","Founded in 1976 in the legacy of C.S. Lewis, the Institute endeavors to develop disciples who will articulate, defend, live, and share their faith in Christ in personal and public life.

Why the name C.S. Lewis Institute? The name was chosen because of Lewis' focus on core essentials of the faith that reach across denominational boundaries. He was also an outstanding example of a lay person who came to Christ and lived out his faith in a secular calling. As a major figure in 20th century Christianity, he has been able to communicate his faith in a profound way.

What Others Say About Us:
“The C.S. Lewis Institute is one of the nation’s premier catalysts of the Christian mind, offering the churches a rich diet of spiritual and intellectual nourishment. I am thrilled by its vision for the future.”
⏤ Alister McGrath, Director, Oxford Center for Evangelism and Apologetics

“I am thankful for the C.S. Lewis Institute…especially for their conferences and Fellows Program. Each of these create helpful environments for spiritual formation and transformation, and I recommend them to you.”
⏤ Richard J. Foster, founder of RENOVARE","Religious Institutions","11-50 employees","Non Profit","Springfield, VA","United States","cslewisinstitute.org","https://www.linkedin.com/company/c-s-lewis-institute"
