"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Zigsaw","Making Job-search and talent discovery simpler, faster and effective for Job-seekers. 

If you are looking for a Job, fill this google form: https://forms.gle/fWsXYfgAfEorQZgaA

If you are a client looking to hire staff, visit www.zigsaw.in/employer","Community Services","11-50 employees","Privately Held","udaipur, Rajasthan","India",,"https://www.linkedin.com/company/zigsaw-consultancy-services"
,"ForbesBLK","The mission of ForbesBLK is to champion a global community of Black entrepreneurs, professionals, leaders and creators that are driving systematic change in business, culture and society. Our community of exceptional leaders of color are breaking down barriers, creating more equitable economies, and driving a new culture of connection, collaborate and change. In order to support our community, ForbesBLK shares inspiring content and curates in-person and digitally based networking opportunities to foster professional development, entrepreneurship, and cultural change.","Community Services","1,001-5,000 employees","Partnership","Jersey City, New Jersey","United States","forbes.com","https://www.linkedin.com/company/forbesblk"
,"All India Employee Association","We are a non-profit organization supporting the Government of India by helping employees and job seekers combat recruitment fraud, unhealthy workplace culture, and employee injustice.

If you wish to contribute to the community, become our member here:
 https://aiea.co.in/member.html

However, if you are taking our membership only to seek help, please do not apply. We need genuine individuals who truly want to help and support others.

By becoming a member, you take an oath to stand by fellow members and contribute towards the betterment of society.

To register a complaint, visit:
 https://aiea.co.in/complaint.html

Before becoming a member or filing a complaint, please read the guidelines carefully. We are not here to support opportunistic individuals — our goal is to build a community of people who help, support, and empower each other for mutual growth.","Community Services","2-10 employees","Non Profit","Delhi","India","aiea.co.in","https://www.linkedin.com/company/all-india-employee-association"
,"Five Hour Club","Five Hour Careers is working with trailblazing employers to shape Five Hour Workdays - a new way of working for parents. 

And in return, they get to hire from an experienced untapped talent pool.

Our aim is to help parents maintain their career after children, increase diversity and reduce the gender pay gap.

Because, let's face it, working 9-5 doesn't work for parents!

Join the revolution: jobs@fivehourclub.com

Listen to the Five Hour Club Podcast where we share stories, from real parents about how they navigate life between school runs.
Apple: https://podcasts.apple.com/us/podcast/five-hour-club-podcast/id1749590900
Spotify: https://open.spotify.com/show/5bMsfwk8AuAKq20U6yDxzr","Community Services","2-10 employees","Self Employed","Folkestone, United Kingdom","United Kingdom","fivehourclub.com","https://www.linkedin.com/company/five-hour-club"
,"France Volontaires","France Volontaires est la plateforme française du volontariat international d’échange et de solidarité. Opérateur du ministère de l’Europe et des Affaires étrangères, elle réunit l’Etat, des collectivités territoriales et des associations autour d’une mission d’intérêt général : le développement et la promotion du volontariat international d’échange et de solidarité.

La plateforme s’appuie sur une présence en France (hexagone et territoires d’outre-mer) et sur un réseau d’Espaces Volontariats en Afrique, Asie, Amérique latine/Caraïbes, Moyen-Orient et Océanie.","Community Services","51-200 employees","Government Agency","Ivry-sur-Seine, Île-de-France","France","france-volontaires.org","https://www.linkedin.com/company/france-volontaires"
,"Founder's Office Club (FOC)","Founder's Office Club (FOC) is India's largest community of top talent in Founder’s Office, Chief of Staff, Entrepreneur In Residence and Office of CxO roles.

Our goal is to establish a tightly connected community where we can cultivate enduring and significant connections while uncovering valuable insights, tools, resources, and accessing unique experiences.","Community Services","51-200 employees","Privately Held","Bengaluru","India",,"https://www.linkedin.com/company/founders-office-club"
,"Kauffman Fellows","Since 1995, Kauffman Fellows has accelerated the development and success of venture capital investors around the world, supporting Fellows to navigate every aspect of innovation investing, from deal flow to public markets. With 800+ Fellows across 65 countries, Kauffman Fellows is the largest network of VCs and innovation leaders in the world. In the 27 years since inception, Kauffman Fellows have started hundreds of funds, raised and deployed hundreds of billions of dollars in capital, and helped pave the way for some of the world’s most groundbreaking companies. As a network, Kauffman Fellows represent over $290 billion in assets under management, have collectively raised over $790 billion dollars in capital, and have been responsible for over $8.5 trillion in exits to LPs.

For more information visit www.kauffmanfellows.org","Community Services","2-10 employees","Non Profit","Palo Alto, CA","United States","kauffmanfellows.org","https://www.linkedin.com/company/kauffmanfellows"
,"Kolkata Calling","Welcome to Kolkata Calling - Your Daily Dose of Professional Excellence on LinkedIn!

 Elevate your career with our vibrant LinkedIn community! We bring you daily industrial updates, inspirational stories from influential business leaders and organizations, and a curated selection of job openings spanning Kolkata to across India.

 Stay ahead of industry trends and gain insights from the best in the business. Kolkata Calling is not just a community; it's your go-to platform for staying informed, inspired, and connected in the dynamic professional landscape.

 Why follow us? We're not just about job postings; we're about fostering growth, sharing success stories, and creating opportunities. Join us on this journey of empowerment and discovery.

 Ready to take the next step? Explore daily updates and job opportunities that align with your aspirations. Follow Kolkata Calling: LinkedIn.com/in/KolkataCalling

 Why collaborate with us? We are dedicated to fostering a robust employment ecosystem in Kolkata, promoting growth and prosperity. Reach out to us at contact@kolkatacalling.com for meaningful collaboration

 Stay ahead with our job updates! 
Join our exclusive WhatsApp Channel for the latest job openings, insightful stories, and valuable career advice: https://whatsapp.com/channel/0029VaC30fGIHphEFXz85U44

Subscribe to our Youtube Channel for Hello Kolkata! podcasts: https://www.youtube.com/@kolkatacallingofficial

Empower your professional journey with Kolkata Calling - Where Careers Flourish and Connections Thrive! #LinkedInCommunity #CareerGrowth #JobOpportunities ","Community Services","2-10 employees","Non Profit","Kolkata, West Bengal","India",,"https://www.linkedin.com/company/kolkata-calling"
,"Ladies of Law","A Legal Networking community, empowering, supporting and connecting women in law at all stages of careers! IG: @_ladiesoflaw","Community Services","Self-employed","Self Owned",,,,"https://www.linkedin.com/company/ladies-of-law"
,"Kolkata IT Hub","Welcome to the Kolkata IT Hub LinkedIn page! 

We are a passionate group of tech enthusiasts based in Kolkata who are deeply in love with our city and are committed to taking initiatives for its betterment. As a fully non-profit community, our main goal is to foster growth and opportunities in the IT sector while addressing the city's challenges.

At Kolkata IT Hub, we believe in upholding and maximizing the potential of our city. Through engaging discussions, we aim to identify and address the flaws that hinder its progress, while exploring new horizons in the IT sector. By creating a platform for professionals, business leaders, organizations, and aspiring individuals, we aim to showcase and share the love for being a part of Kolkata's remarkable growth story.

Our community is dedicated to featuring experiences from various perspectives within the IT sector. We believe that by highlighting success stories, challenges, and innovative solutions, we can inspire and empower others to contribute to Kolkata's development. We encourage open dialogue, collaboration, and knowledge-sharing among our members, as we firmly believe that collective efforts are essential for creating lasting positive impact.

As a non-profit community, all our activities and initiatives are driven by our shared passion for the city and its IT sector. We do not seek financial gains, but rather strive to create meaningful connections, foster professional development, and enhance the overall ecosystem in Kolkata.

Join us in our mission to make Kolkata a thriving hub for technology, innovation, and growth. Together, we can shape a brighter future for our beloved city. Connect with us to stay updated on our latest initiatives, events, and opportunities to contribute.

Join our Telegram channel -  https://t.me/kolkataithub
for latest job openings and event updates in Kolkata.

Any collaboration requests should be sent to kolkataitdevelopment@gmail.com","Community Services","2-10 employees","Non Profit","Kolkata, West Bengal","India",,"https://www.linkedin.com/company/kolkata-it-hub"
