"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Conciergerie Lulu"," Nous aidons les propriétaires de logements à gagner en rentabilité & sérénité sans rien faire !
Pas de risque d'impayés, pas de retard de paiement, pas de vacances locatives, pas de dégradation du bien à gérer.
 +200K€ générés pour nos clients en 2024
 Nantes, vignoble et littoral
 Découvrez-nous ici : www.conciergerielulu.com
Et prenez RDV pour une estimation GRATUITE de vos revenus potentiels !","Personal and Laundry Services","2-10 employees","Partnership","Nantes, Pays de la Loire","France","conciergerielulu.com","https://www.linkedin.com/company/conciergerie-lulu"
,"Eastri","Eastri is redefining convenience by bridging the gap between traditional ironing services and digital innovation. We empower local Istri shops to deliver modern, professional services right at your doorstep, offering speed, reliability, and ease through tech-enabled solutions. Whether it's express ironing or seamless delivery, Eastri is here to simplify daily life for millions of urban households while uplifting local businesses. Join us in transforming how India irons, one perfectly pressed shirt at a time.","Personal and Laundry Services","11-50 employees","Privately Held","Mumbai, Maharashtra","India","eastri.com","https://www.linkedin.com/company/eastri"
,"hoomy, Location & Conciergerie","Premier acteur de la gestion de résidences secondaires, hoomy accompagne les propriétaires pour optimiser leur bien immobilier. De Pléneuf-Val-André à Lacanau, en passant par Noirmoutier, La Baule et Les Sables-d'Olonne, nos équipes sont mobilisées sur toute la façade Atlantique pour répondre aux attentes des propriétaires. Bonne nouvelle, hoomy s'implante aussi dans les Pyrénées ! 

Bien gérer sa résidence secondaire, c'est un métier. Celui d'hoomy.","Personal and Laundry Services","51-200 employees","Partnership","Nantes, Pays de la Loire","France","hoomy.fr","https://www.linkedin.com/company/hoomy"
,"Steamee","""Steamee - A Steam Ironing Company is a professional steam ironing company striving and achieving to organize the way you iron your clothes. We provide STEAM IRONING SERVICES at the price of your local vendor just at the click of your mobile app. Download the app from Play Store or Apple App Store to avail great discounts and bonuses.","Personal and Laundry Services","2-10 employees","Privately Held","Chennai, Tamil Nadu","India","steamee.in","https://www.linkedin.com/company/steamee"
,"Primo Conciergerie","Vous êtes propriétaire d’une maison ou d’un appartement que vous souhaitez louer en location saisonnière ?
Que ce soit une résidence principale ou secondaire, sur Airbnb, Booking, etc… vous permet de louer en courte durée et de rentabiliser votre logement en votre absence ou toute l’année.

Mais créer une annonce, accueillir les voyageurs, remettre les clés, effectuer le ménage du logement, changer, laver le linge… 

Cela est un vrai métier et ça prend du temps ! 

C’est pour cela que PRIMO CONCIERGERIE propose son service de conciergerie.

Nous proposons des services de qualité pour les vacances ou séjours de courte durée de vos voyageurs. 

Si vous recherchez à rentabiliser votre bien en ayant l’esprit tranquille, nous accompagnerons à 100% votre meublé touristique de la meilleure manière, en s’assurant de la sécurité de votre bien.

Pourquoi pas vous ?

 rdv sur : www.primoconciergerie.fr","Personal and Laundry Services","2-10 employees","Privately Held","Nevers","France","primoconciergerie.fr","https://www.linkedin.com/company/primo-conciergerie"
,"LIKE my HOME","Like my Home, c’est votre conciergerie de confiance spécialisée dans la location saisonnière et courte durée.

Qu’il s’agisse d’optimiser la visibilité de votre annonce, d’augmenter vos revenus, de faciliter la vie de vos voyageurs ou tout simplement d’entretenir votre logement, nous vous accompagnons à chaque étape.

Nous avons conçu nos services pour offrir la meilleure expérience à vos voyageurs, tout en maximisant le potentiel de vos locations et en préservant votre temps et votre logement.

Services aux voyageurs…
- Préparation du logement
- Accueil & Assistance 7J/7
- Guide d’accueil digital personnalisé multilingue
- Activités et bonnes adresses recommandées par Like My Home
- Accès à des offres exclusives proposées par nos partenaires locaux
- Cadeau de bienvenue
- Location matériel de puériculture

Entretien de votre logement
- Location linge de maison
- Dressage des lits
- Service de blanchisserie
- Ménage fin de séjour
- Intervention dépannage

Commercialisation de vos locations
- Photos immobilières professionnelles
- Rédaction et diffusion de votre annonce sur notre site Internet et les plus grandes plateformes
- Optimisation des tarifs et du taux de remplissage
- Accompagnement au classement de tourisme
- Conseil aménagement et équipements

Gestion de vos locations…
- Prise en charge des demandes voyageurs 7J/7
- Rédaction des contrats de location
- Gestion des cautions et règlements
- Gestion des avis voyageurs
- Etats des lieux de sortie

Nous contacter
- contact@likemyhome.fr
- 06 98 49 01 05","Personal and Laundry Services","2-10 employees","Privately Held","ANNECY","France","likemyhome.fr","https://www.linkedin.com/company/like-my-home"
,"Land In Africa","Depuis 2018, Land in Africa (LIA) accompagne ses clients dans la création, l’organisation et la gestion d’expériences premium à travers tout le continent africain.

Nous proposons des solutions clés en main, adaptées aux besoins des particuliers, entreprises et institutions, grâce à un solide réseau de partenaires.
 Nos domaines d’expertise :

 Événementiel : organisation de conférences, séminaires, mariages, concerts, festivals.

 Tourisme : séjours personnalisés, circuits authentiques et expériences sur mesure.

 Conciergerie : services exclusifs, gestion de vos besoins quotidiens et accompagnement premium.

 Avec Land in Africa, chaque projet devient une expérience mémorable, marquée par la qualité, l’innovation et une parfaite maîtrise logistique.

 Que vous soyez une entreprise, un voyageur ou un particulier, nous transformons vos idées en réalité grâce à une approche centrée sur l’expérience client et la connexion entre cultures et territoires.","Personal and Laundry Services","2-10 employees","Privately Held","Abidjan , Lagune","Ivory Coast","lia-ci.com","https://www.linkedin.com/company/land-in-africa"
,"Propria",,"Personal and Laundry Services","2-10 employees","Privately Held",,,"propria.club","https://www.linkedin.com/company/propria-club"
,"Le Hangar des Légendes","Le Hangar des Légendes est une conciergerie pour autos et motos de collection. Nous proposons stockage, gardiennage, entretien et services sur mesure dans un lieu confidentiel et sécurisé proche du périphérique Toulousain.
- Vous êtes déjà propriétaire où vous voulez investir dans un véhicule old-timer ou young-timer mais vous manquez de place ? 
- Vous êtes expatrié à la recherche d’un remisage protégé et sécurisé  pour vos véhicules ? 
- Vous voulez disposer de votre véhicule quand vous le souhaitez ?

Vous êtes au bon endroit ! Contactez nous : 06 85 54 87 36 ou contact@lhdl.fr","Personal and Laundry Services","2-10 employees","Self Employed","Toulouse","France","lehangardeslegendes.fr","https://www.linkedin.com/company/le-hangar-des-légendes"
,"LA CASA ANGEVINE","La Casa Angevine est une conciergerie locative sur Angers et ses alentours .
Nous sommes spécialisée dans la location et la gestion locative de courte et moyenne durée.
Vous êtes propriétaire de votre résidence principale, secondaire ou locative ? 
Vous souhaitez rentabiliser votre logement en le louant l'esprit libre et serein ? 
Toute l’année ou ponctuellement ? 

Nous vous accompagnons de A à Z dans votre projet : 
 Conseils sur la réglementation, 
 Audit de votre logement, 
 Rédaction de votre annonce, 
 Optimisation des tarifs, 
 Gestion des réservations, 
 Prise en charge des locataires, 
 Check-in /check-out, 
 Préparation et entretien soigné de votre logement, 
 Réactivité, sérieux, confiance et convivialité sont au cœur de notre conciergerie.

Pour tous renseignements contactez nous 
Christel : 06-65-07-81-78
Samuel : 07-88-07-15-90
contact@la-casa-angevine-conciergerie.fr

Au plaisir de pouvoir échanger sur votre projet de location ,","Personal and Laundry Services","2-10 employees","Self Employed","ANGERS, maine et loire","France","la-casa-angevine-conciergerie.fr","https://www.linkedin.com/company/la-casa-angevine"
