"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Palo Alto Networks","Palo Alto Networks, the global cybersecurity leader, is shaping the cloud-centric future with technology that is transforming the way people and organizations operate. Our mission is to be the cybersecurity partner of choice, protecting our digital way of life. We help address the world's greatest security challenges with continuous innovation that seizes the latest breakthroughs in artificial intelligence, analytics, automation, and orchestration. By delivering an integrated platform and empowering a growing ecosystem of partners, we are at the forefront of protecting tens of thousands of organizations across clouds, networks, and mobile devices. Our vision is a world where each day is safer and more secure than the one before. For more information, visit www.paloaltonetworks.com.","Computer and Network Security","10,001+ employees","Public Company","SANTA CLARA, California","United States","paloaltonetworks.com","https://www.linkedin.com/company/palo-alto-networks"
,"Fortinet","Fortinet makes possible a digital world that we can always trust through its mission to protect people, devices, and data everywhere. This is why the world’s largest enterprises, service providers, and government organizations choose Fortinet to securely accelerate their digital journey.","Computer and Network Security","10,001+ employees","Public Company","Sunnyvale, CA","United States","fortinet.com","https://www.linkedin.com/company/fortinet"
,"Cloudflare","Cloudflare, Inc. (NYSE: NET) is the leading connectivity cloud company. It empowers organizations to make their employees, applications and networks faster and more secure everywhere, while reducing complexity and cost. Cloudflare’s connectivity cloud delivers the most full-featured, unified platform of cloud-native products and developer tools, so any organization can gain the control they need to work, develop, and accelerate their business. 

Powered by one of the world’s largest and most interconnected networks, Cloudflare blocks billions of threats online for its customers every day. It is trusted by millions of organizations – from the largest brands to entrepreneurs and small businesses to nonprofits, humanitarian groups, and governments across the globe.","Computer and Network Security","1,001-5,000 employees","Public Company","San Francisco, California","United States","cloudflare.com","https://www.linkedin.com/company/cloudflare"
,"CrowdStrike","CrowdStrike (Nasdaq: CRWD), a global cybersecurity leader, has redefined modern security with the world’s most advanced cloud-native platform for protecting critical areas of enterprise risk — endpoints and cloud workloads, identity and data.

Powered by the CrowdStrike Security Cloud and world-class AI, the CrowdStrike Falcon platform leverages real-time indicators of attack, threat intelligence, evolving adversary tradecraft and enriched telemetry from across the enterprise to deliver hyper-accurate detections, automated protection and remediation, elite threat hunting and prioritized observability of vulnerabilities.

Purpose-built in the cloud with a single lightweight-agent architecture, the Falcon platform delivers rapid and scalable deployment, superior protection and performance, reduced complexity and immediate time-to-value.

CrowdStrike: We stop breaches.","Computer and Network Security","5,001-10,000 employees","Public Company","Remote","United States","crowdstrike.com","https://www.linkedin.com/company/crowdstrike"
,"TryHackMe","TryHackMe takes the pain out of learning and teaching Cybersecurity. Our platform makes it a comfortable experience to learn by designing prebuilt courses which include virtual machines (VM) hosted in the cloud ready to be deployed. This avoids the hassle of downloading and configuring VM's. Our platform is perfect for CTFs, Workshops, Assessments or Training.","Computer and Network Security","51-200 employees","Public Company","London","United Kingdom","tryhackme.com","https://www.linkedin.com/company/tryhackme"
,"Hack The Box","Hack The Box is the leading AI-powered cybersecurity readiness and upskilling platform, trusted by 1,500+ organizations worldwide, including Fortune 500 enterprises, government agencies, and MSSPs, to build cyber resilience at scale. Through AI-enhanced intelligence, gamified labs, live-fire simulations, and one of the world’s largest cybersecurity communities, Hack The Box enables teams to master offensive and defensive skills through real-world scenarios designed for the age of AI. Founded in 2017, Hack The Box has grown a global community of over 4 million members, enabling organizations to validate resilience, mitigate breach risk, and develop cyber talent. Delivering continuous learning alongside industry-recognized certifications and certificate programs aligned with major workforce frameworks such as ENISA ECSF and NIST NICE, Hack The Box demonstrates external validation through recognized accreditation and role-based qualification recognition, including its ANAB-accredited HTB Defense Operations Analyst (DOA) certificate program and HTB CPTS, accepted for FedRAMP 3PAO penetration tester personnel.

For more information, visit hackthebox.com","Computer and Network Security","201-500 employees","Privately Held","Folkestone, Kent","United Kingdom","hackthebox.com","https://www.linkedin.com/company/hackthebox"
,"The Hacker News","The #1 trusted source for cybersecurity news, insights, and analysis — built for defenders and trusted by decision-makers.","Computer and Network Security","11-50 employees","Privately Held","NY, New York","United States","thehackernews.com","https://www.linkedin.com/company/thehackernews"
,"Hacking Articles","What do we do?
Ignite Technologies and Hacking Articles have been working together to build a global reputation in the IT industry for more than ten years. Ignite has been offering top-notch cybersecurity training and consulting services that meet the needs of students, government employees, and business personnel..

Additionally, Ignite's advisors and consultants are knowledgeable, skilled specialists with years of expertise to assist and manage their clients in order to detect any existing vulnerabilities in their infrastructure and applications and fix them BEFORE they are exploited by attackers.

Accreditations include ISO-9001, 
Certified Trainer in OSCP, CEH, ECSA, ISO-Lead Auditor, OSWP, CRTP, CISM CISA, and CHFI.

What are the services we provide ?
1.Individual and Corporate Training -(Ethical, Penetration Testing and Red Teaming)
2.Seminar and Workshop: School, College and Corporate Companies.
3.Penetration Testing -Black/Grey/ White
-Infrastructure 
-Web Application 
-Mobile
-Active Directory
4.Compliance Audit 
-ISO 27001
-HIPAA
-PCI-DSS
-GDPR
5.Design and organize CTF Hackathon 

What drives us?
1.Hacking Articles (www.hackingarticles.in) is a leading security blog that offers real-time practice-based sessions.
2.The course content provided by Ignite Technologies is exclusive and tailored to meet the needs of the participants.
3.To ensure continuity in the learning process, backup sessions are also provided in case of any unforeseen circumstances.
4.After completing the training, participants can also avail post-training assistance from the experts at Ignite Technologies to further enhance their skills.

To whom do we cater?
1.College Students
2.IS/IT specialist, analyst, or manager
3.IS/IT auditor, security officer, engineer or consultant
4.Network security officers
5.Site administrators
6.Technical support or senior engineer
7.Systems analyst or administrator

Website
https://www.ignitetechnologies.in/about-us.html","Computer and Network Security","51-200 employees","Educational","Delhi, Delhi","India","hackingarticles.in","https://www.linkedin.com/company/hackingarticles"
,"OffSec","Empowering the world to fight cyber threats with indispensable cybersecurity skills and resources. Build the path to a secure future with OffSec.","Computer and Network Security","201-500 employees","Privately Held","New York, NY","United States","offsec.com","https://www.linkedin.com/company/offsec-training"
,"Kaspersky","Our mission is simple – building a safer world. And in fulfilling that mission we aim to become the global leader in cybersecurity – by securing technology to make sure that the possibilities it brings become opportunities for each and every one of us. Bring on endless possibilities. Bring on a safer tomorrow.” - Eugene Kaspersky, CEO of Kaspersky
https://www.kaspersky.com/about/company","Computer and Network Security","5,001-10,000 employees","Privately Held","Stadtkreis 1 Altstadt, Zurich","Switzerland","kaspersky.com","https://www.linkedin.com/company/kaspersky"
