"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"PT Industri Kereta Api (Persero)","We Manufacture a Wide Array of Tailored Rolling Stock with Competitive Price.

Established on May 18th, 1981, INKA is the first fully integrated rolling stock and automotive manufacturer in Southeast Asia.  Our focus is to deliver high-quality products and services to our customers. We provide a wide array of products to meet our customer diverse requirements, as well as excellent after sales services to ensure our customer received the best transportation solution. Our products have spread and operated in many countries around the world.

For more information contact:
Factory and Head Office
Jl Yos Sudarso No. 71. Madiun. East Java. Indonesia. 63122
sekretariat@inka.co.id
+62 351 452271 

Representative Office
Jl Jend Sudirman Kav 2. Menara TASPEN lt3. Jakarta. Indonesia. 10220
inkajkt@inka.co.id
+62 21 2514424","Railroad Equipment Manufacturing","1,001-5,000 employees","Privately Held","Madiun, East Java","Indonesia","inka.co.id","https://www.linkedin.com/company/pt-industri-kereta-api"
,"Wabtec Corporation","Wabtec is a leading global provider of equipment, systems, digital solutions, and value-added services. Whether it's freight rail, transit, mining, industrial or marine, our expertise, technologies, and people - together - are accelerating the future of transportation.","Railroad Equipment Manufacturing","10,001+ employees","Public Company","Pittsburgh, Pennsylvania","United States","wabteccorp.com","https://www.linkedin.com/company/wabtec-corporation"
,"Talgo","Talgo is a leader in the design, manufacture and maintenance of high-speed and intercity trains, with industrial presence in Spain, Germany, Denmark, Saudi Arabia, Egypt, Kazakhstan, Uzbekistan and the United States. Recognised worldwide for its capacity for innovation, unique and distinctive technology and reliability, the company has a team of more than 3,500 people in 11 countries.

Talgo is the main supplier of high-speed and very high-speed trains to Renfe, and the supplier of trains for the “Haramain” project between Mecca and Medina in Saudi Arabia. Talgo is also the manufacturer chosen by state-run companies in Germany and Denmark to decarbonise their mobility with up to 100 and 16 Talgo 230 Intercity trains, respectively.","Railroad Equipment Manufacturing","1,001-5,000 employees","Public Company","Las Rozas de Madrid, Community of Madrid","Spain","talgo.com","https://www.linkedin.com/company/talgogroup"
,"Stadler","International rail vehicle construction company, Stadler, is headquartered in Bussnang in Eastern Switzerland. Founded in 1942, it has a workforce of around 11,000 based in various production and over 40 service locations. Stadler provides a comprehensive range of products in the heavy and urban transport segments: High-speed trains, intercity trains, regional and commuter heavy rail trains, underground trains, tram trains and trams. Stadler also manufactures main-line locomotives, shunting locomotives and passenger carriages, including the most powerful diesel-electric locomotive in Europe. It is the world’s leading manufacturer in the rack-and-pinion rail vehicle industry.","Railroad Equipment Manufacturing","10,001+ employees","Public Company","Bussnang, TG","Switzerland","stadlerrail.com","https://www.linkedin.com/company/stadler-rail"
,"Colas Rail","Passion, Purpose, Challenge : at Colas Rail, we are driven by change, this is why our employees imagine each day a world where innovative and eco-friendly contribute to the well-being of each and the future of all. 
Joining Colas Rail means evolving at the heart of the challenges of tomorrow, with an international leader present in more than 20 countries, alongside passionate and demanding women and men, to achieve, together, the impossible.","Railroad Equipment Manufacturing","5,001-10,000 employees","Privately Held","Puteaux, Île-de-France","France","colasrail.com","https://www.linkedin.com/company/colas-rail"
,"Transnet Engineering","Transnet Engineering is the  engineering division of Transnet SOC Limited offering research, engineering, manufacturing and maintenance services and products to the rail industry across the globe and specifically the African continent. TE operates six main factories situated in major city centres in South Africa, with each factory serving as a central hub for satellite depots in each region. TE remanufactures and manufactures freight wagons, locomotives and passenger coaches, as well as the maintenance and servicing of these products. In addition, TE also manufacturers and maintains port equipment including haulers. Driven by the varying needs of our customers, Transnet Engineering is optimally geared to deliver customized solutions to enable our customers to unleash their full potential.","Railroad Equipment Manufacturing","10,001+ employees","Government Agency","Pretoria, Gauteng","South Africa","transnetengineering.net","https://www.linkedin.com/company/transnet-engineering"
,"Progress Rail, A Caterpillar Company","Our team creates lifelong customer relationships, supplying comprehensive rolling stock and infrastructure solutions for the global rail industry and setting the standard for excellence. We care about fostering the sustainable movement of goods and people for generations to come, and we know our customers care, too. Our strategic footprint ensures responsive, quality customer support all day, every day.

As a Caterpillar company, Progress Rail is one of the largest integrated diversified providers of locomotive, freight car and infrastructure solutions and technologies for the global rail industry. We provide advanced EMD locomotives, engines and technologies, railcars, trackwork, fasteners, signaling, rail welding and maintenance-of-way equipment, along with dedicated locomotive and freight car repair services, aftermarket parts support and recycling operations. Our team's deep industry expertise ensures a commitment to quality through innovative solutions.","Railroad Equipment Manufacturing","5,001-10,000 employees","Privately Held","Albertville, Alabama","United States","progressrail.com","https://www.linkedin.com/company/progress-rail-services"
,"MERMEC","MERMEC is an Italian multinational company founded in 1970 and active in advanced technologies for rail transport (signalling, measuring trains and systems, electric traction, telecommunication), urban electric mobility and industrial application. The company HQ is in Italy with branches, offices, and facilities in 21 countries through which it provides project management, sales support as well as technical assistance to its customers worldwide. 
With about 2000 highly qualified employees (of whom, 1400 Engineers), MERMEC boasts an unmatched technical know-how that has allowed it to develop and market a well-structured portfolio of advanced solutions currently in use in 73 countries over the world.","Railroad Equipment Manufacturing","1,001-5,000 employees","Privately Held","Monopoli (Bari), Apulia region","Italy","mermecgroup.com","https://www.linkedin.com/company/mermec"
,"Harsco Rail","Harsco Rail, a division of Enviri Corporation, is a global supplier for railway track maintenance and construction. With a broad range of high quality equipment, cutting-edge technology, and worldwide support, Harsco Rail takes care of customers’ needs for virtually all major aspects of track maintenance and construction. Delivering innovation and performance, Harsco Rail meets the demands of the track every day.

At Harsco Rail, we have spent over 100 years morphing ideas into innovation. Through our four business lines – Equipment, Aftermarket, Contracted Services, and Technology – Harsco Rail is a valued partner throughout the lifecycle of track. From construction, to maintenance, to renewal, we offer the same innovative solutions and world-class service that our customers have relied upon for nearly a century.

With over 1,000 employees in over 50 countries, our team of motivated employees are crucial for our company’s success. Harsco Rail understands the importance of attracting qualified employees and providing them with the necessary tools for a long-term career. For more information about our job openings go to:
https://www.harscorail.com/careers.html","Railroad Equipment Manufacturing","1,001-5,000 employees","Public Company","Charlotte, North Carolina","United States","harscorail.com","https://www.linkedin.com/company/harsco-rail"
,"Delhi Metro Rail Corporation Ltd","www.delhimetrorail.com","Railroad Equipment Manufacturing","1,001-5,000 employees","Government Agency","new delhi","India","delhimetrorail.com","https://www.linkedin.com/company/delhi-metro-rail-corporation-ltd"
